mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
pipe,4,5000,2,80382,147956,
pipe,4,5000,4,85066,142583,
pipe,4,5000,6,81736,134799,
pipe,4,5000,8,74490,129237,
pipe,4,5000,10,70258,126186,
pipe,4,5000,12,66936,122553,
pipe,4,5000,14,64541,121004,
pipe,4,5000,16,59913,117647,
pipe,4,5000,18,56635,114616,
pipe,4,5000,20,55914,113941,
pipe,4,5000,22,55581,113023,
pipe,4,5000,24,54950,112808,
pipe,4,5000,26,54724,112309,
pipe,4,5000,28,54671,111945,
pipe,4,5000,30,57065,114468,
pipe,4,5000,32,55788,113182,
pipe,4,5000,34,55295,112266,
pipe,4,5000,36,55061,111786,
pipe,4,5000,38,54917,112015,
pipe,4,5000,40,54811,112309,
pipe,4,5000,42,55285,112805,
pipe,4,5000,44,54907,112237,
pipe,4,5000,46,54123,111394,
pipe,4,5000,48,54173,111192,
pipe,4,5000,50,53951,110858,
pipe,4,5000,52,53852,110582,
pipe,4,5000,54,53508,110238,
pipe,4,5000,56,53266,110109,
pipe,4,5000,58,52618,109387,
pipe,4,5000,60,52934,109541,
pipe,4,5000,62,52873,109217,
pipe,4,5000,64,52571,108843,
pipe,4,5000,66,52014,108091,
pipe,4,5000,68,51758,107784,
pipe,4,5000,70,51635,107763,
pipe,4,5000,72,51496,107630,
pipe,4,5000,74,51497,107705,
pipe,4,5000,76,50912,107409,
pipe,4,5000,78,50737,107432,
pipe,4,5000,80,50254,107190,
pipe,16,5000,2,46109,97487,
pipe,16,5000,4,50287,105301,
pipe,16,5000,6,50850,106137,
pipe,16,5000,8,51002,105667,
pipe,16,5000,10,52256,107086,
pipe,16,5000,12,49558,104579,
pipe,16,5000,14,50728,106220,
pipe,16,5000,16,48604,103416,
pipe,16,5000,18,48729,103313,
pipe,16,5000,20,48822,102787,
pipe,16,5000,22,47673,101204,
pipe,16,5000,24,48055,101678,
pipe,16,5000,26,48083,102065,
pipe,16,5000,28,48307,102645,
pipe,16,5000,30,47496,101926,
pipe,16,5000,32,45946,100817,
pipe,16,5000,34,45921,100480,
pipe,16,5000,36,46394,100545,
pipe,16,5000,38,46068,99862,
pipe,16,5000,40,46489,100136,
pipe,16,5000,42,47634,101165,
pipe,16,5000,44,49646,103367,
pipe,16,5000,46,49404,103206,
pipe,16,5000,48,49246,103472,
pipe,16,5000,50,49037,103491,
pipe,16,5000,52,48915,103419,
pipe,16,5000,54,48703,103055,
pipe,16,5000,56,48685,102981,
pipe,16,5000,58,48760,102888,
pipe,16,5000,60,48911,103069,
pipe,16,5000,62,48897,102976,
pipe,16,5000,64,48959,103012,
pipe,16,5000,66,48693,102699,
pipe,16,5000,68,49390,103448,
pipe,16,5000,70,49078,102870,
