mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
pipe,4,1000,2,107909,164063,
pipe,4,1000,4,101707,156731,
pipe,4,1000,6,82394,140411,
pipe,4,1000,8,69476,126418,
pipe,4,1000,10,58156,114366,
pipe,4,1000,12,51577,106466,
pipe,4,1000,14,46156,100244,
pipe,4,1000,16,42778,96346,
pipe,4,1000,18,39193,91500,
pipe,4,1000,20,37109,89262,
pipe,4,1000,22,35723,87388,
pipe,4,1000,24,33827,85253,
pipe,4,1000,26,32895,84107,
pipe,4,1000,28,32002,82631,
pipe,4,1000,30,31856,81591,
pipe,4,1000,32,31176,80162,
pipe,4,1000,34,30501,79517,
pipe,4,1000,36,30313,78729,
pipe,4,1000,38,29888,77702,
pipe,4,1000,40,29370,77180,
pipe,4,1000,42,29270,76811,
pipe,4,1000,44,28950,75925,
pipe,4,1000,46,28891,75971,
pipe,4,1000,48,28442,75248,
pipe,4,1000,50,28457,75261,
pipe,4,1000,52,28074,74511,
pipe,4,1000,54,28083,74541,
pipe,4,1000,56,27766,73806,
pipe,4,1000,58,27443,73503,
pipe,4,1000,60,27507,73305,
pipe,4,1000,62,27252,72727,
pipe,4,1000,64,27293,72828,
pipe,4,1000,66,27079,72353,
pipe,4,1000,68,27149,72564,
pipe,4,1000,70,26910,72084,
pipe,4,1000,72,26709,71861,
pipe,4,1000,74,26713,71812,
pipe,4,1000,76,26508,71357,
pipe,4,1000,78,26342,71091,
pipe,4,1000,80,26139,70980,
pipe,16,1000,2,22911,60081,
pipe,16,1000,4,22970,59798,
pipe,16,1000,6,21576,58275,
pipe,16,1000,8,24109,61025,
pipe,16,1000,10,23343,59879,
pipe,16,1000,12,22585,61162,
pipe,16,1000,14,23175,61779,
pipe,16,1000,16,22727,60973,
pipe,16,1000,18,22285,61611,
pipe,16,1000,20,23081,62379,
pipe,16,1000,22,23912,62813,
pipe,16,1000,24,23642,62316,
pipe,16,1000,26,23409,62346,
pipe,16,1000,28,23753,63200,
pipe,16,1000,30,23467,62524,
pipe,16,1000,32,23242,62638,
pipe,16,1000,34,23535,63217,
pipe,16,1000,36,23278,62697,
pipe,16,1000,38,23085,62664,
pipe,16,1000,40,23330,63074,
pipe,16,1000,42,23148,62712,
pipe,16,1000,44,23022,62696,
pipe,16,1000,46,23374,63267,
pipe,16,1000,48,23190,62913,
pipe,16,1000,50,23055,62923,
pipe,16,1000,52,22975,63083,
pipe,16,1000,54,23146,63122,
pipe,16,1000,56,23038,62927,
pipe,16,1000,58,22996,63133,
pipe,16,1000,60,23148,63214,
pipe,16,1000,62,23063,62970,
pipe,16,1000,64,22966,63202,
pipe,16,1000,66,23094,63222,
pipe,16,1000,68,22998,62978,
pipe,16,1000,70,22886,63101,
pipe,16,1000,72,23001,63194,
pipe,16,1000,74,22905,63018,
pipe,16,1000,76,22783,63164,
pipe,16,1000,78,22951,63338,
pipe,16,1000,80,22882,63183,
pipe,64,1000,2,21707,72056,
pipe,64,1000,4,25666,70188,
pipe,64,1000,6,23705,65483,
pipe,64,1000,8,24704,68640,
pipe,64,1000,10,23764,65753,
pipe,64,1000,12,23134,66400,
pipe,64,1000,14,23762,66531,
pipe,64,1000,16,23328,65328,
pipe,64,1000,18,23908,66501,
pipe,64,1000,20,23386,65565,
pipe,64,1000,22,23046,65697,
pipe,64,1000,24,23376,65728,
pipe,64,1000,26,22994,64877,
pipe,64,1000,28,23485,65904,
pipe,64,1000,30,23160,65167,
pipe,64,1000,32,23484,66125,
pipe,64,1000,34,23291,65421,
pipe,64,1000,36,23507,65954,
pipe,64,1000,38,23311,65660,
pipe,64,1000,40,23641,65716,
pipe,64,1000,42,23404,65200,
pipe,64,1000,44,23603,65682,
pipe,64,1000,46,23426,65285,
pipe,64,1000,48,23653,65682,
pipe,64,1000,50,23497,65556,
pipe,64,1000,52,23794,65697,
pipe,64,1000,54,23597,65482,
pipe,64,1000,56,23824,66008,
pipe,64,1000,58,23689,65561,
pipe,64,1000,60,23511,65457,
pipe,64,1000,62,23658,65725,
pipe,64,1000,64,23521,65429,
pipe,64,1000,66,23364,65330,
pipe,64,1000,68,23507,65585,
pipe,64,1000,70,23367,65293,
pipe,64,1000,72,23288,65326,
pipe,64,1000,74,23443,65625,
pipe,64,1000,76,23403,65446,
pipe,64,1000,78,23303,65370,
pipe,64,1000,80,23424,65628,
pipe,256,1000,2,19613,59093,
pipe,256,1000,4,19041,62792,
pipe,256,1000,6,21979,66626,
pipe,256,1000,8,21368,64438,
pipe,256,1000,10,20625,64277,
pipe,256,1000,12,21656,66258,
pipe,256,1000,14,21233,64584,
pipe,256,1000,16,20979,64878,
pipe,256,1000,18,21735,65785,
pipe,256,1000,20,21377,64887,
pipe,256,1000,22,21078,64980,
pipe,256,1000,24,21792,66004,
pipe,256,1000,26,21621,65271,
pipe,256,1000,28,21560,65448,
pipe,256,1000,30,21837,66564,
pipe,256,1000,32,21865,66242,
pipe,256,1000,34,21742,65723,
pipe,256,1000,36,22209,65871,
pipe,256,1000,38,22077,65423,
pipe,256,1000,40,22476,65667,
pipe,256,1000,42,22321,65099,
pipe,256,1000,44,22156,64778,
pipe,256,1000,46,22206,64685,
pipe,256,1000,48,22148,64575,
pipe,256,1000,50,22104,64377,
pipe,256,1000,52,21962,64056,
pipe,256,1000,54,21826,63845,
pipe,256,1000,56,21772,63720,
pipe,256,1000,58,21696,63435,
pipe,256,1000,60,21577,63306,
pipe,256,1000,62,21477,62991,
pipe,256,1000,64,21401,62823,
pipe,256,1000,66,21359,62641,
pipe,256,1000,68,21298,62483,
pipe,256,1000,70,21215,62283,
pipe,256,1000,72,21146,62104,
pipe,256,1000,74,21085,61952,
pipe,256,1000,76,21052,61801,
pipe,256,1000,78,21083,61727,
pipe,256,1000,80,21020,61628,
pipe,1024,1000,2,19580,59725,
pipe,1024,1000,4,20295,60601,
pipe,1024,1000,6,20054,59281,
pipe,1024,1000,8,19900,59463,
pipe,1024,1000,10,21057,60030,
pipe,1024,1000,12,21496,60688,
pipe,1024,1000,14,21228,60122,
pipe,1024,1000,16,21390,60379,
pipe,1024,1000,18,22367,61353,
pipe,1024,1000,20,22206,61137,
pipe,1024,1000,22,22138,60888,
pipe,1024,1000,24,22143,61128,
pipe,1024,1000,26,22649,61982,
pipe,1024,1000,28,22545,62035,
pipe,1024,1000,30,23312,63037,
pipe,1024,1000,32,23632,63737,
pipe,1024,1000,34,23475,63573,
pipe,1024,1000,36,23933,64234,
pipe,1024,1000,38,24426,64811,
pipe,1024,1000,40,24716,65213,
pipe,1024,1000,42,24458,65011,
pipe,1024,1000,44,24683,65505,
pipe,1024,1000,46,24515,65331,
pipe,1024,1000,48,24236,65220,
pipe,1024,1000,50,24408,65445,
pipe,1024,1000,52,24231,65305,
pipe,1024,1000,54,24466,65851,
pipe,1024,1000,56,24825,66397,
pipe,1024,1000,58,24729,66264,
pipe,1024,1000,60,24823,66517,
pipe,1024,1000,62,24692,66316,
pipe,1024,1000,64,24577,66223,
pipe,1024,1000,66,24711,66520,
