mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
pipe,4,1000,2,104674,318876,
pipe,4,1000,4,81005,285741,
pipe,4,1000,6,79443,277272,
pipe,4,1000,8,76847,270338,
pipe,4,1000,10,73621,265534,
pipe,4,1000,12,72116,271180,
pipe,4,1000,14,68874,265725,
pipe,4,1000,16,69252,265634,
pipe,4,1000,18,67825,262706,
pipe,4,1000,20,70780,267096,
pipe,4,1000,22,69204,265655,
pipe,4,1000,24,69613,264846,
pipe,4,1000,26,68064,262447,
pipe,4,1000,28,66967,259492,
pipe,4,1000,30,67216,260620,
pipe,4,1000,32,70203,263790,
pipe,4,1000,34,70245,261679,
pipe,4,1000,36,72797,260631,
pipe,4,1000,38,74907,259846,
pipe,4,1000,40,78556,260401,
pipe,4,1000,42,80175,260028,
pipe,4,1000,44,81686,258644,
pipe,4,1000,46,83710,259299,
pipe,4,1000,48,85299,258787,
pipe,4,1000,50,86327,258507,
pipe,4,1000,52,85969,256650,
pipe,4,1000,54,85848,254711,
pipe,4,1000,56,84853,253010,
pipe,4,1000,58,85449,252295,
pipe,4,1000,60,87393,253297,
pipe,4,1000,62,88340,252590,
pipe,4,1000,64,87332,251478,
pipe,4,1000,66,87359,250535,
pipe,4,1000,68,86475,248728,
pipe,4,1000,70,86434,248191,
pipe,4,1000,72,87645,248945,
pipe,4,1000,74,93078,253165,
pipe,4,1000,76,92050,251989,
pipe,4,1000,78,92562,251998,
pipe,4,1000,80,93992,252876,
pipe,16,1000,2,122006,273442,
pipe,16,1000,4,125470,261911,
pipe,16,1000,6,103763,246042,
pipe,16,1000,8,100068,237854,
pipe,16,1000,10,104798,242837,
pipe,16,1000,12,109471,246681,
pipe,16,1000,14,110934,248235,
pipe,16,1000,16,116976,252978,
pipe,16,1000,18,111440,249689,
pipe,16,1000,20,108333,246005,
pipe,16,1000,22,105463,243022,
pipe,16,1000,24,102082,241644,
pipe,16,1000,26,99945,239713,
pipe,16,1000,28,98447,245701,
pipe,16,1000,30,97084,244426,
pipe,16,1000,32,96032,243457,
pipe,16,1000,34,95302,242476,
pipe,16,1000,36,93202,240504,
pipe,16,1000,38,92717,240299,
pipe,16,1000,40,90717,239878,
pipe,16,1000,42,89970,239614,
pipe,16,1000,44,91840,241598,
pipe,16,1000,46,90995,241035,
pipe,16,1000,48,89720,240712,
pipe,16,1000,50,88147,240891,
pipe,16,1000,52,87343,242071,
pipe,16,1000,54,91368,247333,
pipe,16,1000,56,90243,250272,
pipe,16,1000,58,89244,268422,
pipe,16,1000,60,90279,268960,
pipe,16,1000,62,91824,268807,
pipe,16,1000,64,92069,267747,
pipe,16,1000,66,93108,268107,
pipe,16,1000,68,93029,267016,
pipe,16,1000,70,94318,268852,
pipe,16,1000,72,93941,267575,
pipe,16,1000,74,95647,268445,
pipe,16,1000,76,95995,267973,
pipe,16,1000,78,99092,270248,
pipe,16,1000,80,98648,269284,
pipe,64,1000,2,116982,255996,
pipe,64,1000,4,109500,243382,
pipe,64,1000,6,122641,259176,
pipe,64,1000,8,115960,250075,
pipe,64,1000,10,121526,260067,
pipe,64,1000,12,118933,258506,
pipe,64,1000,14,125173,265621,
pipe,64,1000,16,124116,263906,
pipe,64,1000,18,126800,266967,
pipe,64,1000,20,122124,262488,
pipe,64,1000,22,125133,264349,
pipe,64,1000,24,122288,262067,
pipe,64,1000,26,127568,267084,
pipe,64,1000,28,127607,266110,
pipe,64,1000,30,125475,264325,
pipe,64,1000,32,127234,265838,
pipe,64,1000,34,125097,264131,
pipe,64,1000,36,126466,265868,
pipe,64,1000,38,123930,264503,
pipe,64,1000,40,125610,266838,
pipe,64,1000,42,124252,265047,
pipe,64,1000,44,124923,265998,
pipe,64,1000,46,123686,264969,
pipe,64,1000,48,124213,265627,
pipe,64,1000,50,123224,266243,
pipe,64,1000,52,122534,268287,
pipe,64,1000,54,120887,268744,
pipe,64,1000,56,119706,269747,
pipe,64,1000,58,118839,269133,
pipe,64,1000,60,117744,267943,
pipe,64,1000,62,119108,269081,
pipe,64,1000,64,118332,267952,
pipe,64,1000,66,117948,267557,
pipe,64,1000,68,116853,266303,
pipe,64,1000,70,116283,265228,
pipe,64,1000,72,117240,265896,
pipe,64,1000,74,116598,264867,
pipe,64,1000,76,117784,265535,
pipe,64,1000,78,117154,264778,
pipe,64,1000,80,119426,267258,
pipe,256,1000,2,99784,247363,
pipe,256,1000,4,98494,239694,
pipe,256,1000,6,87009,242395,
pipe,256,1000,8,92316,240940,
pipe,256,1000,10,93938,244414,
pipe,256,1000,12,94999,246057,
pipe,256,1000,14,103180,256618,
pipe,256,1000,16,103360,253929,
pipe,256,1000,18,104057,254333,
pipe,256,1000,20,109574,258206,
pipe,256,1000,22,107338,256919,
pipe,256,1000,24,111079,262695,
pipe,256,1000,26,110029,260163,
pipe,256,1000,28,115312,266387,
pipe,256,1000,30,113230,264089,
pipe,256,1000,32,112059,264738,
pipe,256,1000,34,114996,267789,
pipe,256,1000,36,114294,267480,
pipe,256,1000,38,116745,270180,
pipe,256,1000,40,115554,269014,
pipe,256,1000,42,115474,271272,
pipe,256,1000,44,114751,270072,
pipe,256,1000,46,117173,272031,
pipe,256,1000,48,115959,271144,
pipe,256,1000,50,114983,269793,
pipe,256,1000,52,114174,269078,
pipe,256,1000,54,115555,270010,
pipe,256,1000,56,114958,268835,
pipe,256,1000,58,115076,268044,
pipe,256,1000,60,114108,266358,
pipe,256,1000,62,114288,265982,
pipe,256,1000,64,116180,267636,
pipe,256,1000,66,115190,266115,
pipe,256,1000,68,114967,265368,
pipe,256,1000,70,117260,267354,
pipe,256,1000,72,116467,266198,
pipe,256,1000,74,116928,266048,
pipe,256,1000,76,118191,266904,
pipe,256,1000,78,119118,267039,
pipe,256,1000,80,118511,266521,
pipe,1024,1000,2,157582,300840,
pipe,1024,1000,4,145599,284501,
pipe,1024,1000,6,148565,283400,
pipe,1024,1000,8,144315,280132,
pipe,1024,1000,10,153258,292788,
