mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
pipe,4,1000,2,789880,1431119,
pipe,4,1000,4,630876,1224789,
pipe,4,1000,6,538200,1155254,
pipe,4,1000,8,570229,1143888,
pipe,4,1000,10,570723,1129970,
pipe,4,1000,12,547820,1096451,
pipe,4,1000,14,519524,1052058,
pipe,4,1000,16,465546,950502,
pipe,4,1000,18,422680,865607,
pipe,4,1000,20,385678,795479,
pipe,4,1000,22,362369,747760,
pipe,4,1000,24,338503,708432,
pipe,4,1000,26,320952,673426,
pipe,4,1000,28,303761,638639,
pipe,4,1000,30,286629,606911,
pipe,4,1000,32,274923,583742,
pipe,4,1000,34,265033,563839,
pipe,4,1000,36,254555,542610,
pipe,4,1000,38,243751,522758,
pipe,4,1000,40,235440,505552,
pipe,4,1000,42,226500,489010,
pipe,4,1000,44,219603,475051,
pipe,4,1000,46,212388,461409,
pipe,4,1000,48,206756,449931,
pipe,4,1000,50,200496,438538,
pipe,4,1000,52,195717,428499,
pipe,4,1000,54,190265,418477,
pipe,4,1000,56,186157,410085,
pipe,4,1000,58,182560,402273,
pipe,4,1000,60,178955,394912,
pipe,4,1000,62,174830,387326,
pipe,4,1000,64,171847,381295,
pipe,4,1000,66,168152,374412,
pipe,4,1000,68,165314,369003,
pipe,4,1000,70,162062,362895,
pipe,4,1000,72,159585,357858,
pipe,4,1000,74,157038,352931,
pipe,4,1000,76,154293,348185,
pipe,4,1000,78,152358,343995,
pipe,4,1000,80,149760,339356,
pipe,16,1000,2,54628,161194,
pipe,16,1000,4,54011,160823,
pipe,16,1000,6,52705,158157,
pipe,16,1000,8,53840,159326,
pipe,16,1000,10,57171,162914,
pipe,16,1000,12,55698,161235,
pipe,16,1000,14,55094,159989,
pipe,16,1000,16,57125,162346,
pipe,16,1000,18,56239,161724,
pipe,16,1000,20,55784,161655,
pipe,16,1000,22,57290,163317,
pipe,16,1000,24,56511,162472,
pipe,16,1000,26,58266,164234,
pipe,16,1000,28,57552,163446,
pipe,16,1000,30,56963,163387,
pipe,16,1000,32,58037,164840,
pipe,16,1000,34,57533,164289,
pipe,16,1000,36,56992,163909,
pipe,16,1000,38,57962,164900,
pipe,16,1000,40,57513,164602,
pipe,16,1000,42,57111,164234,
pipe,16,1000,44,57777,164791,
pipe,16,1000,46,57385,164448,
pipe,16,1000,48,57039,164332,
pipe,16,1000,50,57710,164886,
pipe,16,1000,52,57356,164647,
pipe,16,1000,54,57035,164410,
pipe,16,1000,56,58448,165685,
pipe,16,1000,58,58176,165538,
pipe,16,1000,60,58667,165939,
pipe,16,1000,62,58441,165669,
pipe,16,1000,64,58881,166173,
pipe,16,1000,66,58560,165992,
pipe,16,1000,68,59166,166471,
pipe,16,1000,70,58924,166266,
pipe,16,1000,72,59397,166633,
pipe,16,1000,74,59190,166501,
pipe,16,1000,76,59686,166945,
pipe,16,1000,78,59420,166818,
pipe,16,1000,80,59760,167193,
pipe,64,1000,2,49850,165917,
pipe,64,1000,4,62492,174677,
pipe,64,1000,6,58681,167840,
pipe,64,1000,8,63694,172267,
pipe,64,1000,10,60501,169240,
pipe,64,1000,12,63309,171568,
pipe,64,1000,14,61282,169616,
pipe,64,1000,16,62948,170901,
pipe,64,1000,18,61668,169287,
pipe,64,1000,20,63017,170639,
pipe,64,1000,22,61773,169294,
pipe,64,1000,24,63029,170869,
pipe,64,1000,26,62018,169847,
pipe,64,1000,28,62838,170727,
pipe,64,1000,30,62076,169889,
pipe,64,1000,32,62982,170579,
pipe,64,1000,34,62303,171252,
pipe,64,1000,36,62993,171525,
pipe,64,1000,38,62287,170810,
pipe,64,1000,40,62923,171329,
pipe,64,1000,42,62391,170827,
pipe,64,1000,44,62945,171465,
pipe,64,1000,46,62332,171101,
pipe,64,1000,48,62919,171681,
pipe,64,1000,50,62382,171113,
pipe,64,1000,52,62848,171619,
pipe,64,1000,54,62443,171036,
pipe,64,1000,56,63064,171668,
pipe,64,1000,58,62570,171335,
pipe,64,1000,60,63119,171802,
pipe,64,1000,62,62696,171369,
pipe,64,1000,64,63028,171832,
pipe,64,1000,66,62715,171498,
pipe,64,1000,68,63199,171970,
pipe,64,1000,70,62802,171617,
pipe,64,1000,72,63207,171981,
pipe,64,1000,74,62885,171805,
pipe,64,1000,76,63154,172071,
pipe,64,1000,78,62882,171915,
pipe,64,1000,80,63133,172068,
pipe,256,1000,2,50683,166312,
pipe,256,1000,4,61794,174187,
pipe,256,1000,6,58289,170710,
pipe,256,1000,8,62633,174908,
pipe,256,1000,10,59559,171900,
pipe,256,1000,12,62502,177578,
pipe,256,1000,14,60603,176060,
pipe,256,1000,16,63028,178297,
pipe,256,1000,18,61769,176630,
pipe,256,1000,20,60171,175372,
pipe,256,1000,22,61336,176442,
pipe,256,1000,24,60249,175526,
pipe,256,1000,26,59549,174869,
pipe,256,1000,28,60742,175707,
pipe,256,1000,30,59927,174752,
pipe,256,1000,32,60905,175748,
pipe,256,1000,34,60237,174845,
pipe,256,1000,36,61000,175569,
pipe,256,1000,38,60440,174996,
pipe,256,1000,40,60974,175384,
pipe,256,1000,42,60307,174662,
pipe,256,1000,44,61124,175250,
pipe,256,1000,46,60711,174828,
pipe,256,1000,48,61346,175199,
pipe,256,1000,50,60798,174737,
pipe,256,1000,52,61112,175155,
pipe,256,1000,54,60630,174741,
pipe,256,1000,56,61273,175225,
pipe,256,1000,58,60907,174891,
pipe,256,1000,60,61275,175228,
pipe,256,1000,62,60789,174735,
pipe,256,1000,64,61340,175163,
pipe,256,1000,66,61050,174747,
pipe,256,1000,68,61812,175510,
pipe,256,1000,70,61417,175676,
pipe,256,1000,72,61874,176092,
pipe,256,1000,74,61525,175678,
pipe,256,1000,76,61937,176062,
pipe,256,1000,78,61658,175701,
pipe,256,1000,80,61972,176068,
pipe,1024,1000,2,51083,164810,
pipe,1024,1000,4,65396,179891,
pipe,1024,1000,6,61586,175340,
pipe,1024,1000,8,65337,178375,
pipe,1024,1000,10,62966,175274,
pipe,1024,1000,12,66238,177508,
pipe,1024,1000,14,64027,175522,
pipe,1024,1000,16,66465,177553,
pipe,1024,1000,18,64962,176347,
pipe,1024,1000,20,66295,177293,
pipe,1024,1000,22,65025,176103,
pipe,1024,1000,24,66307,176729,
pipe,1024,1000,26,65067,175695,
pipe,1024,1000,28,66565,177377,
pipe,1024,1000,30,65489,176255,
pipe,1024,1000,32,66493,177361,
pipe,1024,1000,34,65748,176969,
pipe,1024,1000,36,66619,178260,
pipe,1024,1000,38,65735,177643,
pipe,1024,1000,40,66444,178397,
pipe,1024,1000,42,65671,177727,
pipe,1024,1000,44,66236,178157,
pipe,1024,1000,46,65593,178380,
pipe,1024,1000,48,66216,179103,
pipe,1024,1000,50,65580,178506,
pipe,1024,1000,52,66272,179031,
pipe,1024,1000,54,65642,178381,
pipe,1024,1000,56,66135,178910,
pipe,1024,1000,58,65654,178301,
pipe,1024,1000,60,66120,178705,
pipe,1024,1000,62,65571,178139,
pipe,1024,1000,64,66061,178659,
pipe,1024,1000,66,65551,178350,
pipe,1024,1000,68,65875,178640,
pipe,1024,1000,70,65498,178216,
pipe,1024,1000,72,65864,178680,
pipe,1024,1000,74,65435,178219,
pipe,1024,1000,76,65860,178612,
pipe,1024,1000,78,65498,178420,
pipe,1024,1000,80,65824,178714,
pipe,4096,1000,2,51026,184146,
pipe,4096,1000,4,64378,194565,
pipe,4096,1000,6,59084,189042,
pipe,4096,1000,8,62557,193578,
pipe,4096,1000,10,59957,189301,
pipe,4096,1000,12,62127,191795,
pipe,4096,1000,14,60811,191312,
pipe,4096,1000,16,62703,192923,
pipe,4096,1000,18,64091,195056,
pipe,4096,1000,20,62434,194871,
pipe,4096,1000,22,63511,196026,
pipe,4096,1000,24,62341,194119,
pipe,4096,1000,26,63351,195169,
pipe,4096,1000,28,62369,194214,
pipe,4096,1000,30,62659,195361,
pipe,4096,1000,32,62630,195325,
pipe,4096,1000,34,61742,194595,
pipe,4096,1000,36,61171,194038,
pipe,4096,1000,38,60594,193348,
pipe,4096,1000,40,59812,192289,
pipe,4096,1000,42,59240,192324,
pipe,4096,1000,44,58715,191806,
pipe,4096,1000,46,58008,191320,
pipe,4096,1000,48,57505,190737,
pipe,4096,1000,50,57362,190184,
pipe,4096,1000,52,56960,189781,
pipe,4096,1000,54,56612,189441,
pipe,4096,1000,56,56155,188963,
pipe,4096,1000,58,56160,188909,
pipe,4096,1000,60,56040,188749,
pipe,4096,1000,62,55493,188280,
pipe,4096,1000,64,55182,187964,
pipe,4096,1000,66,55190,187859,
pipe,4096,1000,68,55053,187510,
pipe,4096,1000,70,54961,187391,
pipe,4096,1000,72,54812,187293,
pipe,4096,1000,74,54696,187586,
pipe,4096,1000,76,55228,187888,
pipe,4096,1000,78,55029,187678,
pipe,4096,1000,80,54748,187635,
pipe,16384,1000,2,63584,263258,
pipe,16384,1000,4,64897,261847,
pipe,16384,1000,6,55345,252530,
pipe,16384,1000,8,60136,259327,
pipe,16384,1000,10,60879,259987,
pipe,16384,1000,12,56381,254489,
pipe,16384,1000,14,58109,256258,
pipe,16384,1000,16,59106,256735,
pipe,16384,1000,18,57078,255606,
pipe,16384,1000,20,58485,257462,
pipe,16384,1000,22,58538,257620,
pipe,16384,1000,24,56421,255599,
