mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
pipe,4,5000,2,314,389,
pipe,4,5000,4,188,264,
pipe,4,5000,6,145,214,
pipe,4,5000,8,126,191,
pipe,4,5000,10,114,176,
pipe,4,5000,12,105,172,
pipe,4,5000,14,100,165,
pipe,4,5000,16,95,160,
pipe,4,5000,18,91,156,
pipe,4,5000,20,88,152,
pipe,4,5000,22,86,151,
pipe,4,5000,24,82,146,
pipe,4,5000,26,81,144,
pipe,4,5000,28,80,143,
pipe,4,5000,30,79,142,
pipe,4,5000,32,81,143,
pipe,4,5000,34,80,142,
pipe,4,5000,36,80,141,
pipe,4,5000,38,80,142,
pipe,4,5000,40,81,143,
pipe,4,5000,42,82,145,
pipe,4,5000,44,82,146,
pipe,4,5000,46,81,145,
pipe,4,5000,48,81,144,
pipe,4,5000,50,80,144,
pipe,4,5000,52,81,145,
pipe,4,5000,54,81,145,
pipe,4,5000,56,81,145,
pipe,4,5000,58,81,144,
pipe,4,5000,60,79,142,
pipe,4,5000,62,79,142,
pipe,4,5000,64,79,141,
pipe,4,5000,66,78,140,
pipe,4,5000,68,78,141,
pipe,4,5000,70,79,141,
pipe,4,5000,72,79,142,
pipe,4,5000,74,78,142,
pipe,4,5000,76,78,141,
pipe,4,5000,78,78,141,
pipe,4,5000,80,78,141,
pipe,16,5000,2,70,136,
pipe,16,5000,4,66,148,
pipe,16,5000,6,66,146,
pipe,16,5000,8,68,144,
pipe,16,5000,10,68,138,
pipe,16,5000,12,72,140,
pipe,16,5000,14,72,138,
pipe,16,5000,16,71,135,
pipe,16,5000,18,70,135,
pipe,16,5000,20,70,135,
pipe,16,5000,22,70,138,
pipe,16,5000,24,68,136,
pipe,16,5000,26,68,137,
pipe,16,5000,28,68,137,
pipe,16,5000,30,68,137,
pipe,16,5000,32,68,136,
pipe,16,5000,34,67,134,
pipe,16,5000,36,65,134,
pipe,16,5000,38,65,136,
pipe,16,5000,40,65,136,
pipe,16,5000,42,64,137,
pipe,16,5000,44,65,137,
pipe,16,5000,46,65,137,
pipe,16,5000,48,66,138,
pipe,16,5000,50,65,138,
pipe,16,5000,52,65,137,
pipe,16,5000,54,64,136,
pipe,16,5000,56,63,136,
pipe,16,5000,58,63,135,
pipe,16,5000,60,64,136,
pipe,16,5000,62,64,136,
pipe,16,5000,64,64,136,
pipe,16,5000,66,64,136,
pipe,16,5000,68,64,136,
pipe,16,5000,70,64,136,
pipe,16,5000,72,64,136,
pipe,16,5000,74,63,135,
pipe,16,5000,76,64,136,
pipe,16,5000,78,64,135,
pipe,16,5000,80,64,135,
pipe,64,5000,2,63,135,
pipe,64,5000,4,58,130,
pipe,64,5000,6,61,132,
pipe,64,5000,8,55,125,
pipe,64,5000,10,89,158,
pipe,64,5000,12,85,156,
pipe,64,5000,14,82,153,
pipe,64,5000,16,81,151,
