mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
pipe,4,1000,2,116,193,
pipe,4,1000,4,101,170,
pipe,4,1000,6,77,139,
pipe,4,1000,8,63,122,
pipe,4,1000,10,56,112,
pipe,4,1000,12,49,104,
pipe,4,1000,14,45,99,
pipe,4,1000,16,43,95,
pipe,4,1000,18,41,90,
pipe,4,1000,20,38,87,
pipe,4,1000,22,37,86,
pipe,4,1000,24,36,83,
pipe,4,1000,26,35,83,
pipe,4,1000,28,34,81,
pipe,4,1000,30,33,79,
pipe,4,1000,32,33,78,
pipe,4,1000,34,32,77,
pipe,4,1000,36,31,77,
pipe,4,1000,38,31,76,
pipe,4,1000,40,31,75,
pipe,4,1000,42,30,74,
pipe,4,1000,44,30,74,
pipe,4,1000,46,30,73,
pipe,4,1000,48,29,73,
pipe,4,1000,50,29,73,
pipe,4,1000,52,29,72,
pipe,4,1000,54,29,72,
pipe,4,1000,56,28,71,
pipe,4,1000,58,28,71,
pipe,4,1000,60,28,71,
pipe,4,1000,62,28,71,
pipe,4,1000,64,28,70,
pipe,4,1000,66,28,70,
pipe,4,1000,68,27,70,
pipe,4,1000,70,27,70,
pipe,4,1000,72,27,69,
pipe,4,1000,74,27,69,
pipe,4,1000,76,27,69,
pipe,4,1000,78,27,69,
pipe,4,1000,80,27,68,
pipe,16,1000,2,17,58,
pipe,16,1000,4,22,66,
pipe,16,1000,6,21,62,
pipe,16,1000,8,21,61,
pipe,16,1000,10,20,59,
pipe,16,1000,12,21,62,
pipe,16,1000,14,21,61,
pipe,16,1000,16,22,62,
pipe,16,1000,18,21,62,
pipe,16,1000,20,22,62,
pipe,16,1000,22,22,62,
pipe,16,1000,24,22,63,
pipe,16,1000,26,22,62,
pipe,16,1000,28,22,61,
pipe,16,1000,30,22,62,
pipe,16,1000,32,22,61,
pipe,16,1000,34,22,61,
pipe,16,1000,36,22,61,
pipe,16,1000,38,22,61,
pipe,16,1000,40,22,61,
pipe,16,1000,42,22,61,
pipe,16,1000,44,22,61,
pipe,16,1000,46,21,61,
pipe,16,1000,48,22,61,
pipe,16,1000,50,21,61,
pipe,16,1000,52,21,61,
pipe,16,1000,54,21,61,
pipe,16,1000,56,21,61,
pipe,16,1000,58,21,61,
pipe,16,1000,60,21,61,
pipe,16,1000,62,21,61,
pipe,16,1000,64,21,61,
pipe,16,1000,66,21,61,
pipe,16,1000,68,21,62,
pipe,16,1000,70,21,61,
pipe,16,1000,72,21,61,
pipe,16,1000,74,21,61,
pipe,16,1000,76,21,62,
pipe,16,1000,78,21,61,
pipe,16,1000,80,21,61,
pipe,64,1000,2,20,66,
pipe,64,1000,4,24,64,
pipe,64,1000,6,22,61,
