mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
shared mem,4,1000,2,5512,156329,
shared mem,4,1000,4,4414,144816,
shared mem,4,1000,6,4144,152612,
shared mem,4,1000,8,4143,147718,
shared mem,4,1000,10,3975,144500,
shared mem,4,1000,12,3936,141142,
shared mem,4,1000,14,3878,149023,
shared mem,4,1000,16,3884,146209,
shared mem,4,1000,18,3837,151286,
shared mem,4,1000,20,3852,149172,
shared mem,4,1000,22,3847,146760,
shared mem,4,1000,24,3808,145130,
shared mem,4,1000,26,3789,143789,
shared mem,4,1000,28,3809,142783,
shared mem,4,1000,30,3787,141840,
shared mem,4,1000,32,3776,141598,
shared mem,4,1000,34,3778,140777,
shared mem,4,1000,36,3828,140091,
shared mem,4,1000,38,3804,139465,
shared mem,4,1000,40,3788,139061,
shared mem,4,1000,42,3773,139312,
shared mem,4,1000,44,3758,141049,
shared mem,4,1000,46,3749,140671,
shared mem,4,1000,48,3737,140199,
shared mem,4,1000,50,3739,139881,
shared mem,4,1000,52,3726,139438,
shared mem,4,1000,54,3734,139169,
shared mem,4,1000,56,3725,138945,
shared mem,4,1000,58,3750,140398,
shared mem,4,1000,60,3748,140408,
shared mem,4,1000,62,3742,140125,
shared mem,4,1000,64,3740,139798,
shared mem,4,1000,66,3754,139738,
shared mem,4,1000,68,3750,139558,
shared mem,4,1000,70,3755,140079,
shared mem,4,1000,72,3755,140052,
shared mem,4,1000,74,3753,140221,
shared mem,4,1000,76,3754,140025,
shared mem,4,1000,78,3745,139987,
shared mem,4,1000,80,3739,139836,
shared mem,16,1000,2,4786,258646,
shared mem,16,1000,4,4484,229520,
shared mem,16,1000,6,4352,199009,
shared mem,16,1000,8,4157,182531,
shared mem,16,1000,10,4537,172921,
shared mem,16,1000,12,4470,169203,
shared mem,16,1000,14,4349,169500,
shared mem,16,1000,16,4252,167105,
shared mem,16,1000,18,4225,164856,
shared mem,16,1000,20,4241,162466,
shared mem,16,1000,22,4247,160546,
shared mem,16,1000,24,4193,159211,
shared mem,16,1000,26,4504,158050,
shared mem,16,1000,28,4446,160305,
shared mem,16,1000,30,4439,159008,
shared mem,16,1000,32,4425,159554,
shared mem,16,1000,34,4375,158941,
shared mem,16,1000,36,4335,157811,
shared mem,16,1000,38,4317,159868,
shared mem,16,1000,40,4296,160811,
shared mem,16,1000,42,4288,160591,
shared mem,16,1000,44,4307,159793,
shared mem,16,1000,46,4268,159015,
shared mem,16,1000,48,4241,158194,
