mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
shared mem,4,5000,2,9666,376720,
shared mem,4,5000,4,8796,357530,
shared mem,4,5000,6,8638,347655,
shared mem,4,5000,8,8391,329019,
shared mem,4,5000,10,8564,324957,
shared mem,4,5000,12,8466,314932,
shared mem,4,5000,14,8435,307535,
shared mem,4,5000,16,8500,304631,
shared mem,4,5000,18,8389,311237,
shared mem,4,5000,20,8391,307042,
shared mem,4,5000,22,8313,308647,
shared mem,4,5000,24,8296,312681,
shared mem,4,5000,26,8263,313180,
shared mem,4,5000,28,8274,333493,
shared mem,4,5000,30,8254,329357,
shared mem,4,5000,32,8278,326449,
shared mem,4,5000,34,8264,326142,
shared mem,4,5000,36,8260,329482,
shared mem,4,5000,38,8283,327121,
shared mem,4,5000,40,8255,329496,
shared mem,4,5000,42,8189,329787,
shared mem,4,5000,44,8250,343794,
shared mem,4,5000,46,8243,343503,
shared mem,4,5000,48,8272,345289,
shared mem,4,5000,50,8270,342779,
shared mem,4,5000,52,8298,354564,
shared mem,4,5000,54,8333,357538,
shared mem,4,5000,56,8314,357983,
shared mem,4,5000,58,8337,361437,
shared mem,4,5000,60,8316,360027,
shared mem,4,5000,62,8292,358147,
shared mem,4,5000,64,8280,356619,
shared mem,4,5000,66,8291,357298,
shared mem,4,5000,68,8295,358307,
shared mem,4,5000,70,8280,363760,
shared mem,4,5000,72,8270,367483,
shared mem,4,5000,74,8271,370917,
shared mem,4,5000,76,8263,373637,
shared mem,4,5000,78,8278,377233,
shared mem,4,5000,80,8267,378497,
shared mem,16,5000,2,8364,508768,
shared mem,16,5000,4,9352,468776,
shared mem,16,5000,6,9504,428268,
shared mem,16,5000,8,8968,405416,
shared mem,16,5000,10,8849,395318,
shared mem,16,5000,12,9346,408638,
shared mem,16,5000,14,9304,416288,
shared mem,16,5000,16,9366,406797,
shared mem,16,5000,18,9190,403516,
shared mem,16,5000,20,9029,396260,
shared mem,16,5000,22,9289,399252,
shared mem,16,5000,24,9448,406063,
shared mem,16,5000,26,9382,400785,
shared mem,16,5000,28,9291,395344,
shared mem,16,5000,30,10091,396751,
shared mem,16,5000,32,9950,394271,
shared mem,16,5000,34,9964,391805,
shared mem,16,5000,36,9893,388888,
shared mem,16,5000,38,9825,386520,
shared mem,16,5000,40,10124,384774,
shared mem,16,5000,42,10047,386233,
shared mem,16,5000,44,10028,385712,
shared mem,16,5000,46,9998,383398,
shared mem,16,5000,48,9960,381729,
shared mem,16,5000,50,9891,380722,
shared mem,16,5000,52,9859,379070,
shared mem,16,5000,54,9791,378260,
shared mem,16,5000,56,9750,377403,
shared mem,16,5000,58,9696,376072,
shared mem,16,5000,60,9619,375548,
