mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
shared mem,4,1000,2,7701,491069,
shared mem,4,1000,4,6937,435517,
shared mem,4,1000,6,6232,431259,
shared mem,4,1000,8,5918,402705,
shared mem,4,1000,10,5596,383424,
shared mem,4,1000,12,5416,370477,
shared mem,4,1000,14,5266,360055,
shared mem,4,1000,16,5174,356881,
shared mem,4,1000,18,5276,377646,
shared mem,4,1000,20,5197,371358,
shared mem,4,1000,22,5175,369596,
shared mem,4,1000,24,5236,378150,
shared mem,4,1000,26,5184,376900,
shared mem,4,1000,28,5148,374726,
shared mem,4,1000,30,5088,371907,
shared mem,4,1000,32,5090,372711,
shared mem,4,1000,34,5053,371747,
shared mem,4,1000,36,5027,369413,
shared mem,4,1000,38,5018,370201,
shared mem,4,1000,40,4991,372865,
shared mem,4,1000,42,4962,372969,
shared mem,4,1000,44,4987,375121,
shared mem,4,1000,46,5011,378534,
shared mem,4,1000,48,4999,380061,
shared mem,4,1000,50,4976,378357,
shared mem,4,1000,52,4952,376283,
shared mem,4,1000,54,4951,374829,
shared mem,4,1000,56,4934,379028,
shared mem,4,1000,58,4939,379068,
shared mem,4,1000,60,4934,380621,
shared mem,4,1000,62,4931,381873,
shared mem,4,1000,64,4920,383190,
shared mem,4,1000,66,4931,385210,
shared mem,4,1000,68,4915,386532,
shared mem,4,1000,70,4921,387382,
shared mem,4,1000,72,4918,388582,
shared mem,4,1000,74,4920,389628,
shared mem,4,1000,76,4911,394183,
shared mem,4,1000,78,4898,395147,
shared mem,4,1000,80,4903,396530,
shared mem,16,1000,2,5399,439589,
shared mem,16,1000,4,5390,462266,
shared mem,16,1000,6,5256,460044,
shared mem,16,1000,8,5193,440193,
shared mem,16,1000,10,5158,421164,
shared mem,16,1000,12,5138,409186,
shared mem,16,1000,14,5170,400417,
shared mem,16,1000,16,5114,403903,
shared mem,16,1000,18,5157,398196,
shared mem,16,1000,20,5136,395802,
shared mem,16,1000,22,5151,393039,
shared mem,16,1000,24,5158,388996,
shared mem,16,1000,26,5134,391255,
shared mem,16,1000,28,5120,394780,
shared mem,16,1000,30,5056,391183,
shared mem,16,1000,32,5042,389233,
shared mem,16,1000,34,5021,387611,
shared mem,16,1000,36,5005,385111,
shared mem,16,1000,38,4975,385931,
shared mem,16,1000,40,4954,384505,
shared mem,16,1000,42,4939,383337,
shared mem,16,1000,44,4924,383605,
shared mem,16,1000,46,4926,382560,
shared mem,16,1000,48,4906,381804,
shared mem,16,1000,50,4905,385699,
shared mem,16,1000,52,4926,394682,
shared mem,16,1000,54,4916,395872,
shared mem,16,1000,56,4908,395429,
shared mem,16,1000,58,4900,399812,
shared mem,16,1000,60,4899,399553,
shared mem,16,1000,62,4892,401666,
shared mem,16,1000,64,4904,402247,
shared mem,16,1000,66,4889,400637,
shared mem,16,1000,68,4885,402341,
shared mem,16,1000,70,4879,401669,
shared mem,16,1000,72,4875,400288,
shared mem,16,1000,74,4875,398497,
shared mem,16,1000,76,4863,396744,
shared mem,16,1000,78,4885,395527,
shared mem,16,1000,80,4873,395030,
shared mem,64,1000,2,5466,354643,
shared mem,64,1000,4,5050,353540,
shared mem,64,1000,6,4826,349607,
shared mem,64,1000,8,4981,354019,
shared mem,64,1000,10,4899,371020,
shared mem,64,1000,12,5033,371305,
shared mem,64,1000,14,4951,366817,
shared mem,64,1000,16,4927,363807,
shared mem,64,1000,18,4981,377433,
shared mem,64,1000,20,4948,382655,
shared mem,64,1000,22,4897,378322,
shared mem,64,1000,24,4871,374701,
shared mem,64,1000,26,4835,372717,
shared mem,64,1000,28,4799,370441,
shared mem,64,1000,30,4800,370494,
shared mem,64,1000,32,4858,371168,
shared mem,64,1000,34,4873,373571,
shared mem,64,1000,36,4853,373546,
shared mem,64,1000,38,4837,377160,
shared mem,64,1000,40,4822,375121,
shared mem,64,1000,42,4818,381642,
shared mem,64,1000,44,4847,385181,
shared mem,64,1000,46,4879,385128,
shared mem,64,1000,48,4929,387986,
shared mem,64,1000,50,4980,389257,
shared mem,64,1000,52,5010,396281,
shared mem,64,1000,54,5047,397696,
shared mem,64,1000,56,5096,398344,
