mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
shared mem,4,1000,2,171672,611843,
shared mem,4,1000,4,138420,577503,
shared mem,4,1000,6,150803,575994,
shared mem,4,1000,8,142735,554863,
shared mem,4,1000,10,124378,524284,
shared mem,4,1000,12,112076,502028,
shared mem,4,1000,14,103243,484988,
shared mem,4,1000,16,97332,474783,
shared mem,4,1000,18,92151,466423,
shared mem,4,1000,20,87930,460334,
shared mem,4,1000,22,84504,454638,
shared mem,4,1000,24,81923,455443,
shared mem,4,1000,26,80774,456351,
shared mem,4,1000,28,81123,455007,
shared mem,4,1000,30,79015,451034,
shared mem,4,1000,32,77228,447891,
shared mem,4,1000,34,75562,444700,
shared mem,4,1000,36,74148,441480,
shared mem,4,1000,38,72898,439014,
shared mem,4,1000,40,71774,436785,
shared mem,4,1000,42,70844,435736,
shared mem,4,1000,44,69902,434405,
shared mem,4,1000,46,69058,432793,
shared mem,4,1000,48,68241,430846,
shared mem,4,1000,50,68626,431350,
shared mem,4,1000,52,68478,432126,
shared mem,4,1000,54,67849,431256,
shared mem,4,1000,56,67180,429983,
shared mem,4,1000,58,66592,428845,
shared mem,4,1000,60,66041,428046,
shared mem,4,1000,62,65530,427170,
shared mem,4,1000,64,65085,426022,
shared mem,4,1000,66,64544,424654,
shared mem,4,1000,68,64045,423442,
shared mem,4,1000,70,63596,422090,
shared mem,4,1000,72,63189,420935,
shared mem,4,1000,74,62779,419787,
shared mem,4,1000,76,64056,423181,
shared mem,4,1000,78,63928,423742,
shared mem,4,1000,80,63553,423232,
shared mem,16,1000,2,47630,388802,
shared mem,16,1000,4,47704,385524,
shared mem,16,1000,6,47811,386969,
shared mem,16,1000,8,47985,386221,
shared mem,16,1000,10,47880,386515,
shared mem,16,1000,12,48075,386090,
shared mem,16,1000,14,48037,385935,
shared mem,16,1000,16,47902,385762,
shared mem,16,1000,18,47944,385266,
shared mem,16,1000,20,47889,384609,
shared mem,16,1000,22,53461,398958,
shared mem,16,1000,24,53793,401679,
shared mem,16,1000,26,53371,401296,
shared mem,16,1000,28,53003,400452,
shared mem,16,1000,30,53056,399868,
shared mem,16,1000,32,52734,399205,
shared mem,16,1000,34,52441,398307,
shared mem,16,1000,36,52169,397950,
shared mem,16,1000,38,51969,397597,
shared mem,16,1000,40,51775,397056,
shared mem,16,1000,42,51619,396595,
shared mem,16,1000,44,51470,396253,
shared mem,16,1000,46,51340,396229,
shared mem,16,1000,48,53920,402500,
shared mem,16,1000,50,54076,405336,
shared mem,16,1000,52,53972,406140,
shared mem,16,1000,54,53848,406222,
shared mem,16,1000,56,53710,406293,
shared mem,16,1000,58,53580,406300,
shared mem,16,1000,60,53462,406522,
shared mem,16,1000,62,53434,407444,
shared mem,16,1000,64,53339,408006,
shared mem,16,1000,66,53321,407943,
shared mem,16,1000,68,53241,408041,
shared mem,16,1000,70,53135,408114,
shared mem,16,1000,72,54707,412018,
shared mem,16,1000,74,54855,412916,
shared mem,16,1000,76,54677,412781,
shared mem,16,1000,78,54506,412306,
shared mem,16,1000,80,54328,411853,
shared mem,64,1000,2,48853,389374,
shared mem,64,1000,4,48665,393320,
shared mem,64,1000,6,48026,392597,
shared mem,64,1000,8,48043,393333,
shared mem,64,1000,10,48710,393899,
shared mem,64,1000,12,48546,395123,
shared mem,64,1000,14,48341,395184,
shared mem,64,1000,16,48221,407637,
shared mem,64,1000,18,55331,422707,
shared mem,64,1000,20,55348,424331,
shared mem,64,1000,22,54757,421811,
shared mem,64,1000,24,54309,420251,
shared mem,64,1000,26,53800,418467,
shared mem,64,1000,28,53525,417217,
shared mem,64,1000,30,53140,415657,
shared mem,64,1000,32,52799,414654,
shared mem,64,1000,34,52470,414034,
shared mem,64,1000,36,52237,413116,
shared mem,64,1000,38,51959,412541,
shared mem,64,1000,40,51762,412043,
shared mem,64,1000,42,54550,418992,
shared mem,64,1000,44,55662,420892,
shared mem,64,1000,46,55397,420570,
shared mem,64,1000,48,55132,420228,
shared mem,64,1000,50,54857,419317,
shared mem,64,1000,52,54588,418780,
shared mem,64,1000,54,54337,418237,
shared mem,64,1000,56,54127,417762,
shared mem,64,1000,58,53912,416993,
shared mem,64,1000,60,53697,416476,
shared mem,64,1000,62,53499,416053,
shared mem,64,1000,64,53313,415652,
shared mem,64,1000,66,53136,416414,
shared mem,64,1000,68,56020,420930,
shared mem,64,1000,70,56066,421514,
shared mem,64,1000,72,55871,421578,
shared mem,64,1000,74,55681,421176,
shared mem,64,1000,76,55482,420827,
shared mem,64,1000,78,55287,420378,
shared mem,64,1000,80,55093,419906,
shared mem,256,1000,2,53039,409196,
shared mem,256,1000,4,51786,408944,
shared mem,256,1000,6,51038,409013,
shared mem,256,1000,8,50652,408449,
shared mem,256,1000,10,50546,413257,
shared mem,256,1000,12,62292,440029,
shared mem,256,1000,14,62156,441541,
shared mem,256,1000,16,60734,439193,
shared mem,256,1000,18,59593,435798,
shared mem,256,1000,20,58690,433881,
shared mem,256,1000,22,57860,431712,
shared mem,256,1000,24,57258,430598,
shared mem,256,1000,26,56658,429312,
shared mem,256,1000,28,56127,428636,
shared mem,256,1000,30,55817,427525,
shared mem,256,1000,32,55409,426804,
shared mem,256,1000,34,55075,426055,
