mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
shared mem,4,1000,2,26,271,
shared mem,4,1000,4,15,218,
shared mem,4,1000,6,11,199,
shared mem,4,1000,8,9,183,
shared mem,4,1000,10,8,173,
shared mem,4,1000,12,8,166,
shared mem,4,1000,14,7,162,
shared mem,4,1000,16,7,164,
shared mem,4,1000,18,7,164,
shared mem,4,1000,20,7,163,
shared mem,4,1000,22,6,161,
shared mem,4,1000,24,6,161,
shared mem,4,1000,26,6,163,
shared mem,4,1000,28,6,162,
shared mem,4,1000,30,6,160,
shared mem,4,1000,32,6,158,
shared mem,4,1000,34,5,157,
shared mem,4,1000,36,5,156,
shared mem,4,1000,38,5,157,
shared mem,4,1000,40,5,156,
shared mem,4,1000,42,5,157,
shared mem,4,1000,44,5,157,
shared mem,4,1000,46,5,156,
shared mem,4,1000,48,5,156,
shared mem,4,1000,50,5,156,
shared mem,4,1000,52,5,157,
shared mem,4,1000,54,5,157,
shared mem,4,1000,56,5,157,
shared mem,4,1000,58,5,156,
shared mem,4,1000,60,5,156,
shared mem,4,1000,62,5,155,
shared mem,4,1000,64,4,156,
shared mem,4,1000,66,4,156,
shared mem,4,1000,68,4,157,
shared mem,4,1000,70,4,158,
shared mem,4,1000,72,4,158,
shared mem,4,1000,74,4,159,
shared mem,4,1000,76,4,160,
shared mem,4,1000,78,4,161,
shared mem,4,1000,80,4,161,
shared mem,16,1000,2,4,180,
shared mem,16,1000,4,3,187,
shared mem,16,1000,6,3,181,
shared mem,16,1000,8,3,181,
shared mem,16,1000,10,3,183,
shared mem,16,1000,12,3,181,
shared mem,16,1000,14,3,181,
shared mem,16,1000,16,3,179,
shared mem,16,1000,18,3,188,
shared mem,16,1000,20,3,187,
shared mem,16,1000,22,3,187,
shared mem,16,1000,24,3,186,
shared mem,16,1000,26,3,183,
shared mem,16,1000,28,3,180,
shared mem,16,1000,30,4,179,
shared mem,16,1000,32,4,179,
shared mem,16,1000,34,4,178,
shared mem,16,1000,36,4,180,
shared mem,16,1000,38,4,177,
shared mem,16,1000,40,4,176,
shared mem,16,1000,42,4,177,
shared mem,16,1000,44,4,178,
shared mem,16,1000,46,4,179,
shared mem,16,1000,48,4,179,
shared mem,16,1000,50,4,179,
shared mem,16,1000,52,4,179,
shared mem,16,1000,54,4,179,
shared mem,16,1000,56,4,179,
shared mem,16,1000,58,4,179,
shared mem,16,1000,60,4,179,
shared mem,16,1000,62,4,179,
shared mem,16,1000,64,4,179,
shared mem,16,1000,66,4,179,
shared mem,16,1000,68,4,181,
shared mem,16,1000,70,4,181,
shared mem,16,1000,72,4,181,
shared mem,16,1000,74,4,181,
shared mem,16,1000,76,4,180,
shared mem,16,1000,78,4,181,
shared mem,16,1000,80,4,181,
shared mem,64,1000,2,4,202,
shared mem,64,1000,4,4,192,
shared mem,64,1000,6,3,188,
shared mem,64,1000,8,3,187,
shared mem,64,1000,10,3,184,
shared mem,64,1000,12,3,180,
shared mem,64,1000,14,3,179,
shared mem,64,1000,16,3,175,
shared mem,64,1000,18,3,177,
shared mem,64,1000,20,3,186,
shared mem,64,1000,22,3,185,
shared mem,64,1000,24,3,183,
shared mem,64,1000,26,4,181,
shared mem,64,1000,28,4,181,
shared mem,64,1000,30,4,180,
shared mem,64,1000,32,4,179,
shared mem,64,1000,34,4,178,
shared mem,64,1000,36,4,177,
shared mem,64,1000,38,3,177,
shared mem,64,1000,40,3,178,
shared mem,64,1000,42,3,179,
shared mem,64,1000,44,4,178,
shared mem,64,1000,46,4,178,
shared mem,64,1000,48,4,178,
shared mem,64,1000,50,4,178,
shared mem,64,1000,52,4,178,
shared mem,64,1000,54,4,178,
shared mem,64,1000,56,4,180,
shared mem,64,1000,58,4,179,
shared mem,64,1000,60,4,180,
shared mem,64,1000,62,4,183,
shared mem,64,1000,64,4,183,
shared mem,64,1000,66,4,183,
shared mem,64,1000,68,4,183,
shared mem,64,1000,70,4,183,
shared mem,64,1000,72,4,184,
shared mem,64,1000,74,4,184,
shared mem,64,1000,76,4,184,
shared mem,64,1000,78,4,183,
shared mem,64,1000,80,4,183,
shared mem,256,1000,2,75,258,
shared mem,256,1000,4,39,217,
shared mem,256,1000,6,28,202,
shared mem,256,1000,8,22,195,
shared mem,256,1000,10,18,191,
shared mem,256,1000,12,16,194,
shared mem,256,1000,14,14,193,
shared mem,256,1000,16,13,192,
shared mem,256,1000,18,11,190,
shared mem,256,1000,20,11,190,
shared mem,256,1000,22,10,192,
shared mem,256,1000,24,9,192,
shared mem,256,1000,26,9,191,
shared mem,256,1000,28,9,191,
shared mem,256,1000,30,8,190,
shared mem,256,1000,32,8,191,
shared mem,256,1000,34,8,191,
shared mem,256,1000,36,7,191,
shared mem,256,1000,38,7,191,
shared mem,256,1000,40,7,191,
shared mem,256,1000,42,7,192,
shared mem,256,1000,44,7,191,
shared mem,256,1000,46,7,191,
shared mem,256,1000,48,6,191,
shared mem,256,1000,50,6,191,
shared mem,256,1000,52,6,191,
shared mem,256,1000,54,6,191,
shared mem,256,1000,56,6,192,
shared mem,256,1000,58,6,192,
shared mem,256,1000,60,6,192,
shared mem,256,1000,62,6,194,
shared mem,256,1000,64,6,194,
shared mem,256,1000,66,6,194,
shared mem,256,1000,68,5,193,
shared mem,256,1000,70,5,193,
shared mem,256,1000,72,5,193,
shared mem,256,1000,74,5,193,
shared mem,256,1000,76,5,192,
shared mem,256,1000,78,5,192,
shared mem,256,1000,80,5,192,
shared mem,1024,1000,2,4,208,
shared mem,1024,1000,4,4,196,
shared mem,1024,1000,6,4,192,
shared mem,1024,1000,8,3,190,
shared mem,1024,1000,10,4,195,
shared mem,1024,1000,12,4,194,
shared mem,1024,1000,14,4,196,
shared mem,1024,1000,16,4,198,
shared mem,1024,1000,18,4,197,
shared mem,1024,1000,20,4,204,
shared mem,1024,1000,22,4,204,
shared mem,1024,1000,24,4,203,
shared mem,1024,1000,26,4,203,
shared mem,1024,1000,28,4,202,
shared mem,1024,1000,30,4,203,
shared mem,1024,1000,32,4,200,
shared mem,1024,1000,34,4,198,
shared mem,1024,1000,36,4,197,
shared mem,1024,1000,38,4,195,
shared mem,1024,1000,40,4,193,
shared mem,1024,1000,42,4,195,
shared mem,1024,1000,44,4,196,
shared mem,1024,1000,46,4,196,
shared mem,1024,1000,48,4,196,
shared mem,1024,1000,50,4,197,
shared mem,1024,1000,52,4,198,
shared mem,1024,1000,54,4,198,
shared mem,1024,1000,56,4,198,
shared mem,1024,1000,58,4,198,
shared mem,1024,1000,60,4,199,
shared mem,1024,1000,62,4,199,
shared mem,1024,1000,64,4,199,
shared mem,1024,1000,66,4,198,
shared mem,1024,1000,68,4,199,
shared mem,1024,1000,70,4,200,
shared mem,1024,1000,72,4,200,
shared mem,1024,1000,74,4,200,
shared mem,1024,1000,76,4,200,
shared mem,1024,1000,78,4,200,
shared mem,1024,1000,80,4,201,
shared mem,4096,1000,2,9,202,
shared mem,4096,1000,4,8,201,
shared mem,4096,1000,6,8,205,
shared mem,4096,1000,8,8,213,
shared mem,4096,1000,10,8,212,
shared mem,4096,1000,12,8,211,
shared mem,4096,1000,14,8,209,
shared mem,4096,1000,16,11,214,
shared mem,4096,1000,18,11,214,
shared mem,4096,1000,20,10,213,
shared mem,4096,1000,22,10,212,
shared mem,4096,1000,24,10,212,
shared mem,4096,1000,26,10,213,
shared mem,4096,1000,28,9,212,
shared mem,4096,1000,30,9,212,
shared mem,4096,1000,32,9,212,
shared mem,4096,1000,34,9,213,
shared mem,4096,1000,36,9,214,
shared mem,4096,1000,38,9,215,
shared mem,4096,1000,40,9,215,
shared mem,4096,1000,42,9,217,
shared mem,4096,1000,44,9,217,
shared mem,4096,1000,46,9,217,
shared mem,4096,1000,48,9,218,
shared mem,4096,1000,50,9,220,
shared mem,4096,1000,52,9,220,
shared mem,4096,1000,54,9,221,
shared mem,4096,1000,56,9,221,
shared mem,4096,1000,58,9,221,
shared mem,4096,1000,60,9,222,
shared mem,4096,1000,62,9,221,
shared mem,4096,1000,64,9,221,
shared mem,4096,1000,66,9,220,
shared mem,4096,1000,68,9,220,
shared mem,4096,1000,70,9,219,
shared mem,4096,1000,72,9,218,
shared mem,4096,1000,74,9,217,
shared mem,4096,1000,76,9,216,
shared mem,4096,1000,78,9,217,
shared mem,4096,1000,80,9,217,
shared mem,16384,1000,2,19,264,
shared mem,16384,1000,4,17,269,
shared mem,16384,1000,6,17,284,
shared mem,16384,1000,8,17,284,
shared mem,16384,1000,10,17,279,
shared mem,16384,1000,12,17,276,
shared mem,16384,1000,14,16,272,
shared mem,16384,1000,16,17,271,
shared mem,16384,1000,18,16,274,
shared mem,16384,1000,20,16,273,
shared mem,16384,1000,22,16,273,
shared mem,16384,1000,24,16,273,
shared mem,16384,1000,26,16,273,
shared mem,16384,1000,28,17,273,
shared mem,16384,1000,30,17,273,
shared mem,16384,1000,32,17,273,
shared mem,16384,1000,34,17,275,
shared mem,16384,1000,36,17,274,
shared mem,16384,1000,38,17,273,
shared mem,16384,1000,40,17,273,
shared mem,16384,1000,42,17,272,
shared mem,16384,1000,44,17,272,
shared mem,16384,1000,46,17,279,
shared mem,16384,1000,48,17,279,
shared mem,16384,1000,50,17,278,
shared mem,16384,1000,52,17,278,
shared mem,16384,1000,54,17,278,
shared mem,16384,1000,56,17,277,
shared mem,16384,1000,58,17,276,
shared mem,16384,1000,60,17,276,
shared mem,16384,1000,62,17,276,
shared mem,16384,1000,64,17,275,
shared mem,16384,1000,66,17,274,
shared mem,16384,1000,68,17,274,
shared mem,16384,1000,70,17,274,
shared mem,16384,1000,72,17,273,
shared mem,16384,1000,74,17,279,
shared mem,16384,1000,76,17,279,
shared mem,16384,1000,78,17,279,
shared mem,16384,1000,80,17,282,
shared mem,65536,1000,2,90,449,
shared mem,65536,1000,4,77,436,
shared mem,65536,1000,6,70,433,
shared mem,65536,1000,8,65,418,
shared mem,65536,1000,10,62,424,
shared mem,65536,1000,12,61,431,
shared mem,65536,1000,14,60,435,
shared mem,65536,1000,16,59,426,
shared mem,65536,1000,18,62,423,
shared mem,65536,1000,20,61,417,
shared mem,65536,1000,22,60,412,
shared mem,65536,1000,24,60,409,
shared mem,65536,1000,26,59,404,
shared mem,65536,1000,28,59,401,
shared mem,65536,1000,30,58,399,
shared mem,65536,1000,32,58,399,
shared mem,65536,1000,34,57,398,
shared mem,65536,1000,36,57,396,
shared mem,65536,1000,38,57,393,
shared mem,65536,1000,40,57,392,
shared mem,65536,1000,42,58,392,
shared mem,65536,1000,44,59,391,
shared mem,65536,1000,46,59,392,
shared mem,65536,1000,48,60,391,
shared mem,65536,1000,50,60,392,
shared mem,65536,1000,52,61,392,
shared mem,65536,1000,54,61,390,
shared mem,65536,1000,56,60,390,
shared mem,65536,1000,58,60,388,
shared mem,65536,1000,60,60,387,
shared mem,65536,1000,62,60,387,
shared mem,65536,1000,64,59,388,
shared mem,65536,1000,66,59,388,
shared mem,65536,1000,68,59,387,
shared mem,65536,1000,70,60,387,
shared mem,65536,1000,72,59,387,
shared mem,65536,1000,74,59,386,
shared mem,65536,1000,76,59,386,
shared mem,65536,1000,78,59,386,
shared mem,65536,1000,80,59,385,
shared mem,262144,1000,2,213,894,
shared mem,262144,1000,4,202,872,
shared mem,262144,1000,6,198,874,
shared mem,262144,1000,8,199,861,
shared mem,262144,1000,10,198,863,
shared mem,262144,1000,12,195,870,
shared mem,262144,1000,14,197,871,
shared mem,262144,1000,16,213,903,
shared mem,262144,1000,18,213,893,
