mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
shared mem,4,5000,2,99,294,
shared mem,4,5000,4,59,251,
shared mem,4,5000,6,42,224,
shared mem,4,5000,8,37,209,
shared mem,4,5000,10,34,200,
shared mem,4,5000,12,32,194,
shared mem,4,5000,14,30,190,
shared mem,4,5000,16,28,187,
shared mem,4,5000,18,26,186,
shared mem,4,5000,20,27,188,
shared mem,4,5000,22,26,188,
shared mem,4,5000,24,27,186,
shared mem,4,5000,26,25,184,
shared mem,4,5000,28,26,183,
shared mem,4,5000,30,25,181,
shared mem,4,5000,32,25,180,
shared mem,4,5000,34,24,180,
shared mem,4,5000,36,23,179,
shared mem,4,5000,38,22,178,
shared mem,4,5000,40,22,177,
shared mem,4,5000,42,24,179,
shared mem,4,5000,44,23,179,
shared mem,4,5000,46,23,178,
shared mem,4,5000,48,23,177,
shared mem,4,5000,50,23,176,
shared mem,4,5000,52,22,175,
shared mem,4,5000,54,22,175,
shared mem,4,5000,56,21,174,
shared mem,4,5000,58,21,173,
shared mem,4,5000,60,21,173,
shared mem,4,5000,62,21,172,
shared mem,4,5000,64,21,172,
shared mem,4,5000,66,21,174,
shared mem,4,5000,68,20,174,
shared mem,4,5000,70,20,173,
shared mem,4,5000,72,20,173,
shared mem,4,5000,74,20,172,
shared mem,4,5000,76,20,172,
shared mem,4,5000,78,20,172,
shared mem,4,5000,80,20,171,
shared mem,16,5000,2,10,158,
shared mem,16,5000,4,9,157,
shared mem,16,5000,6,13,157,
shared mem,16,5000,8,13,171,
shared mem,16,5000,10,14,176,
shared mem,16,5000,12,14,173,
shared mem,16,5000,14,13,171,
shared mem,16,5000,16,15,169,
shared mem,16,5000,18,16,167,
shared mem,16,5000,20,16,166,
shared mem,16,5000,22,16,165,
shared mem,16,5000,24,15,164,
shared mem,16,5000,26,15,163,
shared mem,16,5000,28,15,163,
shared mem,16,5000,30,15,162,
shared mem,16,5000,32,17,165,
shared mem,16,5000,34,17,166,
shared mem,16,5000,36,17,166,
shared mem,16,5000,38,17,166,
shared mem,16,5000,40,17,166,
shared mem,16,5000,42,16,165,
shared mem,16,5000,44,16,165,
shared mem,16,5000,46,16,164,
shared mem,16,5000,48,16,164,
shared mem,16,5000,50,16,164,
shared mem,16,5000,52,16,164,
shared mem,16,5000,54,16,164,
shared mem,16,5000,56,16,166,
shared mem,16,5000,58,16,166,
shared mem,16,5000,60,16,166,
shared mem,16,5000,62,17,166,
shared mem,16,5000,64,17,165,
shared mem,16,5000,66,16,165,
shared mem,16,5000,68,17,165,
shared mem,16,5000,70,16,165,
shared mem,16,5000,72,16,165,
shared mem,16,5000,74,17,164,
shared mem,16,5000,76,17,164,
shared mem,16,5000,78,16,165,
shared mem,16,5000,80,18,167,
shared mem,64,5000,2,23,181,
shared mem,64,5000,4,27,170,
shared mem,64,5000,6,24,188,
shared mem,64,5000,8,23,183,
shared mem,64,5000,10,23,179,
shared mem,64,5000,12,22,176,
shared mem,64,5000,14,22,175,
shared mem,64,5000,16,22,173,
shared mem,64,5000,18,20,172,
shared mem,64,5000,20,22,176,
shared mem,64,5000,22,22,179,
shared mem,64,5000,24,23,178,
shared mem,64,5000,26,23,176,
shared mem,64,5000,28,23,175,
shared mem,64,5000,30,23,174,
shared mem,64,5000,32,23,173,
shared mem,64,5000,34,23,172,
shared mem,64,5000,36,23,172,
shared mem,64,5000,38,23,171,
shared mem,64,5000,40,22,170,
shared mem,64,5000,42,21,171,
shared mem,64,5000,44,21,173,
shared mem,64,5000,46,22,175,
shared mem,64,5000,48,22,174,
shared mem,64,5000,50,22,174,
shared mem,64,5000,52,22,173,
shared mem,64,5000,54,22,173,
shared mem,64,5000,56,22,172,
shared mem,64,5000,58,22,172,
shared mem,64,5000,60,22,172,
shared mem,64,5000,62,22,171,
shared mem,64,5000,64,22,171,
shared mem,64,5000,66,22,172,
shared mem,64,5000,68,22,174,
shared mem,64,5000,70,23,175,
shared mem,64,5000,72,23,175,
shared mem,64,5000,74,22,175,
shared mem,64,5000,76,22,175,
shared mem,64,5000,78,23,175,
shared mem,64,5000,80,23,174,
shared mem,256,5000,2,34,170,
shared mem,256,5000,4,22,170,
shared mem,256,5000,6,22,205,
shared mem,256,5000,8,22,207,
shared mem,256,5000,10,21,205,
shared mem,256,5000,12,21,199,
shared mem,256,5000,14,21,195,
shared mem,256,5000,16,21,192,
shared mem,256,5000,18,20,190,
shared mem,256,5000,20,19,188,
shared mem,256,5000,22,19,186,
shared mem,256,5000,24,20,185,
shared mem,256,5000,26,19,185,
shared mem,256,5000,28,19,188,
shared mem,256,5000,30,20,188,
shared mem,256,5000,32,19,187,
shared mem,256,5000,34,18,186,
shared mem,256,5000,36,18,185,
shared mem,256,5000,38,19,184,
shared mem,256,5000,40,19,184,
shared mem,256,5000,42,19,183,
shared mem,256,5000,44,19,183,
shared mem,256,5000,46,19,182,
shared mem,256,5000,48,20,183,
shared mem,256,5000,50,20,184,
shared mem,256,5000,52,20,184,
shared mem,256,5000,54,20,184,
shared mem,256,5000,56,21,183,
shared mem,256,5000,58,21,183,
shared mem,256,5000,60,21,183,
shared mem,256,5000,62,21,182,
shared mem,256,5000,64,21,182,
shared mem,256,5000,66,21,182,
shared mem,256,5000,68,21,182,
shared mem,256,5000,70,21,182,
shared mem,256,5000,72,21,183,
shared mem,256,5000,74,21,183,
shared mem,256,5000,76,21,183,
shared mem,256,5000,78,21,182,
shared mem,256,5000,80,21,182,
shared mem,1024,5000,2,21,174,
shared mem,1024,5000,4,15,175,
shared mem,1024,5000,6,13,173,
shared mem,1024,5000,8,15,173,
shared mem,1024,5000,10,16,172,
shared mem,1024,5000,12,16,179,
shared mem,1024,5000,14,16,184,
shared mem,1024,5000,16,17,182,
shared mem,1024,5000,18,17,181,
shared mem,1024,5000,20,17,179,
shared mem,1024,5000,22,18,178,
shared mem,1024,5000,24,17,178,
shared mem,1024,5000,26,17,177,
shared mem,1024,5000,28,17,177,
shared mem,1024,5000,30,17,176,
shared mem,1024,5000,32,17,176,
shared mem,1024,5000,34,17,179,
shared mem,1024,5000,36,17,180,
shared mem,1024,5000,38,17,180,
shared mem,1024,5000,40,17,180,
shared mem,1024,5000,42,17,179,
shared mem,1024,5000,44,16,179,
shared mem,1024,5000,46,17,178,
shared mem,1024,5000,48,16,178,
shared mem,1024,5000,50,16,178,
shared mem,1024,5000,52,16,177,
shared mem,1024,5000,54,17,178,
shared mem,1024,5000,56,17,180,
shared mem,1024,5000,58,17,182,
shared mem,1024,5000,60,18,183,
shared mem,1024,5000,62,18,184,
shared mem,1024,5000,64,18,184,
shared mem,1024,5000,66,18,183,
shared mem,1024,5000,68,18,183,
shared mem,1024,5000,70,18,183,
shared mem,1024,5000,72,18,183,
shared mem,1024,5000,74,18,186,
shared mem,1024,5000,76,18,187,
shared mem,1024,5000,78,18,187,
shared mem,1024,5000,80,18,186,
shared mem,4096,5000,2,24,187,
shared mem,4096,5000,4,19,184,
shared mem,4096,5000,6,16,184,
shared mem,4096,5000,8,18,184,
shared mem,4096,5000,10,17,183,
shared mem,4096,5000,12,16,183,
shared mem,4096,5000,14,17,185,
shared mem,4096,5000,16,18,191,
shared mem,4096,5000,18,21,197,
shared mem,4096,5000,20,23,202,
shared mem,4096,5000,22,22,201,
shared mem,4096,5000,24,21,200,
shared mem,4096,5000,26,20,199,
shared mem,4096,5000,28,21,198,
shared mem,4096,5000,30,20,198,
shared mem,4096,5000,32,20,198,
shared mem,4096,5000,34,20,198,
shared mem,4096,5000,36,20,199,
shared mem,4096,5000,38,20,199,
shared mem,4096,5000,40,19,198,
shared mem,4096,5000,42,19,198,
shared mem,4096,5000,44,20,198,
shared mem,4096,5000,46,20,198,
shared mem,4096,5000,48,20,198,
shared mem,4096,5000,50,20,197,
shared mem,4096,5000,52,19,197,
shared mem,4096,5000,54,20,198,
shared mem,4096,5000,56,20,198,
shared mem,4096,5000,58,20,198,
shared mem,4096,5000,60,20,198,
shared mem,4096,5000,62,20,198,
shared mem,4096,5000,64,19,198,
shared mem,4096,5000,66,19,198,
shared mem,4096,5000,68,19,197,
shared mem,4096,5000,70,19,197,
shared mem,4096,5000,72,19,201,
shared mem,4096,5000,74,19,201,
shared mem,4096,5000,76,20,202,
shared mem,4096,5000,78,20,202,
shared mem,4096,5000,80,21,202,
shared mem,16384,5000,2,46,217,
shared mem,16384,5000,4,45,219,
shared mem,16384,5000,6,45,220,
shared mem,16384,5000,8,45,219,
shared mem,16384,5000,10,48,228,
shared mem,16384,5000,12,50,234,
shared mem,16384,5000,14,47,231,
shared mem,16384,5000,16,44,227,
shared mem,16384,5000,18,42,224,
shared mem,16384,5000,20,40,221,
shared mem,16384,5000,22,38,219,
shared mem,16384,5000,24,37,218,
shared mem,16384,5000,26,36,217,
shared mem,16384,5000,28,36,217,
shared mem,16384,5000,30,37,219,
shared mem,16384,5000,32,36,217,
shared mem,16384,5000,34,35,217,
shared mem,16384,5000,36,35,216,
shared mem,16384,5000,38,34,215,
shared mem,16384,5000,40,34,214,
shared mem,16384,5000,42,33,214,
shared mem,16384,5000,44,33,213,
shared mem,16384,5000,46,33,214,
shared mem,16384,5000,48,33,214,
shared mem,16384,5000,50,33,215,
shared mem,16384,5000,52,33,214,
shared mem,16384,5000,54,33,214,
shared mem,16384,5000,56,32,214,
shared mem,16384,5000,58,32,213,
shared mem,16384,5000,60,32,213,
shared mem,16384,5000,62,32,213,
shared mem,16384,5000,64,31,212,
shared mem,16384,5000,66,31,212,
shared mem,16384,5000,68,32,213,
shared mem,16384,5000,70,31,213,
shared mem,16384,5000,72,31,212,
shared mem,16384,5000,74,31,212,
shared mem,16384,5000,76,31,212,
shared mem,16384,5000,78,31,211,
shared mem,16384,5000,80,31,211,
shared mem,65536,5000,2,134,389,
shared mem,65536,5000,4,93,362,
shared mem,65536,5000,6,82,345,
shared mem,65536,5000,8,71,327,
shared mem,65536,5000,10,65,319,
shared mem,65536,5000,12,61,312,
shared mem,65536,5000,14,58,307,
shared mem,65536,5000,16,57,305,
shared mem,65536,5000,18,55,303,
shared mem,65536,5000,20,55,302,
shared mem,65536,5000,22,54,300,
shared mem,65536,5000,24,53,299,
shared mem,65536,5000,26,52,297,
shared mem,65536,5000,28,51,296,
shared mem,65536,5000,30,51,295,
shared mem,65536,5000,32,50,295,
shared mem,65536,5000,34,50,295,
shared mem,65536,5000,36,50,295,
shared mem,65536,5000,38,49,294,
shared mem,65536,5000,40,49,293,
shared mem,65536,5000,42,48,292,
shared mem,65536,5000,44,49,293,
shared mem,65536,5000,46,49,294,
shared mem,65536,5000,48,49,293,
shared mem,65536,5000,50,49,293,
shared mem,65536,5000,52,48,293,
shared mem,65536,5000,54,48,293,
shared mem,65536,5000,56,48,292,
shared mem,65536,5000,58,48,292,
shared mem,65536,5000,60,48,293,
shared mem,65536,5000,62,48,292,
shared mem,65536,5000,64,48,292,
shared mem,65536,5000,66,48,291,
shared mem,65536,5000,68,48,291,
shared mem,65536,5000,70,48,294,
shared mem,65536,5000,72,48,296,
shared mem,65536,5000,74,48,296,
shared mem,65536,5000,76,48,296,
shared mem,65536,5000,78,48,296,
shared mem,65536,5000,80,48,295,
shared mem,262144,5000,2,128,730,
shared mem,262144,5000,4,136,707,
shared mem,262144,5000,6,133,688,
shared mem,262144,5000,8,131,688,
shared mem,262144,5000,10,132,689,
shared mem,262144,5000,12,133,689,
shared mem,262144,5000,14,134,694,
shared mem,262144,5000,16,135,697,
shared mem,262144,5000,18,135,694,
shared mem,262144,5000,20,136,690,
shared mem,262144,5000,22,136,687,
shared mem,262144,5000,24,141,690,
shared mem,262144,5000,26,143,690,
shared mem,262144,5000,28,143,691,
shared mem,262144,5000,30,144,700,
shared mem,262144,5000,32,144,698,
shared mem,262144,5000,34,144,696,
shared mem,262144,5000,36,144,694,
shared mem,262144,5000,38,144,692,
shared mem,262144,5000,40,144,693,
shared mem,262144,5000,42,145,695,
shared mem,262144,5000,44,145,697,
shared mem,262144,5000,46,144,694,
shared mem,262144,5000,48,145,694,
shared mem,262144,5000,50,145,693,
shared mem,262144,5000,52,145,692,
shared mem,262144,5000,54,145,692,
shared mem,262144,5000,56,145,692,
shared mem,262144,5000,58,145,693,
shared mem,262144,5000,60,146,693,
shared mem,262144,5000,62,146,694,
shared mem,262144,5000,64,146,693,
shared mem,262144,5000,66,147,693,
shared mem,262144,5000,68,146,693,
