mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
socket,4,5000,2,12106,433390,
socket,4,5000,4,10437,381295,
socket,4,5000,6,10973,342106,
socket,4,5000,8,10511,313292,
socket,4,5000,10,10620,294863,
socket,4,5000,12,10461,284190,
socket,4,5000,14,10356,277494,
socket,4,5000,16,10172,271286,
socket,4,5000,18,10093,265313,
socket,4,5000,20,10305,264253,
socket,4,5000,22,10204,261668,
socket,4,5000,24,10094,258641,
socket,4,5000,26,10000,255665,
socket,4,5000,28,9950,253432,
socket,4,5000,30,9945,253329,
socket,4,5000,32,9898,252081,
socket,4,5000,34,9839,250237,
socket,4,5000,36,9809,248874,
socket,4,5000,38,9808,248959,
socket,4,5000,40,9773,248185,
socket,4,5000,42,9731,246952,
socket,4,5000,44,9701,245874,
socket,4,5000,46,9675,245338,
socket,4,5000,48,9679,245541,
socket,4,5000,50,9660,245319,
socket,4,5000,52,9644,244508,
socket,4,5000,54,9620,244505,
socket,4,5000,56,9606,244915,
socket,4,5000,58,9575,244536,
socket,4,5000,60,9553,244038,
socket,4,5000,62,9549,243807,
socket,4,5000,64,9545,244257,
socket,4,5000,66,9518,243850,
socket,4,5000,68,9502,243410,
socket,4,5000,70,9508,243718,
socket,4,5000,72,9504,244013,
socket,4,5000,74,9488,243746,
socket,4,5000,76,9500,243986,
socket,4,5000,78,9493,244733,
socket,4,5000,80,9491,245128,
socket,16,5000,2,9019,235723,
socket,16,5000,4,9135,233620,
socket,16,5000,6,9206,253133,
socket,16,5000,8,8998,248406,
socket,16,5000,10,9118,243495,
socket,16,5000,12,9141,239952,
socket,16,5000,14,9142,241451,
socket,16,5000,16,9199,247793,
socket,16,5000,18,9208,247770,
socket,16,5000,20,9213,246221,
socket,16,5000,22,9208,246569,
socket,16,5000,24,9174,245730,
socket,16,5000,26,9128,244263,
socket,16,5000,28,9156,242878,
socket,16,5000,30,9171,244038,
socket,16,5000,32,9159,243710,
socket,16,5000,34,9139,242836,
socket,16,5000,36,9108,241891,
socket,16,5000,38,9676,244031,
socket,16,5000,40,9652,244277,
socket,16,5000,42,9612,244044,
socket,16,5000,44,9595,243410,
socket,16,5000,46,9567,244736,
socket,16,5000,48,9542,244619,
socket,16,5000,50,9505,244111,
socket,16,5000,52,9473,243682,
socket,16,5000,54,9479,244395,
socket,16,5000,56,9458,244584,
socket,16,5000,58,9427,244222,
socket,16,5000,60,9422,244623,
socket,16,5000,62,9415,245151,
socket,16,5000,64,9401,245212,
socket,16,5000,66,9375,244824,
socket,16,5000,68,9355,244543,
socket,16,5000,70,9350,245415,
socket,16,5000,72,9338,245423,
socket,16,5000,74,9315,245156,
socket,16,5000,76,9303,244942,
socket,16,5000,78,9325,246224,
socket,16,5000,80,9311,246393,
socket,64,5000,2,8788,236107,
socket,64,5000,4,9103,260059,
socket,64,5000,6,9359,264058,
socket,64,5000,8,9236,261574,
socket,64,5000,10,9104,256885,
socket,64,5000,12,9037,255458,
socket,64,5000,14,9151,258470,
socket,64,5000,16,9110,256907,
socket,64,5000,18,9139,255094,
socket,64,5000,20,9117,254954,
socket,64,5000,22,9240,260446,
socket,64,5000,24,9246,260667,
socket,64,5000,26,9287,261125,
socket,64,5000,28,9321,264385,
socket,64,5000,30,9339,264750,
socket,64,5000,32,9450,265099,
socket,64,5000,34,9447,265800,
socket,64,5000,36,9457,267177,
socket,64,5000,38,9453,266994,
socket,64,5000,40,9452,266779,
socket,64,5000,42,9504,270787,
socket,64,5000,44,9509,270932,
socket,64,5000,46,9489,270638,
socket,64,5000,48,9507,270564,
socket,64,5000,50,9526,271889,
socket,64,5000,52,9511,271539,
socket,64,5000,54,9502,271111,
socket,64,5000,56,9508,271696,
socket,64,5000,58,9589,272472,
socket,64,5000,60,9573,272156,
socket,64,5000,62,9551,271863,
socket,64,5000,64,9576,273071,
socket,64,5000,66,9580,272792,
socket,64,5000,68,9570,272435,
socket,64,5000,70,9591,274480,
socket,64,5000,72,9600,274544,
socket,64,5000,74,9593,274340,
socket,64,5000,76,9579,274310,
socket,64,5000,78,9587,274932,
socket,64,5000,80,9586,274827,
socket,256,5000,2,10884,266473,
socket,256,5000,4,10751,276947,
socket,256,5000,6,10791,282248,
socket,256,5000,8,10704,279720,
socket,256,5000,10,10607,277162,
socket,256,5000,12,10802,282741,
socket,256,5000,14,10746,281103,
socket,256,5000,16,10799,282151,
socket,256,5000,18,10799,284897,
socket,256,5000,20,10869,287363,
socket,256,5000,22,10954,285934,
socket,256,5000,24,10942,284823,
socket,256,5000,26,10912,285822,
socket,256,5000,28,10908,285142,
socket,256,5000,30,11166,286049,
socket,256,5000,32,11160,287935,
socket,256,5000,34,11148,288390,
socket,256,5000,36,11153,287649,
socket,256,5000,38,11115,289917,
socket,256,5000,40,11119,290517,
socket,256,5000,42,11101,289723,
socket,256,5000,44,11075,289157,
socket,256,5000,46,11056,289811,
socket,256,5000,48,11032,289241,
socket,256,5000,50,11047,289637,
socket,256,5000,52,11060,290732,
socket,256,5000,54,11040,290326,
socket,256,5000,56,11003,289724,
socket,256,5000,58,10983,290123,
socket,256,5000,60,10996,290547,
socket,256,5000,62,10972,290236,
socket,256,5000,64,10943,290751,
socket,256,5000,66,10959,291794,
socket,256,5000,68,10967,291421,
socket,256,5000,70,10947,291144,
socket,256,5000,72,10965,291943,
socket,256,5000,74,10957,291644,
socket,256,5000,76,10937,291277,
socket,256,5000,78,10937,291609,
socket,256,5000,80,10942,292105,
socket,1024,5000,2,9705,279661,
socket,1024,5000,4,9754,294738,
socket,1024,5000,6,10229,305597,
socket,1024,5000,8,10291,300501,
socket,1024,5000,10,10061,297086,
socket,1024,5000,12,10243,302131,
socket,1024,5000,14,10330,300009,
socket,1024,5000,16,10243,297623,
socket,1024,5000,18,10185,298728,
socket,1024,5000,20,10232,299148,
socket,1024,5000,22,10215,297887,
socket,1024,5000,24,10170,297073,
socket,1024,5000,26,10180,298465,
socket,1024,5000,28,10156,297714,
socket,1024,5000,30,10144,300731,
socket,1024,5000,32,10195,302714,
socket,1024,5000,34,10217,302129,
socket,1024,5000,36,10191,301605,
socket,1024,5000,38,10263,303171,
socket,1024,5000,40,10246,302731,
socket,1024,5000,42,10218,301866,
socket,1024,5000,44,10220,302502,
socket,1024,5000,46,10267,302744,
socket,1024,5000,48,10271,302427,
socket,1024,5000,50,10277,303022,
socket,1024,5000,52,10264,303011,
socket,1024,5000,54,10284,302519,
socket,1024,5000,56,10292,303587,
socket,1024,5000,58,10298,303478,
