mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
socket,4,10000,2,24201,894772,
socket,4,10000,4,22441,686687,
socket,4,10000,6,20947,623632,
socket,4,10000,8,20806,574772,
socket,4,10000,10,20100,535142,
socket,4,10000,12,19477,505528,
socket,4,10000,14,18990,484366,
socket,4,10000,16,19849,478304,
socket,4,10000,18,19597,468747,
socket,4,10000,20,19226,458371,
socket,4,10000,22,18945,449319,
socket,4,10000,24,18696,441462,
socket,4,10000,26,18611,441399,
socket,4,10000,28,18623,440272,
socket,4,10000,30,18510,437467,
socket,4,10000,32,18402,433840,
socket,4,10000,34,18326,430726,
socket,4,10000,36,18256,428842,
socket,4,10000,38,18353,429518,
socket,4,10000,40,18305,428094,
socket,4,10000,42,18244,425880,
socket,4,10000,44,18179,423873,
socket,4,10000,46,18224,423809,
socket,4,10000,48,18321,424025,
socket,4,10000,50,18280,423041,
socket,4,10000,52,18229,421748,
socket,4,10000,54,18191,420405,
socket,4,10000,56,18148,419635,
socket,4,10000,58,18148,420164,
socket,4,10000,60,18105,419696,
socket,4,10000,62,18068,418826,
socket,4,10000,64,18039,418340,
socket,4,10000,66,18106,419193,
socket,4,10000,68,18088,419138,
socket,4,10000,70,18088,419150,
socket,4,10000,72,18074,419766,
socket,4,10000,74,18067,419963,
socket,4,10000,76,18089,420230,
socket,4,10000,78,18119,420276,
socket,4,10000,80,18082,419921,
socket,16,10000,2,17008,397621,
socket,16,10000,4,17353,418820,
socket,16,10000,6,17436,427043,
socket,16,10000,8,17360,424485,
socket,16,10000,10,17191,420271,
socket,16,10000,12,17095,424675,
socket,16,10000,14,17317,433360,
socket,16,10000,16,17561,434346,
socket,16,10000,18,17501,431220,
socket,16,10000,20,17398,428395,
socket,16,10000,22,17491,433052,
socket,16,10000,24,17562,433031,
socket,16,10000,26,17522,432658,
socket,16,10000,28,17491,431022,
socket,16,10000,30,17437,429392,
socket,16,10000,32,17791,433643,
socket,16,10000,34,17770,433628,
socket,16,10000,36,17732,432485,
socket,16,10000,38,17687,431154,
socket,16,10000,40,17694,436285,
socket,16,10000,42,17679,437300,
socket,16,10000,44,17657,436469,
socket,16,10000,46,17627,435357,
socket,16,10000,48,18959,436172,
socket,16,10000,50,18968,440377,
socket,16,10000,52,18906,440963,
socket,16,10000,54,18981,441696,
socket,16,10000,56,18933,442237,
socket,16,10000,58,19077,444426,
socket,16,10000,60,19039,445285,
socket,16,10000,62,18980,444539,
socket,16,10000,64,18926,443946,
socket,16,10000,66,18916,445079,
socket,16,10000,68,18897,445737,
socket,16,10000,70,18835,445474,
socket,16,10000,72,18781,444844,
socket,16,10000,74,18730,444496,
socket,16,10000,76,18722,445996,
socket,16,10000,78,18686,446510,
socket,16,10000,80,18643,446279,
socket,64,10000,2,17303,434286,
socket,64,10000,4,18234,473952,
socket,64,10000,6,17997,470107,
socket,64,10000,8,17873,460461,
socket,64,10000,10,17774,454489,
socket,64,10000,12,17909,470845,
socket,64,10000,14,18057,470540,
socket,64,10000,16,18082,467986,
socket,64,10000,18,17982,464556,
socket,64,10000,20,18048,469620,
socket,64,10000,22,17982,469127,
socket,64,10000,24,18010,469587,
socket,64,10000,26,17958,467883,
socket,64,10000,28,17924,466188,
socket,64,10000,30,17896,465618,
socket,64,10000,32,17888,465699,
socket,64,10000,34,17860,465407,
socket,64,10000,36,17924,465096,
socket,64,10000,38,17923,464932,
socket,64,10000,40,17923,465852,
socket,64,10000,42,17882,465202,
socket,64,10000,44,17868,464528,
socket,64,10000,46,17873,464466,
socket,64,10000,48,17863,464446,
socket,64,10000,50,17858,464357,
socket,64,10000,52,17848,463707,
socket,64,10000,54,17851,465863,
socket,64,10000,56,17848,465887,
socket,64,10000,58,17836,466065,
socket,64,10000,60,17844,465603,
socket,64,10000,62,17830,465706,
socket,64,10000,64,17812,465886,
socket,64,10000,66,17802,466301,
socket,64,10000,68,17783,465984,
socket,64,10000,70,17776,465751,
socket,64,10000,72,17775,466214,
socket,64,10000,74,17744,466673,
socket,64,10000,76,17728,466375,
socket,64,10000,78,17709,466273,
socket,64,10000,80,17723,466593,
socket,256,10000,2,19746,495474,
socket,256,10000,4,19370,477355,
socket,256,10000,6,19342,472035,
socket,256,10000,8,19918,476429,
socket,256,10000,10,19922,483917,
socket,256,10000,12,19856,482139,
socket,256,10000,14,19769,479798,
socket,256,10000,16,19886,495015,
socket,256,10000,18,20072,495526,
socket,256,10000,20,20050,495873,
socket,256,10000,22,19986,493811,
socket,256,10000,24,20208,500847,
socket,256,10000,26,20164,501239,
socket,256,10000,28,20104,498840,
socket,256,10000,30,20060,496835,
socket,256,10000,32,20144,499116,
socket,256,10000,34,20181,500486,
socket,256,10000,36,20137,499187,
socket,256,10000,38,20105,498093,
socket,256,10000,40,20404,500106,
socket,256,10000,42,20380,500692,
socket,256,10000,44,20317,499250,
socket,256,10000,46,20272,502554,
socket,256,10000,48,20300,504007,
socket,256,10000,50,20291,503978,
socket,256,10000,52,20259,502870,
socket,256,10000,54,20186,501981,
socket,256,10000,56,20343,504923,
socket,256,10000,58,20313,505173,
socket,256,10000,60,20272,504173,
socket,256,10000,62,20274,505036,
socket,256,10000,64,20422,507102,
socket,256,10000,66,20397,506876,
socket,256,10000,68,20399,506299,
socket,256,10000,70,20401,507153,
socket,256,10000,72,20398,507825,
socket,256,10000,74,20380,507502,
socket,256,10000,76,20353,507995,
socket,256,10000,78,20372,508961,
socket,256,10000,80,20364,509310,
socket,1024,10000,2,17873,493600,
socket,1024,10000,4,18283,532267,
socket,1024,10000,6,19555,540651,
socket,1024,10000,8,19384,532695,
socket,1024,10000,10,19209,525354,
socket,1024,10000,12,19326,529544,
socket,1024,10000,14,19320,528495,
socket,1024,10000,16,19324,525881,
socket,1024,10000,18,19260,522038,
socket,1024,10000,20,19295,529847,
socket,1024,10000,22,19288,529162,
socket,1024,10000,24,19289,527117,
socket,1024,10000,26,19233,526861,
socket,1024,10000,28,19384,530369,
socket,1024,10000,30,19301,530209,
socket,1024,10000,32,19295,528100,
socket,1024,10000,34,19219,526701,
socket,1024,10000,36,19319,529464,
socket,1024,10000,38,19328,528848,
socket,1024,10000,40,19292,527755,
socket,1024,10000,42,19308,528867,
socket,1024,10000,44,19383,530577,
socket,1024,10000,46,19372,529720,
socket,1024,10000,48,19357,528391,
socket,1024,10000,50,19471,529934,
socket,1024,10000,52,19404,529147,
socket,1024,10000,54,19380,528009,
socket,1024,10000,56,19311,528009,
socket,1024,10000,58,19347,529414,
