mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
socket,4,10000,2,27935,814549,
socket,4,10000,4,28924,660323,
socket,4,10000,6,27217,594082,
socket,4,10000,8,26151,549559,
socket,4,10000,10,25330,522261,
socket,4,10000,12,24927,512244,
socket,4,10000,14,24752,506282,
socket,4,10000,16,24355,495052,
socket,4,10000,18,24071,486179,
socket,4,10000,20,23838,478439,
socket,4,10000,22,23734,472577,
socket,4,10000,24,23649,470154,
socket,4,10000,26,23540,469681,
socket,4,10000,28,23421,466722,
socket,4,10000,30,23350,463431,
socket,4,10000,32,23272,460823,
socket,4,10000,34,23185,458675,
socket,4,10000,36,23693,461994,
socket,4,10000,38,23566,460533,
socket,4,10000,40,23422,458920,
socket,4,10000,42,23298,456505,
socket,4,10000,44,23199,454439,
socket,4,10000,46,23078,452357,
socket,4,10000,48,23075,455670,
socket,4,10000,50,23006,455113,
socket,4,10000,52,22924,454335,
socket,4,10000,54,22854,453060,
socket,4,10000,56,22788,451745,
socket,4,10000,58,22736,450473,
socket,4,10000,60,22763,453899,
socket,4,10000,62,22779,455031,
socket,4,10000,64,22747,454921,
socket,4,10000,66,22742,454627,
socket,4,10000,68,22724,454400,
socket,4,10000,70,22695,453958,
socket,4,10000,72,22780,456601,
socket,4,10000,74,22802,457249,
socket,4,10000,76,22794,457125,
socket,4,10000,78,22795,457174,
socket,4,10000,80,22770,456853,
socket,16,10000,2,21479,456331,
socket,16,10000,4,23013,503356,
socket,16,10000,6,22915,496159,
socket,16,10000,8,22536,485919,
socket,16,10000,10,22294,480161,
socket,16,10000,12,22262,475535,
socket,16,10000,14,23928,486612,
socket,16,10000,16,23807,487486,
socket,16,10000,18,23599,486369,
socket,16,10000,20,23527,483817,
socket,16,10000,22,23376,481578,
socket,16,10000,24,23210,480174,
socket,16,10000,26,23286,486605,
socket,16,10000,28,23251,486847,
socket,16,10000,30,23190,485740,
socket,16,10000,32,23058,484065,
socket,16,10000,34,22972,481978,
socket,16,10000,36,23145,494219,
socket,16,10000,38,23164,497515,
socket,16,10000,40,23120,496511,
socket,16,10000,42,23086,495319,
socket,16,10000,44,23033,494616,
socket,16,10000,46,23036,497741,
socket,16,10000,48,23071,498985,
socket,16,10000,50,23044,498149,
socket,16,10000,52,22973,497381,
socket,16,10000,54,23006,496740,
socket,16,10000,56,23037,499451,
socket,16,10000,58,23088,502399,
socket,16,10000,60,23058,502255,
socket,16,10000,62,23055,502817,
socket,16,10000,64,23037,502177,
socket,16,10000,66,23041,504426,
socket,16,10000,68,23116,507426,
socket,16,10000,70,23111,506884,
socket,16,10000,72,23081,506331,
socket,16,10000,74,23053,505875,
socket,16,10000,76,23068,508292,
socket,16,10000,78,23096,510312,
socket,16,10000,80,23078,510230,
socket,64,10000,2,21978,490664,
socket,64,10000,4,22353,491423,
socket,64,10000,6,22890,523247,
socket,64,10000,8,22927,539408,
socket,64,10000,10,22747,532513,
socket,64,10000,12,22746,527382,
socket,64,10000,14,22675,522790,
socket,64,10000,16,22870,541794,
socket,64,10000,18,22782,540971,
socket,64,10000,20,22651,535974,
socket,64,10000,22,22516,531111,
socket,64,10000,24,22412,527612,
socket,64,10000,26,22553,532071,
socket,64,10000,28,22568,531054,
socket,64,10000,30,22447,528420,
socket,64,10000,32,22395,525735,
socket,64,10000,34,22332,523605,
socket,64,10000,36,22245,523114,
socket,64,10000,38,22405,528499,
socket,64,10000,40,22365,527250,
socket,64,10000,42,22307,525557,
socket,64,10000,44,22223,523887,
socket,64,10000,46,22195,527248,
socket,64,10000,48,22320,532405,
socket,64,10000,50,22336,532661,
socket,64,10000,52,22297,532064,
socket,64,10000,54,22273,531501,
socket,64,10000,56,22328,533902,
socket,64,10000,58,22352,535640,
socket,64,10000,60,22317,534663,
socket,64,10000,62,22306,533579,
socket,64,10000,64,22263,532639,
socket,64,10000,66,22390,535171,
socket,64,10000,68,22450,537709,
socket,64,10000,70,22440,537452,
socket,64,10000,72,22431,537103,
socket,64,10000,74,22425,536635,
socket,64,10000,76,22467,538529,
socket,64,10000,78,22508,540681,
socket,64,10000,80,22518,540940,
socket,256,10000,2,25342,540070,
socket,256,10000,4,26101,626999,
socket,256,10000,6,26878,631738,
