mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
socket,4,10000,2,48992,1441751,
socket,4,10000,4,51085,1164553,
socket,4,10000,6,50708,1024437,
socket,4,10000,8,50541,993844,
socket,4,10000,10,51995,959650,
socket,4,10000,12,52055,937971,
socket,4,10000,14,51150,903879,
socket,4,10000,16,50538,880020,
socket,4,10000,18,50145,859700,
socket,4,10000,20,49684,844460,
socket,4,10000,22,49584,848451,
socket,4,10000,24,49328,841273,
socket,4,10000,26,49109,830929,
socket,4,10000,28,48892,822511,
socket,4,10000,30,48647,814414,
socket,4,10000,32,48503,808401,
socket,4,10000,34,48285,802915,
socket,4,10000,36,48308,808626,
socket,4,10000,38,48295,808753,
socket,4,10000,40,48180,806375,
socket,4,10000,42,48073,803588,
socket,4,10000,44,48049,800627,
socket,4,10000,46,47969,797652,
socket,4,10000,48,47882,794912,
socket,4,10000,50,48081,801204,
socket,4,10000,52,48046,800901,
socket,4,10000,54,47976,801574,
socket,4,10000,56,47918,799606,
socket,4,10000,58,47860,798136,
socket,4,10000,60,47759,796762,
socket,4,10000,62,47695,795763,
socket,4,10000,64,47804,798249,
socket,4,10000,66,47789,797865,
socket,4,10000,68,47726,797464,
socket,4,10000,70,47712,797635,
socket,4,10000,72,47629,796331,
socket,4,10000,74,47581,795383,
socket,4,10000,76,47578,795113,
socket,4,10000,78,47553,795839,
socket,4,10000,80,47511,795657,
socket,16,10000,2,47322,780506,
socket,16,10000,4,46871,779787,
socket,16,10000,6,46295,777355,
socket,16,10000,8,46451,774971,
socket,16,10000,10,46476,784473,
socket,16,10000,12,46937,802069,
socket,16,10000,14,46963,804079,
socket,16,10000,16,46808,802054,
socket,16,10000,18,46463,801312,
socket,16,10000,20,46332,800181,
socket,16,10000,22,46233,800487,
socket,16,10000,24,46214,812244,
socket,16,10000,26,46326,815676,
socket,16,10000,28,46361,814028,
socket,16,10000,30,46312,812892,
socket,16,10000,32,46270,812412,
socket,16,10000,34,46320,813450,
socket,16,10000,36,46253,813472,
socket,16,10000,38,46115,812007,
socket,16,10000,40,46083,810028,
socket,16,10000,42,45931,808742,
socket,16,10000,44,45841,807538,
socket,16,10000,46,45781,806193,
socket,16,10000,48,45798,810946,
socket,16,10000,50,45856,812381,
socket,16,10000,52,45842,812464,
socket,16,10000,54,45781,811859,
socket,16,10000,56,45744,811594,
socket,16,10000,58,45699,810886,
socket,16,10000,60,45737,811798,
socket,16,10000,62,45666,813963,
socket,16,10000,64,45589,814153,
socket,16,10000,66,45575,814034,
socket,16,10000,68,45528,813548,
socket,16,10000,70,45469,813501,
socket,16,10000,72,45401,812694,
socket,16,10000,74,45361,814334,
socket,16,10000,76,45387,816605,
socket,16,10000,78,45367,816819,
socket,16,10000,80,45360,816637,
socket,64,10000,2,44715,888946,
socket,64,10000,4,44257,847995,
socket,64,10000,6,44163,862565,
socket,64,10000,8,45120,891974,
socket,64,10000,10,44931,886672,
socket,64,10000,12,44920,876748,
socket,64,10000,14,44749,868556,
socket,64,10000,16,44705,863965,
socket,64,10000,18,44526,915143,
socket,64,10000,20,45328,927359,
socket,64,10000,22,45312,920369,
socket,64,10000,24,45194,912893,
socket,64,10000,26,45101,906883,
socket,64,10000,28,45135,901327,
socket,64,10000,30,45365,912792,
socket,64,10000,32,45303,911692,
socket,64,10000,34,45242,908079,
socket,64,10000,36,45204,904988,
socket,64,10000,38,45175,902145,
socket,64,10000,40,45122,900023,
socket,64,10000,42,45264,908222,
socket,64,10000,44,45209,908491,
socket,64,10000,46,45123,906334,
socket,64,10000,48,45070,904121,
socket,64,10000,50,45047,902626,
socket,64,10000,52,44962,902338,
socket,64,10000,54,45011,904979,
socket,64,10000,56,44986,904213,
socket,64,10000,58,44898,902993,
socket,64,10000,60,44870,902421,
socket,64,10000,62,44844,901131,
socket,64,10000,64,44791,901598,
socket,64,10000,66,45597,912201,
socket,64,10000,68,45650,913251,
socket,64,10000,70,45622,913130,
socket,64,10000,72,45575,912295,
socket,64,10000,74,45570,911231,
socket,64,10000,76,45724,918457,
socket,64,10000,78,45710,919383,
socket,64,10000,80,45647,918983,
socket,256,10000,2,52566,872852,
socket,256,10000,4,50697,870278,
socket,256,10000,6,50306,912296,
socket,256,10000,8,51945,956244,
socket,256,10000,10,51280,944200,
socket,256,10000,12,50684,927777,
socket,256,10000,14,50146,918068,
socket,256,10000,16,49853,906623,
socket,256,10000,18,51715,904170,
socket,256,10000,20,52019,917153,
socket,256,10000,22,52523,942204,
socket,256,10000,24,52040,936034,
socket,256,10000,26,51624,928980,
socket,256,10000,28,51261,923320,
socket,256,10000,30,52910,933775,
socket,256,10000,32,53008,943278,
socket,256,10000,34,52657,939312,
socket,256,10000,36,52422,935486,
socket,256,10000,38,52229,932015,
socket,256,10000,40,51957,933381,
socket,256,10000,42,52374,951010,
socket,256,10000,44,52192,949994,
socket,256,10000,46,52017,946773,
socket,256,10000,48,51873,944049,
socket,256,10000,50,51720,941882,
socket,256,10000,52,52257,948860,
socket,256,10000,54,52485,955505,
socket,256,10000,56,52328,953414,
socket,256,10000,58,52176,951145,
socket,256,10000,60,52049,949262,
socket,256,10000,62,57007,952962,
socket,256,10000,64,57142,962302,
socket,256,10000,66,56919,961546,
socket,256,10000,68,56660,959703,
socket,256,10000,70,56382,957830,
socket,256,10000,72,56143,956165,
socket,256,10000,74,56170,969276,
socket,256,10000,76,56096,970338,
socket,256,10000,78,55876,969307,
socket,256,10000,80,55691,968201,
socket,1024,10000,2,47538,914128,
socket,1024,10000,4,50192,1035322,
socket,1024,10000,6,49684,1021393,
socket,1024,10000,8,48978,1000161,
socket,1024,10000,10,48571,983977,
socket,1024,10000,12,48247,971680,
socket,1024,10000,14,47929,970440,
socket,1024,10000,16,48556,993716,
socket,1024,10000,18,48744,994748,
socket,1024,10000,20,48766,992237,
socket,1024,10000,22,48691,989704,
socket,1024,10000,24,48815,995349,
socket,1024,10000,26,49328,1005042,
socket,1024,10000,28,49241,1007933,
socket,1024,10000,30,49269,1006087,
socket,1024,10000,32,49430,1004546,
socket,1024,10000,34,49436,1003101,
socket,1024,10000,36,49535,1011225,
socket,1024,10000,38,49495,1011935,
socket,1024,10000,40,49587,1012989,
socket,1024,10000,42,49523,1012202,
socket,1024,10000,44,49459,1011139,
socket,1024,10000,46,49476,1012200,
socket,1024,10000,48,49474,1013431,
socket,1024,10000,50,49391,1013060,
socket,1024,10000,52,49287,1012664,
socket,1024,10000,54,49292,1012286,
socket,1024,10000,56,49332,1013372,
socket,1024,10000,58,49332,1015529,
socket,1024,10000,60,49324,1015817,
socket,1024,10000,62,49313,1015746,
socket,1024,10000,64,49225,1015600,
socket,1024,10000,66,49166,1017475,
socket,1024,10000,68,49426,1022220,
socket,1024,10000,70,49431,1022376,
socket,1024,10000,72,49375,1022407,
socket,1024,10000,74,49798,1021721,
socket,1024,10000,76,49831,1025274,
socket,1024,10000,78,49888,1027611,
socket,1024,10000,80,49876,1028907,
socket,4096,10000,2,56566,1076667,
socket,4096,10000,4,60517,1066677,
socket,4096,10000,6,62590,1066238,
socket,4096,10000,8,64182,1111047,
socket,4096,10000,10,64843,1102757,
socket,4096,10000,12,63893,1095229,
socket,4096,10000,14,63699,1091249,
socket,4096,10000,16,64267,1109276,
socket,4096,10000,18,64740,1108586,
socket,4096,10000,20,64680,1104928,
socket,4096,10000,22,64463,1103662,
socket,4096,10000,24,64914,1101987,
socket,4096,10000,26,65269,1114998,
socket,4096,10000,28,64828,1113705,
socket,4096,10000,30,64617,1111635,
socket,4096,10000,32,64838,1109643,
socket,4096,10000,34,64861,1110753,
socket,4096,10000,36,64649,1121220,
socket,4096,10000,38,64890,1120802,
socket,4096,10000,40,65089,1119515,
socket,4096,10000,42,65119,1117344,
socket,4096,10000,44,65157,1124004,
socket,4096,10000,46,65375,1130364,
socket,4096,10000,48,65508,1129336,
socket,4096,10000,50,65310,1127917,
socket,4096,10000,52,65463,1128135,
socket,4096,10000,54,65612,1137840,
socket,4096,10000,56,65476,1137547,
socket,4096,10000,58,65154,1135798,
socket,4096,10000,60,64906,1134235,
socket,4096,10000,62,65100,1151374,
socket,4096,10000,64,65128,1155609,
socket,4096,10000,66,64861,1153789,
socket,4096,10000,68,64820,1152349,
socket,4096,10000,70,64700,1151862,
socket,4096,10000,72,64782,1158711,
socket,4096,10000,74,64567,1158343,
socket,4096,10000,76,64449,1156835,
socket,4096,10000,78,64262,1155291,
socket,4096,10000,80,64524,1165137,
socket,16384,10000,2,151274,1465670,
socket,16384,10000,4,147455,1340420,
socket,16384,10000,6,148117,1298236,
socket,16384,10000,8,146596,1333350,
socket,16384,10000,10,147115,1339966,
socket,16384,10000,12,146810,1319959,
socket,16384,10000,14,146477,1306615,
socket,16384,10000,16,145962,1345738,
socket,16384,10000,18,146593,1352831,
socket,16384,10000,20,146151,1345324,
socket,16384,10000,22,146010,1339327,
socket,16384,10000,24,146545,1352515,
socket,16384,10000,26,145892,1346602,
socket,16384,10000,28,145936,1339544,
socket,16384,10000,30,145512,1336623,
socket,16384,10000,32,145650,1355948,
socket,16384,10000,34,145784,1351699,
socket,16384,10000,36,145897,1345808,
socket,16384,10000,38,145915,1342119,
socket,16384,10000,40,145989,1356467,
socket,16384,10000,42,146002,1355144,
socket,16384,10000,44,145835,1350844,
socket,16384,10000,46,146391,1347561,
socket,16384,10000,48,146565,1360176,
socket,16384,10000,50,146687,1357613,
socket,16384,10000,52,146720,1353858,
socket,16384,10000,54,146626,1366319,
socket,16384,10000,56,146864,1370732,
socket,16384,10000,58,146903,1368404,
socket,16384,10000,60,146915,1365372,
socket,16384,10000,62,147847,1369636,
socket,16384,10000,64,147781,1376560,
socket,16384,10000,66,147816,1373988,
socket,16384,10000,68,147784,1371328,
socket,16384,10000,70,147906,1382709,
