mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
socket,4,1000,2,13,732,
socket,4,1000,4,11,545,
socket,4,1000,6,10,463,
socket,4,1000,8,10,421,
socket,4,1000,10,9,391,
socket,4,1000,12,9,374,
socket,4,1000,14,9,362,
socket,4,1000,16,9,354,
socket,4,1000,18,9,347,
socket,4,1000,20,9,341,
socket,4,1000,22,9,336,
socket,4,1000,24,9,332,
socket,4,1000,26,9,329,
socket,4,1000,28,9,326,
socket,4,1000,30,9,323,
socket,4,1000,32,9,321,
socket,4,1000,34,8,320,
socket,4,1000,36,8,318,
socket,4,1000,38,8,316,
socket,4,1000,40,8,315,
socket,4,1000,42,8,314,
socket,4,1000,44,8,318,
socket,4,1000,46,8,318,
socket,4,1000,48,8,317,
socket,4,1000,50,8,316,
socket,4,1000,52,8,316,
socket,4,1000,54,8,316,
socket,4,1000,56,8,315,
socket,4,1000,58,8,315,
socket,4,1000,60,8,314,
socket,4,1000,62,8,313,
socket,4,1000,64,8,313,
socket,4,1000,66,8,313,
socket,4,1000,68,8,312,
socket,4,1000,70,8,312,
socket,4,1000,72,8,312,
socket,4,1000,74,8,311,
socket,4,1000,76,8,311,
socket,4,1000,78,8,311,
socket,4,1000,80,8,311,
socket,16,1000,2,8,290,
socket,16,1000,4,9,309,
socket,16,1000,6,8,307,
socket,16,1000,8,9,350,
socket,16,1000,10,9,348,
socket,16,1000,12,9,341,
socket,16,1000,14,8,336,
socket,16,1000,16,9,333,
socket,16,1000,18,8,329,
socket,16,1000,20,8,325,
socket,16,1000,22,8,325,
socket,16,1000,24,8,323,
socket,16,1000,26,8,320,
socket,16,1000,28,8,321,
socket,16,1000,30,8,320,
socket,16,1000,32,8,318,
socket,16,1000,34,8,317,
socket,16,1000,36,8,318,
socket,16,1000,38,8,317,
socket,16,1000,40,8,318,
socket,16,1000,42,8,319,
socket,16,1000,44,8,319,
socket,16,1000,46,8,318,
socket,16,1000,48,8,319,
socket,16,1000,50,8,318,
socket,16,1000,52,8,318,
socket,16,1000,54,8,318,
socket,16,1000,56,8,321,
socket,16,1000,58,8,322,
socket,16,1000,60,8,324,
socket,16,1000,62,8,324,
socket,16,1000,64,8,324,
socket,16,1000,66,8,325,
socket,16,1000,68,8,324,
socket,16,1000,70,8,324,
socket,16,1000,72,8,325,
socket,16,1000,74,8,325,
socket,16,1000,76,8,325,
socket,16,1000,78,8,325,
socket,16,1000,80,8,325,
socket,64,1000,2,8,323,
socket,64,1000,4,8,321,
socket,64,1000,6,8,321,
socket,64,1000,8,8,320,
socket,64,1000,10,8,326,
socket,64,1000,12,8,323,
socket,64,1000,14,8,323,
socket,64,1000,16,8,325,
socket,64,1000,18,8,323,
socket,64,1000,20,8,323,
socket,64,1000,22,8,324,
socket,64,1000,24,8,323,
socket,64,1000,26,8,321,
socket,64,1000,28,8,325,
socket,64,1000,30,8,324,
socket,64,1000,32,8,323,
socket,64,1000,34,8,326,
socket,64,1000,36,8,326,
socket,64,1000,38,8,325,
socket,64,1000,40,8,327,
socket,64,1000,42,8,327,
socket,64,1000,44,8,326,
socket,64,1000,46,8,328,
socket,64,1000,48,8,328,
socket,64,1000,50,8,328,
socket,64,1000,52,8,329,
socket,64,1000,54,8,329,
socket,64,1000,56,8,330,
socket,64,1000,58,8,330,
socket,64,1000,60,8,330,
socket,64,1000,62,8,331,
socket,64,1000,64,8,331,
socket,64,1000,66,8,331,
socket,64,1000,68,8,331,
