mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
socket,4,1000,2,27,1178,
socket,4,1000,4,24,888,
socket,4,1000,6,22,775,
socket,4,1000,8,21,721,
socket,4,1000,10,20,683,
socket,4,1000,12,19,655,
socket,4,1000,14,19,637,
socket,4,1000,16,19,619,
socket,4,1000,18,18,603,
socket,4,1000,20,18,589,
socket,4,1000,22,18,583,
socket,4,1000,24,18,577,
socket,4,1000,26,17,568,
socket,4,1000,28,17,561,
socket,4,1000,30,17,558,
socket,4,1000,32,17,554,
socket,4,1000,34,17,550,
socket,4,1000,36,17,547,
socket,4,1000,38,17,547,
socket,4,1000,40,17,546,
socket,4,1000,42,17,543,
socket,4,1000,44,17,540,
socket,4,1000,46,17,540,
socket,4,1000,48,17,539,
socket,4,1000,50,17,537,
socket,4,1000,52,17,535,
socket,4,1000,54,17,535,
socket,4,1000,56,17,533,
socket,4,1000,58,17,531,
socket,4,1000,60,17,531,
socket,4,1000,62,17,530,
socket,4,1000,64,17,529,
socket,4,1000,66,17,528,
socket,4,1000,68,17,529,
socket,4,1000,70,17,530,
socket,4,1000,72,17,530,
socket,4,1000,74,17,529,
socket,4,1000,76,17,530,
socket,4,1000,78,17,529,
socket,4,1000,80,16,528,
socket,16,1000,2,16,489,
socket,16,1000,4,17,511,
socket,16,1000,6,16,517,
socket,16,1000,8,16,512,
socket,16,1000,10,16,520,
socket,16,1000,12,16,524,
socket,16,1000,14,16,524,
socket,16,1000,16,16,522,
socket,16,1000,18,16,520,
socket,16,1000,20,16,525,
socket,16,1000,22,16,527,
socket,16,1000,24,16,525,
socket,16,1000,26,16,528,
socket,16,1000,28,16,529,
socket,16,1000,30,16,529,
socket,16,1000,32,16,531,
socket,16,1000,34,16,532,
socket,16,1000,36,16,531,
socket,16,1000,38,16,528,
socket,16,1000,40,16,531,
socket,16,1000,42,16,530,
socket,16,1000,44,16,529,
socket,16,1000,46,16,527,
socket,16,1000,48,16,529,
socket,16,1000,50,16,532,
socket,16,1000,52,16,531,
socket,16,1000,54,16,531,
socket,16,1000,56,16,534,
socket,16,1000,58,16,534,
socket,16,1000,60,16,534,
socket,16,1000,62,17,535,
socket,16,1000,64,17,537,
socket,16,1000,66,17,537,
socket,16,1000,68,17,539,
socket,16,1000,70,17,539,
socket,16,1000,72,17,540,
socket,16,1000,74,17,539,
socket,16,1000,76,17,539,
socket,16,1000,78,17,540,
socket,16,1000,80,17,540,
socket,64,1000,2,16,521,
socket,64,1000,4,16,554,
socket,64,1000,6,17,560,
socket,64,1000,8,16,551,
socket,64,1000,10,17,556,
socket,64,1000,12,16,559,
socket,64,1000,14,16,560,
socket,64,1000,16,17,564,
socket,64,1000,18,17,567,
socket,64,1000,20,17,564,
socket,64,1000,22,17,561,
socket,64,1000,24,17,558,
socket,64,1000,26,16,560,
socket,64,1000,28,17,563,
socket,64,1000,30,16,561,
socket,64,1000,32,16,559,
socket,64,1000,34,16,563,
socket,64,1000,36,16,563,
socket,64,1000,38,16,564,
socket,64,1000,40,16,563,
socket,64,1000,42,16,563,
socket,64,1000,44,16,564,
socket,64,1000,46,16,566,
socket,64,1000,48,16,566,
socket,64,1000,50,16,565,
socket,64,1000,52,16,565,
socket,64,1000,54,16,566,
socket,64,1000,56,16,566,
socket,64,1000,58,16,566,
socket,64,1000,60,16,567,
socket,64,1000,62,16,568,
socket,64,1000,64,16,567,
socket,64,1000,66,16,569,
socket,64,1000,68,16,569,
socket,64,1000,70,16,569,
socket,64,1000,72,16,570,
socket,64,1000,74,16,571,
socket,64,1000,76,16,572,
socket,64,1000,78,16,572,
socket,64,1000,80,16,572,
socket,256,1000,2,19,601,
socket,256,1000,4,19,575,
socket,256,1000,6,19,592,
socket,256,1000,8,19,598,
socket,256,1000,10,20,601,
socket,256,1000,12,19,603,
socket,256,1000,14,19,604,
socket,256,1000,16,19,603,
socket,256,1000,18,20,600,
socket,256,1000,20,19,601,
socket,256,1000,22,19,601,
socket,256,1000,24,19,597,
socket,256,1000,26,19,595,
socket,256,1000,28,19,598,
socket,256,1000,30,19,596,
socket,256,1000,32,19,596,
socket,256,1000,34,19,596,
socket,256,1000,36,19,596,
socket,256,1000,38,19,598,
socket,256,1000,40,19,605,
socket,256,1000,42,19,605,
socket,256,1000,44,19,605,
socket,256,1000,46,19,606,
socket,256,1000,48,19,607,
socket,256,1000,50,19,605,
socket,256,1000,52,19,606,
socket,256,1000,54,19,606,
socket,256,1000,56,19,607,
socket,256,1000,58,20,607,
socket,256,1000,60,20,608,
socket,256,1000,62,20,607,
socket,256,1000,64,20,606,
socket,256,1000,66,20,609,
socket,256,1000,68,20,610,
socket,256,1000,70,20,609,
socket,256,1000,72,20,611,
socket,256,1000,74,20,611,
socket,256,1000,76,20,611,
socket,256,1000,78,20,613,
socket,256,1000,80,20,613,
socket,1024,1000,2,22,605,
socket,1024,1000,4,23,635,
socket,1024,1000,6,23,639,
socket,1024,1000,8,23,625,
socket,1024,1000,10,23,622,
socket,1024,1000,12,23,634,
socket,1024,1000,14,23,631,
socket,1024,1000,16,23,634,
socket,1024,1000,18,23,638,
socket,1024,1000,20,23,637,
socket,1024,1000,22,23,636,
socket,1024,1000,24,23,643,
socket,1024,1000,26,23,641,
socket,1024,1000,28,23,639,
socket,1024,1000,30,23,643,
socket,1024,1000,32,23,641,
socket,1024,1000,34,23,641,
socket,1024,1000,36,23,644,
socket,1024,1000,38,23,641,
socket,1024,1000,40,23,640,
socket,1024,1000,42,23,642,
socket,1024,1000,44,23,639,
socket,1024,1000,46,23,639,
socket,1024,1000,48,23,639,
socket,1024,1000,50,23,637,
socket,1024,1000,52,23,635,
socket,1024,1000,54,23,637,
socket,1024,1000,56,23,635,
socket,1024,1000,58,23,633,
socket,1024,1000,60,23,633,
socket,1024,1000,62,23,635,
socket,1024,1000,64,23,634,
socket,1024,1000,66,23,635,
socket,1024,1000,68,23,635,
