mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
pipe,524288,5000,2,440407,1432454,
pipe,524288,5000,4,304866,1276487,
pipe,524288,5000,6,253455,1205655,
pipe,524288,5000,8,227037,1180328,
pipe,524288,5000,10,213396,1156664,
pipe,524288,5000,12,204663,1155270,
pipe,524288,5000,14,197440,1144790,
pipe,524288,5000,16,191828,1139851,
pipe,524288,5000,18,186655,1133302,
pipe,524288,5000,20,184911,1136983,
pipe,524288,5000,22,182647,1136363,
pipe,524288,5000,24,180249,1129421,
pipe,524288,5000,26,180240,1127405,
pipe,524288,5000,28,178919,1126096,
pipe,524288,5000,30,176267,1123043,
pipe,524288,5000,32,174074,1120871,
pipe,524288,5000,34,172756,1120767,
pipe,524288,5000,36,171358,1116666,
pipe,524288,5000,38,170015,1114253,
pipe,524288,5000,40,170379,1114895,
pipe,524288,5000,42,169333,1112135,
pipe,524288,5000,44,168176,1109108,
pipe,524288,5000,46,167141,1106188,
pipe,524288,5000,48,166768,1103716,
pipe,524288,5000,50,165821,1103978,
pipe,524288,5000,52,165590,1104242,
pipe,524288,5000,54,165344,1104947,
pipe,524288,5000,56,164734,1104580,
pipe,524288,5000,58,164187,1104439,
pipe,524288,5000,60,164071,1105232,
pipe,524288,5000,62,163407,1104066,
pipe,524288,5000,64,163313,1103447,
pipe,524288,5000,66,162996,1103235,
pipe,524288,5000,68,162961,1102670,
pipe,524288,5000,70,162936,1102747,
pipe,524288,5000,72,162655,1103490,
pipe,524288,5000,74,162285,1102631,
pipe,524288,5000,76,162037,1101317,
pipe,524288,5000,78,162705,1101276,
pipe,524288,5000,80,162377,1101092,
pipe,1048576,5000,2,295716,2129420,
pipe,1048576,5000,4,292105,2051507,
pipe,1048576,5000,6,315816,2070348,
pipe,1048576,5000,8,306290,2051178,
pipe,1048576,5000,10,302939,2044606,
pipe,1048576,5000,12,301485,2037873,
pipe,1048576,5000,14,301626,2032604,
pipe,1048576,5000,16,302228,2027984,
pipe,1048576,5000,18,301611,2024921,
pipe,1048576,5000,20,300035,2022620,
pipe,1048576,5000,22,303905,2026028,
pipe,1048576,5000,24,304900,2026292,
pipe,1048576,5000,26,304911,2027391,
pipe,1048576,5000,28,304693,2024091,
pipe,1048576,5000,30,303940,2028440,
pipe,1048576,5000,32,301712,2029408,
pipe,1048576,5000,34,300396,2029180,
pipe,1048576,5000,36,299076,2029405,
pipe,1048576,5000,38,297994,2029388,
pipe,1048576,5000,40,298457,2029163,
pipe,1048576,5000,42,297371,2029279,
pipe,1048576,5000,44,296354,2029229,
pipe,1048576,5000,46,296354,2030557,
pipe,1048576,5000,48,296479,2030931,
pipe,1048576,5000,50,295985,2030643,
pipe,1048576,5000,52,295405,2029863,
pipe,1048576,5000,54,294741,2029753,
pipe,1048576,5000,56,294195,2027681,
pipe,1048576,5000,58,293679,2026481,
pipe,1048576,5000,60,293575,2027008,
pipe,1048576,5000,62,293284,2026811,
pipe,1048576,5000,64,292785,2026990,
pipe,1048576,5000,66,293342,2027867,
pipe,1048576,5000,68,294015,2026670,
pipe,1048576,5000,70,293976,2026226,
pipe,1048576,5000,72,293906,2026161,
pipe,1048576,5000,74,293377,2026252,
pipe,1048576,5000,76,292629,2024668,
pipe,1048576,5000,78,292509,2024242,
pipe,1048576,5000,80,292118,2023208,
pipe,1572864,5000,2,464664,3143972,
pipe,1572864,5000,4,453559,3050735,
pipe,1572864,5000,6,445526,3015996,
pipe,1572864,5000,8,447767,3023201,
pipe,1572864,5000,10,445267,3022835,
pipe,1572864,5000,12,442289,3019102,
pipe,1572864,5000,14,446362,3022936,
pipe,1572864,5000,16,444801,3017034,
pipe,1572864,5000,18,441836,3009524,
pipe,1572864,5000,20,442372,3007720,
pipe,1572864,5000,22,442037,3007097,
pipe,1572864,5000,24,441156,3007088,
pipe,1572864,5000,26,442833,3006383,
pipe,1572864,5000,28,441696,3005261,
pipe,1572864,5000,30,442860,3006744,
pipe,1572864,5000,32,442752,3006805,
pipe,1572864,5000,34,444043,3005002,
pipe,1572864,5000,36,443325,3003543,
pipe,1572864,5000,38,443696,3002641,
pipe,1572864,5000,40,443315,3001913,
pipe,1572864,5000,42,443584,3001565,
pipe,1572864,5000,44,442306,2999258,
pipe,1572864,5000,46,444231,3002368,
pipe,1572864,5000,48,443957,3003141,
pipe,1572864,5000,50,445086,3004156,
pipe,1572864,5000,52,444045,3002601,
pipe,1572864,5000,54,444147,3003012,
pipe,1572864,5000,56,444813,3002771,
pipe,1572864,5000,58,444642,3009579,
pipe,1572864,5000,60,445203,3010544,
pipe,1572864,5000,62,444492,3011400,
pipe,1572864,5000,64,444188,3009128,
pipe,1572864,5000,66,444118,3010075,
pipe,1572864,5000,68,443892,3009176,
pipe,1572864,5000,70,443824,3010417,
pipe,1572864,5000,72,443511,3008158,
pipe,1572864,5000,74,443058,3008489,
pipe,1572864,5000,76,443720,3008896,
pipe,1572864,5000,78,442904,3007507,
pipe,1572864,5000,80,442683,3005268,
pipe,2097152,5000,2,634405,4179432,
pipe,2097152,5000,4,609378,4082335,
pipe,2097152,5000,6,605041,4049174,
pipe,2097152,5000,8,600027,4024650,
