mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
pipe,524288,5000,2,2055363,8217171,
pipe,524288,5000,4,1257910,6739121,
pipe,524288,5000,6,1062524,6037519,
pipe,524288,5000,8,925562,5656867,
pipe,524288,5000,10,833159,5209424,
pipe,524288,5000,12,766310,4841344,
pipe,524288,5000,14,710450,4577639,
pipe,524288,5000,16,667424,4386701,
pipe,524288,5000,18,635744,4228992,
pipe,524288,5000,20,607606,4102927,
pipe,524288,5000,22,594385,4000934,
pipe,524288,5000,24,577322,3915663,
pipe,524288,5000,26,562841,3846765,
pipe,524288,5000,28,549649,3782228,
pipe,524288,5000,30,540562,3739878,
pipe,524288,5000,32,530710,3692754,
pipe,524288,5000,34,524382,3666939,
pipe,524288,5000,36,515866,3624823,
pipe,524288,5000,38,511394,3594963,
pipe,524288,5000,40,505066,3562676,
pipe,524288,5000,42,498873,3538433,
pipe,524288,5000,44,494863,3514432,
pipe,524288,5000,46,489307,3492290,
pipe,524288,5000,48,488373,3472903,
pipe,524288,5000,50,484318,3459444,
pipe,524288,5000,52,479851,3443131,
pipe,524288,5000,54,477749,3424066,
pipe,524288,5000,56,476532,3412149,
pipe,524288,5000,58,473441,3396889,
pipe,524288,5000,60,469847,3384121,
pipe,524288,5000,62,467899,3372285,
pipe,524288,5000,64,465295,3362377,
pipe,524288,5000,66,462199,3351804,
pipe,524288,5000,68,461519,3338948,
pipe,524288,5000,70,458674,3329156,
pipe,524288,5000,72,460091,3325049,
pipe,524288,5000,74,457678,3315317,
pipe,524288,5000,76,457711,3308620,
pipe,524288,5000,78,455688,3298723,
pipe,524288,5000,80,453926,3289684,
pipe,1048576,5000,2,832162,5709887,
pipe,1048576,5000,4,798144,5706682,
pipe,1048576,5000,6,794767,5727203,
pipe,1048576,5000,8,782637,5704838,
pipe,1048576,5000,10,778702,5694952,
pipe,1048576,5000,12,802592,5724954,
pipe,1048576,5000,14,790133,5705313,
pipe,1048576,5000,16,783847,5733424,
pipe,1048576,5000,18,779295,5722412,
