mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
pipe,524288,5000,2,258,1190,
pipe,524288,5000,4,202,1152,
pipe,524288,5000,6,191,1146,
pipe,524288,5000,8,187,1141,
pipe,524288,5000,10,177,1125,
pipe,524288,5000,12,174,1122,
pipe,524288,5000,14,169,1119,
pipe,524288,5000,16,167,1112,
pipe,524288,5000,18,163,1112,
pipe,524288,5000,20,161,1107,
pipe,524288,5000,22,159,1106,
pipe,524288,5000,24,158,1103,
pipe,524288,5000,26,157,1104,
pipe,524288,5000,28,156,1103,
pipe,524288,5000,30,155,1101,
pipe,524288,5000,32,155,1104,
pipe,524288,5000,34,155,1101,
pipe,524288,5000,36,155,1102,
pipe,524288,5000,38,154,1103,
pipe,524288,5000,40,153,1104,
pipe,524288,5000,42,153,1104,
pipe,524288,5000,44,154,1105,
pipe,524288,5000,46,153,1105,
pipe,524288,5000,48,153,1103,
pipe,524288,5000,50,153,1102,
pipe,524288,5000,52,154,1103,
pipe,524288,5000,54,153,1102,
pipe,524288,5000,56,153,1102,
pipe,524288,5000,58,152,1101,
pipe,524288,5000,60,153,1101,
pipe,524288,5000,62,152,1101,
pipe,524288,5000,64,153,1101,
pipe,524288,5000,66,153,1100,
pipe,524288,5000,68,153,1101,
pipe,524288,5000,70,153,1101,
pipe,524288,5000,72,153,1101,
pipe,524288,5000,74,152,1101,
pipe,524288,5000,76,152,1100,
pipe,524288,5000,78,152,1099,
pipe,524288,5000,80,151,1098,
pipe,1048576,5000,2,294,2110,
pipe,1048576,5000,4,307,2117,
pipe,1048576,5000,6,301,2114,
pipe,1048576,5000,8,294,2101,
pipe,1048576,5000,10,296,2102,
pipe,1048576,5000,12,291,2092,
pipe,1048576,5000,14,296,2097,
pipe,1048576,5000,16,297,2097,
pipe,1048576,5000,18,293,2097,
pipe,1048576,5000,20,291,2098,
pipe,1048576,5000,22,288,2098,
pipe,1048576,5000,24,288,2099,
pipe,1048576,5000,26,287,2097,
pipe,1048576,5000,28,286,2094,
pipe,1048576,5000,30,286,2094,
pipe,1048576,5000,32,288,2095,
pipe,1048576,5000,34,289,2096,
pipe,1048576,5000,36,289,2092,
pipe,1048576,5000,38,289,2093,
pipe,1048576,5000,40,288,2091,
pipe,1048576,5000,42,288,2091,
pipe,1048576,5000,44,288,2092,
pipe,1048576,5000,46,289,2094,
pipe,1048576,5000,48,290,2094,
pipe,1048576,5000,50,290,2093,
pipe,1048576,5000,52,289,2090,
pipe,1048576,5000,54,289,2088,
pipe,1048576,5000,56,292,2090,
pipe,1048576,5000,58,291,2090,
pipe,1048576,5000,60,291,2091,
pipe,1048576,5000,62,290,2091,
pipe,1048576,5000,64,290,2090,
pipe,1048576,5000,66,289,2089,
pipe,1048576,5000,68,288,2089,
pipe,1048576,5000,70,288,2088,
pipe,1048576,5000,72,288,2088,
pipe,1048576,5000,74,288,2088,
pipe,1048576,5000,76,288,2088,
pipe,1048576,5000,78,289,2089,
pipe,1048576,5000,80,289,2089,
pipe,1572864,5000,2,486,3226,
pipe,1572864,5000,4,453,3127,
pipe,1572864,5000,6,437,3089,
pipe,1572864,5000,8,434,3064,
pipe,1572864,5000,10,430,3071,
pipe,1572864,5000,12,440,3077,
pipe,1572864,5000,14,436,3075,
pipe,1572864,5000,16,434,3073,
pipe,1572864,5000,18,433,3066,
