mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
shared mem,524288,5000,2,262291,1186894,
shared mem,524288,5000,4,272376,1114072,
shared mem,524288,5000,6,265178,1078719,
shared mem,524288,5000,8,257619,1058598,
shared mem,524288,5000,10,248030,1040477,
shared mem,524288,5000,12,249721,1030642,
shared mem,524288,5000,14,245606,1022231,
shared mem,524288,5000,16,245279,1021020,
shared mem,524288,5000,18,247892,1029829,
shared mem,524288,5000,20,249492,1031937,
shared mem,524288,5000,22,247343,1027622,
shared mem,524288,5000,24,246358,1026439,
shared mem,524288,5000,26,244765,1021104,
shared mem,524288,5000,28,244202,1021103,
shared mem,524288,5000,30,242826,1017422,
shared mem,524288,5000,32,241954,1015864,
shared mem,524288,5000,34,241032,1012730,
shared mem,524288,5000,36,240274,1011757,
shared mem,524288,5000,38,239122,1009573,
shared mem,524288,5000,40,237497,1008706,
shared mem,524288,5000,42,237444,1009290,
shared mem,524288,5000,44,237533,1009921,
shared mem,524288,5000,46,237443,1009336,
shared mem,524288,5000,48,237254,1009113,
shared mem,524288,5000,50,236523,1006190,
shared mem,524288,5000,52,235254,1005757,
shared mem,524288,5000,54,235123,1003876,
shared mem,524288,5000,56,235191,1004681,
shared mem,524288,5000,58,236082,1006295,
shared mem,524288,5000,60,235919,1006707,
shared mem,524288,5000,62,235777,1007289,
shared mem,524288,5000,64,236502,1008508,
shared mem,524288,5000,66,236499,1009579,
shared mem,524288,5000,68,236444,1009272,
shared mem,524288,5000,70,236235,1009236,
shared mem,524288,5000,72,236572,1008488,
shared mem,524288,5000,74,237208,1008830,
shared mem,524288,5000,76,238164,1008209,
shared mem,524288,5000,78,237845,1006313,
shared mem,524288,5000,80,237832,1006269,
shared mem,1048576,5000,2,407558,2012271,
shared mem,1048576,5000,4,399809,1866927,
shared mem,1048576,5000,6,401483,1851956,
shared mem,1048576,5000,8,405910,1833861,
shared mem,1048576,5000,10,405503,1811526,
shared mem,1048576,5000,12,405409,1812694,
shared mem,1048576,5000,14,405939,1810068,
shared mem,1048576,5000,16,403346,1807996,
shared mem,1048576,5000,18,404524,1810218,
shared mem,1048576,5000,20,408897,1808095,
shared mem,1048576,5000,22,408777,1806538,
shared mem,1048576,5000,24,408752,1803815,
shared mem,1048576,5000,26,407771,1802238,
shared mem,1048576,5000,28,408306,1799315,
shared mem,1048576,5000,30,408596,1797385,
shared mem,1048576,5000,32,408471,1795158,
shared mem,1048576,5000,34,407999,1793698,
shared mem,1048576,5000,36,407764,1790966,
shared mem,1048576,5000,38,409308,1791152,
shared mem,1048576,5000,40,409041,1792017,
shared mem,1048576,5000,42,409171,1792460,
shared mem,1048576,5000,44,408578,1789245,
shared mem,1048576,5000,46,408276,1788253,
shared mem,1048576,5000,48,408559,1787408,
shared mem,1048576,5000,50,408770,1788328,
shared mem,1048576,5000,52,408591,1787272,
shared mem,1048576,5000,54,409485,1790718,
shared mem,1048576,5000,56,409813,1791635,
shared mem,1048576,5000,58,410605,1792286,
shared mem,1048576,5000,60,410849,1792171,
shared mem,1048576,5000,62,410863,1792962,
shared mem,1048576,5000,64,410225,1790819,
shared mem,1048576,5000,66,410736,1790701,
shared mem,1048576,5000,68,411072,1791396,
shared mem,1048576,5000,70,411348,1791970,
shared mem,1048576,5000,72,411029,1790696,
shared mem,1048576,5000,74,410809,1791755,
shared mem,1048576,5000,76,409943,1791845,
shared mem,1048576,5000,78,410440,1790736,
shared mem,1048576,5000,80,410716,1790112,
shared mem,1572864,5000,2,566272,2640054,
shared mem,1572864,5000,4,558094,2593004,
shared mem,1572864,5000,6,538940,2548707,
shared mem,1572864,5000,8,535762,2534021,
shared mem,1572864,5000,10,545573,2538170,
shared mem,1572864,5000,12,541004,2533630,
shared mem,1572864,5000,14,539377,2530619,
shared mem,1572864,5000,16,532934,2516043,
shared mem,1572864,5000,18,541169,2522226,
shared mem,1572864,5000,20,546407,2533188,
shared mem,1572864,5000,22,544300,2523026,
shared mem,1572864,5000,24,543748,2520169,
shared mem,1572864,5000,26,542786,2516348,
shared mem,1572864,5000,28,545780,2524580,
shared mem,1572864,5000,30,544538,2523253,
shared mem,1572864,5000,32,543771,2520032,
shared mem,1572864,5000,34,540773,2517564,
shared mem,1572864,5000,36,539920,2520141,
shared mem,1572864,5000,38,539883,2516517,
shared mem,1572864,5000,40,538958,2511048,
shared mem,1572864,5000,42,536679,2509821,
shared mem,1572864,5000,44,539603,2514244,
shared mem,1572864,5000,46,539271,2514542,
shared mem,1572864,5000,48,539469,2514274,
shared mem,1572864,5000,50,538754,2512925,
shared mem,1572864,5000,52,539106,2514262,
shared mem,1572864,5000,54,539543,2514332,
shared mem,1572864,5000,56,540989,2514748,
shared mem,1572864,5000,58,543198,2519437,
shared mem,1572864,5000,60,543775,2520689,
shared mem,1572864,5000,62,543952,2520197,
shared mem,1572864,5000,64,542628,2519129,
shared mem,1572864,5000,66,543871,2522083,
shared mem,1572864,5000,68,543846,2520660,
shared mem,1572864,5000,70,544041,2520875,
shared mem,1572864,5000,72,543812,2520690,
shared mem,1572864,5000,74,543811,2520372,
shared mem,1572864,5000,76,543408,2519509,
shared mem,1572864,5000,78,542825,2517926,
shared mem,1572864,5000,80,542482,2517037,
shared mem,2097152,5000,2,719127,3565731,
shared mem,2097152,5000,4,695302,3460629,
shared mem,2097152,5000,6,681588,3410966,
shared mem,2097152,5000,8,704657,3406027,
shared mem,2097152,5000,10,688169,3383081,
shared mem,2097152,5000,12,700714,3388303,
shared mem,2097152,5000,14,698465,3368832,
shared mem,2097152,5000,16,702443,3378555,
shared mem,2097152,5000,18,697940,3370861,
shared mem,2097152,5000,20,698133,3361332,
shared mem,2097152,5000,22,699444,3366828,
shared mem,2097152,5000,24,699741,3365401,
shared mem,2097152,5000,26,700750,3364024,
shared mem,2097152,5000,28,699274,3362805,
shared mem,2097152,5000,30,699233,3363041,
shared mem,2097152,5000,32,701403,3364686,
shared mem,2097152,5000,34,702879,3364494,
shared mem,2097152,5000,36,701929,3363354,
shared mem,2097152,5000,38,705618,3362621,
shared mem,2097152,5000,40,704166,3361916,
shared mem,2097152,5000,42,704335,3365289,
shared mem,2097152,5000,44,707048,3367154,
shared mem,2097152,5000,46,703704,3364723,
shared mem,2097152,5000,48,703684,3367811,
shared mem,2097152,5000,50,704292,3363148,
shared mem,2097152,5000,52,703803,3363582,
shared mem,2097152,5000,54,703657,3364968,
shared mem,2097152,5000,56,705105,3368035,
shared mem,2097152,5000,58,705264,3366547,
shared mem,2097152,5000,60,705284,3366847,
shared mem,2097152,5000,62,703922,3365444,
shared mem,2097152,5000,64,704795,3366714,
shared mem,2097152,5000,66,705585,3365522,
shared mem,2097152,5000,68,704982,3367513,
shared mem,2097152,5000,70,705841,3367233,
shared mem,2097152,5000,72,705662,3367305,
shared mem,2097152,5000,74,706285,3367039,
shared mem,2097152,5000,76,706595,3365440,
shared mem,2097152,5000,78,705756,3364809,
shared mem,2097152,5000,80,705235,3365543,
shared mem,2621440,5000,2,861542,4440798,
shared mem,2621440,5000,4,890358,4301021,
shared mem,2621440,5000,6,918438,4285390,
shared mem,2621440,5000,8,938351,4271928,
shared mem,2621440,5000,10,955614,4301308,
shared mem,2621440,5000,12,950993,4270654,
shared mem,2621440,5000,14,935634,4241954,
shared mem,2621440,5000,16,926974,4225821,
shared mem,2621440,5000,18,925017,4216740,
shared mem,2621440,5000,20,923368,4205410,
shared mem,2621440,5000,22,919154,4200876,
shared mem,2621440,5000,24,916934,4197924,
shared mem,2621440,5000,26,912595,4188681,
shared mem,2621440,5000,28,908153,4186054,
shared mem,2621440,5000,30,902639,4178362,
shared mem,2621440,5000,32,897813,4173368,
shared mem,2621440,5000,34,899083,4172567,
shared mem,2621440,5000,36,900855,4173241,
shared mem,2621440,5000,38,903293,4168722,
shared mem,2621440,5000,40,904438,4161554,
shared mem,2621440,5000,42,906378,4160684,
shared mem,2621440,5000,44,906229,4161041,
shared mem,2621440,5000,46,902584,4155550,
shared mem,2621440,5000,48,903167,4157098,
shared mem,2621440,5000,50,902009,4155311,
shared mem,2621440,5000,52,900772,4154103,
shared mem,2621440,5000,54,899608,4154786,
shared mem,2621440,5000,56,899924,4151261,
shared mem,2621440,5000,58,900081,4150070,
shared mem,2621440,5000,60,900180,4151207,
shared mem,2621440,5000,62,900050,4149852,
shared mem,2621440,5000,64,900475,4151798,
shared mem,2621440,5000,66,902088,4152032,
shared mem,2621440,5000,68,903285,4152974,
shared mem,2621440,5000,70,902944,4152479,
shared mem,2621440,5000,72,901689,4153102,
shared mem,2621440,5000,74,900690,4151315,
shared mem,2621440,5000,76,902234,4156065,
shared mem,2621440,5000,78,901743,4153583,
shared mem,2621440,5000,80,902279,4155626,
shared mem,3145728,5000,2,1211911,5339498,
shared mem,3145728,5000,4,1173014,5128623,
shared mem,3145728,5000,6,1167874,5076906,
shared mem,3145728,5000,8,1149981,5025317,
shared mem,3145728,5000,10,1139397,5005583,
shared mem,3145728,5000,12,1128300,4992243,
shared mem,3145728,5000,14,1123192,4982473,
shared mem,3145728,5000,16,1122592,4977051,
shared mem,3145728,5000,18,1125259,4987526,
shared mem,3145728,5000,20,1119577,4982595,
shared mem,3145728,5000,22,1124954,4981823,
shared mem,3145728,5000,24,1119288,4970059,
shared mem,3145728,5000,26,1121795,4968425,
shared mem,3145728,5000,28,1119549,4965848,
shared mem,3145728,5000,30,1120117,4968066,
shared mem,3145728,5000,32,1119109,4962504,
shared mem,3145728,5000,34,1118603,4963676,
shared mem,3145728,5000,36,1123824,4967316,
shared mem,3145728,5000,38,1120940,4967281,
shared mem,3145728,5000,40,1120527,4966683,
shared mem,3145728,5000,42,1119792,4967739,
shared mem,3145728,5000,44,1120639,4970597,
shared mem,3145728,5000,46,1120694,4971968,
shared mem,3145728,5000,48,1119064,4970182,
shared mem,3145728,5000,50,1123135,4974276,
shared mem,3145728,5000,52,1121389,4973176,
shared mem,3145728,5000,54,1119893,4971991,
shared mem,3145728,5000,56,1120238,4967875,
shared mem,3145728,5000,58,1120141,4970434,
shared mem,3145728,5000,60,1119857,4972823,
shared mem,3145728,5000,62,1120038,4974589,
shared mem,3145728,5000,64,1119209,4971390,
shared mem,3145728,5000,66,1118375,4971757,
shared mem,3145728,5000,68,1119421,4971660,
shared mem,3145728,5000,70,1120037,4972265,
shared mem,3145728,5000,72,1119359,4970555,
shared mem,3145728,5000,74,1117520,4969015,
shared mem,3145728,5000,76,1118431,4971033,
shared mem,3145728,5000,78,1116127,4966642,
shared mem,3145728,5000,80,1114386,4964534,
shared mem,3670016,5000,2,1252296,6098491,
shared mem,3670016,5000,4,1311527,5929930,
shared mem,3670016,5000,6,1296668,5860097,
shared mem,3670016,5000,8,1307052,5831660,
shared mem,3670016,5000,10,1292622,5796093,
shared mem,3670016,5000,12,1290406,5789714,
shared mem,3670016,5000,14,1289057,5776205,
shared mem,3670016,5000,16,1286299,5768419,
shared mem,3670016,5000,18,1280674,5750155,
shared mem,3670016,5000,20,1275704,5734869,
shared mem,3670016,5000,22,1280123,5735526,
shared mem,3670016,5000,24,1283304,5731905,
shared mem,3670016,5000,26,1284716,5724629,
shared mem,3670016,5000,28,1285702,5721558,
shared mem,3670016,5000,30,1282063,5711508,
shared mem,3670016,5000,32,1286162,5712626,
shared mem,3670016,5000,34,1287607,5714896,
shared mem,3670016,5000,36,1287654,5717049,
shared mem,3670016,5000,38,1290337,5720378,
shared mem,3670016,5000,40,1291898,5721549,
shared mem,3670016,5000,42,1290215,5719430,
shared mem,3670016,5000,44,1288323,5718314,
shared mem,3670016,5000,46,1286605,5713121,
shared mem,3670016,5000,48,1285631,5711390,
shared mem,3670016,5000,50,1286253,5712035,
shared mem,3670016,5000,52,1288526,5713399,
shared mem,3670016,5000,54,1291175,5715815,
shared mem,3670016,5000,56,1291501,5717334,
shared mem,3670016,5000,58,1296242,5722016,
shared mem,3670016,5000,60,1295511,5724269,
shared mem,3670016,5000,62,1298037,5725883,
shared mem,3670016,5000,64,1299278,5726346,
shared mem,3670016,5000,66,1300012,5727849,
shared mem,3670016,5000,68,1299176,5730937,
shared mem,3670016,5000,70,1298968,5731126,
shared mem,3670016,5000,72,1298722,5731349,
shared mem,3670016,5000,74,1298163,5730233,
shared mem,3670016,5000,76,1296525,5727972,
shared mem,3670016,5000,78,1295804,5724970,
shared mem,3670016,5000,80,1296019,5724309,
shared mem,4194304,5000,2,1530501,6951851,
shared mem,4194304,5000,4,1524023,6733787,
shared mem,4194304,5000,6,1497555,6630762,
shared mem,4194304,5000,8,1508789,6604497,
shared mem,4194304,5000,10,1512974,6587195,
shared mem,4194304,5000,12,1518851,6572362,
shared mem,4194304,5000,14,1518585,6581591,
shared mem,4194304,5000,16,1511255,6562556,
shared mem,4194304,5000,18,1508362,6548517,
shared mem,4194304,5000,20,1511047,6553809,
shared mem,4194304,5000,22,1508924,6544412,
shared mem,4194304,5000,24,1504390,6536988,
shared mem,4194304,5000,26,1504173,6532035,
shared mem,4194304,5000,28,1507145,6534350,
shared mem,4194304,5000,30,1507580,6537761,
shared mem,4194304,5000,32,1502044,6529574,
shared mem,4194304,5000,34,1498403,6525336,
shared mem,4194304,5000,36,1495291,6520605,
shared mem,4194304,5000,38,1497550,6525278,
shared mem,4194304,5000,40,1496747,6520083,
shared mem,4194304,5000,42,1499852,6523406,
shared mem,4194304,5000,44,1502833,6525852,
shared mem,4194304,5000,46,1504713,6527156,
shared mem,4194304,5000,48,1504787,6525074,
shared mem,4194304,5000,50,1505978,6523896,
shared mem,4194304,5000,52,1504933,6522796,
shared mem,4194304,5000,54,1502902,6519972,
shared mem,4194304,5000,56,1500353,6517219,
shared mem,4194304,5000,58,1503825,6519234,
