mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
shared mem,524288,5000,2,748957,3269018,
shared mem,524288,5000,4,701008,3108666,
shared mem,524288,5000,6,700132,3081377,
shared mem,524288,5000,8,682796,3062329,
shared mem,524288,5000,10,678996,2992679,
shared mem,524288,5000,12,665553,2953290,
shared mem,524288,5000,14,657052,2897041,
shared mem,524288,5000,16,642762,2845702,
shared mem,524288,5000,18,640185,2825248,
shared mem,524288,5000,20,637626,2818734,
shared mem,524288,5000,22,632589,2788922,
shared mem,524288,5000,24,629774,2774305,
shared mem,524288,5000,26,627766,2756450,
shared mem,524288,5000,28,626623,2756041,
shared mem,524288,5000,30,626681,2746398,
shared mem,524288,5000,32,624534,2739498,
shared mem,524288,5000,34,624237,2729582,
shared mem,524288,5000,36,621395,2720132,
shared mem,524288,5000,38,620710,2715521,
shared mem,524288,5000,40,621014,2716281,
shared mem,524288,5000,42,620669,2715072,
shared mem,524288,5000,44,622303,2715743,
shared mem,524288,5000,46,620651,2707300,
shared mem,524288,5000,48,619672,2707110,
shared mem,524288,5000,50,620490,2708216,
shared mem,524288,5000,52,620529,2705768,
shared mem,524288,5000,54,621552,2706560,
shared mem,524288,5000,56,620691,2706464,
shared mem,524288,5000,58,621667,2709724,
shared mem,524288,5000,60,621044,2703473,
shared mem,524288,5000,62,621440,2702695,
shared mem,524288,5000,64,620839,2700042,
shared mem,524288,5000,66,621674,2700805,
shared mem,524288,5000,68,621197,2699315,
shared mem,524288,5000,70,621994,2698945,
shared mem,524288,5000,72,622189,2697864,
shared mem,524288,5000,74,622966,2701328,
shared mem,524288,5000,76,622593,2696740,
shared mem,524288,5000,78,623611,2699172,
shared mem,524288,5000,80,622730,2695795,
shared mem,1048576,5000,2,1070721,5441124,
shared mem,1048576,5000,4,1057756,5180811,
shared mem,1048576,5000,6,1092489,5131675,
shared mem,1048576,5000,8,1104467,5110924,
shared mem,1048576,5000,10,1101860,5053524,
shared mem,1048576,5000,12,1107598,5033283,
shared mem,1048576,5000,14,1103869,4997262,
shared mem,1048576,5000,16,1106780,4999769,
shared mem,1048576,5000,18,1103799,4969855,
shared mem,1048576,5000,20,1102449,4961423,
shared mem,1048576,5000,22,1104284,4948673,
shared mem,1048576,5000,24,1101386,4931239,
shared mem,1048576,5000,26,1098730,4930716,
shared mem,1048576,5000,28,1096758,4915313,
shared mem,1048576,5000,30,1099319,4908384,
shared mem,1048576,5000,32,1095609,4898205,
shared mem,1048576,5000,34,1095391,4892988,
shared mem,1048576,5000,36,1097266,4889287,
shared mem,1048576,5000,38,1095658,4887177,
shared mem,1048576,5000,40,1095088,4886180,
shared mem,1048576,5000,42,1096958,4885127,
shared mem,1048576,5000,44,1096333,4878817,
shared mem,1048576,5000,46,1092254,4881479,
shared mem,1048576,5000,48,1092227,4879593,
shared mem,1048576,5000,50,1093273,4880584,
shared mem,1048576,5000,52,1091571,4881218,
shared mem,1048576,5000,54,1091019,4882941,
shared mem,1048576,5000,56,1090805,4880294,
shared mem,1048576,5000,58,1092503,4877430,
shared mem,1048576,5000,60,1094088,4879146,
shared mem,1048576,5000,62,1091982,4875266,
shared mem,1048576,5000,64,1091871,4877496,
shared mem,1048576,5000,66,1089897,4876083,
shared mem,1048576,5000,68,1090961,4880503,
shared mem,1048576,5000,70,1089016,4881365,
shared mem,1048576,5000,72,1092014,4883939,
shared mem,1048576,5000,74,1092119,4883180,
shared mem,1048576,5000,76,1092200,4880899,
shared mem,1048576,5000,78,1094098,4881637,
shared mem,1048576,5000,80,1094210,4879216,
shared mem,1572864,5000,2,1380329,7278032,
shared mem,1572864,5000,4,1433101,7049522,
shared mem,1572864,5000,6,1413877,6951127,
shared mem,1572864,5000,8,1457128,6956153,
shared mem,1572864,5000,10,1457888,6931394,
shared mem,1572864,5000,12,1456852,6899718,
shared mem,1572864,5000,14,1444021,6885975,
shared mem,1572864,5000,16,1463927,6896811,
shared mem,1572864,5000,18,1461328,6880761,
shared mem,1572864,5000,20,1461895,6876776,
shared mem,1572864,5000,22,1452310,6864284,
shared mem,1572864,5000,24,1457841,6871172,
shared mem,1572864,5000,26,1459948,6866273,
shared mem,1572864,5000,28,1462746,6873380,
shared mem,1572864,5000,30,1466566,6880928,
shared mem,1572864,5000,32,1468896,6872141,
shared mem,1572864,5000,34,1466483,6866472,
shared mem,1572864,5000,36,1467554,6875357,
shared mem,1572864,5000,38,1471700,6869857,
shared mem,1572864,5000,40,1470657,6861346,
shared mem,1572864,5000,42,1470053,6858553,
shared mem,1572864,5000,44,1472008,6864138,
shared mem,1572864,5000,46,1469978,6863042,
shared mem,1572864,5000,48,1468759,6862362,
shared mem,1572864,5000,50,1468520,6858986,
shared mem,1572864,5000,52,1468767,6860974,
shared mem,1572864,5000,54,1468227,6860119,
shared mem,1572864,5000,56,1470173,6862715,
shared mem,1572864,5000,58,1470450,6861933,
shared mem,1572864,5000,60,1470139,6863642,
shared mem,1572864,5000,62,1472202,6864146,
shared mem,1572864,5000,64,1487828,6882206,
shared mem,1572864,5000,66,1486350,6885002,
shared mem,1572864,5000,68,1485349,6883851,
shared mem,1572864,5000,70,1486402,6884846,
shared mem,1572864,5000,72,1482337,6880374,
shared mem,1572864,5000,74,1477913,6876766,
shared mem,1572864,5000,76,1478922,6876882,
shared mem,1572864,5000,78,1479358,6875734,
shared mem,1572864,5000,80,1478756,6876373,
shared mem,2097152,5000,2,2025691,9922670,
shared mem,2097152,5000,4,2007425,9679062,
shared mem,2097152,5000,6,1981759,9409665,
shared mem,2097152,5000,8,1973525,9319676,
shared mem,2097152,5000,10,1982271,9302392,
shared mem,2097152,5000,12,1979482,9276394,
shared mem,2097152,5000,14,1982525,9236473,
shared mem,2097152,5000,16,1981355,9220677,
shared mem,2097152,5000,18,1972845,9220170,
shared mem,2097152,5000,20,1973142,9230891,
shared mem,2097152,5000,22,1967853,9220445,
shared mem,2097152,5000,24,1961190,9235092,
shared mem,2097152,5000,26,1964990,9223285,
shared mem,2097152,5000,28,1964561,9220506,
shared mem,2097152,5000,30,1963756,9233878,
shared mem,2097152,5000,32,1967614,9241407,
shared mem,2097152,5000,34,2002777,9253951,
shared mem,2097152,5000,36,1997890,9247075,
shared mem,2097152,5000,38,1993698,9244925,
shared mem,2097152,5000,40,1993093,9243911,
shared mem,2097152,5000,42,1987642,9232164,
shared mem,2097152,5000,44,1995942,9237872,
shared mem,2097152,5000,46,1994364,9228439,
shared mem,2097152,5000,48,1999910,9228452,
shared mem,2097152,5000,50,1993491,9228482,
shared mem,2097152,5000,52,1992867,9224046,
shared mem,2097152,5000,54,1985224,9214145,
shared mem,2097152,5000,56,1979625,9206756,
shared mem,2097152,5000,58,1976598,9202979,
shared mem,2097152,5000,60,1975016,9200812,
shared mem,2097152,5000,62,1972941,9200189,
shared mem,2097152,5000,64,1977880,9207282,
shared mem,2097152,5000,66,1979422,9210993,
shared mem,2097152,5000,68,1978680,9210277,
shared mem,2097152,5000,70,1976571,9208143,
shared mem,2097152,5000,72,1978599,9209237,
shared mem,2097152,5000,74,1977193,9205159,
shared mem,2097152,5000,76,1975197,9205760,
shared mem,2097152,5000,78,1970403,9202509,
shared mem,2097152,5000,80,1972251,9204254,
shared mem,2621440,5000,2,2494871,12144935,
shared mem,2621440,5000,4,2555428,11683617,
shared mem,2621440,5000,6,2525346,11555871,
shared mem,2621440,5000,8,2501037,11509729,
shared mem,2621440,5000,10,2496500,11469131,
shared mem,2621440,5000,12,2487799,11461300,
shared mem,2621440,5000,14,2457355,11402316,
shared mem,2621440,5000,16,2426455,11358948,
shared mem,2621440,5000,18,2434790,11374787,
shared mem,2621440,5000,20,2432487,11374497,
shared mem,2621440,5000,22,2430324,11379734,
shared mem,2621440,5000,24,2457681,11395031,
shared mem,2621440,5000,26,2459595,11386989,
shared mem,2621440,5000,28,2458837,11388205,
shared mem,2621440,5000,30,2457700,11361401,
shared mem,2621440,5000,32,2456177,11349005,
shared mem,2621440,5000,34,2456820,11348924,
shared mem,2621440,5000,36,2446404,11345706,
shared mem,2621440,5000,38,2439243,11321017,
shared mem,2621440,5000,40,2440624,11315985,
shared mem,2621440,5000,42,2436729,11316646,
shared mem,2621440,5000,44,2425668,11302903,
shared mem,2621440,5000,46,2420311,11296618,
shared mem,2621440,5000,48,2413037,11293732,
shared mem,2621440,5000,50,2422802,11303065,
shared mem,2621440,5000,52,2426748,11297263,
shared mem,2621440,5000,54,2428148,11300522,
shared mem,2621440,5000,56,2425069,11302145,
shared mem,2621440,5000,58,2418851,11300757,
shared mem,2621440,5000,60,2412337,11297632,
shared mem,2621440,5000,62,2406376,11290486,
shared mem,2621440,5000,64,2405263,11284795,
shared mem,2621440,5000,66,2408269,11285749,
shared mem,2621440,5000,68,2406539,11287626,
shared mem,2621440,5000,70,2402147,11280942,
shared mem,2621440,5000,72,2398977,11280048,
shared mem,2621440,5000,74,2405654,11285904,
shared mem,2621440,5000,76,2415074,11280228,
shared mem,2621440,5000,78,2417333,11279375,
shared mem,2621440,5000,80,2412367,11277085,
shared mem,3145728,5000,2,2845871,14355039,
shared mem,3145728,5000,4,2884091,13847988,
shared mem,3145728,5000,6,2852237,13589932,
shared mem,3145728,5000,8,2869917,13480243,
shared mem,3145728,5000,10,2891301,13511025,
shared mem,3145728,5000,12,2930328,13494778,
shared mem,3145728,5000,14,2945208,13513939,
shared mem,3145728,5000,16,2964664,13528740,
shared mem,3145728,5000,18,2978808,13539649,
shared mem,3145728,5000,20,2993099,13522307,
shared mem,3145728,5000,22,2996043,13527332,
shared mem,3145728,5000,24,2999956,13521214,
shared mem,3145728,5000,26,2993398,13509236,
shared mem,3145728,5000,28,2982948,13506533,
shared mem,3145728,5000,30,2983842,13510566,
shared mem,3145728,5000,32,2985468,13507028,
shared mem,3145728,5000,34,2979269,13495475,
shared mem,3145728,5000,36,2991140,13503522,
shared mem,3145728,5000,38,2990948,13509509,
shared mem,3145728,5000,40,2992793,13511187,
shared mem,3145728,5000,42,2996110,13517222,
shared mem,3145728,5000,44,3003892,13514826,
shared mem,3145728,5000,46,3004785,13517039,
shared mem,3145728,5000,48,3007642,13516033,
shared mem,3145728,5000,50,3005308,13521804,
shared mem,3145728,5000,52,3005420,13515426,
shared mem,3145728,5000,54,3005612,13514777,
shared mem,3145728,5000,56,3006503,13512383,
shared mem,3145728,5000,58,3012473,13517150,
shared mem,3145728,5000,60,3015878,13514195,
shared mem,3145728,5000,62,3018398,13520024,
shared mem,3145728,5000,64,3019456,13525154,
shared mem,3145728,5000,66,3020555,13524811,
shared mem,3145728,5000,68,3021572,13521285,
shared mem,3145728,5000,70,3018654,13518622,
shared mem,3145728,5000,72,3015310,13517125,
shared mem,3145728,5000,74,3017321,13521579,
shared mem,3145728,5000,76,3018184,13522742,
shared mem,3145728,5000,78,3015260,13516962,
shared mem,3145728,5000,80,3018762,13519103,
shared mem,3670016,5000,2,3653317,16962448,
shared mem,3670016,5000,4,3621616,16213269,
shared mem,3670016,5000,6,3597687,15954982,
shared mem,3670016,5000,8,3612570,15867534,
shared mem,3670016,5000,10,3605972,15794242,
shared mem,3670016,5000,12,3598662,15775234,
shared mem,3670016,5000,14,3615763,15770685,
shared mem,3670016,5000,16,3612490,15743867,
shared mem,3670016,5000,18,3610216,15733963,
shared mem,3670016,5000,20,3606353,15722708,
shared mem,3670016,5000,22,3603308,15707192,
shared mem,3670016,5000,24,3605653,15700746,
shared mem,3670016,5000,26,3600661,15703790,
shared mem,3670016,5000,28,3604699,15690301,
shared mem,3670016,5000,30,3602155,15683984,
shared mem,3670016,5000,32,3605104,15694070,
shared mem,3670016,5000,34,3607417,15704262,
shared mem,3670016,5000,36,3606872,15691374,
shared mem,3670016,5000,38,3602795,15694131,
