mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
shared mem,524288,5000,2,266,1164,
shared mem,524288,5000,4,264,1133,
shared mem,524288,5000,6,256,1096,
shared mem,524288,5000,8,245,1073,
shared mem,524288,5000,10,242,1058,
shared mem,524288,5000,12,237,1043,
shared mem,524288,5000,14,237,1042,
shared mem,524288,5000,16,235,1039,
shared mem,524288,5000,18,234,1038,
shared mem,524288,5000,20,231,1031,
shared mem,524288,5000,22,231,1031,
shared mem,524288,5000,24,229,1025,
shared mem,524288,5000,26,227,1022,
shared mem,524288,5000,28,226,1022,
shared mem,524288,5000,30,226,1020,
shared mem,524288,5000,32,225,1017,
shared mem,524288,5000,34,225,1015,
shared mem,524288,5000,36,224,1012,
shared mem,524288,5000,38,224,1011,
shared mem,524288,5000,40,223,1010,
shared mem,524288,5000,42,224,1011,
shared mem,524288,5000,44,223,1010,
shared mem,524288,5000,46,223,1010,
shared mem,524288,5000,48,223,1011,
shared mem,524288,5000,50,223,1010,
shared mem,524288,5000,52,222,1010,
shared mem,524288,5000,54,222,1009,
shared mem,524288,5000,56,222,1009,
shared mem,524288,5000,58,221,1008,
shared mem,524288,5000,60,221,1007,
shared mem,524288,5000,62,221,1007,
shared mem,524288,5000,64,220,1007,
shared mem,524288,5000,66,221,1006,
shared mem,524288,5000,68,221,1006,
shared mem,524288,5000,70,220,1005,
shared mem,524288,5000,72,220,1005,
shared mem,524288,5000,74,220,1005,
shared mem,524288,5000,76,220,1005,
shared mem,524288,5000,78,220,1004,
shared mem,524288,5000,80,220,1004,
shared mem,1048576,5000,2,394,1977,
shared mem,1048576,5000,4,395,1886,
shared mem,1048576,5000,6,415,1886,
shared mem,1048576,5000,8,405,1872,
shared mem,1048576,5000,10,402,1864,
shared mem,1048576,5000,12,402,1862,
shared mem,1048576,5000,14,405,1855,
shared mem,1048576,5000,16,402,1843,
shared mem,1048576,5000,18,401,1840,
shared mem,1048576,5000,20,400,1834,
shared mem,1048576,5000,22,403,1833,
shared mem,1048576,5000,24,404,1832,
shared mem,1048576,5000,26,403,1830,
shared mem,1048576,5000,28,403,1828,
shared mem,1048576,5000,30,402,1829,
shared mem,1048576,5000,32,402,1829,
shared mem,1048576,5000,34,401,1829,
shared mem,1048576,5000,36,402,1828,
shared mem,1048576,5000,38,401,1823,
shared mem,1048576,5000,40,400,1823,
shared mem,1048576,5000,42,400,1822,
shared mem,1048576,5000,44,400,1820,
shared mem,1048576,5000,46,400,1820,
shared mem,1048576,5000,48,400,1817,
shared mem,1048576,5000,50,400,1818,
shared mem,1048576,5000,52,400,1817,
shared mem,1048576,5000,54,399,1819,
shared mem,1048576,5000,56,400,1820,
shared mem,1048576,5000,58,400,1819,
shared mem,1048576,5000,60,400,1818,
shared mem,1048576,5000,62,400,1819,
shared mem,1048576,5000,64,400,1819,
shared mem,1048576,5000,66,400,1819,
shared mem,1048576,5000,68,401,1819,
shared mem,1048576,5000,70,401,1818,
shared mem,1048576,5000,72,401,1817,
shared mem,1048576,5000,74,400,1818,
shared mem,1048576,5000,76,400,1818,
shared mem,1048576,5000,78,400,1819,
shared mem,1048576,5000,80,401,1819,
shared mem,1572864,5000,2,541,2752,
shared mem,1572864,5000,4,534,2627,
shared mem,1572864,5000,6,533,2581,
shared mem,1572864,5000,8,535,2564,
shared mem,1572864,5000,10,532,2553,
shared mem,1572864,5000,12,532,2540,
shared mem,1572864,5000,14,534,2540,
shared mem,1572864,5000,16,535,2536,
shared mem,1572864,5000,18,533,2532,
shared mem,1572864,5000,20,532,2535,
shared mem,1572864,5000,22,533,2533,
shared mem,1572864,5000,24,531,2527,
shared mem,1572864,5000,26,530,2521,
shared mem,1572864,5000,28,528,2518,
shared mem,1572864,5000,30,527,2517,
shared mem,1572864,5000,32,528,2515,
shared mem,1572864,5000,34,527,2515,
shared mem,1572864,5000,36,526,2513,
shared mem,1572864,5000,38,526,2512,
shared mem,1572864,5000,40,527,2510,
shared mem,1572864,5000,42,527,2513,
shared mem,1572864,5000,44,527,2514,
shared mem,1572864,5000,46,527,2513,
shared mem,1572864,5000,48,528,2513,
shared mem,1572864,5000,50,528,2514,
shared mem,1572864,5000,52,528,2512,
shared mem,1572864,5000,54,528,2510,
shared mem,1572864,5000,56,528,2507,
shared mem,1572864,5000,58,528,2508,
shared mem,1572864,5000,60,529,2509,
shared mem,1572864,5000,62,528,2507,
shared mem,1572864,5000,64,528,2505,
shared mem,1572864,5000,66,528,2506,
shared mem,1572864,5000,68,528,2505,
shared mem,1572864,5000,70,528,2503,
shared mem,1572864,5000,72,527,2502,
shared mem,1572864,5000,74,527,2503,
shared mem,1572864,5000,76,527,2503,
shared mem,1572864,5000,78,527,2502,
shared mem,1572864,5000,80,527,2502,
shared mem,2097152,5000,2,735,3646,
shared mem,2097152,5000,4,706,3442,
shared mem,2097152,5000,6,696,3382,
shared mem,2097152,5000,8,687,3349,
shared mem,2097152,5000,10,684,3352,
shared mem,2097152,5000,12,678,3339,
shared mem,2097152,5000,14,677,3334,
shared mem,2097152,5000,16,677,3334,
shared mem,2097152,5000,18,673,3333,
shared mem,2097152,5000,20,669,3329,
shared mem,2097152,5000,22,671,3329,
shared mem,2097152,5000,24,669,3321,
shared mem,2097152,5000,26,668,3316,
shared mem,2097152,5000,28,667,3314,
shared mem,2097152,5000,30,665,3309,
shared mem,2097152,5000,32,663,3306,
shared mem,2097152,5000,34,666,3305,
shared mem,2097152,5000,36,664,3302,
shared mem,2097152,5000,38,663,3302,
shared mem,2097152,5000,40,664,3305,
shared mem,2097152,5000,42,663,3301,
shared mem,2097152,5000,44,664,3302,
shared mem,2097152,5000,46,664,3300,
shared mem,2097152,5000,48,663,3300,
shared mem,2097152,5000,50,665,3302,
shared mem,2097152,5000,52,666,3305,
shared mem,2097152,5000,54,665,3305,
shared mem,2097152,5000,56,666,3304,
shared mem,2097152,5000,58,666,3303,
shared mem,2097152,5000,60,666,3303,
shared mem,2097152,5000,62,666,3301,
shared mem,2097152,5000,64,666,3300,
shared mem,2097152,5000,66,665,3300,
shared mem,2097152,5000,68,666,3300,
shared mem,2097152,5000,70,667,3298,
shared mem,2097152,5000,72,668,3300,
shared mem,2097152,5000,74,668,3300,
shared mem,2097152,5000,76,669,3299,
shared mem,2097152,5000,78,669,3297,
shared mem,2097152,5000,80,672,3303,
shared mem,2621440,5000,2,906,4555,
shared mem,2621440,5000,4,866,4327,
shared mem,2621440,5000,6,871,4263,
shared mem,2621440,5000,8,875,4221,
shared mem,2621440,5000,10,876,4193,
shared mem,2621440,5000,12,873,4192,
shared mem,2621440,5000,14,869,4168,
shared mem,2621440,5000,16,866,4154,
shared mem,2621440,5000,18,862,4143,
shared mem,2621440,5000,20,859,4138,
shared mem,2621440,5000,22,856,4136,
shared mem,2621440,5000,24,853,4132,
shared mem,2621440,5000,26,851,4122,
shared mem,2621440,5000,28,848,4115,
shared mem,2621440,5000,30,847,4109,
shared mem,2621440,5000,32,845,4107,
shared mem,2621440,5000,34,850,4115,
shared mem,2621440,5000,36,853,4115,
shared mem,2621440,5000,38,858,4116,
shared mem,2621440,5000,40,857,4118,
shared mem,2621440,5000,42,856,4119,
shared mem,2621440,5000,44,855,4117,
shared mem,2621440,5000,46,853,4115,
shared mem,2621440,5000,48,852,4113,
shared mem,2621440,5000,50,852,4112,
shared mem,2621440,5000,52,851,4110,
shared mem,2621440,5000,54,851,4108,
shared mem,2621440,5000,56,853,4107,
shared mem,2621440,5000,58,852,4105,
shared mem,2621440,5000,60,853,4108,
shared mem,2621440,5000,62,854,4107,
shared mem,2621440,5000,64,853,4106,
shared mem,2621440,5000,66,855,4107,
shared mem,2621440,5000,68,858,4113,
shared mem,2621440,5000,70,859,4111,
shared mem,2621440,5000,72,861,4110,
shared mem,2621440,5000,74,861,4111,
shared mem,2621440,5000,76,861,4111,
shared mem,2621440,5000,78,862,4111,
shared mem,2621440,5000,80,863,4112,
shared mem,3145728,5000,2,1101,5340,
shared mem,3145728,5000,4,1047,5062,
shared mem,3145728,5000,6,1043,5003,
shared mem,3145728,5000,8,1054,4993,
shared mem,3145728,5000,10,1051,4977,
shared mem,3145728,5000,12,1055,4983,
shared mem,3145728,5000,14,1050,4984,
shared mem,3145728,5000,16,1053,4979,
shared mem,3145728,5000,18,1053,4970,
shared mem,3145728,5000,20,1051,4955,
shared mem,3145728,5000,22,1051,4946,
shared mem,3145728,5000,24,1054,4950,
shared mem,3145728,5000,26,1057,4954,
shared mem,3145728,5000,28,1059,4955,
shared mem,3145728,5000,30,1057,4957,
shared mem,3145728,5000,32,1056,4954,
shared mem,3145728,5000,34,1057,4955,
shared mem,3145728,5000,36,1059,4956,
shared mem,3145728,5000,38,1059,4959,
shared mem,3145728,5000,40,1059,4959,
shared mem,3145728,5000,42,1057,4954,
shared mem,3145728,5000,44,1057,4950,
shared mem,3145728,5000,46,1055,4945,
shared mem,3145728,5000,48,1055,4946,
shared mem,3145728,5000,50,1056,4946,
shared mem,3145728,5000,52,1057,4946,
shared mem,3145728,5000,54,1057,4944,
shared mem,3145728,5000,56,1056,4941,
shared mem,3145728,5000,58,1055,4938,
shared mem,3145728,5000,60,1055,4939,
shared mem,3145728,5000,62,1057,4938,
shared mem,3145728,5000,64,1056,4939,
shared mem,3145728,5000,66,1057,4942,
shared mem,3145728,5000,68,1055,4941,
shared mem,3145728,5000,70,1056,4940,
shared mem,3145728,5000,72,1055,4939,
shared mem,3145728,5000,74,1054,4935,
shared mem,3145728,5000,76,1055,4933,
shared mem,3145728,5000,78,1055,4934,
shared mem,3145728,5000,80,1056,4933,
shared mem,3670016,5000,2,1270,6186,
shared mem,3670016,5000,4,1255,5949,
shared mem,3670016,5000,6,1249,5849,
shared mem,3670016,5000,8,1254,5825,
shared mem,3670016,5000,10,1252,5813,
shared mem,3670016,5000,12,1252,5794,
shared mem,3670016,5000,14,1251,5774,
shared mem,3670016,5000,16,1246,5754,
shared mem,3670016,5000,18,1241,5743,
shared mem,3670016,5000,20,1240,5733,
shared mem,3670016,5000,22,1237,5723,
shared mem,3670016,5000,24,1234,5715,
shared mem,3670016,5000,26,1231,5710,
shared mem,3670016,5000,28,1237,5713,
shared mem,3670016,5000,30,1237,5714,
shared mem,3670016,5000,32,1237,5710,
shared mem,3670016,5000,34,1237,5710,
shared mem,3670016,5000,36,1234,5704,
shared mem,3670016,5000,38,1233,5701,
shared mem,3670016,5000,40,1235,5704,
shared mem,3670016,5000,42,1234,5698,
shared mem,3670016,5000,44,1235,5702,
shared mem,3670016,5000,46,1236,5700,
shared mem,3670016,5000,48,1234,5696,
shared mem,3670016,5000,50,1233,5694,
shared mem,3670016,5000,52,1233,5695,
shared mem,3670016,5000,54,1235,5695,
shared mem,3670016,5000,56,1235,5695,
shared mem,3670016,5000,58,1234,5692,
shared mem,3670016,5000,60,1233,5691,
shared mem,3670016,5000,62,1235,5695,
shared mem,3670016,5000,64,1235,5692,
shared mem,3670016,5000,66,1235,5692,
shared mem,3670016,5000,68,1238,5692,
shared mem,3670016,5000,70,1237,5692,
shared mem,3670016,5000,72,1237,5691,
shared mem,3670016,5000,74,1238,5693,
shared mem,3670016,5000,76,1239,5695,
shared mem,3670016,5000,78,1239,5694,
shared mem,3670016,5000,80,1240,5695,
shared mem,4194304,5000,2,1607,7119,
shared mem,4194304,5000,4,1541,6796,
shared mem,4194304,5000,6,1532,6715,
shared mem,4194304,5000,8,1538,6704,
shared mem,4194304,5000,10,1525,6648,
shared mem,4194304,5000,12,1510,6616,
shared mem,4194304,5000,14,1498,6594,
shared mem,4194304,5000,16,1488,6576,
shared mem,4194304,5000,18,1479,6557,
shared mem,4194304,5000,20,1475,6553,
shared mem,4194304,5000,22,1484,6552,
shared mem,4194304,5000,24,1481,6546,
shared mem,4194304,5000,26,1476,6535,
shared mem,4194304,5000,28,1471,6530,
shared mem,4194304,5000,30,1472,6526,
shared mem,4194304,5000,32,1479,6539,
shared mem,4194304,5000,34,1484,6540,
shared mem,4194304,5000,36,1482,6538,
shared mem,4194304,5000,38,1484,6541,
shared mem,4194304,5000,40,1485,6542,
shared mem,4194304,5000,42,1486,6542,
shared mem,4194304,5000,44,1488,6542,
shared mem,4194304,5000,46,1494,6553,
shared mem,4194304,5000,48,1494,6549,
shared mem,4194304,5000,50,1496,6553,
shared mem,4194304,5000,52,1496,6556,
shared mem,4194304,5000,54,1499,6556,
shared mem,4194304,5000,56,1498,6553,
shared mem,4194304,5000,58,1499,6554,
shared mem,4194304,5000,60,1500,6553,
shared mem,4194304,5000,62,1498,6550,
shared mem,4194304,5000,64,1497,6549,
shared mem,4194304,5000,66,1495,6547,
shared mem,4194304,5000,68,1494,6545,
shared mem,4194304,5000,70,1494,6545,
shared mem,4194304,5000,72,1493,6544,
shared mem,4194304,5000,74,1491,6543,
shared mem,4194304,5000,76,1490,6539,
shared mem,4194304,5000,78,1488,6537,
shared mem,4194304,5000,80,1487,6537,
shared mem,4718592,5000,2,1766,8057,
shared mem,4718592,5000,4,1713,7646,
shared mem,4718592,5000,6,1703,7552,
shared mem,4718592,5000,8,1686,7455,
shared mem,4718592,5000,10,1692,7449,
shared mem,4718592,5000,12,1686,7414,
shared mem,4718592,5000,14,1676,7389,
shared mem,4718592,5000,16,1671,7374,
shared mem,4718592,5000,18,1674,7380,
shared mem,4718592,5000,20,1672,7371,
shared mem,4718592,5000,22,1669,7360,
shared mem,4718592,5000,24,1665,7351,
shared mem,4718592,5000,26,1661,7330,
shared mem,4718592,5000,28,1665,7333,
shared mem,4718592,5000,30,1666,7333,
shared mem,4718592,5000,32,1663,7330,
shared mem,4718592,5000,34,1662,7326,
shared mem,4718592,5000,36,1659,7320,
shared mem,4718592,5000,38,1656,7316,
shared mem,4718592,5000,40,1661,7320,
shared mem,4718592,5000,42,1660,7316,
shared mem,4718592,5000,44,1660,7315,
shared mem,4718592,5000,46,1659,7312,
shared mem,4718592,5000,48,1658,7312,
shared mem,4718592,5000,50,1658,7310,
shared mem,4718592,5000,52,1658,7310,
