mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
socket,524288,5000,2,1067231,1432241,
socket,524288,5000,4,1290198,1655211,
socket,524288,5000,6,1387129,1754424,
socket,524288,5000,8,1531158,1932379,
socket,524288,5000,10,1625223,2035616,
socket,524288,5000,12,1729651,2153685,
socket,524288,5000,14,1808858,2248234,
socket,524288,5000,16,1923039,2392429,
socket,524288,5000,18,2085083,2591919,
socket,524288,5000,20,2204564,2751195,
socket,524288,5000,22,2302433,2878491,
socket,524288,5000,24,2396732,2995646,
socket,524288,5000,26,2472954,3100417,
socket,524288,5000,28,2549346,3198051,
socket,524288,5000,30,2615554,3279149,
socket,524288,5000,32,2674704,3348630,
socket,524288,5000,34,2725844,3412883,
socket,524288,5000,36,2767637,3465915,
socket,524288,5000,38,2796943,3502686,
socket,524288,5000,40,2719885,3414574,
socket,524288,5000,42,2648696,3325424,
socket,524288,5000,44,2581614,3243803,
socket,524288,5000,46,2521761,3169217,
socket,524288,5000,48,2468515,3104777,
socket,524288,5000,50,2418723,3043905,
socket,524288,5000,52,2371323,2984634,
socket,524288,5000,54,2343138,2951612,
socket,524288,5000,56,2353359,2962201,
socket,524288,5000,58,2395072,3009553,
socket,524288,5000,60,2430179,3054043,
socket,524288,5000,62,2463070,3097431,
socket,524288,5000,64,2492541,3136380,
socket,524288,5000,66,2516568,3168882,
socket,524288,5000,68,2545831,3201696,
socket,524288,5000,70,2571044,3230103,
socket,524288,5000,72,2597466,3258712,
socket,524288,5000,74,2637264,3307137,
socket,524288,5000,76,2674434,3351467,
socket,524288,5000,78,2704416,3389878,
socket,524288,5000,80,2730608,3421180,
socket,1048576,5000,2,6154562,7068194,
socket,1048576,5000,4,6273523,7182285,
socket,1048576,5000,6,6111424,6990009,
socket,1048576,5000,8,5906295,6756227,
socket,1048576,5000,10,5932322,6766994,
socket,1048576,5000,12,6243195,7106838,
socket,1048576,5000,14,6395547,7270800,
socket,1048576,5000,16,6410985,7275475,
socket,1048576,5000,18,6330701,7189654,
socket,1048576,5000,20,6213568,7061632,
socket,1048576,5000,22,6099228,6933640,
socket,1048576,5000,24,5969419,6785357,
socket,1048576,5000,26,5847964,6651991,
socket,1048576,5000,28,5729187,6517226,
socket,1048576,5000,30,5632449,6411662,
socket,1048576,5000,32,5598681,6371888,
socket,1048576,5000,34,5565387,6331510,
socket,1048576,5000,36,5511461,6271805,
socket,1048576,5000,38,5476240,6228412,
socket,1048576,5000,40,5422171,6170154,
socket,1048576,5000,42,5373342,6114737,
socket,1048576,5000,44,5314374,6046777,
socket,1048576,5000,46,5257176,5978406,
socket,1048576,5000,48,5203289,5916716,
socket,1048576,5000,50,5151050,5854021,
socket,1048576,5000,52,5088300,5785416,
socket,1048576,5000,54,5027139,5723192,
socket,1048576,5000,56,4973023,5662859,
socket,1048576,5000,58,4925061,5609080,
socket,1048576,5000,60,4876388,5555989,
socket,1048576,5000,62,4828027,5504599,
socket,1048576,5000,64,4786957,5459579,
socket,1048576,5000,66,4743683,5411671,
socket,1048576,5000,68,4700686,5365885,
socket,1048576,5000,70,4661652,5321394,
socket,1048576,5000,72,4618685,5272974,
socket,1048576,5000,74,4578862,5229108,
socket,1048576,5000,76,4533283,5178801,
socket,1048576,5000,78,4505169,5147248,
socket,1048576,5000,80,4466351,5105701,
socket,1572864,5000,2,4898447,5441195,
socket,1572864,5000,4,5063498,5590870,
socket,1572864,5000,6,4608627,5135634,
socket,1572864,5000,8,4413304,4923601,
socket,1572864,5000,10,4291812,4788876,
socket,1572864,5000,12,4236861,4721896,
socket,1572864,5000,14,4192331,4669215,
socket,1572864,5000,16,4161010,4633086,
socket,1572864,5000,18,4127129,4599939,
socket,1572864,5000,20,4092624,4569053,
socket,1572864,5000,22,4072457,4550679,
socket,1572864,5000,24,4060310,4536188,
socket,1572864,5000,26,4042446,4515369,
socket,1572864,5000,28,4075363,4554712,
socket,1572864,5000,30,4176063,4663042,
socket,1572864,5000,32,4257402,4753634,
socket,1572864,5000,34,4314956,4821202,
socket,1572864,5000,36,4363204,4877773,
socket,1572864,5000,38,4398075,4915320,
socket,1572864,5000,40,4407537,4928787,
socket,1572864,5000,42,4412485,4934970,
socket,1572864,5000,44,4396015,4917367,
socket,1572864,5000,46,4378559,4897197,
socket,1572864,5000,48,4386654,4907349,
socket,1572864,5000,50,4409193,4932379,
socket,1572864,5000,52,4450862,4976860,
socket,1572864,5000,54,4472073,4999427,
socket,1572864,5000,56,4468289,4998150,
socket,1572864,5000,58,4471788,5001550,
socket,1572864,5000,60,4464797,4995938,
socket,1572864,5000,62,4452684,4982327,
socket,1572864,5000,64,4443375,4972073,
socket,1572864,5000,66,4433905,4960934,
socket,1572864,5000,68,4420692,4945158,
socket,1572864,5000,70,4404273,4926407,
socket,1572864,5000,72,4387288,4907734,
socket,1572864,5000,74,4370077,4891578,
socket,1572864,5000,76,4353346,4872548,
socket,1572864,5000,78,4343176,4860396,
socket,1572864,5000,80,4330140,4845919,
socket,2097152,5000,2,4862250,5389958,
socket,2097152,5000,4,5196492,5680565,
socket,2097152,5000,6,5190446,5687998,
socket,2097152,5000,8,5177773,5696836,
socket,2097152,5000,10,5121978,5645988,
socket,2097152,5000,12,5070516,5604662,
socket,2097152,5000,14,5064912,5606038,
socket,2097152,5000,16,5068166,5604551,
socket,2097152,5000,18,5081071,5633624,
socket,2097152,5000,20,5110843,5677352,
socket,2097152,5000,22,5137108,5710959,
socket,2097152,5000,24,5161570,5737925,
socket,2097152,5000,26,5167025,5745500,
socket,2097152,5000,28,5158574,5738191,
socket,2097152,5000,30,5144700,5722470,
socket,2097152,5000,32,5134673,5713932,
socket,2097152,5000,34,5122932,5700849,
socket,2097152,5000,36,5111409,5689484,
socket,2097152,5000,38,5103494,5679816,
socket,2097152,5000,40,5095165,5672646,
socket,2097152,5000,42,5088218,5666434,
socket,2097152,5000,44,5083816,5663015,
socket,2097152,5000,46,5077911,5657699,
socket,2097152,5000,48,5066214,5650233,
socket,2097152,5000,50,5064187,5647289,
socket,2097152,5000,52,5061323,5645291,
socket,2097152,5000,54,5053286,5638405,
socket,2097152,5000,56,5050282,5635735,
socket,2097152,5000,58,5040716,5627740,
socket,2097152,5000,60,5050065,5637322,
socket,2097152,5000,62,5063648,5653438,
socket,2097152,5000,64,5072620,5660604,
socket,2097152,5000,66,5071004,5658684,
socket,2097152,5000,68,5065448,5653462,
socket,2097152,5000,70,5058318,5646851,
socket,2097152,5000,72,5056910,5644172,
socket,2097152,5000,74,5050210,5637150,
socket,2097152,5000,76,5061862,5649509,
socket,2097152,5000,78,5076394,5663202,
socket,2097152,5000,80,5078455,5664103,
socket,2621440,5000,2,5417689,6068877,
socket,2621440,5000,4,5857946,6542803,
socket,2621440,5000,6,5981405,6672905,
socket,2621440,5000,8,6034132,6720564,
socket,2621440,5000,10,6071228,6759275,
socket,2621440,5000,12,6091045,6783080,
socket,2621440,5000,14,6100051,6796233,
socket,2621440,5000,16,6107867,6801728,
socket,2621440,5000,18,6093245,6791991,
socket,2621440,5000,20,6134705,6840141,
socket,2621440,5000,22,6237069,6938221,
socket,2621440,5000,24,6329086,7034529,
socket,2621440,5000,26,6359862,7066654,
socket,2621440,5000,28,6369459,7077392,
socket,2621440,5000,30,6362864,7072263,
socket,2621440,5000,32,6365228,7076847,
socket,2621440,5000,34,6364271,7074970,
socket,2621440,5000,36,6358077,7073052,
socket,2621440,5000,38,6349722,7062428,
socket,2621440,5000,40,6349357,7060966,
socket,2621440,5000,42,6346188,7057314,
socket,2621440,5000,44,6433639,7148084,
socket,2621440,5000,46,6485173,7203159,
socket,2621440,5000,48,6536817,7261556,
socket,2621440,5000,50,6888306,7625815,
socket,2621440,5000,52,6895124,7634445,
socket,2621440,5000,54,6893651,7631897,
socket,2621440,5000,56,6892641,7630346,
socket,2621440,5000,58,6887682,7624623,
socket,2621440,5000,60,6868200,7605564,
socket,2621440,5000,62,6849855,7585851,
socket,2621440,5000,64,6823327,7559702,
socket,2621440,5000,66,6805503,7542097,
socket,2621440,5000,68,6789277,7523638,
socket,2621440,5000,70,6782750,7520756,
socket,2621440,5000,72,6780897,7519381,
socket,2621440,5000,74,6809647,7553597,
socket,2621440,5000,76,6854655,7602475,
socket,2621440,5000,78,6865384,7616285,
socket,2621440,5000,80,6905571,7659511,
socket,3145728,5000,2,7217969,7987109,
socket,3145728,5000,4,7682000,8439421,
socket,3145728,5000,6,8049198,8837481,
socket,3145728,5000,8,8554377,9376156,
socket,3145728,5000,10,8519770,9338715,
socket,3145728,5000,12,8950726,9805731,
socket,3145728,5000,14,9221330,10082824,
socket,3145728,5000,16,9025379,9875376,
socket,3145728,5000,18,8855402,9700466,
socket,3145728,5000,20,8910170,9746400,
socket,3145728,5000,22,8966866,9821961,
socket,3145728,5000,24,9141156,10009076,
socket,3145728,5000,26,9133378,9997769,
socket,3145728,5000,28,9050295,9907345,
socket,3145728,5000,30,9012541,9873503,
socket,3145728,5000,32,9063308,9931683,
socket,3145728,5000,34,9151789,10017996,
socket,3145728,5000,36,9171026,10034521,
socket,3145728,5000,38,9366432,10237487,
socket,3145728,5000,40,9484575,10358956,
socket,3145728,5000,42,9482224,10361333,
socket,3145728,5000,44,9624643,10513612,
socket,3145728,5000,46,9744531,10644825,
socket,3145728,5000,48,9766020,10667282,
socket,3145728,5000,50,9906939,10812252,
socket,3145728,5000,52,10028047,10939924,
socket,3145728,5000,54,10182848,11096170,
socket,3145728,5000,56,10295346,11213443,
socket,3145728,5000,58,10272256,11188148,
socket,3145728,5000,60,10373659,11294425,
socket,3145728,5000,62,10441912,11363370,
socket,3145728,5000,64,10395635,11312927,
socket,3145728,5000,66,10318195,11231158,
socket,3145728,5000,68,10238020,11146534,
socket,3145728,5000,70,10153276,11058476,
socket,3145728,5000,72,10183887,11091682,
socket,3145728,5000,74,10230391,11142534,
socket,3145728,5000,76,10201020,11113289,
socket,3145728,5000,78,10259062,11178180,
socket,3145728,5000,80,10268548,11189068,
socket,3670016,5000,2,11615728,12675839,
socket,3670016,5000,4,11479551,12477481,
socket,3670016,5000,6,11358948,12317865,
socket,3670016,5000,8,10834240,11761932,
socket,3670016,5000,10,10472715,11392058,
socket,3670016,5000,12,10201882,11117382,
socket,3670016,5000,14,10184341,11109638,
socket,3670016,5000,16,10069043,10987457,
socket,3670016,5000,18,10406661,11349125,
socket,3670016,5000,20,10669915,11619256,
socket,3670016,5000,22,10825960,11777931,
socket,3670016,5000,24,10937937,11888144,
socket,3670016,5000,26,10973476,11918897,
socket,3670016,5000,28,10844704,11788399,
