mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
socket,524288,5000,2,2950039,3889718,
socket,524288,5000,4,3150958,4092167,
socket,524288,5000,6,3217600,4120937,
socket,524288,5000,8,3312098,4180119,
socket,524288,5000,10,3329263,4198174,
socket,524288,5000,12,3343685,4198105,
socket,524288,5000,14,3329355,4171813,
socket,524288,5000,16,3321320,4163158,
socket,524288,5000,18,3369573,4217673,
socket,524288,5000,20,3360367,4214416,
socket,524288,5000,22,3362794,4216874,
socket,524288,5000,24,3362118,4209392,
socket,524288,5000,26,3345706,4191227,
socket,524288,5000,28,3331735,4181963,
socket,524288,5000,30,3359353,4213057,
socket,524288,5000,32,3377678,4232456,
socket,524288,5000,34,3447495,4317154,
socket,524288,5000,36,3488742,4364754,
socket,524288,5000,38,3530663,4417176,
socket,524288,5000,40,3585250,4488196,
socket,524288,5000,42,3667884,4591047,
socket,524288,5000,44,3848812,4804232,
socket,524288,5000,46,4003054,5001803,
socket,524288,5000,48,4191903,5224916,
socket,524288,5000,50,4424365,5509051,
socket,524288,5000,52,4623526,5766742,
socket,524288,5000,54,4812299,6007984,
socket,524288,5000,56,4974704,6215990,
socket,524288,5000,58,5131222,6413657,
socket,524288,5000,60,5292581,6623266,
socket,524288,5000,62,5440205,6807419,
socket,524288,5000,64,5564704,6963182,
socket,524288,5000,66,5690294,7125671,
socket,524288,5000,68,5831520,7303585,
socket,524288,5000,70,5968746,7464565,
socket,524288,5000,72,6103120,7623937,
socket,524288,5000,74,6211219,7755055,
socket,524288,5000,76,6315065,7888202,
socket,524288,5000,78,6419293,8016548,
socket,524288,5000,80,6515378,8130718,
socket,1048576,5000,2,16873062,19423747,
socket,1048576,5000,4,17512807,19979548,
socket,1048576,5000,6,16975447,19363288,
socket,1048576,5000,8,16277302,18586303,
socket,1048576,5000,10,15633541,17906773,
socket,1048576,5000,12,15616843,17882283,
socket,1048576,5000,14,15726406,17981403,
socket,1048576,5000,16,15675126,17924116,
socket,1048576,5000,18,15601260,17811194,
socket,1048576,5000,20,15431830,17593187,
socket,1048576,5000,22,15162466,17300037,
socket,1048576,5000,24,14896950,16992381,
socket,1048576,5000,26,14680648,16743610,
socket,1048576,5000,28,14433497,16455699,
socket,1048576,5000,30,14194736,16168336,
socket,1048576,5000,32,14362638,16340149,
socket,1048576,5000,34,14582722,16570710,
socket,1048576,5000,36,14691212,16696428,
socket,1048576,5000,38,14669097,16676434,
socket,1048576,5000,40,14631143,16634699,
socket,1048576,5000,42,14537118,16535240,
socket,1048576,5000,44,14428730,16422282,
socket,1048576,5000,46,14309914,16289950,
socket,1048576,5000,48,14171656,16130588,
socket,1048576,5000,50,14035283,15986966,
socket,1048576,5000,52,13906349,15854892,
socket,1048576,5000,54,13793671,15742652,
socket,1048576,5000,56,13687702,15631892,
socket,1048576,5000,58,13495804,15420144,
socket,1048576,5000,60,13380463,15290101,
socket,1048576,5000,62,13303571,15200306,
socket,1048576,5000,64,13210949,15096459,
socket,1048576,5000,66,13131180,15005494,
socket,1048576,5000,68,13050085,14916343,
socket,1048576,5000,70,12978104,14830689,
socket,1048576,5000,72,12913588,14759491,
socket,1048576,5000,74,12856916,14693494,
socket,1048576,5000,76,12826258,14651896,
socket,1048576,5000,78,12703220,14510430,
socket,1048576,5000,80,12568717,14365081,
socket,1572864,5000,2,9924802,11253797,
socket,1572864,5000,4,10592414,11885060,
socket,1572864,5000,6,10927501,12182985,
socket,1572864,5000,8,11045386,12322387,
socket,1572864,5000,10,11105722,12364227,
socket,1572864,5000,12,11046657,12302758,
socket,1572864,5000,14,10987131,12234351,
socket,1572864,5000,16,10891283,12130273,
socket,1572864,5000,18,10893186,12148222,
socket,1572864,5000,20,10869948,12111779,
socket,1572864,5000,22,10837571,12071010,
socket,1572864,5000,24,10803266,12039684,
socket,1572864,5000,26,10754778,11992033,
socket,1572864,5000,28,10700689,11939347,
socket,1572864,5000,30,10687882,11939620,
socket,1572864,5000,32,10649914,11898556,
socket,1572864,5000,34,10712357,11959245,
socket,1572864,5000,36,10731392,11972395,
socket,1572864,5000,38,10736860,11981500,
socket,1572864,5000,40,10739510,11986477,
socket,1572864,5000,42,10748204,11988339,
socket,1572864,5000,44,10735614,11981277,
socket,1572864,5000,46,10711233,11963070,
socket,1572864,5000,48,10701424,11953045,
socket,1572864,5000,50,10688033,11938004,
socket,1572864,5000,52,10667974,11928459,
socket,1572864,5000,54,10651733,11915766,
socket,1572864,5000,56,10636805,11897032,
socket,1572864,5000,58,10654562,11926261,
socket,1572864,5000,60,10691988,11972070,
socket,1572864,5000,62,10727333,12008520,
socket,1572864,5000,64,10738190,12019020,
socket,1572864,5000,66,10730990,12008683,
socket,1572864,5000,68,10719152,11998050,
socket,1572864,5000,70,10708803,11985785,
socket,1572864,5000,72,10704402,11979360,
socket,1572864,5000,74,10700339,11980634,
socket,1572864,5000,76,10696737,11980524,
socket,1572864,5000,78,10701030,11988104,
socket,1572864,5000,80,10692122,11976331,
socket,2097152,5000,2,11946131,13205082,
socket,2097152,5000,4,12683566,14047767,
socket,2097152,5000,6,13077506,14430192,
socket,2097152,5000,8,13194634,14567130,
socket,2097152,5000,10,13227388,14612883,
socket,2097152,5000,12,13343542,14711463,
socket,2097152,5000,14,13419028,14788810,
socket,2097152,5000,16,13447038,14816577,
socket,2097152,5000,18,13541673,14921937,
socket,2097152,5000,20,13613806,14995310,
socket,2097152,5000,22,13660014,15045510,
socket,2097152,5000,24,13702137,15106556,
socket,2097152,5000,26,13701924,15099809,
socket,2097152,5000,28,13698361,15101696,
socket,2097152,5000,30,13678097,15091087,
socket,2097152,5000,32,13943886,15365376,
socket,2097152,5000,34,14066786,15492062,
socket,2097152,5000,36,14118580,15540865,
socket,2097152,5000,38,14114388,15545923,
socket,2097152,5000,40,14092325,15531509,
socket,2097152,5000,42,14086734,15524858,
socket,2097152,5000,44,14183851,15625341,
socket,2097152,5000,46,14298552,15754864,
socket,2097152,5000,48,14280724,15738011,
socket,2097152,5000,50,14263795,15720272,
socket,2097152,5000,52,14247900,15703441,
socket,2097152,5000,54,14213338,15668565,
socket,2097152,5000,56,14232358,15689270,
socket,2097152,5000,58,14248039,15705182,
socket,2097152,5000,60,14268233,15727113,
socket,2097152,5000,62,14284409,15745322,
socket,2097152,5000,64,14295584,15758616,
socket,2097152,5000,66,14307395,15770352,
socket,2097152,5000,68,14326737,15792240,
socket,2097152,5000,70,14341210,15808324,
socket,2097152,5000,72,14355503,15822221,
socket,2097152,5000,74,14349069,15817079,
socket,2097152,5000,76,14340883,15811138,
socket,2097152,5000,78,14328621,15797423,
socket,2097152,5000,80,14308009,15779576,
socket,2621440,5000,2,15309100,16855998,
socket,2621440,5000,4,16239564,17888623,
socket,2621440,5000,6,16408019,18095488,
socket,2621440,5000,8,16554646,18257871,
socket,2621440,5000,10,16657007,18357552,
socket,2621440,5000,12,16755727,18458360,
socket,2621440,5000,14,16929087,18619554,
socket,2621440,5000,16,17174070,18865226,
socket,2621440,5000,18,17247276,18930241,
socket,2621440,5000,20,17198516,18876053,
socket,2621440,5000,22,17253055,18927024,
socket,2621440,5000,24,17259940,18943988,
socket,2621440,5000,26,17251135,18926398,
socket,2621440,5000,28,17214200,18878135,
socket,2621440,5000,30,17189034,18854036,
socket,2621440,5000,32,17178825,18838199,
socket,2621440,5000,34,17154780,18808989,
socket,2621440,5000,36,17145743,18803839,
socket,2621440,5000,38,17210017,18880922,
socket,2621440,5000,40,17295014,18973762,
socket,2621440,5000,42,17596711,19307609,
socket,2621440,5000,44,18089433,19824124,
socket,2621440,5000,46,18121141,19861320,
socket,2621440,5000,48,18486149,20254445,
socket,2621440,5000,50,18742917,20534937,
socket,2621440,5000,52,18913358,20704672,
socket,2621440,5000,54,18915438,20708548,
socket,2621440,5000,56,18858726,20653859,
socket,2621440,5000,58,18810954,20608944,
socket,2621440,5000,60,18762618,20555122,
socket,2621440,5000,62,18793340,20588474,
socket,2621440,5000,64,18992693,20801175,
socket,2621440,5000,66,19287891,21113384,
socket,2621440,5000,68,19918000,21774562,
socket,2621440,5000,70,20206769,22073472,
socket,2621440,5000,72,20267816,22131115,
socket,2621440,5000,74,20382080,22251983,
socket,2621440,5000,76,20293606,22155900,
socket,2621440,5000,78,20456717,22330986,
socket,2621440,5000,80,20674620,22573281,
socket,3145728,5000,2,27576863,29896009,
socket,3145728,5000,4,27659928,30028867,
socket,3145728,5000,6,26701706,28955006,
socket,3145728,5000,8,25450253,27643498,
socket,3145728,5000,10,24600985,26718037,
socket,3145728,5000,12,24355631,26442226,
socket,3145728,5000,14,24144435,26229195,
socket,3145728,5000,16,23913013,26009080,
socket,3145728,5000,18,23647492,25750135,
socket,3145728,5000,20,23359160,25433739,
socket,3145728,5000,22,23087264,25142022,
socket,3145728,5000,24,22865917,24903458,
socket,3145728,5000,26,22651156,24677841,
socket,3145728,5000,28,22455656,24472609,
socket,3145728,5000,30,22269795,24288272,
socket,3145728,5000,32,22149499,24164868,
socket,3145728,5000,34,22007269,24030708,
socket,3145728,5000,36,21937556,23949165,
socket,3145728,5000,38,21926480,23956543,
socket,3145728,5000,40,21895799,23932588,
socket,3145728,5000,42,21838701,23883478,
socket,3145728,5000,44,21732227,23784531,
socket,3145728,5000,46,21827144,23893411,
socket,3145728,5000,48,21858118,23923417,
socket,3145728,5000,50,21805988,23867052,
socket,3145728,5000,52,21729168,23783395,
socket,3145728,5000,54,21676030,23729232,
socket,3145728,5000,56,21628522,23677851,
socket,3145728,5000,58,21585882,23633197,
socket,3145728,5000,60,21544763,23588162,
socket,3145728,5000,62,21503561,23542668,
socket,3145728,5000,64,21483217,23520912,
socket,3145728,5000,66,21435531,23472585,
socket,3145728,5000,68,21399897,23436991,
socket,3145728,5000,70,21363717,23406749,
socket,3145728,5000,72,21344251,23387491,
socket,3145728,5000,74,21371764,23419332,
socket,3145728,5000,76,21387447,23437732,
socket,3145728,5000,78,21371163,23418813,
socket,3145728,5000,80,21338854,23386019,
socket,3670016,5000,2,20553416,22788387,
socket,3670016,5000,4,23319215,25516755,
socket,3670016,5000,6,23542032,25716045,
socket,3670016,5000,8,23608273,25814616,
socket,3670016,5000,10,23609997,25765088,
socket,3670016,5000,12,23607295,25735160,
socket,3670016,5000,14,23603512,25744554,
socket,3670016,5000,16,23645324,25803837,
socket,3670016,5000,18,24107790,26288714,
socket,3670016,5000,20,24245881,26426745,
socket,3670016,5000,22,24210055,26386413,
socket,3670016,5000,24,24171823,26346609,
socket,3670016,5000,26,24137426,26303746,
socket,3670016,5000,28,24099496,26270519,
socket,3670016,5000,30,24024725,26196648,
socket,3670016,5000,32,24057135,26237940,
socket,3670016,5000,34,24226351,26408467,
socket,3670016,5000,36,24261303,26451720,
socket,3670016,5000,38,24378495,26570090,
socket,3670016,5000,40,24346223,26538873,
socket,3670016,5000,42,24367176,26563649,
socket,3670016,5000,44,24369267,26570707,
socket,3670016,5000,46,24315635,26512678,
socket,3670016,5000,48,24294436,26492601,
socket,3670016,5000,50,24282014,26475576,
socket,3670016,5000,52,24260524,26460823,
socket,3670016,5000,54,24247056,26440324,
socket,3670016,5000,56,24237852,26432268,
socket,3670016,5000,58,24231346,26427652,
socket,3670016,5000,60,24213618,26408158,
socket,3670016,5000,62,24202158,26393467,
socket,3670016,5000,64,24189412,26387966,
socket,3670016,5000,66,24186365,26389185,
socket,3670016,5000,68,24169335,26376339,
socket,3670016,5000,70,24160852,26364750,
socket,3670016,5000,72,24146520,26354730,
socket,3670016,5000,74,24133941,26341893,
socket,3670016,5000,76,24123632,26337153,
socket,3670016,5000,78,24115322,26332104,
socket,3670016,5000,80,24101323,26321152,
socket,4194304,5000,2,24322524,26788952,
socket,4194304,5000,4,25701881,28028195,
socket,4194304,5000,6,26186268,28479006,
socket,4194304,5000,8,26404753,28662851,
socket,4194304,5000,10,26584196,28868801,
socket,4194304,5000,12,26533930,28853523,
socket,4194304,5000,14,26620345,28939650,
socket,4194304,5000,16,26711876,29048434,
socket,4194304,5000,18,26669762,29024066,
socket,4194304,5000,20,26721378,29079871,
socket,4194304,5000,22,26771726,29127777,
socket,4194304,5000,24,26821599,29168152,
socket,4194304,5000,26,26850088,29186858,
socket,4194304,5000,28,26872172,29210722,
socket,4194304,5000,30,26912295,29253352,
socket,4194304,5000,32,26878367,29223568,
socket,4194304,5000,34,26858839,29212535,
socket,4194304,5000,36,26871731,29229825,
socket,4194304,5000,38,26834038,29195544,
socket,4194304,5000,40,26860913,29229734,
socket,4194304,5000,42,26898774,29265215,
socket,4194304,5000,44,26894164,29272780,
socket,4194304,5000,46,26907265,29292357,
socket,4194304,5000,48,26910519,29302103,
socket,4194304,5000,50,26941019,29328776,
socket,4194304,5000,52,26958673,29348621,
socket,4194304,5000,54,26970427,29357264,
socket,4194304,5000,56,26977955,29369803,
socket,4194304,5000,58,26986015,29376930,
socket,4194304,5000,60,26993292,29383839,
socket,4194304,5000,62,27007165,29395224,
socket,4194304,5000,64,27021194,29416208,
socket,4194304,5000,66,27024961,29418045,
socket,4194304,5000,68,27036946,29430923,
socket,4194304,5000,70,27052548,29443309,
socket,4194304,5000,72,27087720,29480674,
socket,4194304,5000,74,27111481,29499621,
socket,4194304,5000,76,27119026,29507980,
socket,4194304,5000,78,27142557,29530305,
socket,4194304,5000,80,27148535,29535815,
socket,4718592,5000,2,26568958,29149680,
socket,4718592,5000,4,28599897,30976309,
socket,4718592,5000,6,29265069,31671852,
socket,4718592,5000,8,29615493,31995287,
socket,4718592,5000,10,29630952,32059918,
socket,4718592,5000,12,29622636,32042011,
socket,4718592,5000,14,29781184,32202430,
socket,4718592,5000,16,29896198,32338528,
socket,4718592,5000,18,30104717,32552229,
socket,4718592,5000,20,30224361,32664135,
socket,4718592,5000,22,30249269,32698649,
socket,4718592,5000,24,30242033,32707666,
socket,4718592,5000,26,30270675,32730637,
socket,4718592,5000,28,30312385,32761418,
socket,4718592,5000,30,30339456,32795237,
socket,4718592,5000,32,30566723,33038496,
socket,4718592,5000,34,30574515,33071447,
socket,4718592,5000,36,30607491,33115460,
socket,4718592,5000,38,30611055,33129077,
socket,4718592,5000,40,30634849,33148769,
socket,4718592,5000,42,30633392,33163670,
socket,4718592,5000,44,30675872,33216684,
socket,4718592,5000,46,30797987,33353004,
socket,4718592,5000,48,30896674,33467794,
socket,4718592,5000,50,30890525,33467921,
socket,4718592,5000,52,30893375,33478960,
socket,4718592,5000,54,30894778,33474250,
socket,4718592,5000,56,30898012,33472611,
socket,4718592,5000,58,30894025,33466774,
socket,4718592,5000,60,30881663,33449319,
socket,4718592,5000,62,30891239,33463685,
socket,4718592,5000,64,30851688,33435194,
socket,4718592,5000,66,30852150,33436048,
socket,4718592,5000,68,30818608,33410805,
socket,4718592,5000,70,30785164,33382351,
socket,4718592,5000,72,30790442,33389368,
socket,4718592,5000,74,30758520,33358006,
socket,4718592,5000,76,30751916,33350725,
socket,4718592,5000,78,30752070,33349155,
socket,4718592,5000,80,30754676,33349740,
socket,5242880,5000,2,30484666,33419493,
socket,5242880,5000,4,32448741,35199004,
socket,5242880,5000,6,32644530,35387741,
socket,5242880,5000,8,33035967,35750560,
socket,5242880,5000,10,33314319,35979672,
socket,5242880,5000,12,33303537,35988243,
socket,5242880,5000,14,33326347,36036332,
socket,5242880,5000,16,33477847,36188041,
socket,5242880,5000,18,33675418,36407789,
socket,5242880,5000,20,33690776,36428050,
socket,5242880,5000,22,33745918,36475255,
socket,5242880,5000,24,33724733,36452568,
socket,5242880,5000,26,33744651,36453966,
socket,5242880,5000,28,33765642,36476711,
socket,5242880,5000,30,33808622,36516159,
socket,5242880,5000,32,33888107,36592043,
socket,5242880,5000,34,33926140,36630417,
socket,5242880,5000,36,33952702,36648428,
socket,5242880,5000,38,33980588,36668786,
socket,5242880,5000,40,34020039,36718968,
socket,5242880,5000,42,33997358,36701437,
socket,5242880,5000,44,34030523,36729190,
socket,5242880,5000,46,34008030,36714505,
socket,5242880,5000,48,34019880,36717524,
socket,5242880,5000,50,34038809,36738663,
socket,5242880,5000,52,34054689,36749034,
socket,5242880,5000,54,34066166,36765367,
socket,5242880,5000,56,34086852,36786207,
socket,5242880,5000,58,34103653,36802962,
socket,5242880,5000,60,34129976,36825621,
socket,5242880,5000,62,34132448,36832109,
socket,5242880,5000,64,34142018,36845720,
socket,5242880,5000,66,34156320,36862156,
socket,5242880,5000,68,34142216,36848006,
socket,5242880,5000,70,34152902,36859478,
socket,5242880,5000,72,34136543,36844324,
socket,5242880,5000,74,34111175,36830722,
socket,5242880,5000,76,34119379,36834130,
socket,5242880,5000,78,34130777,36846495,
socket,5242880,5000,80,34161631,36887663,
socket,5767168,5000,2,35773690,39242256,
socket,5767168,5000,4,37203668,40193715,
socket,5767168,5000,6,37318530,40214819,
socket,5767168,5000,8,38001043,40922073,
socket,5767168,5000,10,38038661,40970070,
socket,5767168,5000,12,38028527,40905293,
socket,5767168,5000,14,37992964,40867362,
socket,5767168,5000,16,37972414,40829119,
socket,5767168,5000,18,37807530,40687093,
socket,5767168,5000,20,37783470,40665582,
socket,5767168,5000,22,37784680,40652556,
socket,5767168,5000,24,37776096,40622655,
socket,5767168,5000,26,37837858,40715957,
socket,5767168,5000,28,37848949,40723202,
socket,5767168,5000,30,37972402,40844465,
socket,5767168,5000,32,38076187,40932385,
socket,5767168,5000,34,38289763,41140027,
socket,5767168,5000,36,38295210,41158769,
socket,5767168,5000,38,38275869,41133405,
socket,5767168,5000,40,38261481,41121700,
socket,5767168,5000,42,38262386,41119066,
socket,5767168,5000,44,38316406,41171746,
socket,5767168,5000,46,38314378,41178468,
socket,5767168,5000,48,38349005,41217231,
socket,5767168,5000,50,38345426,41215373,
socket,5767168,5000,52,38370402,41256608,
socket,5767168,5000,54,38432325,41320940,
socket,5767168,5000,56,38441159,41334947,
socket,5767168,5000,58,38353857,41266917,
socket,5767168,5000,60,38348297,41264045,
socket,5767168,5000,62,38334840,41252502,
socket,5767168,5000,64,38336167,41263504,
socket,5767168,5000,66,38335308,41257670,
socket,5767168,5000,68,38325326,41258460,
socket,5767168,5000,70,38318730,41248174,
socket,5767168,5000,72,38305895,41232265,
socket,5767168,5000,74,38297260,41225712,
socket,5767168,5000,76,38298986,41228214,
socket,5767168,5000,78,38287389,41216287,
socket,5767168,5000,80,38279499,41209677,
