mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
socket,524288,5000,2,1025,1465,
socket,524288,5000,4,1166,1553,
socket,524288,5000,6,1260,1665,
socket,524288,5000,8,1399,1808,
socket,524288,5000,10,1564,2004,
socket,524288,5000,12,1696,2151,
socket,524288,5000,14,1838,2315,
socket,524288,5000,16,1962,2458,
socket,524288,5000,18,2046,2566,
socket,524288,5000,20,2127,2655,
socket,524288,5000,22,2193,2739,
socket,524288,5000,24,2238,2793,
socket,524288,5000,26,2315,2888,
socket,524288,5000,28,2396,2998,
socket,524288,5000,30,2471,3097,
socket,524288,5000,32,2533,3170,
socket,524288,5000,34,2585,3230,
socket,524288,5000,36,2625,3275,
socket,524288,5000,38,2664,3321,
socket,524288,5000,40,2689,3353,
socket,524288,5000,42,2744,3422,
socket,524288,5000,44,2793,3484,
socket,524288,5000,46,2838,3537,
socket,524288,5000,48,2850,3554,
socket,524288,5000,50,2882,3597,
socket,524288,5000,52,2910,3633,
socket,524288,5000,54,2934,3664,
socket,524288,5000,56,2950,3683,
socket,524288,5000,58,2962,3701,
socket,524288,5000,60,2976,3719,
socket,524288,5000,62,2987,3735,
socket,524288,5000,64,2997,3750,
socket,524288,5000,66,3006,3761,
socket,524288,5000,68,3005,3762,
socket,524288,5000,70,3018,3777,
socket,524288,5000,72,3037,3800,
socket,524288,5000,74,3053,3823,
socket,524288,5000,76,3071,3848,
socket,524288,5000,78,3089,3868,
socket,524288,5000,80,3103,3889,
socket,1048576,5000,2,3639,4201,
socket,1048576,5000,4,3861,4409,
socket,1048576,5000,6,4670,5347,
socket,1048576,5000,8,5128,5872,
socket,1048576,5000,10,5229,6017,
socket,1048576,5000,12,5209,6011,
socket,1048576,5000,14,5188,5993,
socket,1048576,5000,16,5091,5896,
socket,1048576,5000,18,5044,5838,
socket,1048576,5000,20,4978,5764,
socket,1048576,5000,22,4903,5678,
socket,1048576,5000,24,4835,5606,
socket,1048576,5000,26,4771,5542,
socket,1048576,5000,28,4763,5534,
socket,1048576,5000,30,4765,5533,
socket,1048576,5000,32,4749,5516,
socket,1048576,5000,34,4730,5495,
socket,1048576,5000,36,4714,5473,
socket,1048576,5000,38,4684,5439,
socket,1048576,5000,40,4644,5398,
socket,1048576,5000,42,4618,5367,
socket,1048576,5000,44,4587,5334,
socket,1048576,5000,46,4561,5300,
socket,1048576,5000,48,4525,5253,
socket,1048576,5000,50,4479,5201,
socket,1048576,5000,52,4442,5154,
socket,1048576,5000,54,4400,5106,
socket,1048576,5000,56,4367,5066,
socket,1048576,5000,58,4319,5011,
socket,1048576,5000,60,4284,4973,
socket,1048576,5000,62,4243,4927,
socket,1048576,5000,64,4210,4889,
socket,1048576,5000,66,4185,4859,
socket,1048576,5000,68,4172,4851,
socket,1048576,5000,70,4168,4847,
