mechanism, data size, buffer/package size, rep num, Transfer time,
pipe,4,4,1,110360,
pipe,4,4,2,80096,
pipe,4,4,3,42751,
pipe,4,4,4,29796,
pipe,4,4,5,23095,
pipe,4,4,6,28889,
pipe,4,4,7,26694,
pipe,4,4,8,38162,
pipe,4,4,9,93431,
pipe,4,4,10,26209,
pipe,4,16,1,26056,
pipe,4,16,2,26190,
pipe,4,16,3,25268,
pipe,4,16,4,35146,
pipe,4,16,5,22420,
pipe,4,16,6,50952,
pipe,4,16,7,26248,
pipe,4,16,8,58690,
pipe,4,16,9,27919,
pipe,4,16,10,25734,
pipe,4,64,1,41817,
pipe,4,64,2,24038,
pipe,4,64,3,51084,
pipe,4,64,4,19967,
pipe,4,64,5,57552,
pipe,4,64,6,24917,
pipe,4,64,7,46332,
pipe,4,64,8,23778,
pipe,4,64,9,45814,
pipe,4,64,10,23097,
pipe,4,256,1,51996,
pipe,4,256,2,20575,
pipe,4,256,3,57361,
pipe,4,256,4,25574,
pipe,4,256,5,54190,
pipe,4,256,6,24296,
pipe,4,256,7,53282,
pipe,4,256,8,22525,
pipe,4,256,9,58775,
pipe,4,256,10,26861,
pipe,4,1024,1,55361,
pipe,4,1024,2,24889,
pipe,4,1024,3,80892,
pipe,4,1024,4,23848,
pipe,4,1024,5,63068,
pipe,4,1024,6,21290,
pipe,4,1024,7,28151,
pipe,4,1024,8,25451,
pipe,4,1024,9,48536,
pipe,4,1024,10,31182,
pipe,4,4096,1,30179,
pipe,4,4096,2,25985,
pipe,4,4096,3,31239,
pipe,4,4096,4,25027,
pipe,4,4096,5,22586,
pipe,4,4096,6,26940,
pipe,4,4096,7,47099,
pipe,4,4096,8,27987,
pipe,4,4096,9,23941,
pipe,4,4096,10,50886,
pipe,4,16384,1,24336,
pipe,4,16384,2,28007,
pipe,4,16384,3,25623,
pipe,4,16384,4,25231,
pipe,4,16384,5,25513,
pipe,4,16384,6,25343,
pipe,4,16384,7,22307,
pipe,4,16384,8,23940,
pipe,4,16384,9,28585,
pipe,4,16384,10,23584,
pipe,4,65536,1,24537,
pipe,4,65536,2,22356,
pipe,4,65536,3,23246,
pipe,4,65536,4,25478,
pipe,4,65536,5,61197,
pipe,4,65536,6,25937,
pipe,4,65536,7,21676,
pipe,4,65536,8,24360,
pipe,4,65536,9,24387,
pipe,4,65536,10,22463,
pipe,16,4,1,27369,
pipe,16,4,2,22122,
pipe,16,4,3,24883,
pipe,16,4,4,27420,
pipe,16,4,5,27086,
pipe,16,4,6,54252,
pipe,16,4,7,23064,
pipe,16,4,8,30343,
pipe,16,4,9,26609,
pipe,16,4,10,22687,
pipe,16,16,1,47415,
pipe,16,16,2,21338,
pipe,16,16,3,25028,
pipe,16,16,4,52025,
pipe,16,16,5,23166,
pipe,16,16,6,27028,
pipe,16,16,7,20876,
pipe,16,16,8,24176,
pipe,16,16,9,25323,
pipe,16,16,10,40485,
pipe,16,64,1,25214,
pipe,16,64,2,32572,
