mechanism, data size, buffer/package size, rep num, Transfer time,
pipe,524288,4,1,127452093,
pipe,524288,4,2,100505610,
pipe,524288,4,3,108862951,
pipe,524288,4,4,89367589,
pipe,524288,4,5,110221110,
pipe,524288,4,6,57771575,
pipe,524288,4,7,91536707,
pipe,524288,4,8,97640058,
pipe,524288,4,9,92002940,
pipe,524288,4,10,111931464,
pipe,524288,16,1,23826692,
pipe,524288,16,2,27278722,
pipe,524288,16,3,24989817,
pipe,524288,16,4,23489019,
pipe,524288,16,5,25536955,
pipe,524288,16,6,16101982,
pipe,524288,16,7,13036927,
pipe,524288,16,8,23240066,
pipe,524288,16,9,15584175,
pipe,524288,16,10,24072201,
pipe,524288,64,1,5945503,
pipe,524288,64,2,6089560,
pipe,524288,64,3,3690116,
pipe,524288,64,4,4206853,
pipe,524288,64,5,3719080,
pipe,524288,64,6,4923188,
pipe,524288,64,7,5948990,
pipe,524288,64,8,6161765,
pipe,524288,64,9,6953045,
pipe,524288,64,10,4356199,
pipe,524288,256,1,1535652,
pipe,524288,256,2,1211554,
pipe,524288,256,3,1410440,
pipe,524288,256,4,1451651,
pipe,524288,256,5,1477336,
pipe,524288,256,6,1009058,
pipe,524288,256,7,1600161,
pipe,524288,256,8,1417854,
pipe,524288,256,9,1447855,
pipe,524288,256,10,1092365,
pipe,524288,1024,1,658273,
pipe,524288,1024,2,649542,
pipe,524288,1024,3,721333,
pipe,524288,1024,4,696602,
pipe,524288,1024,5,565412,
pipe,524288,1024,6,579793,
pipe,524288,1024,7,516563,
pipe,524288,1024,8,508258,
pipe,524288,1024,9,560910,
pipe,524288,1024,10,581506,
pipe,524288,4096,1,338805,
pipe,524288,4096,2,345630,
pipe,524288,4096,3,386807,
pipe,524288,4096,4,442843,
pipe,524288,4096,5,348325,
pipe,524288,4096,6,340695,
pipe,524288,4096,7,387647,
pipe,524288,4096,8,422420,
pipe,524288,4096,9,376678,
pipe,524288,4096,10,426089,
pipe,524288,16384,1,494480,
pipe,524288,16384,2,301234,
pipe,524288,16384,3,310952,
pipe,524288,16384,4,295656,
pipe,524288,16384,5,367260,
pipe,524288,16384,6,316505,
pipe,524288,16384,7,343439,
pipe,524288,16384,8,423867,
pipe,524288,16384,9,279621,
pipe,524288,16384,10,311319,
pipe,524288,65536,1,412944,
pipe,524288,65536,2,367916,
pipe,524288,65536,3,368975,
pipe,524288,65536,4,331930,
pipe,524288,65536,5,442824,
pipe,524288,65536,6,541040,
pipe,524288,65536,7,805599,
pipe,524288,65536,8,607692,
pipe,524288,65536,9,389024,
pipe,524288,65536,10,318582,
pipe,1048576,4,1,120460396,
pipe,1048576,4,2,162092815,
pipe,1048576,4,3,176038660,
pipe,1048576,4,4,150307458,
pipe,1048576,4,5,212279096,
pipe,1048576,4,6,184610378,
pipe,1048576,4,7,181284838,
pipe,1048576,4,8,181123301,
pipe,1048576,4,9,194734094,
pipe,1048576,4,10,178828132,
