mechanism, data size, buffer/package size, rep num, Transfer time,
pipe,524288,4,1,31205,
pipe,524288,4,2,28144,
pipe,524288,4,3,31716,
pipe,524288,4,4,32807,
pipe,524288,4,5,35412,
pipe,524288,4,6,38691,
pipe,524288,4,7,42278,
pipe,524288,4,8,35269,
pipe,524288,4,9,35620,
pipe,524288,4,10,30218,
pipe,524288,16,1,7571,
pipe,524288,16,2,8850,
pipe,524288,16,3,6874,
pipe,524288,16,4,8041,
pipe,524288,16,5,8406,
pipe,524288,16,6,5795,
pipe,524288,16,7,7614,
pipe,524288,16,8,8202,
pipe,524288,16,9,6973,
pipe,524288,16,10,6560,
pipe,524288,64,1,1476,
pipe,524288,64,2,2046,
pipe,524288,64,3,1673,
pipe,524288,64,4,2097,
pipe,524288,64,5,2325,
pipe,524288,64,6,2302,
pipe,524288,64,7,2471,
pipe,524288,64,8,2219,
pipe,524288,64,9,1941,
pipe,524288,64,10,2356,
pipe,524288,256,1,518,
pipe,524288,256,2,525,
pipe,524288,256,3,411,
pipe,524288,256,4,695,
pipe,524288,256,5,384,
pipe,524288,256,6,550,
pipe,524288,256,7,415,
pipe,524288,256,8,464,
pipe,524288,256,9,433,
pipe,524288,256,10,673,
pipe,524288,1024,1,414,
pipe,524288,1024,2,524,
pipe,524288,1024,3,253,
pipe,524288,1024,4,225,
pipe,524288,1024,5,232,
pipe,524288,1024,6,211,
pipe,524288,1024,7,297,
pipe,524288,1024,8,262,
pipe,524288,1024,9,240,
pipe,524288,1024,10,240,
pipe,524288,4096,1,140,
pipe,524288,4096,2,143,
pipe,524288,4096,3,128,
pipe,524288,4096,4,338,
pipe,524288,4096,5,146,
pipe,524288,4096,6,246,
pipe,524288,4096,7,141,
pipe,524288,4096,8,147,
pipe,524288,4096,9,455,
pipe,524288,4096,10,183,
pipe,524288,16384,1,130,
pipe,524288,16384,2,197,
pipe,524288,16384,3,117,
pipe,524288,16384,4,143,
pipe,524288,16384,5,134,
pipe,524288,16384,6,105,
pipe,524288,16384,7,133,
pipe,524288,16384,8,147,
pipe,524288,16384,9,136,
pipe,524288,16384,10,149,
pipe,524288,65536,1,382,
pipe,524288,65536,2,162,
pipe,524288,65536,3,146,
pipe,524288,65536,4,199,
pipe,524288,65536,5,107,
pipe,524288,65536,6,154,
pipe,524288,65536,7,187,
pipe,524288,65536,8,188,
pipe,524288,65536,9,136,
pipe,524288,65536,10,223,
pipe,1048576,4,1,60499,
pipe,1048576,4,2,60624,
pipe,1048576,4,3,78757,
pipe,1048576,4,4,69581,
pipe,1048576,4,5,80271,
pipe,1048576,4,6,86145,
pipe,1048576,4,7,66689,
pipe,1048576,4,8,82647,
pipe,1048576,4,9,63342,
pipe,1048576,4,10,67625,
pipe,1048576,16,1,12733,
pipe,1048576,16,2,15637,
pipe,1048576,16,3,19975,
pipe,1048576,16,4,18319,
pipe,1048576,16,5,18541,
pipe,1048576,16,6,16504,
pipe,1048576,16,7,16046,
pipe,1048576,16,8,14362,
pipe,1048576,16,9,15358,
pipe,1048576,16,10,13415,
pipe,1048576,64,1,4996,
pipe,1048576,64,2,3439,
pipe,1048576,64,3,4085,
pipe,1048576,64,4,3611,
pipe,1048576,64,5,3687,
pipe,1048576,64,6,2794,
pipe,1048576,64,7,4514,
pipe,1048576,64,8,4711,
pipe,1048576,64,9,2836,
pipe,1048576,64,10,3946,
pipe,1048576,256,1,747,
pipe,1048576,256,2,786,
pipe,1048576,256,3,753,
pipe,1048576,256,4,811,
pipe,1048576,256,5,726,
pipe,1048576,256,6,1347,
pipe,1048576,256,7,1347,
pipe,1048576,256,8,778,
pipe,1048576,256,9,1114,
pipe,1048576,256,10,785,
pipe,1048576,1024,1,515,
pipe,1048576,1024,2,704,
pipe,1048576,1024,3,515,
pipe,1048576,1024,4,436,
pipe,1048576,1024,5,476,
pipe,1048576,1024,6,442,
pipe,1048576,1024,7,447,
pipe,1048576,1024,8,556,
pipe,1048576,1024,9,667,
pipe,1048576,1024,10,557,
pipe,1048576,4096,1,279,
pipe,1048576,4096,2,283,
pipe,1048576,4096,3,259,
pipe,1048576,4096,4,261,
pipe,1048576,4096,5,275,
pipe,1048576,4096,6,291,
pipe,1048576,4096,7,323,
pipe,1048576,4096,8,269,
pipe,1048576,4096,9,311,
pipe,1048576,4096,10,287,
pipe,1048576,16384,1,278,
