mechanism, data size, buffer/package size, rep num, Transfer time,
shared mem,4,4,1,24941,
shared mem,4,4,2,5736,
shared mem,4,4,3,5669,
shared mem,4,4,4,11851,
shared mem,4,4,5,8492,
shared mem,4,4,6,17093,
shared mem,4,4,7,5069,
shared mem,4,4,8,5083,
shared mem,4,4,9,5745,
shared mem,4,4,10,5038,
shared mem,4,16,1,5137,
shared mem,4,16,2,5034,
shared mem,4,16,3,16945,
shared mem,4,16,4,5063,
shared mem,4,16,5,4971,
shared mem,4,16,6,4965,
shared mem,4,16,7,5035,
shared mem,4,16,8,16503,
shared mem,4,16,9,9584,
shared mem,4,16,10,31086,
shared mem,4,64,1,19225,
shared mem,4,64,2,5179,
shared mem,4,64,3,11475,
shared mem,4,64,4,18022,
shared mem,4,64,5,5054,
shared mem,4,64,6,5093,
shared mem,4,64,7,5014,
shared mem,4,64,8,4988,
shared mem,4,64,9,5069,
shared mem,4,64,10,5258,
shared mem,4,256,1,4980,
shared mem,4,256,2,17105,
shared mem,4,256,3,4939,
shared mem,4,256,4,16729,
shared mem,4,256,5,16761,
shared mem,4,256,6,19241,
shared mem,4,256,7,5014,
shared mem,4,256,8,4974,
shared mem,4,256,9,5326,
shared mem,4,256,10,5065,
shared mem,4,1024,1,5221,
shared mem,4,1024,2,5231,
shared mem,4,1024,3,5465,
shared mem,4,1024,4,10980,
shared mem,4,1024,5,16631,
shared mem,4,1024,6,16787,
shared mem,4,1024,7,17051,
shared mem,4,1024,8,16930,
shared mem,4,1024,9,23970,
shared mem,4,1024,10,21400,
shared mem,4,4096,1,32168,
shared mem,4,4096,2,7118,
shared mem,4,4096,3,5074,
shared mem,4,4096,4,17069,
shared mem,4,4096,5,5016,
shared mem,4,4096,6,5037,
shared mem,4,4096,7,5121,
shared mem,4,4096,8,16347,
shared mem,4,4096,9,16932,
shared mem,4,4096,10,17307,
shared mem,4,16384,1,17003,
shared mem,4,16384,2,5410,
shared mem,4,16384,3,6136,
shared mem,4,16384,4,5331,
shared mem,4,16384,5,6312,
shared mem,4,16384,6,16846,
shared mem,4,16384,7,5225,
shared mem,4,16384,8,9140,
shared mem,4,16384,9,16171,
shared mem,4,16384,10,16387,
shared mem,4,65536,1,16818,
shared mem,4,65536,2,16617,
shared mem,4,65536,3,17298,
shared mem,4,65536,4,16955,
shared mem,4,65536,5,5029,
shared mem,4,65536,6,16478,
shared mem,4,65536,7,16294,
shared mem,4,65536,8,16099,
shared mem,4,65536,9,5067,
shared mem,4,65536,10,16312,
shared mem,16,4,1,16689,
