mechanism, data size, buffer/package size, rep num, Transfer time,
shared mem,524288,4,1,41803799,
shared mem,524288,4,2,47231143,
shared mem,524288,4,3,36541165,
shared mem,524288,4,4,48985980,
shared mem,524288,4,5,51478908,
shared mem,524288,4,6,46679271,
shared mem,524288,4,7,47586774,
shared mem,524288,4,8,50854284,
shared mem,524288,4,9,28917279,
shared mem,524288,4,10,49242367,
shared mem,524288,16,1,10934893,
shared mem,524288,16,2,11158411,
shared mem,524288,16,3,10614683,
shared mem,524288,16,4,11762156,
shared mem,524288,16,5,9802327,
shared mem,524288,16,6,12209141,
shared mem,524288,16,7,10958780,
shared mem,524288,16,8,10376706,
shared mem,524288,16,9,9894889,
shared mem,524288,16,10,11481732,
shared mem,524288,64,1,2338360,
shared mem,524288,64,2,2830053,
shared mem,524288,64,3,2295925,
shared mem,524288,64,4,2280218,
shared mem,524288,64,5,2310874,
shared mem,524288,64,6,2029966,
shared mem,524288,64,7,2707936,
shared mem,524288,64,8,2830151,
shared mem,524288,64,9,2406947,
shared mem,524288,64,10,2226319,
shared mem,524288,256,1,832893,
shared mem,524288,256,2,882851,
shared mem,524288,256,3,856288,
shared mem,524288,256,4,887878,
shared mem,524288,256,5,909505,
shared mem,524288,256,6,968809,
shared mem,524288,256,7,906587,
shared mem,524288,256,8,975180,
shared mem,524288,256,9,906252,
shared mem,524288,256,10,952495,
shared mem,524288,1024,1,676275,
shared mem,524288,1024,2,1274274,
shared mem,524288,1024,3,761951,
shared mem,524288,1024,4,763170,
shared mem,524288,1024,5,923408,
shared mem,524288,1024,6,808081,
shared mem,524288,1024,7,777640,
shared mem,524288,1024,8,700318,
shared mem,524288,1024,9,717364,
shared mem,524288,1024,10,700963,
shared mem,524288,4096,1,598026,
shared mem,524288,4096,2,603093,
shared mem,524288,4096,3,775362,
shared mem,524288,4096,4,753688,
shared mem,524288,4096,5,630137,
shared mem,524288,4096,6,614698,
shared mem,524288,4096,7,671299,
shared mem,524288,4096,8,752596,
shared mem,524288,4096,9,636184,
shared mem,524288,4096,10,631597,
shared mem,524288,16384,1,572190,
shared mem,524288,16384,2,590014,
shared mem,524288,16384,3,561279,
shared mem,524288,16384,4,783996,
shared mem,524288,16384,5,595014,
shared mem,524288,16384,6,587411,
shared mem,524288,16384,7,544890,
shared mem,524288,16384,8,741734,
shared mem,524288,16384,9,840847,
shared mem,524288,16384,10,637267,
shared mem,524288,65536,1,627189,
shared mem,524288,65536,2,641561,
shared mem,524288,65536,3,653925,
shared mem,524288,65536,4,516501,
shared mem,524288,65536,5,581095,
shared mem,524288,65536,6,587215,
shared mem,524288,65536,7,554049,
shared mem,524288,65536,8,736693,
shared mem,524288,65536,9,614044,
shared mem,524288,65536,10,609869,
shared mem,1048576,4,1,116077171,
shared mem,1048576,4,2,76206698,
shared mem,1048576,4,3,79936702,
shared mem,1048576,4,4,154029047,
shared mem,1048576,4,5,163839399,
shared mem,1048576,4,6,94982596,
shared mem,1048576,4,7,101786302,
shared mem,1048576,4,8,92151628,
shared mem,1048576,4,9,89274574,
shared mem,1048576,4,10,164761987,
shared mem,1048576,16,1,20098182,
shared mem,1048576,16,2,23196644,
shared mem,1048576,16,3,21446804,
shared mem,1048576,16,4,19916704,
shared mem,1048576,16,5,19111824,
shared mem,1048576,16,6,22448935,
shared mem,1048576,16,7,23141686,
shared mem,1048576,16,8,22150517,
shared mem,1048576,16,9,23517114,
shared mem,1048576,16,10,22257566,
shared mem,1048576,64,1,4517798,
shared mem,1048576,64,2,4904577,
shared mem,1048576,64,3,5562417,
shared mem,1048576,64,4,4996604,
shared mem,1048576,64,5,4234878,
shared mem,1048576,64,6,4632566,
shared mem,1048576,64,7,5114806,
shared mem,1048576,64,8,4404599,
shared mem,1048576,64,9,4149855,
shared mem,1048576,64,10,4734656,
shared mem,1048576,256,1,1725038,
shared mem,1048576,256,2,1752111,
shared mem,1048576,256,3,1759835,
shared mem,1048576,256,4,1677058,
shared mem,1048576,256,5,1666395,
shared mem,1048576,256,6,1778416,
shared mem,1048576,256,7,1677728,
shared mem,1048576,256,8,1744450,
shared mem,1048576,256,9,1637510,
shared mem,1048576,256,10,1686426,
shared mem,1048576,1024,1,1173430,
