mechanism, data size, buffer/package size, rep num, Transfer time,
shared mem,4,4,1,19,
shared mem,4,4,2,24,
shared mem,4,4,3,17,
shared mem,4,4,4,17,
shared mem,4,4,5,15,
shared mem,4,4,6,18,
shared mem,4,4,7,21,
shared mem,4,4,8,20,
shared mem,4,4,9,37,
shared mem,4,4,10,48,
shared mem,4,16,1,10,
shared mem,4,16,2,10,
shared mem,4,16,3,19,
shared mem,4,16,4,20,
shared mem,4,16,5,20,
shared mem,4,16,6,20,
shared mem,4,16,7,20,
shared mem,4,16,8,13,
shared mem,4,16,9,11,
shared mem,4,16,10,11,
shared mem,4,64,1,10,
shared mem,4,64,2,17,
shared mem,4,64,3,22,
shared mem,4,64,4,20,
shared mem,4,64,5,20,
shared mem,4,64,6,21,
shared mem,4,64,7,20,
shared mem,4,64,8,20,
shared mem,4,64,9,20,
shared mem,4,64,10,21,
shared mem,4,256,1,10,
shared mem,4,256,2,23,
shared mem,4,256,3,17,
shared mem,4,256,4,12,
shared mem,4,256,5,18,
shared mem,4,256,6,20,
shared mem,4,256,7,20,
shared mem,4,256,8,20,
shared mem,4,256,9,19,
shared mem,4,256,10,19,
shared mem,4,1024,1,20,
shared mem,4,1024,2,17,
shared mem,4,1024,3,20,
shared mem,4,1024,4,19,
shared mem,4,1024,5,20,
shared mem,4,1024,6,20,
shared mem,4,1024,7,19,
shared mem,4,1024,8,20,
shared mem,4,1024,9,21,
shared mem,4,1024,10,20,
shared mem,4,4096,1,20,
shared mem,4,4096,2,19,
shared mem,4,4096,3,10,
shared mem,4,4096,4,24,
shared mem,4,4096,5,17,
shared mem,4,4096,6,10,
shared mem,4,4096,7,18,
shared mem,4,4096,8,19,
shared mem,4,4096,9,19,
shared mem,4,4096,10,20,
shared mem,4,16384,1,20,
shared mem,4,16384,2,20,
shared mem,4,16384,3,20,
shared mem,4,16384,4,20,
shared mem,4,16384,5,20,
shared mem,4,16384,6,20,
shared mem,4,16384,7,20,
shared mem,4,16384,8,20,
shared mem,4,16384,9,20,
shared mem,4,16384,10,20,
shared mem,4,65536,1,20,
shared mem,4,65536,2,20,
shared mem,4,65536,3,21,
shared mem,4,65536,4,20,
shared mem,4,65536,5,12,
shared mem,4,65536,6,10,
shared mem,4,65536,7,11,
shared mem,4,65536,8,17,
shared mem,4,65536,9,20,
shared mem,4,65536,10,19,
shared mem,16,4,1,20,
shared mem,16,4,2,20,
shared mem,16,4,3,20,
shared mem,16,4,4,20,
shared mem,16,4,5,20,
shared mem,16,4,6,20,
shared mem,16,4,7,20,
shared mem,16,4,8,20,
shared mem,16,4,9,20,
shared mem,16,4,10,20,
shared mem,16,16,1,20,
shared mem,16,16,2,20,
shared mem,16,16,3,23,
shared mem,16,16,4,22,
shared mem,16,16,5,20,
shared mem,16,16,6,21,
shared mem,16,16,7,11,
shared mem,16,16,8,21,
shared mem,16,16,9,13,
shared mem,16,16,10,21,
shared mem,16,64,1,12,
shared mem,16,64,2,13,
shared mem,16,64,3,10,
shared mem,16,64,4,10,
shared mem,16,64,5,10,
shared mem,16,64,6,13,
shared mem,16,64,7,10,
shared mem,16,64,8,12,
shared mem,16,64,9,14,
shared mem,16,64,10,11,
shared mem,16,256,1,11,
shared mem,16,256,2,18,
shared mem,16,256,3,20,
shared mem,16,256,4,20,
shared mem,16,256,5,20,
shared mem,16,256,6,20,
shared mem,16,256,7,20,
shared mem,16,256,8,21,
shared mem,16,256,9,10,
shared mem,16,256,10,23,
shared mem,16,1024,1,10,
shared mem,16,1024,2,17,
shared mem,16,1024,3,20,
shared mem,16,1024,4,21,
shared mem,16,1024,5,20,
shared mem,16,1024,6,20,
shared mem,16,1024,7,20,
shared mem,16,1024,8,20,
shared mem,16,1024,9,20,
shared mem,16,1024,10,19,
shared mem,16,4096,1,20,
shared mem,16,4096,2,20,
shared mem,16,4096,3,19,
shared mem,16,4096,4,22,
shared mem,16,4096,5,20,
shared mem,16,4096,6,19,
shared mem,16,4096,7,22,
shared mem,16,4096,8,19,
shared mem,16,4096,9,20,
shared mem,16,4096,10,12,
shared mem,16,16384,1,17,
shared mem,16,16384,2,22,
shared mem,16,16384,3,11,
shared mem,16,16384,4,18,
shared mem,16,16384,5,20,
shared mem,16,16384,6,20,
shared mem,16,16384,7,20,
shared mem,16,16384,8,19,
shared mem,16,16384,9,21,
shared mem,16,16384,10,20,
shared mem,16,65536,1,20,
shared mem,16,65536,2,20,
shared mem,16,65536,3,20,
shared mem,16,65536,4,19,
shared mem,16,65536,5,20,
shared mem,16,65536,6,20,
shared mem,16,65536,7,21,
shared mem,16,65536,8,20,
shared mem,16,65536,9,19,
shared mem,16,65536,10,19,
shared mem,64,4,1,44,
shared mem,64,4,2,12,
shared mem,64,4,3,11,
shared mem,64,4,4,11,
shared mem,64,4,5,18,
shared mem,64,4,6,20,
shared mem,64,4,7,20,
shared mem,64,4,8,21,
shared mem,64,4,9,20,
shared mem,64,4,10,19,
shared mem,64,16,1,19,
shared mem,64,16,2,20,
shared mem,64,16,3,20,
shared mem,64,16,4,20,
shared mem,64,16,5,21,
shared mem,64,16,6,20,
shared mem,64,16,7,19,
shared mem,64,16,8,19,
shared mem,64,16,9,20,
shared mem,64,16,10,19,
shared mem,64,64,1,19,
shared mem,64,64,2,19,
shared mem,64,64,3,10,
shared mem,64,64,4,10,
shared mem,64,64,5,19,
shared mem,64,64,6,10,
shared mem,64,64,7,11,
shared mem,64,64,8,18,
shared mem,64,64,9,20,
shared mem,64,64,10,20,
shared mem,64,256,1,21,
shared mem,64,256,2,20,
shared mem,64,256,3,20,
shared mem,64,256,4,20,
shared mem,64,256,5,23,
shared mem,64,256,6,22,
shared mem,64,256,7,24,
shared mem,64,256,8,13,
shared mem,64,256,9,12,
shared mem,64,256,10,15,
shared mem,64,1024,1,12,
shared mem,64,1024,2,20,
shared mem,64,1024,3,10,
shared mem,64,1024,4,12,
shared mem,64,1024,5,16,
shared mem,64,1024,6,22,
shared mem,64,1024,7,20,
shared mem,64,1024,8,13,
shared mem,64,1024,9,19,
shared mem,64,1024,10,19,
shared mem,64,4096,1,21,
shared mem,64,4096,2,19,
shared mem,64,4096,3,20,
shared mem,64,4096,4,22,
shared mem,64,4096,5,20,
shared mem,64,4096,6,20,
shared mem,64,4096,7,20,
shared mem,64,4096,8,20,
shared mem,64,4096,9,20,
shared mem,64,4096,10,20,
shared mem,64,16384,1,21,
shared mem,64,16384,2,21,
shared mem,64,16384,3,19,
shared mem,64,16384,4,11,
shared mem,64,16384,5,18,
shared mem,64,16384,6,20,
shared mem,64,16384,7,11,
shared mem,64,16384,8,17,
shared mem,64,16384,9,21,
shared mem,64,16384,10,19,
shared mem,64,65536,1,20,
shared mem,64,65536,2,20,
shared mem,64,65536,3,19,
shared mem,64,65536,4,21,
shared mem,64,65536,5,20,
shared mem,64,65536,6,19,
shared mem,64,65536,7,21,
shared mem,64,65536,8,19,
shared mem,64,65536,9,19,
shared mem,64,65536,10,20,
shared mem,256,4,1,23,
shared mem,256,4,2,22,
shared mem,256,4,3,23,
shared mem,256,4,4,23,
shared mem,256,4,5,14,
shared mem,256,4,6,12,
shared mem,256,4,7,13,
shared mem,256,4,8,19,
shared mem,256,4,9,22,
shared mem,256,4,10,22,
shared mem,256,16,1,21,
shared mem,256,16,2,22,
shared mem,256,16,3,21,
shared mem,256,16,4,22,
shared mem,256,16,5,21,
shared mem,256,16,6,21,
shared mem,256,16,7,21,
shared mem,256,16,8,21,
shared mem,256,16,9,21,
shared mem,256,16,10,22,
shared mem,256,64,1,21,
shared mem,256,64,2,21,
shared mem,256,64,3,20,
shared mem,256,64,4,21,
shared mem,256,64,5,23,
shared mem,256,64,6,11,
shared mem,256,64,7,11,
shared mem,256,64,8,11,
shared mem,256,64,9,12,
shared mem,256,64,10,19,
shared mem,256,256,1,21,
shared mem,256,256,2,21,
shared mem,256,256,3,21,
shared mem,256,256,4,20,
shared mem,256,256,5,23,
shared mem,256,256,6,20,
shared mem,256,256,7,20,
shared mem,256,256,8,21,
shared mem,256,256,9,20,
shared mem,256,256,10,20,
shared mem,256,1024,1,21,
shared mem,256,1024,2,20,
shared mem,256,1024,3,23,
shared mem,256,1024,4,20,
shared mem,256,1024,5,20,
shared mem,256,1024,6,14,
shared mem,256,1024,7,11,
shared mem,256,1024,8,21,
shared mem,256,1024,9,19,
shared mem,256,1024,10,22,
shared mem,256,4096,1,11,
shared mem,256,4096,2,19,
shared mem,256,4096,3,20,
shared mem,256,4096,4,21,
shared mem,256,4096,5,20,
shared mem,256,4096,6,20,
