mechanism, data size, buffer/package size, rep num, Transfer time,
socket,4,4,1,13309,
socket,4,4,2,10481,
socket,4,4,3,10917,
socket,4,4,4,13615,
socket,4,4,5,10659,
socket,4,4,6,9738,
socket,4,4,7,9546,
socket,4,4,8,9391,
socket,4,4,9,10231,
socket,4,4,10,14685,
socket,4,16,1,9687,
socket,4,16,2,13058,
socket,4,16,3,16632,
socket,4,16,4,9853,
socket,4,16,5,9772,
socket,4,16,6,9106,
socket,4,16,7,8997,
socket,4,16,8,9802,
socket,4,16,9,8768,
socket,4,16,10,9032,
socket,4,64,1,9138,
socket,4,64,2,14583,
socket,4,64,3,13948,
socket,4,64,4,9214,
socket,4,64,5,8912,
socket,4,64,6,11054,
socket,4,64,7,9634,
socket,4,64,8,9451,
socket,4,64,9,9786,
socket,4,64,10,9043,
socket,4,256,1,9186,
socket,4,256,2,8781,
socket,4,256,3,9232,
socket,4,256,4,8830,
socket,4,256,5,9967,
socket,4,256,6,9653,
socket,4,256,7,9071,
socket,4,256,8,9133,
socket,4,256,9,9053,
socket,4,256,10,9023,
socket,4,1024,1,8904,
socket,4,1024,2,8909,
socket,4,1024,3,10160,
socket,4,1024,4,10541,
socket,4,1024,5,9402,
socket,4,1024,6,9432,
socket,4,1024,7,8962,
socket,4,1024,8,9245,
socket,4,1024,9,9059,
socket,4,1024,10,8950,
socket,4,4096,1,8965,
socket,4,4096,2,9128,
socket,4,4096,3,9544,
socket,4,4096,4,9206,
socket,4,4096,5,8772,
socket,4,4096,6,9132,
socket,4,4096,7,8899,
socket,4,4096,8,10563,
socket,4,4096,9,9510,
socket,4,4096,10,9598,
socket,4,16384,1,9213,
socket,4,16384,2,9247,
socket,4,16384,3,8941,
socket,4,16384,4,9954,
socket,4,16384,5,9072,
socket,4,16384,6,9368,
socket,4,16384,7,9512,
socket,4,16384,8,16973,
socket,4,16384,9,9778,
socket,4,16384,10,8895,
socket,4,65536,1,10448,
socket,4,65536,2,9803,
socket,4,65536,3,19324,
socket,4,65536,4,35896,
socket,4,65536,5,10791,
socket,4,65536,6,9702,
socket,4,65536,7,9201,
socket,4,65536,8,9433,
socket,4,65536,9,9132,
socket,4,65536,10,9070,
socket,16,4,1,21235,
socket,16,4,2,24042,
socket,16,4,3,23128,
socket,16,4,4,21487,
socket,16,4,5,20471,
socket,16,4,6,20766,
socket,16,4,7,20093,
socket,16,4,8,20355,
socket,16,4,9,20148,
socket,16,4,10,20931,
socket,16,16,1,9259,
socket,16,16,2,10287,
socket,16,16,3,9487,
socket,16,16,4,9259,
socket,16,16,5,8778,
socket,16,16,6,9250,
socket,16,16,7,8956,
socket,16,16,8,15229,
socket,16,16,9,9029,
socket,16,16,10,11870,
socket,16,64,1,10381,
socket,16,64,2,10691,
socket,16,64,3,13349,
socket,16,64,4,12208,
socket,16,64,5,11402,
socket,16,64,6,10655,
socket,16,64,7,11929,
socket,16,64,8,11766,
socket,16,64,9,26342,
socket,16,64,10,12157,
socket,16,256,1,10207,
socket,16,256,2,10297,
socket,16,256,3,10420,
socket,16,256,4,12104,
socket,16,256,5,9922,
socket,16,256,6,9967,
socket,16,256,7,12264,
socket,16,256,8,12020,
socket,16,256,9,12587,
socket,16,256,10,10110,
socket,16,1024,1,9789,
socket,16,1024,2,9322,
socket,16,1024,3,8979,
socket,16,1024,4,9407,
socket,16,1024,5,10177,
socket,16,1024,6,9968,
socket,16,1024,7,11525,
socket,16,1024,8,25174,
socket,16,1024,9,9036,
socket,16,1024,10,9063,
socket,16,4096,1,12071,
socket,16,4096,2,21616,
socket,16,4096,3,10446,
socket,16,4096,4,59988,
socket,16,4096,5,11918,
socket,16,4096,6,461365,
socket,16,4096,7,11809,
socket,16,4096,8,10359,
socket,16,4096,9,14375,
socket,16,4096,10,10353,
socket,16,16384,1,9217,
socket,16,16384,2,12364,
socket,16,16384,3,9240,
socket,16,16384,4,9048,
socket,16,16384,5,12832,
socket,16,16384,6,18501,
socket,16,16384,7,50275,
socket,16,16384,8,18782,
socket,16,16384,9,10132,
socket,16,16384,10,9641,
socket,16,65536,1,39395,
socket,16,65536,2,28799,
socket,16,65536,3,9226,
socket,16,65536,4,9323,
socket,16,65536,5,11232,
socket,16,65536,6,9755,
socket,16,65536,7,10354,
socket,16,65536,8,10850,
socket,16,65536,9,34598,
socket,16,65536,10,52901,
socket,64,4,1,61651,
socket,64,4,2,61284,
socket,64,4,3,58325,
socket,64,4,4,60985,
socket,64,4,5,60338,
socket,64,4,6,66276,
socket,64,4,7,64832,
socket,64,4,8,74590,
socket,64,4,9,83872,
socket,64,4,10,77192,
socket,64,16,1,24056,
socket,64,16,2,28502,
socket,64,16,3,29748,
socket,64,16,4,23203,
socket,64,16,5,19994,
socket,64,16,6,22646,
socket,64,16,7,22803,
socket,64,16,8,23625,
socket,64,16,9,48276,
socket,64,16,10,37583,
socket,64,64,1,48845,
socket,64,64,2,11457,
socket,64,64,3,10122,
socket,64,64,4,25140,
socket,64,64,5,20785,
socket,64,64,6,25828,
socket,64,64,7,27810,
socket,64,64,8,24269,
socket,64,64,9,26506,
socket,64,64,10,30261,
socket,64,256,1,66928,
socket,64,256,2,74284,
socket,64,256,3,41965,
socket,64,256,4,88536,
socket,64,256,5,44505,
socket,64,256,6,43358,
socket,64,256,7,94555,
socket,64,256,8,83054,
socket,64,256,9,56516,
socket,64,256,10,95326,
socket,64,1024,1,47177,
