mechanism, data size, buffer/package size, rep num, Transfer time,
socket,4,4,1,34133,
socket,4,4,2,29281,
socket,4,4,3,28943,
socket,4,4,4,27210,
socket,4,4,5,25338,
socket,4,4,6,27296,
socket,4,4,7,25889,
socket,4,4,8,25380,
socket,4,4,9,25001,
socket,4,4,10,23816,
socket,4,16,1,23448,
socket,4,16,2,24051,
socket,4,16,3,24013,
socket,4,16,4,24786,
socket,4,16,5,24751,
socket,4,16,6,24285,
socket,4,16,7,23404,
socket,4,16,8,23353,
socket,4,16,9,23290,
socket,4,16,10,23321,
socket,4,64,1,23143,
socket,4,64,2,23601,
socket,4,64,3,23136,
socket,4,64,4,23376,
socket,4,64,5,23783,
socket,4,64,6,23739,
socket,4,64,7,23237,
socket,4,64,8,24333,
socket,4,64,9,23519,
socket,4,64,10,23000,
socket,4,256,1,24225,
socket,4,256,2,23887,
socket,4,256,3,23378,
socket,4,256,4,23834,
socket,4,256,5,24336,
socket,4,256,6,23426,
socket,4,256,7,23408,
socket,4,256,8,23743,
socket,4,256,9,23319,
socket,4,256,10,24251,
socket,4,1024,1,23810,
socket,4,1024,2,23698,
socket,4,1024,3,24007,
socket,4,1024,4,23317,
socket,4,1024,5,23830,
socket,4,1024,6,24176,
socket,4,1024,7,24020,
socket,4,1024,8,25459,
socket,4,1024,9,24860,
socket,4,1024,10,37353,
socket,4,4096,1,27043,
socket,4,4096,2,24938,
socket,4,4096,3,25709,
socket,4,4096,4,23876,
socket,4,4096,5,25262,
socket,4,4096,6,23928,
socket,4,4096,7,24076,
socket,4,4096,8,23563,
socket,4,4096,9,24756,
socket,4,4096,10,26985,
socket,4,16384,1,23915,
socket,4,16384,2,23624,
socket,4,16384,3,24566,
socket,4,16384,4,23679,
socket,4,16384,5,24196,
socket,4,16384,6,23506,
socket,4,16384,7,24115,
socket,4,16384,8,23324,
socket,4,16384,9,27743,
socket,4,16384,10,62657,
socket,4,65536,1,29633,
socket,4,65536,2,60522,
socket,4,65536,3,24682,
socket,4,65536,4,41079,
socket,4,65536,5,22850,
socket,4,65536,6,22955,
socket,4,65536,7,23024,
socket,4,65536,8,22438,
socket,4,65536,9,22312,
socket,4,65536,10,23624,
socket,16,4,1,54504,
socket,16,4,2,52214,
socket,16,4,3,61774,
socket,16,4,4,52926,
socket,16,4,5,53713,
socket,16,4,6,55014,
socket,16,4,7,57125,
socket,16,4,8,51750,
socket,16,4,9,60033,
socket,16,4,10,73280,
socket,16,16,1,26212,
socket,16,16,2,32617,
socket,16,16,3,31105,
socket,16,16,4,29831,
socket,16,16,5,29385,
socket,16,16,6,27983,
socket,16,16,7,27942,
socket,16,16,8,26010,
socket,16,16,9,33240,
socket,16,16,10,84506,
socket,16,64,1,23394,
socket,16,64,2,25252,
socket,16,64,3,28286,
socket,16,64,4,27269,
socket,16,64,5,34564,
socket,16,64,6,69001,
socket,16,64,7,23575,
socket,16,64,8,23423,
socket,16,64,9,24340,
socket,16,64,10,65351,
socket,16,256,1,27831,
socket,16,256,2,25177,
socket,16,256,3,29583,
socket,16,256,4,25180,
socket,16,256,5,25974,
socket,16,256,6,24007,
socket,16,256,7,23109,
socket,16,256,8,25796,
socket,16,256,9,24197,
socket,16,256,10,31241,
socket,16,1024,1,66428,
socket,16,1024,2,24178,
socket,16,1024,3,23202,
socket,16,1024,4,23288,
socket,16,1024,5,24938,
socket,16,1024,6,133328,
socket,16,1024,7,61919,
socket,16,1024,8,23698,
socket,16,1024,9,23898,
socket,16,1024,10,23387,
socket,16,4096,1,22957,
socket,16,4096,2,33679,
socket,16,4096,3,129493,
socket,16,4096,4,27159,
