mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
socket,4,100000,2,115709,365815,
socket,4,100000,4,76370,311616,
socket,4,100000,6,62153,287518,
socket,4,100000,8,58728,278487,
socket,4,100000,10,56694,277048,
socket,4,100000,12,55148,276309,
socket,4,100000,14,53745,272956,
socket,4,100000,16,52073,264917,
socket,4,100000,18,50370,267576,
socket,4,100000,20,48420,259513,
socket,4,100000,22,46512,253848,
socket,4,100000,24,45013,248673,
socket,4,100000,26,43770,244322,
socket,4,100000,28,42830,243272,
socket,4,100000,30,41795,241187,
socket,4,100000,32,41242,238772,
socket,4,100000,34,40401,236410,
socket,4,100000,36,39699,234809,
socket,4,100000,38,39115,234083,
socket,4,100000,40,38548,232306,
socket,4,100000,42,37988,231373,
socket,4,100000,44,37669,230596,
socket,4,100000,46,37282,229734,
socket,4,100000,48,36946,228500,
socket,4,100000,50,36459,227158,
socket,4,100000,52,36152,226379,
socket,4,100000,54,35894,225665,
socket,4,100000,56,35663,225299,
socket,4,100000,58,35457,225578,
socket,4,100000,60,35191,224797,
socket,4,100000,62,34990,224164,
socket,4,100000,64,34813,224362,
socket,4,100000,66,34596,223730,
socket,4,100000,68,34379,222614,
socket,4,100000,70,34198,222117,
socket,4,100000,72,34037,221568,
socket,4,100000,74,33975,220779,
socket,4,100000,76,33833,220428,
socket,4,100000,78,33682,220005,
socket,4,100000,80,33571,219697,
socket,16,100000,2,30139,214314,
socket,16,100000,4,28705,215371,
socket,16,100000,6,28532,211912,
socket,16,100000,8,28204,207452,
socket,16,100000,10,28050,205734,
socket,16,100000,12,28511,207198,
socket,16,100000,14,28677,206632,
socket,16,100000,16,28494,207060,
socket,16,100000,18,28922,207635,
socket,16,100000,20,28964,211651,
socket,16,100000,22,28997,212160,
socket,16,100000,24,28757,211671,
socket,16,100000,26,28865,211760,
socket,16,100000,28,28908,212786,
socket,16,100000,30,28975,213158,
socket,16,100000,32,29108,214387,
socket,16,100000,34,29045,214715,
socket,16,100000,36,28949,215130,
socket,16,100000,38,28911,215341,
socket,16,100000,40,28890,215319,
socket,16,100000,42,28980,215294,
socket,16,100000,44,28928,216791,
socket,16,100000,46,28959,216396,
socket,16,100000,48,28934,217335,
socket,16,100000,50,28956,217262,
socket,16,100000,52,29010,217788,
socket,16,100000,54,29080,217867,
socket,16,100000,56,29189,218179,
socket,16,100000,58,29145,218171,
socket,16,100000,60,29109,218834,
socket,16,100000,62,29398,219393,
socket,16,100000,64,29344,219645,
socket,16,100000,66,29339,219763,
socket,16,100000,68,29452,219794,
socket,16,100000,70,29450,219580,
socket,16,100000,72,29492,219616,
socket,16,100000,74,29486,219917,
socket,16,100000,76,29474,220456,
