mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
pipe,4,1000,2,16940,151719,
pipe,4,1000,4,25616,158968,
pipe,4,1000,6,23421,150966,
pipe,4,1000,8,22817,150340,
pipe,4,1000,10,21685,143138,
pipe,4,1000,12,25756,139086,
pipe,4,1000,14,24560,134321,
pipe,4,1000,16,23939,130761,
pipe,4,1000,18,23196,127635,
pipe,4,1000,20,22785,125219,
pipe,4,1000,22,22133,122451,
pipe,4,1000,24,21900,120698,
pipe,4,1000,26,21389,118667,
pipe,4,1000,28,21134,117550,
pipe,4,1000,30,20839,117418,
pipe,4,1000,32,20586,116461,
pipe,4,1000,34,20913,117412,
pipe,4,1000,36,20784,117681,
pipe,4,1000,38,21042,117505,
pipe,4,1000,40,20919,117039,
pipe,4,1000,42,20803,116175,
pipe,4,1000,44,20734,116724,
pipe,4,1000,46,20712,116350,
pipe,4,1000,48,20700,116361,
pipe,4,1000,50,21200,115588,
pipe,4,1000,52,21077,114922,
pipe,4,1000,54,20920,114616,
pipe,4,1000,56,20789,114341,
pipe,4,1000,58,20622,114027,
pipe,4,1000,60,20530,113515,
pipe,4,1000,62,20486,113460,
pipe,4,1000,64,20420,113244,
pipe,4,1000,66,20732,113635,
pipe,4,1000,68,20594,113393,
pipe,4,1000,70,20766,113592,
pipe,4,1000,72,20773,113586,
pipe,4,1000,74,21602,113752,
pipe,4,1000,76,21453,113677,
pipe,4,1000,78,21271,113421,
pipe,4,1000,80,21092,113011,
pipe,16,1000,2,30753,97360,
pipe,16,1000,4,26378,98536,
pipe,16,1000,6,27921,104862,
pipe,16,1000,8,27554,105926,
pipe,16,1000,10,26507,106360,
pipe,16,1000,12,28391,106366,
pipe,16,1000,14,26722,105629,
pipe,16,1000,16,25140,104857,
pipe,16,1000,18,24505,104227,
pipe,16,1000,20,23876,104113,
pipe,16,1000,22,25041,105427,
pipe,16,1000,24,24557,105269,
pipe,16,1000,26,24348,105163,
pipe,16,1000,28,24261,105325,
pipe,16,1000,30,23855,105204,
pipe,16,1000,32,23600,105422,
pipe,16,1000,34,23307,105157,
pipe,16,1000,36,23049,105054,
pipe,16,1000,38,22789,104943,
pipe,16,1000,40,22652,104999,
pipe,16,1000,42,22381,104812,
pipe,16,1000,44,21962,104502,
pipe,16,1000,46,21929,104552,
pipe,16,1000,48,21871,104557,
pipe,16,1000,50,21932,104696,
pipe,16,1000,52,21790,104501,
pipe,16,1000,54,21889,105173,
pipe,16,1000,56,21633,104927,
pipe,16,1000,58,21363,104756,
pipe,16,1000,60,21132,104477,
pipe,16,1000,62,21034,104294,
pipe,16,1000,64,21013,104160,
pipe,16,1000,66,20943,103910,
pipe,16,1000,68,21249,103866,
pipe,16,1000,70,21222,103821,
pipe,16,1000,72,21146,104028,
pipe,16,1000,74,21343,104167,
pipe,16,1000,76,21336,104174,
pipe,16,1000,78,21267,104061,
pipe,16,1000,80,21153,103988,
pipe,64,1000,2,23661,108809,
pipe,64,1000,4,21725,105462,
pipe,64,1000,6,19926,104639,
pipe,64,1000,8,18123,106326,
pipe,64,1000,10,20991,104841,
pipe,64,1000,12,23116,103797,
pipe,64,1000,14,22332,103759,
pipe,64,1000,16,22414,104370,
pipe,64,1000,18,22054,104732,
pipe,64,1000,20,21517,104071,
pipe,64,1000,22,21296,103543,
pipe,64,1000,24,21668,104964,
pipe,64,1000,26,21679,106571,
pipe,64,1000,28,21364,106623,
pipe,64,1000,30,21303,107115,
pipe,64,1000,32,21260,106757,
pipe,64,1000,34,21095,107271,
pipe,64,1000,36,21084,106951,
pipe,64,1000,38,21472,107284,
pipe,64,1000,40,20962,106832,
pipe,64,1000,42,21431,106600,
pipe,64,1000,44,21296,106276,
