mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
pipe,4,5000,2,85051,140513,
pipe,4,5000,4,69852,126963,
pipe,4,5000,6,62990,122190,
pipe,4,5000,8,55254,117520,
pipe,4,5000,10,47873,105588,
pipe,4,5000,12,42966,97135,
pipe,4,5000,14,39079,90921,
pipe,4,5000,16,36204,86099,
pipe,4,5000,18,34472,82673,
pipe,4,5000,20,32728,79735,
pipe,4,5000,22,31390,76907,
pipe,4,5000,24,30123,74797,
pipe,4,5000,26,29025,72821,
pipe,4,5000,28,28188,71348,
pipe,4,5000,30,27403,69757,
pipe,4,5000,32,26796,68625,
pipe,4,5000,34,26155,67529,
pipe,4,5000,36,25594,66569,
pipe,4,5000,38,25163,65526,
pipe,4,5000,40,24737,64714,
pipe,4,5000,42,24423,64102,
pipe,4,5000,44,24073,63467,
pipe,4,5000,46,23735,62871,
pipe,4,5000,48,23448,62308,
pipe,4,5000,50,23172,61730,
pipe,4,5000,52,22949,61250,
pipe,4,5000,54,22703,60846,
pipe,4,5000,56,22457,60447,
pipe,4,5000,58,22273,59960,
pipe,4,5000,60,22073,59608,
pipe,4,5000,62,21934,59227,
pipe,4,5000,64,21741,58975,
pipe,4,5000,66,21573,58705,
pipe,4,5000,68,21429,58442,
pipe,4,5000,70,21290,58102,
pipe,4,5000,72,21195,57859,
pipe,4,5000,74,21054,57641,
pipe,4,5000,76,20913,57459,
pipe,4,5000,78,20819,57264,
pipe,4,5000,80,20710,57081,
pipe,16,5000,2,17482,48157,
pipe,16,5000,4,16758,48846,
pipe,16,5000,6,16645,48745,
pipe,16,5000,8,16883,48818,
pipe,16,5000,10,16761,48456,
pipe,16,5000,12,17078,48404,
pipe,16,5000,14,16845,48511,
pipe,16,5000,16,16761,48672,
pipe,16,5000,18,16848,48801,
pipe,16,5000,20,16806,48744,
pipe,16,5000,22,16878,48768,
pipe,16,5000,24,16779,48895,
pipe,16,5000,26,16716,48849,
pipe,16,5000,28,16761,48860,
pipe,16,5000,30,16727,48811,
pipe,16,5000,32,16922,49002,
pipe,16,5000,34,17051,49206,
pipe,16,5000,36,17033,49223,
pipe,16,5000,38,17068,49230,
pipe,16,5000,40,17050,49192,
pipe,16,5000,42,17089,49292,
pipe,16,5000,44,17047,49436,
pipe,16,5000,46,17015,49439,
pipe,16,5000,48,17037,49445,
pipe,16,5000,50,17026,49489,
pipe,16,5000,52,17063,49629,
pipe,16,5000,54,17020,49647,
pipe,16,5000,56,17001,49693,
pipe,16,5000,58,17016,49709,
pipe,16,5000,60,17085,49759,
pipe,16,5000,62,17108,49757,
pipe,16,5000,64,17056,49766,
pipe,16,5000,66,17025,49720,
pipe,16,5000,68,17034,49729,
pipe,16,5000,70,17016,49723,
pipe,16,5000,72,17043,49743,
pipe,16,5000,74,17002,49714,
pipe,16,5000,76,16971,49682,
pipe,16,5000,78,16979,49647,
pipe,16,5000,80,16979,49664,
pipe,64,5000,2,17743,50754,
pipe,64,5000,4,17624,50003,
pipe,64,5000,6,17996,50152,
pipe,64,5000,8,17932,50097,
pipe,64,5000,10,17410,49659,
pipe,64,5000,12,17479,49810,
pipe,64,5000,14,17472,49589,
pipe,64,5000,16,17331,49574,
pipe,64,5000,18,17374,49537,
pipe,64,5000,20,17226,49674,
pipe,64,5000,22,17279,49751,
pipe,64,5000,24,17294,49816,
pipe,64,5000,26,17198,50157,
pipe,64,5000,28,17272,50502,
pipe,64,5000,30,17145,50322,
pipe,64,5000,32,17203,50458,
pipe,64,5000,34,17221,50377,
pipe,64,5000,36,17149,50395,
pipe,64,5000,38,17219,50351,
pipe,64,5000,40,17145,50288,
pipe,64,5000,42,17180,50178,
pipe,64,5000,44,17188,50175,
pipe,64,5000,46,17145,50102,
pipe,64,5000,48,17171,50126,
pipe,64,5000,50,17106,50102,
pipe,64,5000,52,17124,50155,
pipe,64,5000,54,17145,50125,
pipe,64,5000,56,17112,50185,
pipe,64,5000,58,17130,50125,
pipe,64,5000,60,17080,50121,
pipe,64,5000,62,17097,50064,
pipe,64,5000,64,17103,50103,
pipe,64,5000,66,17079,50045,
pipe,64,5000,68,17087,50055,
pipe,64,5000,70,17034,50006,
pipe,64,5000,72,17052,50048,
pipe,64,5000,74,17054,49994,
pipe,64,5000,76,17035,50019,
pipe,64,5000,78,17049,50018,
pipe,64,5000,80,17015,50040,
pipe,256,5000,2,16571,47916,
pipe,256,5000,4,16896,49902,
pipe,256,5000,6,16697,49576,
pipe,256,5000,8,16896,49813,
pipe,256,5000,10,16814,49721,
pipe,256,5000,12,16925,50008,
pipe,256,5000,14,16980,50009,
pipe,256,5000,16,16871,50274,
pipe,256,5000,18,17176,50645,
pipe,256,5000,20,17047,50652,
pipe,256,5000,22,17046,50495,
pipe,256,5000,24,17105,50739,
pipe,256,5000,26,17011,50829,
pipe,256,5000,28,17097,50950,
pipe,256,5000,30,16986,50927,
pipe,256,5000,32,16995,50936,
pipe,256,5000,34,17025,50962,
pipe,256,5000,36,16975,50900,
pipe,256,5000,38,17009,50903,
pipe,256,5000,40,16951,50930,
pipe,256,5000,42,16912,50894,
pipe,256,5000,44,16950,50910,
pipe,256,5000,46,16886,50879,
pipe,256,5000,48,16912,50879,
pipe,256,5000,50,16933,50846,
pipe,256,5000,52,16920,50874,
pipe,256,5000,54,16946,50876,
pipe,256,5000,56,16895,50821,
pipe,256,5000,58,16987,50820,
pipe,256,5000,60,16999,50863,
pipe,256,5000,62,16971,50853,
pipe,256,5000,64,16997,50868,
pipe,256,5000,66,16951,50814,
pipe,256,5000,68,16980,50816,
pipe,256,5000,70,16988,50818,
pipe,256,5000,72,16971,50796,
pipe,256,5000,74,16988,50784,
pipe,256,5000,76,16951,50783,
pipe,256,5000,78,17023,50804,
pipe,256,5000,80,17034,50797,
pipe,1024,5000,2,16265,51804,
pipe,1024,5000,4,17117,51604,
pipe,1024,5000,6,16655,51338,
pipe,1024,5000,8,17550,52291,
pipe,1024,5000,10,17640,52126,
pipe,1024,5000,12,17412,52291,
pipe,1024,5000,14,17443,52030,
pipe,1024,5000,16,17562,52003,
pipe,1024,5000,18,17666,52848,
pipe,1024,5000,20,17894,53270,
pipe,1024,5000,22,17673,53286,
pipe,1024,5000,24,17670,53454,
pipe,1024,5000,26,17605,53390,
pipe,1024,5000,28,17510,53351,
pipe,1024,5000,30,17490,53391,
pipe,1024,5000,32,17355,53386,
pipe,1024,5000,34,17363,53346,
pipe,1024,5000,36,17339,53421,
pipe,1024,5000,38,17237,53320,
pipe,1024,5000,40,17227,53306,
pipe,1024,5000,42,17136,53263,
pipe,1024,5000,44,17237,53363,
pipe,1024,5000,46,17224,53307,
pipe,1024,5000,48,17161,53332,
pipe,1024,5000,50,17174,53250,
pipe,1024,5000,52,17077,53251,
pipe,1024,5000,54,17094,53207,
pipe,1024,5000,56,17090,53218,
pipe,1024,5000,58,17054,53192,
pipe,1024,5000,60,17057,53238,
pipe,1024,5000,62,16995,53180,
pipe,1024,5000,64,17022,53238,
pipe,1024,5000,66,17028,53219,
pipe,1024,5000,68,17004,53240,
pipe,1024,5000,70,17013,53193,
pipe,1024,5000,72,16967,53203,
pipe,1024,5000,74,17030,53252,
pipe,1024,5000,76,17081,53349,
pipe,1024,5000,78,17055,53357,
pipe,1024,5000,80,17066,53391,
pipe,4096,5000,2,14818,55156,
pipe,4096,5000,4,15180,55618,
pipe,4096,5000,6,15121,54793,
pipe,4096,5000,8,15136,55124,
pipe,4096,5000,10,15261,55094,
pipe,4096,5000,12,15564,55520,
pipe,4096,5000,14,15676,55247,
pipe,4096,5000,16,15528,55123,
pipe,4096,5000,18,15438,54988,
pipe,4096,5000,20,15351,55024,
pipe,4096,5000,22,15344,54930,
pipe,4096,5000,24,15310,55085,
pipe,4096,5000,26,15307,55060,
pipe,4096,5000,28,15428,55121,
pipe,4096,5000,30,16568,89773,
pipe,4096,5000,32,17152,89965,
pipe,4096,5000,34,16949,88977,
pipe,4096,5000,36,16881,88494,
pipe,4096,5000,38,16788,86852,
pipe,4096,5000,40,17160,85923,
pipe,4096,5000,42,18150,85601,
pipe,4096,5000,44,18341,84697,
pipe,4096,5000,46,18155,83459,
pipe,4096,5000,48,17991,82408,
pipe,4096,5000,50,17857,81328,
pipe,4096,5000,52,17817,80547,
pipe,4096,5000,54,17709,79589,
pipe,4096,5000,56,17631,78648,
pipe,4096,5000,58,17596,77798,
pipe,4096,5000,60,17558,77025,
pipe,4096,5000,62,17471,76249,
pipe,4096,5000,64,17390,75560,
pipe,4096,5000,66,17304,74865,
pipe,4096,5000,68,17223,74268,
pipe,4096,5000,70,17165,73666,
pipe,4096,5000,72,17113,73095,
pipe,4096,5000,74,17108,72578,
pipe,4096,5000,76,17054,72060,
pipe,4096,5000,78,16987,71558,
pipe,4096,5000,80,16942,71075,
pipe,16384,5000,2,14426,56988,
pipe,16384,5000,4,13794,57298,
pipe,16384,5000,6,13752,57233,
pipe,16384,5000,8,13950,57230,
pipe,16384,5000,10,14024,56805,
pipe,16384,5000,12,14163,56859,
pipe,16384,5000,14,14098,56647,
pipe,16384,5000,16,14121,56881,
pipe,16384,5000,18,14186,56867,
