mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
pipe,4,5000,2,115463,263192,
pipe,4,5000,4,124896,267295,
pipe,4,5000,6,119835,261966,
pipe,4,5000,8,108901,255591,
pipe,4,5000,10,101689,251670,
pipe,4,5000,12,98982,246613,
pipe,4,5000,14,97859,244241,
pipe,4,5000,16,96845,245639,
pipe,4,5000,18,95241,244821,
pipe,4,5000,20,107777,260825,
pipe,4,5000,22,108694,269276,
pipe,4,5000,24,112367,273226,
pipe,4,5000,26,110943,271691,
pipe,4,5000,28,110783,269223,
pipe,4,5000,30,109438,265635,
pipe,4,5000,32,104905,261071,
pipe,4,5000,34,102848,258522,
pipe,4,5000,36,101534,256408,
pipe,4,5000,38,101277,254968,
pipe,4,5000,40,100100,253106,
pipe,4,5000,42,100057,252537,
pipe,4,5000,44,99423,250925,
pipe,4,5000,46,98895,250473,
pipe,4,5000,48,113069,263435,
pipe,4,5000,50,112153,261602,
pipe,4,5000,52,111152,259719,
pipe,4,5000,54,110215,258298,
pipe,4,5000,56,109647,257106,
pipe,4,5000,58,109193,256587,
pipe,4,5000,60,108524,255242,
pipe,4,5000,62,108000,254376,
pipe,4,5000,64,106133,252413,
pipe,4,5000,66,105344,251068,
pipe,4,5000,68,104907,250295,
pipe,4,5000,70,103912,249615,
pipe,4,5000,72,103353,248654,
pipe,4,5000,74,102989,247978,
pipe,4,5000,76,102326,246998,
pipe,4,5000,78,102336,247520,
pipe,4,5000,80,101873,246630,
pipe,16,5000,2,93195,226879,
pipe,16,5000,4,95342,229170,
pipe,16,5000,6,93818,226656,
pipe,16,5000,8,91020,226445,
pipe,16,5000,10,90907,225930,
pipe,16,5000,12,91524,228555,
pipe,16,5000,14,90935,228139,
pipe,16,5000,16,91895,228172,
pipe,16,5000,18,93429,230736,
pipe,16,5000,20,93334,229133,
pipe,16,5000,22,94797,232600,
pipe,16,5000,24,93666,230408,
pipe,16,5000,26,93712,231617,
pipe,16,5000,28,93303,232165,
pipe,16,5000,30,94144,232379,
pipe,16,5000,32,93458,231783,
pipe,16,5000,34,92532,230376,
pipe,16,5000,36,92400,230775,
pipe,16,5000,38,91043,229597,
pipe,16,5000,40,90835,229285,
pipe,16,5000,42,91578,229234,
pipe,16,5000,44,92085,229855,
pipe,16,5000,46,91954,229658,
pipe,16,5000,48,92602,229952,
pipe,16,5000,50,92803,230292,
pipe,16,5000,52,92708,229865,
pipe,16,5000,54,92522,229787,
pipe,16,5000,56,92189,229243,
pipe,16,5000,58,91930,228761,
pipe,16,5000,60,92581,229968,
pipe,16,5000,62,92394,229569,
pipe,16,5000,64,92286,229480,
pipe,16,5000,66,91859,229042,
