mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
pipe,4,5000,2,172901,670511,
pipe,4,5000,4,211566,677622,
pipe,4,5000,6,216583,651783,
pipe,4,5000,8,176625,614463,
pipe,4,5000,10,152073,584078,
pipe,4,5000,12,145139,575075,
pipe,4,5000,14,154290,590102,
pipe,4,5000,16,143409,573603,
pipe,4,5000,18,135488,563239,
pipe,4,5000,20,129396,556258,
pipe,4,5000,22,123802,552164,
pipe,4,5000,24,119455,546532,
pipe,4,5000,26,115587,542525,
pipe,4,5000,28,112353,543011,
pipe,4,5000,30,109315,538205,
pipe,4,5000,32,107527,534239,
pipe,4,5000,34,105083,529846,
pipe,4,5000,36,103001,528505,
pipe,4,5000,38,100963,526929,
pipe,4,5000,40,99551,525025,
pipe,4,5000,42,97917,524512,
pipe,4,5000,44,96399,524556,
pipe,4,5000,46,95122,523222,
pipe,4,5000,48,93954,522931,
pipe,4,5000,50,93125,521448,
pipe,4,5000,52,92202,522982,
pipe,4,5000,54,96251,526358,
pipe,4,5000,56,95251,526000,
pipe,4,5000,58,94218,525121,
pipe,4,5000,60,93238,525610,
pipe,4,5000,62,92418,525217,
pipe,4,5000,64,91981,529273,
pipe,4,5000,66,91141,529356,
pipe,4,5000,68,90392,528097,
pipe,4,5000,70,89845,528257,
pipe,4,5000,72,89145,526804,
pipe,4,5000,74,103336,542398,
pipe,4,5000,76,102401,542023,
pipe,4,5000,78,101884,542134,
pipe,4,5000,80,102903,541514,
pipe,16,5000,2,68006,520689,
pipe,16,5000,4,69202,522695,
pipe,16,5000,6,67907,518716,
pipe,16,5000,8,68596,527280,
pipe,16,5000,10,68353,522571,
pipe,16,5000,12,68076,521591,
pipe,16,5000,14,67740,518875,
pipe,16,5000,16,68728,516575,
pipe,16,5000,18,68498,518636,
pipe,16,5000,20,73443,513633,
pipe,16,5000,22,72965,515808,
pipe,16,5000,24,80154,523286,
pipe,16,5000,26,79332,523686,
pipe,16,5000,28,116238,564384,
pipe,16,5000,30,113888,571431,
pipe,16,5000,32,111073,568403,
pipe,16,5000,34,108908,567670,
pipe,16,5000,36,106726,563220,
pipe,16,5000,38,104734,560522,
pipe,16,5000,40,102379,554592,
pipe,16,5000,42,100352,549511,
pipe,16,5000,44,98694,546949,
pipe,16,5000,46,97393,544713,
pipe,16,5000,48,96161,547618,
pipe,16,5000,50,94965,545945,
pipe,16,5000,52,96233,549102,
pipe,16,5000,54,95137,548547,
pipe,16,5000,56,94223,548357,
pipe,16,5000,58,93495,548471,
pipe,16,5000,60,92502,548241,
pipe,16,5000,62,91946,550035,
pipe,16,5000,64,91279,549757,
pipe,16,5000,66,90823,550235,
pipe,16,5000,68,90458,549931,
pipe,16,5000,70,89843,548703,
pipe,16,5000,72,89283,548060,
pipe,16,5000,74,88690,546807,
pipe,16,5000,76,88280,547264,
pipe,16,5000,78,87835,546350,
pipe,16,5000,80,87331,545435,
pipe,64,5000,2,66614,500992,
pipe,64,5000,4,68384,542663,
pipe,64,5000,6,67081,525631,
pipe,64,5000,8,68563,528185,
pipe,64,5000,10,68045,520592,
pipe,64,5000,12,68900,520228,
pipe,64,5000,14,68463,517451,
pipe,64,5000,16,68416,516874,
pipe,64,5000,18,68566,515454,
pipe,64,5000,20,68631,513951,
pipe,64,5000,22,68490,513687,
pipe,64,5000,24,69292,514268,
pipe,64,5000,26,69542,524668,
pipe,64,5000,28,69637,525358,
pipe,64,5000,30,69752,525010,
pipe,64,5000,32,70169,529225,
pipe,64,5000,34,72289,532387,
pipe,64,5000,36,76546,529499,
pipe,64,5000,38,75890,526554,
pipe,64,5000,40,75898,523032,
pipe,64,5000,42,76131,522987,
pipe,64,5000,44,75627,520341,
pipe,64,5000,46,74953,517845,
pipe,64,5000,48,75155,515434,
pipe,64,5000,50,74931,513166,
pipe,64,5000,52,75149,511165,
pipe,64,5000,54,74761,510274,
pipe,64,5000,56,74548,509348,
pipe,64,5000,58,74217,507470,
pipe,64,5000,60,74532,506337,
pipe,64,5000,62,74051,504648,
pipe,64,5000,64,73897,504438,
pipe,64,5000,66,73684,503409,
pipe,64,5000,68,74316,505291,
pipe,64,5000,70,74219,505497,
pipe,64,5000,72,74210,505676,
pipe,64,5000,74,74015,506507,
pipe,64,5000,76,73880,506582,
pipe,64,5000,78,73716,507027,
pipe,64,5000,80,73533,507381,
pipe,256,5000,2,59560,535349,
pipe,256,5000,4,63251,542607,
pipe,256,5000,6,63865,532979,
pipe,256,5000,8,64936,540118,
pipe,256,5000,10,65743,534351,
pipe,256,5000,12,66101,536358,
pipe,256,5000,14,67045,534936,
pipe,256,5000,16,145539,765208,
pipe,256,5000,18,137760,752456,
pipe,256,5000,20,133552,730838,
pipe,256,5000,22,128200,713561,
pipe,256,5000,24,124352,700278,
pipe,256,5000,26,123366,690000,
pipe,256,5000,28,120776,678726,
