mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
pipe,4,1000,2,55,108,
pipe,4,1000,4,52,100,
pipe,4,1000,6,57,106,
pipe,4,1000,8,57,105,
pipe,4,1000,10,56,105,
pipe,4,1000,12,55,104,
pipe,4,1000,14,52,101,
pipe,4,1000,16,52,101,
pipe,4,1000,18,52,100,
pipe,4,1000,20,51,99,
pipe,4,1000,22,51,99,
pipe,4,1000,24,52,100,
pipe,4,1000,26,54,102,
pipe,4,1000,28,54,102,
pipe,4,1000,30,54,103,
pipe,4,1000,32,55,103,
pipe,4,1000,34,56,103,
pipe,4,1000,36,56,104,
pipe,4,1000,38,56,103,
pipe,4,1000,40,55,102,
pipe,4,1000,42,57,105,
pipe,4,1000,44,58,105,
pipe,4,1000,46,58,105,
pipe,4,1000,48,58,106,
pipe,4,1000,50,59,106,
pipe,4,1000,52,59,107,
pipe,4,1000,54,59,107,
pipe,4,1000,56,59,106,
pipe,4,1000,58,59,106,
pipe,4,1000,60,59,106,
pipe,4,1000,62,59,111,
pipe,4,1000,64,59,111,
pipe,4,1000,66,59,111,
pipe,4,1000,68,60,111,
pipe,4,1000,70,60,111,
pipe,4,1000,72,60,111,
pipe,4,1000,74,60,111,
pipe,4,1000,76,60,111,
pipe,4,1000,78,60,110,
pipe,4,1000,80,60,110,
pipe,16,1000,2,53,100,
pipe,16,1000,4,56,105,
pipe,16,1000,6,48,98,
pipe,16,1000,8,50,100,
pipe,16,1000,10,50,99,
pipe,16,1000,12,56,105,
pipe,16,1000,14,57,106,
pipe,16,1000,16,57,105,
pipe,16,1000,18,57,106,
pipe,16,1000,20,58,107,
pipe,16,1000,22,58,106,
pipe,16,1000,24,58,105,
pipe,16,1000,26,57,105,
pipe,16,1000,28,57,105,
pipe,16,1000,30,56,105,
pipe,16,1000,32,56,105,
pipe,16,1000,34,56,104,
pipe,16,1000,36,56,105,
pipe,16,1000,38,56,104,
pipe,16,1000,40,57,105,
pipe,16,1000,42,58,106,
pipe,16,1000,44,59,107,
pipe,16,1000,46,58,107,
pipe,16,1000,48,59,108,
pipe,16,1000,50,59,108,
pipe,16,1000,52,59,107,
pipe,16,1000,54,59,107,
pipe,16,1000,56,59,107,
pipe,16,1000,58,59,107,
pipe,16,1000,60,59,107,
pipe,16,1000,62,59,108,
pipe,16,1000,64,60,108,
pipe,16,1000,66,60,108,
pipe,16,1000,68,61,109,
pipe,16,1000,70,61,109,
pipe,16,1000,72,61,108,
pipe,16,1000,74,60,108,
pipe,16,1000,76,61,109,
pipe,16,1000,78,61,109,
pipe,16,1000,80,60,108,
pipe,64,1000,2,61,114,
pipe,64,1000,4,56,107,
pipe,64,1000,6,54,106,
pipe,64,1000,8,53,104,
pipe,64,1000,10,53,104,
pipe,64,1000,12,54,105,
pipe,64,1000,14,57,110,
pipe,64,1000,16,58,112,
pipe,64,1000,18,62,117,
pipe,64,1000,20,62,118,
pipe,64,1000,22,61,119,
pipe,64,1000,24,61,120,
pipe,64,1000,26,60,120,
pipe,64,1000,28,62,122,
pipe,64,1000,30,62,122,
pipe,64,1000,32,61,123,
pipe,64,1000,34,63,125,
pipe,64,1000,36,63,124,
pipe,64,1000,38,63,123,
pipe,64,1000,40,63,122,
pipe,64,1000,42,63,122,
pipe,64,1000,44,63,122,
pipe,64,1000,46,62,120,
pipe,64,1000,48,62,120,
pipe,64,1000,50,62,120,
pipe,64,1000,52,61,119,
pipe,64,1000,54,61,118,
pipe,64,1000,56,61,118,
pipe,64,1000,58,60,116,
pipe,64,1000,60,59,116,
pipe,64,1000,62,59,115,
pipe,64,1000,64,58,114,
pipe,64,1000,66,66,122,
pipe,64,1000,68,66,121,
