mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
pipe,4,10000,2,49,88,
pipe,4,10000,4,36,73,
pipe,4,10000,6,31,69,
pipe,4,10000,8,31,69,
pipe,4,10000,10,30,68,
pipe,4,10000,12,31,69,
pipe,4,10000,14,30,68,
pipe,4,10000,16,29,67,
pipe,4,10000,18,29,66,
pipe,4,10000,20,29,65,
pipe,4,10000,22,28,64,
pipe,4,10000,24,28,63,
pipe,4,10000,26,28,63,
pipe,4,10000,28,28,62,
pipe,4,10000,30,27,62,
pipe,4,10000,32,27,61,
pipe,4,10000,34,27,61,
pipe,4,10000,36,27,60,
pipe,4,10000,38,27,60,
pipe,4,10000,40,27,60,
pipe,4,10000,42,27,60,
pipe,4,10000,44,27,59,
pipe,4,10000,46,26,59,
pipe,4,10000,48,26,59,
pipe,4,10000,50,26,59,
pipe,4,10000,52,26,59,
pipe,4,10000,54,26,59,
pipe,4,10000,56,26,59,
pipe,4,10000,58,26,58,
pipe,4,10000,60,26,58,
pipe,4,10000,62,26,58,
pipe,4,10000,64,26,58,
pipe,4,10000,66,26,58,
pipe,4,10000,68,26,58,
pipe,4,10000,70,26,58,
pipe,4,10000,72,26,58,
pipe,4,10000,74,26,58,
pipe,4,10000,76,26,58,
pipe,4,10000,78,26,58,
pipe,4,10000,80,26,58,
pipe,16,10000,2,24,54,
pipe,16,10000,4,25,55,
pipe,16,10000,6,25,55,
pipe,16,10000,8,25,55,
pipe,16,10000,10,24,54,
pipe,16,10000,12,24,54,
pipe,16,10000,14,24,54,
pipe,16,10000,16,24,54,
pipe,16,10000,18,24,54,
pipe,16,10000,20,24,54,
pipe,16,10000,22,24,54,
pipe,16,10000,24,24,54,
pipe,16,10000,26,24,54,
pipe,16,10000,28,24,54,
pipe,16,10000,30,24,54,
pipe,16,10000,32,24,54,
pipe,16,10000,34,24,54,
pipe,16,10000,36,24,54,
pipe,16,10000,38,24,54,
pipe,16,10000,40,24,54,
pipe,16,10000,42,24,54,
pipe,16,10000,44,24,54,
pipe,16,10000,46,24,54,
pipe,16,10000,48,24,54,
pipe,16,10000,50,24,54,
pipe,16,10000,52,24,54,
pipe,16,10000,54,24,54,
pipe,16,10000,56,24,54,
pipe,16,10000,58,25,54,
pipe,16,10000,60,25,54,
pipe,16,10000,62,25,55,
pipe,16,10000,64,25,56,
pipe,16,10000,66,26,56,
pipe,16,10000,68,26,57,
pipe,16,10000,70,26,57,
pipe,16,10000,72,26,57,
pipe,16,10000,74,26,57,
pipe,16,10000,76,26,57,
pipe,16,10000,78,26,57,
pipe,16,10000,80,26,57,
pipe,64,10000,2,25,61,
pipe,64,10000,4,26,60,
pipe,64,10000,6,26,60,
pipe,64,10000,8,27,60,
pipe,64,10000,10,26,60,
pipe,64,10000,12,26,60,
pipe,64,10000,14,26,60,
pipe,64,10000,16,26,60,
pipe,64,10000,18,26,60,
pipe,64,10000,20,26,60,
pipe,64,10000,22,26,60,
pipe,64,10000,24,26,60,
pipe,64,10000,26,26,60,
pipe,64,10000,28,26,60,
pipe,64,10000,30,26,60,
pipe,64,10000,32,26,60,
pipe,64,10000,34,26,60,
pipe,64,10000,36,26,60,
pipe,64,10000,38,26,60,
pipe,64,10000,40,26,60,
pipe,64,10000,42,27,61,
pipe,64,10000,44,27,61,
pipe,64,10000,46,27,61,
pipe,64,10000,48,27,61,
pipe,64,10000,50,27,61,
pipe,64,10000,52,27,61,
pipe,64,10000,54,27,61,
pipe,64,10000,56,27,61,
pipe,64,10000,58,27,61,
pipe,64,10000,60,27,61,
pipe,64,10000,62,27,61,
pipe,64,10000,64,27,61,
pipe,64,10000,66,27,61,
pipe,64,10000,68,27,61,
pipe,64,10000,70,27,60,
pipe,64,10000,72,27,60,
pipe,64,10000,74,27,60,
pipe,64,10000,76,26,60,
pipe,64,10000,78,26,60,
pipe,64,10000,80,26,60,
pipe,256,10000,2,27,59,
pipe,256,10000,4,26,58,
pipe,256,10000,6,26,58,
pipe,256,10000,8,26,58,
pipe,256,10000,10,29,61,
pipe,256,10000,12,29,62,
pipe,256,10000,14,29,62,
pipe,256,10000,16,29,62,
pipe,256,10000,18,29,62,
pipe,256,10000,20,29,63,
pipe,256,10000,22,29,63,
pipe,256,10000,24,29,62,
pipe,256,10000,26,30,65,
pipe,256,10000,28,31,66,
pipe,256,10000,30,32,67,
pipe,256,10000,32,33,69,
pipe,256,10000,34,34,70,
pipe,256,10000,36,35,71,
pipe,256,10000,38,35,71,
pipe,256,10000,40,35,71,
pipe,256,10000,42,34,70,
pipe,256,10000,44,34,70,
pipe,256,10000,46,34,70,
pipe,256,10000,48,35,71,
pipe,256,10000,50,35,71,
pipe,256,10000,52,34,70,
pipe,256,10000,54,34,70,
pipe,256,10000,56,34,70,
pipe,256,10000,58,34,69,
pipe,256,10000,60,34,69,
pipe,256,10000,62,33,69,
pipe,256,10000,64,33,69,
pipe,256,10000,66,33,68,
pipe,256,10000,68,33,68,
pipe,256,10000,70,33,68,
pipe,256,10000,72,33,68,
pipe,256,10000,74,32,68,
pipe,256,10000,76,32,67,
pipe,256,10000,78,32,67,
pipe,256,10000,80,32,67,
pipe,1024,10000,2,32,69,
pipe,1024,10000,4,29,65,
pipe,1024,10000,6,29,63,
pipe,1024,10000,8,28,63,
pipe,1024,10000,10,28,62,
pipe,1024,10000,12,28,61,
pipe,1024,10000,14,27,61,
pipe,1024,10000,16,27,61,
pipe,1024,10000,18,27,61,
pipe,1024,10000,20,27,61,
pipe,1024,10000,22,28,61,
pipe,1024,10000,24,27,61,
pipe,1024,10000,26,28,61,
pipe,1024,10000,28,28,61,
pipe,1024,10000,30,28,61,
pipe,1024,10000,32,28,61,
pipe,1024,10000,34,28,61,
pipe,1024,10000,36,28,61,
pipe,1024,10000,38,28,61,
pipe,1024,10000,40,28,61,
pipe,1024,10000,42,28,61,
pipe,1024,10000,44,28,61,
pipe,1024,10000,46,28,61,
pipe,1024,10000,48,28,61,
pipe,1024,10000,50,28,61,
pipe,1024,10000,52,28,61,
pipe,1024,10000,54,28,61,
pipe,1024,10000,56,28,62,
pipe,1024,10000,58,28,62,
pipe,1024,10000,60,28,62,
pipe,1024,10000,62,28,62,
pipe,1024,10000,64,28,62,
pipe,1024,10000,66,28,61,
pipe,1024,10000,68,28,61,
pipe,1024,10000,70,28,61,
pipe,1024,10000,72,28,61,
pipe,1024,10000,74,28,61,
pipe,1024,10000,76,27,61,
pipe,1024,10000,78,27,61,
pipe,1024,10000,80,27,61,
pipe,4096,10000,2,25,59,
pipe,4096,10000,4,25,59,
pipe,4096,10000,6,24,60,
pipe,4096,10000,8,24,59,
pipe,4096,10000,10,24,59,
pipe,4096,10000,12,25,59,
pipe,4096,10000,14,25,59,
pipe,4096,10000,16,25,59,
pipe,4096,10000,18,25,59,
pipe,4096,10000,20,25,59,
pipe,4096,10000,22,25,59,
pipe,4096,10000,24,25,59,
pipe,4096,10000,26,25,59,
pipe,4096,10000,28,25,59,
pipe,4096,10000,30,25,59,
pipe,4096,10000,32,25,59,
pipe,4096,10000,34,25,61,
pipe,4096,10000,36,27,62,
pipe,4096,10000,38,27,62,
pipe,4096,10000,40,27,62,
pipe,4096,10000,42,27,62,
pipe,4096,10000,44,27,62,
pipe,4096,10000,46,27,62,
pipe,4096,10000,48,26,62,
pipe,4096,10000,50,26,62,
pipe,4096,10000,52,26,61,
pipe,4096,10000,54,26,61,
pipe,4096,10000,56,26,61,
pipe,4096,10000,58,26,61,
pipe,4096,10000,60,26,61,
pipe,4096,10000,62,26,61,
pipe,4096,10000,64,26,61,
pipe,4096,10000,66,26,61,
pipe,4096,10000,68,26,61,
pipe,4096,10000,70,26,61,
pipe,4096,10000,72,26,61,
pipe,4096,10000,74,26,61,
pipe,4096,10000,76,26,61,
