mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
shared mem,4,5000,2,51070,184069,
shared mem,4,5000,4,58497,184196,
shared mem,4,5000,6,54929,176869,
shared mem,4,5000,8,57780,175268,
shared mem,4,5000,10,57652,173625,
shared mem,4,5000,12,71128,180211,
shared mem,4,5000,14,68212,179212,
shared mem,4,5000,16,65552,177434,
shared mem,4,5000,18,66308,178777,
shared mem,4,5000,20,65078,179725,
shared mem,4,5000,22,64634,177746,
shared mem,4,5000,24,64300,175935,
shared mem,4,5000,26,63816,174702,
shared mem,4,5000,28,63347,173753,
shared mem,4,5000,30,62921,172951,
shared mem,4,5000,32,62678,171703,
shared mem,4,5000,34,63402,171908,
shared mem,4,5000,36,63354,171664,
shared mem,4,5000,38,63149,171462,
shared mem,4,5000,40,63038,170826,
shared mem,4,5000,42,62558,170329,
shared mem,4,5000,44,62375,170003,
shared mem,4,5000,46,62357,169787,
shared mem,4,5000,48,62367,169639,
shared mem,4,5000,50,61974,169226,
shared mem,4,5000,52,61833,169890,
shared mem,4,5000,54,61744,170358,
shared mem,4,5000,56,61698,170564,
shared mem,4,5000,58,61525,170865,
shared mem,4,5000,60,61402,172007,
shared mem,4,5000,62,60933,171593,
shared mem,4,5000,64,59887,170328,
shared mem,4,5000,66,59162,169213,
shared mem,4,5000,68,58275,167910,
shared mem,4,5000,70,57485,166776,
shared mem,4,5000,72,56743,165698,
shared mem,4,5000,74,56570,165505,
shared mem,4,5000,76,55885,164680,
shared mem,4,5000,78,55255,163899,
shared mem,4,5000,80,54637,162974,
shared mem,16,5000,2,28032,127880,
shared mem,16,5000,4,28066,127119,
shared mem,16,5000,6,29094,125766,
shared mem,16,5000,8,32798,132776,
shared mem,16,5000,10,32886,133552,
shared mem,16,5000,12,34709,136622,
shared mem,16,5000,14,34188,135710,
shared mem,16,5000,16,33754,134483,
shared mem,16,5000,18,33011,133157,
shared mem,16,5000,20,32418,132043,
shared mem,16,5000,22,32391,133448,
shared mem,16,5000,24,32123,132830,
shared mem,16,5000,26,31697,131825,
shared mem,16,5000,28,31606,131866,
shared mem,16,5000,30,31912,132691,
shared mem,16,5000,32,32261,134300,
shared mem,16,5000,34,32014,134073,
shared mem,16,5000,36,36199,137405,
shared mem,16,5000,38,35882,136929,
shared mem,16,5000,40,35469,136482,
shared mem,16,5000,42,35128,135958,
shared mem,16,5000,44,34822,135424,
shared mem,16,5000,46,34539,134928,
shared mem,16,5000,48,34273,134422,
shared mem,16,5000,50,33994,134505,
shared mem,16,5000,52,33625,134193,
shared mem,16,5000,54,33386,134427,
shared mem,16,5000,56,33376,134369,
shared mem,16,5000,58,33258,133844,
shared mem,16,5000,60,33046,133426,
shared mem,16,5000,62,32835,133087,
shared mem,16,5000,64,32789,132865,
shared mem,16,5000,66,33464,133652,
shared mem,16,5000,68,33369,133579,
shared mem,16,5000,70,33272,133435,
shared mem,16,5000,72,33098,133118,
shared mem,16,5000,74,32952,132862,
shared mem,16,5000,76,32814,132663,
shared mem,16,5000,78,32609,134650,
shared mem,16,5000,80,33118,135215,
shared mem,64,5000,2,36991,154632,
shared mem,64,5000,4,35503,148167,
shared mem,64,5000,6,35109,147623,
shared mem,64,5000,8,35916,148749,
shared mem,64,5000,10,33703,144986,
shared mem,64,5000,12,32613,141088,
shared mem,64,5000,14,31747,138594,
shared mem,64,5000,16,31170,136386,
shared mem,64,5000,18,30749,135375,
shared mem,64,5000,20,30439,134228,
shared mem,64,5000,22,30294,133544,
shared mem,64,5000,24,30540,133272,
shared mem,64,5000,26,31043,135028,
shared mem,64,5000,28,32254,136318,
shared mem,64,5000,30,31929,135232,
shared mem,64,5000,32,31552,134318,
shared mem,64,5000,34,31269,133380,
shared mem,64,5000,36,31033,132803,
shared mem,64,5000,38,30786,131856,
shared mem,64,5000,40,30696,131328,
shared mem,64,5000,42,30519,130909,
shared mem,64,5000,44,30327,130313,
shared mem,64,5000,46,30146,129942,
shared mem,64,5000,48,29913,129472,
shared mem,64,5000,50,29774,129443,
shared mem,64,5000,52,29676,128996,
shared mem,64,5000,54,29596,128762,
shared mem,64,5000,56,30569,130461,
shared mem,64,5000,58,30562,130262,
shared mem,64,5000,60,30436,129913,
shared mem,64,5000,62,30274,129798,
shared mem,64,5000,64,30187,130196,
shared mem,64,5000,66,30092,129878,
shared mem,64,5000,68,30084,129653,
shared mem,64,5000,70,30273,131989,
shared mem,64,5000,72,30194,131755,
shared mem,64,5000,74,30084,131383,
shared mem,64,5000,76,30018,131096,
shared mem,64,5000,78,33555,135507,
shared mem,64,5000,80,34059,136133,
shared mem,256,5000,2,49784,159154,
shared mem,256,5000,4,39893,142227,
shared mem,256,5000,6,35387,133746,
shared mem,256,5000,8,33432,130744,
shared mem,256,5000,10,32072,128766,
shared mem,256,5000,12,31363,129086,
shared mem,256,5000,14,30857,127941,
shared mem,256,5000,16,33706,131133,
shared mem,256,5000,18,32998,129610,
shared mem,256,5000,20,32351,128703,
shared mem,256,5000,22,31782,127600,
shared mem,256,5000,24,33433,129005,
shared mem,256,5000,26,32923,127986,
shared mem,256,5000,28,32601,127562,
shared mem,256,5000,30,32180,133830,
shared mem,256,5000,32,33407,135401,
shared mem,256,5000,34,33036,134472,
shared mem,256,5000,36,32645,133334,
shared mem,256,5000,38,32349,132502,
shared mem,256,5000,40,32072,131546,
shared mem,256,5000,42,31628,130885,
shared mem,256,5000,44,31941,130990,
shared mem,256,5000,46,31723,130429,
shared mem,256,5000,48,31620,130154,
shared mem,256,5000,50,31511,129620,
shared mem,256,5000,52,31727,129919,
shared mem,256,5000,54,31573,130214,
shared mem,256,5000,56,31422,129771,
shared mem,256,5000,58,31285,129437,
shared mem,256,5000,60,31490,132238,
shared mem,256,5000,62,31598,132009,
shared mem,256,5000,64,31447,131524,
shared mem,256,5000,66,31310,131171,
shared mem,256,5000,68,31168,130832,
shared mem,256,5000,70,31074,130477,
shared mem,256,5000,72,30935,130067,
shared mem,256,5000,74,30946,131154,
shared mem,256,5000,76,30838,130820,
shared mem,256,5000,78,30743,130484,
shared mem,256,5000,80,30579,130047,
shared mem,1024,5000,2,58426,162476,
shared mem,1024,5000,4,47597,146329,
shared mem,1024,5000,6,41422,137610,
shared mem,1024,5000,8,43685,143348,
shared mem,1024,5000,10,40845,139142,
shared mem,1024,5000,12,38426,136822,
shared mem,1024,5000,14,36661,133712,
shared mem,1024,5000,16,35573,132615,
shared mem,1024,5000,18,34558,131076,
shared mem,1024,5000,20,34010,129857,
shared mem,1024,5000,22,33149,129105,
shared mem,1024,5000,24,32915,128925,
shared mem,1024,5000,26,32404,127932,
shared mem,1024,5000,28,32009,127409,
shared mem,1024,5000,30,31589,126927,
shared mem,1024,5000,32,31295,126324,
shared mem,1024,5000,34,31019,125924,
shared mem,1024,5000,36,31613,127470,
shared mem,1024,5000,38,32452,131921,
shared mem,1024,5000,40,32974,133134,
shared mem,1024,5000,42,33553,133774,
shared mem,1024,5000,44,33816,134621,
shared mem,1024,5000,46,34053,135276,
shared mem,1024,5000,48,33912,135187,
shared mem,1024,5000,50,40371,141866,
shared mem,1024,5000,52,40271,141884,
shared mem,1024,5000,54,40028,141784,
shared mem,1024,5000,56,40111,142455,
shared mem,1024,5000,58,39933,142332,
shared mem,1024,5000,60,39714,141932,
shared mem,1024,5000,62,40005,142694,
shared mem,1024,5000,64,40027,143324,
shared mem,1024,5000,66,39948,143523,
shared mem,1024,5000,68,39747,143194,
shared mem,1024,5000,70,39582,143096,
shared mem,1024,5000,72,39577,143395,
shared mem,1024,5000,74,39446,145741,
shared mem,1024,5000,76,39332,145488,
shared mem,1024,5000,78,39272,145335,
shared mem,1024,5000,80,39086,144918,
shared mem,4096,5000,2,34236,143752,
shared mem,4096,5000,4,32173,143793,
shared mem,4096,5000,6,35697,147249,
shared mem,4096,5000,8,40727,152674,
shared mem,4096,5000,10,39172,149438,
shared mem,4096,5000,12,37978,147879,
shared mem,4096,5000,14,37102,146860,
shared mem,4096,5000,16,36405,145551,
