mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
shared mem,4,5000,2,60762,166964,
shared mem,4,5000,4,47106,142277,
shared mem,4,5000,6,38070,124012,
shared mem,4,5000,8,33543,113846,
shared mem,4,5000,10,30485,107556,
shared mem,4,5000,12,30456,105401,
shared mem,4,5000,14,29224,103760,
shared mem,4,5000,16,30488,103806,
shared mem,4,5000,18,29320,101796,
shared mem,4,5000,20,28159,99368,
shared mem,4,5000,22,27247,97459,
shared mem,4,5000,24,26458,95959,
shared mem,4,5000,26,25798,94517,
shared mem,4,5000,28,25252,93526,
shared mem,4,5000,30,24758,92483,
shared mem,4,5000,32,24315,91568,
shared mem,4,5000,34,23956,90844,
shared mem,4,5000,36,23636,90205,
shared mem,4,5000,38,23332,89544,
shared mem,4,5000,40,23056,88947,
shared mem,4,5000,42,22820,88536,
shared mem,4,5000,44,22586,88009,
shared mem,4,5000,46,22386,87631,
shared mem,4,5000,48,22203,87280,
shared mem,4,5000,50,22020,86938,
shared mem,4,5000,52,21862,86576,
shared mem,4,5000,54,21712,86280,
shared mem,4,5000,56,21570,85959,
shared mem,4,5000,58,21778,86250,
shared mem,4,5000,60,21702,86312,
shared mem,4,5000,62,21590,86080,
shared mem,4,5000,64,21487,85886,
shared mem,4,5000,66,21376,85666,
shared mem,4,5000,68,21261,85439,
shared mem,4,5000,70,21165,85237,
shared mem,4,5000,72,21084,85102,
shared mem,4,5000,74,20986,84878,
shared mem,4,5000,76,20901,84703,
shared mem,4,5000,78,20824,84565,
shared mem,4,5000,80,20741,84396,
shared mem,16,5000,2,18055,81236,
shared mem,16,5000,4,17891,79714,
shared mem,16,5000,6,17661,79245,
shared mem,16,5000,8,17731,78878,
shared mem,16,5000,10,17757,79079,
shared mem,16,5000,12,17758,78757,
shared mem,16,5000,14,17765,78695,
shared mem,16,5000,16,17794,78709,
shared mem,16,5000,18,17756,78515,
shared mem,16,5000,20,17767,78588,
shared mem,16,5000,22,17813,78593,
shared mem,16,5000,24,17790,78751,
shared mem,16,5000,26,17904,79408,
shared mem,16,5000,28,18005,79895,
shared mem,16,5000,30,17974,79774,
shared mem,16,5000,32,17963,79689,
shared mem,16,5000,34,17947,79678,
shared mem,16,5000,36,17919,79521,
shared mem,16,5000,38,17927,79549,
shared mem,16,5000,40,17933,79477,
shared mem,16,5000,42,17913,79390,
shared mem,16,5000,44,17903,79328,
shared mem,16,5000,46,17898,79442,
shared mem,16,5000,48,17876,79310,
shared mem,16,5000,50,17876,79331,
shared mem,16,5000,52,17857,79291,
shared mem,16,5000,54,17849,79248,
shared mem,16,5000,56,17856,79252,
shared mem,16,5000,58,17855,79235,
shared mem,16,5000,60,17845,79174,
shared mem,16,5000,62,17837,79154,
shared mem,16,5000,64,17851,79164,
shared mem,16,5000,66,17835,79119,
shared mem,16,5000,68,17840,79091,
shared mem,16,5000,70,17833,79093,
shared mem,16,5000,72,18097,79425,
shared mem,16,5000,74,18122,79577,
shared mem,16,5000,76,18352,79938,
shared mem,16,5000,78,18872,80580,
shared mem,16,5000,80,19362,81092,
shared mem,64,5000,2,38347,102339,
shared mem,64,5000,4,38241,101683,
shared mem,64,5000,6,38149,101619,
shared mem,64,5000,8,38292,101442,
shared mem,64,5000,10,38125,101357,
shared mem,64,5000,12,38047,101319,
shared mem,64,5000,14,38076,101176,
shared mem,64,5000,16,38301,101175,
shared mem,64,5000,18,38394,101255,
shared mem,64,5000,20,38373,101327,
shared mem,64,5000,22,38344,101334,
shared mem,64,5000,24,38408,101389,
shared mem,64,5000,26,38430,101502,
shared mem,64,5000,28,38439,101373,
shared mem,64,5000,30,37776,101009,
shared mem,64,5000,32,36674,100112,
shared mem,64,5000,34,36710,100210,
shared mem,64,5000,36,36829,100325,
shared mem,64,5000,38,36960,100440,
shared mem,64,5000,40,37011,100355,
shared mem,64,5000,42,37149,100489,
shared mem,64,5000,44,37177,100525,
shared mem,64,5000,46,37224,100600,
shared mem,64,5000,48,37279,100612,
shared mem,64,5000,50,37331,100701,
shared mem,64,5000,52,37399,100757,
shared mem,64,5000,54,37399,100728,
shared mem,64,5000,56,37435,100780,
shared mem,64,5000,58,37453,100823,
shared mem,64,5000,60,37462,100752,
shared mem,64,5000,62,37507,100795,
shared mem,64,5000,64,37528,100741,
shared mem,64,5000,66,37548,100819,
shared mem,64,5000,68,37284,100563,
shared mem,64,5000,70,36788,100190,
shared mem,64,5000,72,36763,100200,
shared mem,64,5000,74,36809,100266,
shared mem,64,5000,76,36851,100283,
shared mem,64,5000,78,36893,100372,
shared mem,64,5000,80,36936,100394,
shared mem,256,5000,2,38700,103521,
shared mem,256,5000,4,39285,103149,
shared mem,256,5000,6,38703,102119,
shared mem,256,5000,8,38478,101888,
shared mem,256,5000,10,38411,102374,
shared mem,256,5000,12,38390,102186,
shared mem,256,5000,14,38549,102095,
shared mem,256,5000,16,38462,101960,
shared mem,256,5000,18,38400,102046,
shared mem,256,5000,20,38376,101782,
shared mem,256,5000,22,38422,101993,
shared mem,256,5000,24,38521,101940,
shared mem,256,5000,26,37842,101530,
shared mem,256,5000,28,36536,100674,
shared mem,256,5000,30,36554,100720,
shared mem,256,5000,32,36733,100952,
shared mem,256,5000,34,36793,100973,
shared mem,256,5000,36,36852,101088,
shared mem,256,5000,38,36957,101176,
shared mem,256,5000,40,37014,101142,
shared mem,256,5000,42,37079,101209,
shared mem,256,5000,44,37131,101215,
shared mem,256,5000,46,37199,101229,
shared mem,256,5000,48,37226,101249,
shared mem,256,5000,50,37332,101282,
shared mem,256,5000,52,37405,101281,
shared mem,256,5000,54,37429,101283,
shared mem,256,5000,56,37434,101278,
shared mem,256,5000,58,37488,101372,
shared mem,256,5000,60,37500,101311,
shared mem,256,5000,62,37524,101356,
shared mem,256,5000,64,37308,101172,
shared mem,256,5000,66,36734,100791,
shared mem,256,5000,68,36728,100785,
shared mem,256,5000,70,36790,100842,
shared mem,256,5000,72,36855,100856,
shared mem,256,5000,74,36920,100921,
shared mem,256,5000,76,36962,100903,
shared mem,256,5000,78,37001,100947,
shared mem,256,5000,80,37048,100946,
shared mem,1024,5000,2,38018,103814,
shared mem,1024,5000,4,38190,103367,
shared mem,1024,5000,6,38728,103178,
shared mem,1024,5000,8,38447,103059,
shared mem,1024,5000,10,38600,103385,
shared mem,1024,5000,12,38577,103023,
shared mem,1024,5000,14,38689,103312,
shared mem,1024,5000,16,38770,103240,
shared mem,1024,5000,18,38728,103335,
shared mem,1024,5000,20,38965,103374,
shared mem,1024,5000,22,37137,101899,
shared mem,1024,5000,24,36265,101096,
shared mem,1024,5000,26,36524,101237,
shared mem,1024,5000,28,36731,101383,
shared mem,1024,5000,30,36852,101501,
shared mem,1024,5000,32,36991,101543,
shared mem,1024,5000,34,37092,101667,
shared mem,1024,5000,36,37164,101773,
shared mem,1024,5000,38,37234,101803,
shared mem,1024,5000,40,37284,101889,
shared mem,1024,5000,42,37318,101849,
shared mem,1024,5000,44,37434,101896,
shared mem,1024,5000,46,37463,101923,
shared mem,1024,5000,48,37521,101941,
shared mem,1024,5000,50,37544,102006,
shared mem,1024,5000,52,37582,101951,
shared mem,1024,5000,54,37613,102005,
shared mem,1024,5000,56,37634,102037,
shared mem,1024,5000,58,37321,102329,
shared mem,1024,5000,60,36974,102319,
shared mem,1024,5000,62,37056,102506,
shared mem,1024,5000,64,37078,102638,
shared mem,1024,5000,66,37117,102848,
shared mem,1024,5000,68,37141,102941,
shared mem,1024,5000,70,37164,103015,
shared mem,1024,5000,72,37164,103092,
shared mem,1024,5000,74,37163,103093,
shared mem,1024,5000,76,37185,103184,
shared mem,1024,5000,78,37199,103248,
shared mem,1024,5000,80,37233,103311,
shared mem,4096,5000,2,39238,113409,
shared mem,4096,5000,4,38894,113078,
shared mem,4096,5000,6,38659,112811,
shared mem,4096,5000,8,38595,112367,
shared mem,4096,5000,10,38821,112282,
shared mem,4096,5000,12,38664,112332,
shared mem,4096,5000,14,36232,110827,
shared mem,4096,5000,16,35120,110256,
shared mem,4096,5000,18,35480,110477,
shared mem,4096,5000,20,35963,110800,
shared mem,4096,5000,22,36207,110928,
shared mem,4096,5000,24,36353,111175,
shared mem,4096,5000,26,36490,111241,
shared mem,4096,5000,28,36569,111339,
shared mem,4096,5000,30,36705,111286,
shared mem,4096,5000,32,36777,111192,
shared mem,4096,5000,34,36934,111177,
shared mem,4096,5000,36,36989,111197,
shared mem,4096,5000,38,37076,111192,
shared mem,4096,5000,40,37117,111172,
shared mem,4096,5000,42,37159,111108,
shared mem,4096,5000,44,37204,111126,
shared mem,4096,5000,46,37217,112859,
shared mem,4096,5000,48,36727,112691,
shared mem,4096,5000,50,36355,112348,
shared mem,4096,5000,52,36453,112467,
shared mem,4096,5000,54,36479,112419,
shared mem,4096,5000,56,36529,112435,
shared mem,4096,5000,58,36623,112390,
shared mem,4096,5000,60,36676,112396,
shared mem,4096,5000,62,36727,112351,
shared mem,4096,5000,64,36749,112256,
shared mem,4096,5000,66,36807,112215,
shared mem,4096,5000,68,36845,112202,
shared mem,4096,5000,70,36871,112188,
shared mem,4096,5000,72,36897,112164,
shared mem,4096,5000,74,36936,112115,
shared mem,4096,5000,76,36989,112097,
shared mem,4096,5000,78,37064,112091,
shared mem,4096,5000,80,37107,112230,
shared mem,16384,5000,2,61698,158395,
shared mem,16384,5000,4,58755,156225,
shared mem,16384,5000,6,52791,148520,
shared mem,16384,5000,8,49082,146607,
shared mem,16384,5000,10,46865,142688,
shared mem,16384,5000,12,45161,140508,
shared mem,16384,5000,14,43800,138825,
shared mem,16384,5000,16,42951,137781,
shared mem,16384,5000,18,42316,136585,
shared mem,16384,5000,20,41829,135938,
shared mem,16384,5000,22,41198,134989,
shared mem,16384,5000,24,40859,134434,
shared mem,16384,5000,26,40453,134018,
shared mem,16384,5000,28,40213,133945,
shared mem,16384,5000,30,42090,136562,
shared mem,16384,5000,32,42445,137185,
shared mem,16384,5000,34,41931,136614,
shared mem,16384,5000,36,41526,135798,
shared mem,16384,5000,38,41255,135376,
shared mem,16384,5000,40,40907,134810,
shared mem,16384,5000,42,40640,134775,
shared mem,16384,5000,44,40466,134390,
shared mem,16384,5000,46,40159,133804,
shared mem,16384,5000,48,39987,133448,
shared mem,16384,5000,50,39809,132999,
shared mem,16384,5000,52,39601,132688,
shared mem,16384,5000,54,39439,132302,
shared mem,16384,5000,56,39276,132043,
shared mem,16384,5000,58,39637,132663,
shared mem,16384,5000,60,40350,133654,
shared mem,16384,5000,62,40593,133844,
shared mem,16384,5000,64,40388,133491,
shared mem,16384,5000,66,40204,133217,
shared mem,16384,5000,68,40003,132850,
shared mem,16384,5000,70,39820,132586,
shared mem,16384,5000,72,39712,132384,
shared mem,16384,5000,74,39561,132145,
shared mem,16384,5000,76,39472,131889,
shared mem,16384,5000,78,39374,131686,
shared mem,16384,5000,80,39281,131520,
shared mem,65536,5000,2,84124,235716,
shared mem,65536,5000,4,91861,245543,
shared mem,65536,5000,6,101698,258001,
shared mem,65536,5000,8,103443,263146,
shared mem,65536,5000,10,102061,264084,
shared mem,65536,5000,12,99479,259672,
shared mem,65536,5000,14,97020,256280,
shared mem,65536,5000,16,95506,253570,
shared mem,65536,5000,18,94428,251845,
shared mem,65536,5000,20,95388,253731,
shared mem,65536,5000,22,98414,257545,
shared mem,65536,5000,24,99076,257888,
shared mem,65536,5000,26,97912,256309,
shared mem,65536,5000,28,96884,254707,
shared mem,65536,5000,30,96097,253313,
shared mem,65536,5000,32,95430,252329,
shared mem,65536,5000,34,94989,251498,
shared mem,65536,5000,36,95154,252444,
shared mem,65536,5000,38,97026,254655,
shared mem,65536,5000,40,97444,255103,
shared mem,65536,5000,42,97079,254459,
shared mem,65536,5000,44,96654,253682,
shared mem,65536,5000,46,96235,253029,
shared mem,65536,5000,48,95891,252547,
shared mem,65536,5000,50,96373,252826,
shared mem,65536,5000,52,97495,254246,
shared mem,65536,5000,54,97672,254420,
shared mem,65536,5000,56,97205,253704,
shared mem,65536,5000,58,96763,253004,
shared mem,65536,5000,60,96304,252366,
shared mem,65536,5000,62,96135,252062,
shared mem,65536,5000,64,95887,251785,
shared mem,65536,5000,66,96489,260255,
shared mem,65536,5000,68,97634,261868,
shared mem,65536,5000,70,97840,262275,
shared mem,65536,5000,72,98175,262725,
shared mem,65536,5000,74,98423,262765,
shared mem,65536,5000,76,98599,262908,
shared mem,65536,5000,78,98809,263194,
shared mem,65536,5000,80,99612,264084,
shared mem,262144,5000,2,332859,771643,
shared mem,262144,5000,4,331733,754312,
shared mem,262144,5000,6,326907,753729,
shared mem,262144,5000,8,326730,753628,
shared mem,262144,5000,10,327621,755446,
shared mem,262144,5000,12,327998,756696,
shared mem,262144,5000,14,329917,760273,
shared mem,262144,5000,16,332051,760924,
shared mem,262144,5000,18,331581,760386,
shared mem,262144,5000,20,333408,761327,
shared mem,262144,5000,22,333418,763556,
shared mem,262144,5000,24,333072,763065,
shared mem,262144,5000,26,335788,766515,
shared mem,262144,5000,28,334473,764967,
shared mem,262144,5000,30,334161,764453,
shared mem,262144,5000,32,333601,765599,
shared mem,262144,5000,34,333603,766215,
shared mem,262144,5000,36,332817,764821,
shared mem,262144,5000,38,334691,768086,
shared mem,262144,5000,40,334296,767058,
shared mem,262144,5000,42,334281,767614,
shared mem,262144,5000,44,334015,767963,
shared mem,262144,5000,46,333560,767441,
shared mem,262144,5000,48,332953,767115,
shared mem,262144,5000,50,333470,767099,
shared mem,262144,5000,52,333965,767647,
shared mem,262144,5000,54,335015,769129,
shared mem,262144,5000,56,335079,768642,
shared mem,262144,5000,58,335472,769392,
shared mem,262144,5000,60,335534,769147,
shared mem,262144,5000,62,335471,768979,
shared mem,262144,5000,64,335697,769563,
shared mem,262144,5000,66,335519,768928,
shared mem,262144,5000,68,334516,767875,
shared mem,262144,5000,70,334168,767059,
shared mem,262144,5000,72,333825,766639,
shared mem,262144,5000,74,334106,767143,
shared mem,262144,5000,76,333931,766756,
shared mem,262144,5000,78,333741,766677,
shared mem,262144,5000,80,334450,767743,
shared mem,524288,5000,2,645189,1441757,
shared mem,524288,5000,4,624428,1411577,
shared mem,524288,5000,6,621461,1402807,
shared mem,524288,5000,8,617984,1391221,
shared mem,524288,5000,10,611096,1404129,
shared mem,524288,5000,12,610384,1400734,
shared mem,524288,5000,14,607759,1395733,
shared mem,524288,5000,16,606753,1393657,
shared mem,524288,5000,18,607922,1390628,
shared mem,524288,5000,20,602987,1383499,
shared mem,524288,5000,22,606661,1389106,
shared mem,524288,5000,24,607381,1387436,
shared mem,524288,5000,26,604603,1381990,
shared mem,524288,5000,28,606506,1383327,
shared mem,524288,5000,30,607144,1381894,
shared mem,524288,5000,32,607055,1380240,
shared mem,524288,5000,34,607837,1380747,
shared mem,524288,5000,36,604209,1377631,
shared mem,524288,5000,38,604904,1379630,
shared mem,524288,5000,40,604089,1377966,
shared mem,524288,5000,42,603091,1377830,
shared mem,524288,5000,44,604434,1379537,
shared mem,524288,5000,46,602508,1376879,
shared mem,524288,5000,48,601737,1375960,
shared mem,524288,5000,50,602092,1376377,
shared mem,524288,5000,52,603607,1379180,
shared mem,524288,5000,54,603934,1378630,
shared mem,524288,5000,56,604609,1378745,
shared mem,524288,5000,58,605105,1379677,
shared mem,524288,5000,60,605365,1379882,
shared mem,524288,5000,62,604274,1379048,
shared mem,524288,5000,64,603973,1378133,
shared mem,524288,5000,66,603918,1378088,
shared mem,524288,5000,68,603671,1377673,
shared mem,524288,5000,70,604812,1379286,
shared mem,524288,5000,72,604272,1377879,
shared mem,524288,5000,74,603247,1376664,
shared mem,524288,5000,76,603708,1377192,
shared mem,524288,5000,78,602615,1375126,
shared mem,524288,5000,80,603044,1375871,
shared mem,1048576,5000,2,1092417,2529258,
shared mem,1048576,5000,4,1073738,2513340,
shared mem,1048576,5000,6,1097328,2542748,
shared mem,1048576,5000,8,1091044,2536391,
shared mem,1048576,5000,10,1090553,2526012,
shared mem,1048576,5000,12,1083270,2519776,
shared mem,1048576,5000,14,1087403,2519386,
shared mem,1048576,5000,16,1092594,2523686,
shared mem,1048576,5000,18,1088599,2518019,
shared mem,1048576,5000,20,1089204,2521257,
shared mem,1048576,5000,22,1088466,2519294,
shared mem,1048576,5000,24,1086061,2518087,
shared mem,1048576,5000,26,1089353,2520315,
shared mem,1048576,5000,28,1089593,2520315,
shared mem,1048576,5000,30,1087123,2517566,
shared mem,1048576,5000,32,1085694,2514921,
shared mem,1048576,5000,34,1088601,2517063,
shared mem,1048576,5000,36,1091727,2520449,
shared mem,1048576,5000,38,1091574,2522162,
shared mem,1048576,5000,40,1091057,2520276,
shared mem,1048576,5000,42,1089041,2518491,
shared mem,1048576,5000,44,1091890,2520756,
shared mem,1048576,5000,46,1090691,2519309,
shared mem,1048576,5000,48,1092104,2519524,
shared mem,1048576,5000,50,1090509,2519471,
shared mem,1048576,5000,52,1091160,2520037,
shared mem,1048576,5000,54,1090663,2519280,
shared mem,1048576,5000,56,1089846,2517763,
shared mem,1048576,5000,58,1087813,2515616,
shared mem,1048576,5000,60,1088007,2516505,
shared mem,1048576,5000,62,1087138,2515760,
shared mem,1048576,5000,64,1087823,2515950,
shared mem,1048576,5000,66,1089642,2518203,
shared mem,1048576,5000,68,1090218,2519356,
shared mem,1048576,5000,70,1089519,2518407,
shared mem,1048576,5000,72,1089879,2518327,
shared mem,1048576,5000,74,1088655,2517441,
shared mem,1048576,5000,76,1087834,2517076,
shared mem,1048576,5000,78,1085769,2514865,
shared mem,1048576,5000,80,1087029,2515863,
