mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
shared mem,4,1000,2,178040,535016,
shared mem,4,1000,4,137153,455274,
shared mem,4,1000,6,110630,402274,
shared mem,4,1000,8,98531,375207,
shared mem,4,1000,10,96927,367547,
shared mem,4,1000,12,93876,357981,
shared mem,4,1000,14,88543,347305,
shared mem,4,1000,16,83877,338369,
shared mem,4,1000,18,80359,332132,
shared mem,4,1000,20,77710,326588,
shared mem,4,1000,22,75561,323104,
shared mem,4,1000,24,83195,328233,
shared mem,4,1000,26,92999,343002,
shared mem,4,1000,28,93047,343830,
shared mem,4,1000,30,92443,342935,
shared mem,4,1000,32,91369,341482,
shared mem,4,1000,34,91197,341554,
shared mem,4,1000,36,90428,343706,
shared mem,4,1000,38,89849,342583,
shared mem,4,1000,40,87990,340309,
shared mem,4,1000,42,86357,339799,
shared mem,4,1000,44,84913,336650,
shared mem,4,1000,46,83723,334219,
shared mem,4,1000,48,82523,331587,
shared mem,4,1000,50,82727,330791,
shared mem,4,1000,52,81567,328768,
shared mem,4,1000,54,80502,327171,
shared mem,4,1000,56,79303,324718,
shared mem,4,1000,58,78372,322980,
shared mem,4,1000,60,77657,321201,
shared mem,4,1000,62,78208,321198,
shared mem,4,1000,64,77403,319393,
shared mem,4,1000,66,77435,318810,
shared mem,4,1000,68,76654,316903,
shared mem,4,1000,70,75937,315376,
shared mem,4,1000,72,75258,313864,
shared mem,4,1000,74,76151,315319,
shared mem,4,1000,76,75988,317750,
shared mem,4,1000,78,76046,317526,
shared mem,4,1000,80,75514,318548,
shared mem,16,1000,2,48377,291135,
shared mem,16,1000,4,49048,303538,
shared mem,16,1000,6,50428,296191,
shared mem,16,1000,8,51331,294486,
shared mem,16,1000,10,55495,299482,
shared mem,16,1000,12,54805,298751,
shared mem,16,1000,14,53684,294901,
shared mem,16,1000,16,54022,290473,
shared mem,16,1000,18,53843,286642,
shared mem,16,1000,20,72614,304311,
shared mem,16,1000,22,78520,305161,
shared mem,16,1000,24,79275,305418,
shared mem,16,1000,26,77392,303015,
shared mem,16,1000,28,75615,299897,
shared mem,16,1000,30,74331,297459,
shared mem,16,1000,32,72954,294654,
shared mem,16,1000,34,72011,292997,
shared mem,16,1000,36,70959,291509,
shared mem,16,1000,38,72248,293236,
shared mem,16,1000,40,71063,291148,
shared mem,16,1000,42,70324,290432,
shared mem,16,1000,44,69555,288351,
shared mem,16,1000,46,68871,287404,
shared mem,16,1000,48,68222,285993,
shared mem,16,1000,50,67706,285343,
shared mem,16,1000,52,67213,289697,
shared mem,16,1000,54,67055,289066,
shared mem,16,1000,56,66511,287717,
shared mem,16,1000,58,66091,286824,
shared mem,16,1000,60,65620,285695,
shared mem,16,1000,62,65387,284871,
shared mem,16,1000,64,64848,283931,
shared mem,16,1000,66,65452,284887,
shared mem,16,1000,68,65698,285347,
shared mem,16,1000,70,65444,284619,
shared mem,16,1000,72,65956,285662,
shared mem,16,1000,74,65704,285216,
shared mem,16,1000,76,65337,284454,
shared mem,16,1000,78,65036,284016,
shared mem,16,1000,80,64806,283611,
shared mem,64,1000,2,221110,425158,
shared mem,64,1000,4,139165,348409,
shared mem,64,1000,6,108584,329435,
shared mem,64,1000,8,95387,318358,
shared mem,64,1000,10,86022,308178,
shared mem,64,1000,12,81256,301373,
shared mem,64,1000,14,77331,295665,
shared mem,64,1000,16,80227,308391,
shared mem,64,1000,18,77714,304375,
shared mem,64,1000,20,74745,301666,
shared mem,64,1000,22,75125,304106,
shared mem,64,1000,24,73892,301066,
shared mem,64,1000,26,72334,298298,
shared mem,64,1000,28,71123,295322,
shared mem,64,1000,30,72176,297626,
shared mem,64,1000,32,71390,295683,
shared mem,64,1000,34,70155,294413,
shared mem,64,1000,36,68988,292318,
shared mem,64,1000,38,68044,291398,
shared mem,64,1000,40,68471,292348,
shared mem,64,1000,42,69640,294950,
shared mem,64,1000,44,68969,299760,
shared mem,64,1000,46,68213,298428,
shared mem,64,1000,48,67565,296392,
shared mem,64,1000,50,67281,294768,
shared mem,64,1000,52,66754,293258,
shared mem,64,1000,54,66309,291920,
shared mem,64,1000,56,65693,290481,
shared mem,64,1000,58,65295,289375,
shared mem,64,1000,60,65626,289891,
shared mem,64,1000,62,66296,291240,
shared mem,64,1000,64,65833,290174,
shared mem,64,1000,66,65428,289159,
shared mem,64,1000,68,64892,288410,
shared mem,64,1000,70,64663,287334,
shared mem,64,1000,72,64433,286737,
shared mem,64,1000,74,66116,289055,
shared mem,64,1000,76,65740,289210,
shared mem,64,1000,78,66157,289892,
shared mem,64,1000,80,65851,289177,
shared mem,256,1000,2,53681,264452,
shared mem,256,1000,4,52670,274552,
shared mem,256,1000,6,52764,270953,
shared mem,256,1000,8,64309,298411,
shared mem,256,1000,10,62478,291522,
shared mem,256,1000,12,64417,293085,
shared mem,256,1000,14,65546,294365,
shared mem,256,1000,16,64680,291821,
shared mem,256,1000,18,63457,288116,
shared mem,256,1000,20,62528,285460,
shared mem,256,1000,22,63241,302906,
shared mem,256,1000,24,62376,300438,
shared mem,256,1000,26,61538,297353,
shared mem,256,1000,28,60566,294245,
shared mem,256,1000,30,59923,291993,
shared mem,256,1000,32,59043,289404,
shared mem,256,1000,34,58902,288347,
shared mem,256,1000,36,60612,290993,
shared mem,256,1000,38,60349,290112,
shared mem,256,1000,40,61110,290831,
shared mem,256,1000,42,60909,290134,
shared mem,256,1000,44,60613,288601,
