mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
shared mem,4,5000,2,234503,798446,
shared mem,4,5000,4,188561,694314,
shared mem,4,5000,6,166426,656191,
shared mem,4,5000,8,160051,630059,
shared mem,4,5000,10,148328,619226,
shared mem,4,5000,12,140659,603100,
shared mem,4,5000,14,136547,601624,
shared mem,4,5000,16,132905,591324,
shared mem,4,5000,18,130950,588331,
shared mem,4,5000,20,135716,625467,
shared mem,4,5000,22,147530,644994,
shared mem,4,5000,24,154391,652493,
shared mem,4,5000,26,158568,651889,
shared mem,4,5000,28,156246,644111,
shared mem,4,5000,30,165113,657661,
shared mem,4,5000,32,169823,660453,
shared mem,4,5000,34,174473,668151,
shared mem,4,5000,36,176267,671113,
shared mem,4,5000,38,180047,675099,
shared mem,4,5000,40,184745,679634,
shared mem,4,5000,42,185066,679802,
shared mem,4,5000,44,189388,684586,
shared mem,4,5000,46,198454,696673,
shared mem,4,5000,48,200110,698397,
shared mem,4,5000,50,202349,699716,
shared mem,4,5000,52,205653,711063,
shared mem,4,5000,54,209044,715792,
shared mem,4,5000,56,208137,717306,
shared mem,4,5000,58,210140,717716,
shared mem,4,5000,60,211642,717370,
shared mem,4,5000,62,209774,716119,
shared mem,4,5000,64,209022,715042,
shared mem,4,5000,66,206406,711726,
shared mem,4,5000,68,204527,709039,
shared mem,4,5000,70,202312,705739,
shared mem,4,5000,72,200024,702356,
shared mem,4,5000,74,197430,697637,
shared mem,4,5000,76,195486,694337,
shared mem,4,5000,78,193036,689660,
shared mem,4,5000,80,190948,686151,
shared mem,16,5000,2,101418,536251,
shared mem,16,5000,4,102807,532700,
shared mem,16,5000,6,102289,528937,
shared mem,16,5000,8,102307,526132,
shared mem,16,5000,10,101530,526476,
shared mem,16,5000,12,104664,532480,
shared mem,16,5000,14,117442,551586,
shared mem,16,5000,16,116134,547617,
shared mem,16,5000,18,114803,543923,
shared mem,16,5000,20,114435,545125,
shared mem,16,5000,22,113249,541594,
shared mem,16,5000,24,112581,541302,
shared mem,16,5000,26,111491,538295,
shared mem,16,5000,28,129424,555549,
shared mem,16,5000,30,128091,554301,
shared mem,16,5000,32,127596,554441,
shared mem,16,5000,34,126028,551982,
shared mem,16,5000,36,124664,549888,
shared mem,16,5000,38,123629,548648,
shared mem,16,5000,40,122975,547939,
shared mem,16,5000,42,123413,551133,
shared mem,16,5000,44,126528,556485,
shared mem,16,5000,46,125352,554518,
shared mem,16,5000,48,124542,553300,
shared mem,16,5000,50,123515,551315,
shared mem,16,5000,52,122400,550041,
shared mem,16,5000,54,121367,547962,
shared mem,16,5000,56,120730,547154,
shared mem,16,5000,58,125704,551197,
shared mem,16,5000,60,125045,550467,
shared mem,16,5000,62,123959,548899,
shared mem,16,5000,64,123379,547752,
shared mem,16,5000,66,122656,546570,
shared mem,16,5000,68,122299,545778,
shared mem,16,5000,70,121674,544922,
shared mem,16,5000,72,121597,544860,
