mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
shared mem,4,1000,2,27,86,
shared mem,4,1000,4,18,69,
shared mem,4,1000,6,15,60,
shared mem,4,1000,8,13,55,
shared mem,4,1000,10,12,52,
shared mem,4,1000,12,12,52,
shared mem,4,1000,14,14,54,
shared mem,4,1000,16,15,54,
shared mem,4,1000,18,15,53,
shared mem,4,1000,20,14,51,
shared mem,4,1000,22,13,50,
shared mem,4,1000,24,13,49,
shared mem,4,1000,26,12,48,
shared mem,4,1000,28,12,47,
shared mem,4,1000,30,12,47,
shared mem,4,1000,32,12,46,
shared mem,4,1000,34,11,45,
shared mem,4,1000,36,11,45,
shared mem,4,1000,38,11,45,
shared mem,4,1000,40,11,44,
shared mem,4,1000,42,11,44,
shared mem,4,1000,44,10,44,
shared mem,4,1000,46,10,43,
shared mem,4,1000,48,10,43,
shared mem,4,1000,50,10,43,
shared mem,4,1000,52,10,43,
shared mem,4,1000,54,10,42,
shared mem,4,1000,56,10,42,
shared mem,4,1000,58,10,42,
shared mem,4,1000,60,10,43,
shared mem,4,1000,62,11,43,
shared mem,4,1000,64,11,43,
shared mem,4,1000,66,11,43,
shared mem,4,1000,68,10,43,
shared mem,4,1000,70,10,43,
shared mem,4,1000,72,10,43,
shared mem,4,1000,74,10,42,
shared mem,4,1000,76,10,42,
shared mem,4,1000,78,10,42,
shared mem,4,1000,80,10,42,
shared mem,16,1000,2,7,37,
shared mem,16,1000,4,7,36,
shared mem,16,1000,6,7,36,
shared mem,16,1000,8,7,36,
shared mem,16,1000,10,7,36,
shared mem,16,1000,12,7,36,
shared mem,16,1000,14,7,36,
shared mem,16,1000,16,7,36,
shared mem,16,1000,18,7,36,
shared mem,16,1000,20,7,36,
shared mem,16,1000,22,7,36,
shared mem,16,1000,24,7,36,
shared mem,16,1000,26,7,36,
shared mem,16,1000,28,9,38,
shared mem,16,1000,30,9,39,
shared mem,16,1000,32,9,39,
shared mem,16,1000,34,9,39,
shared mem,16,1000,36,9,39,
shared mem,16,1000,38,9,39,
shared mem,16,1000,40,9,39,
shared mem,16,1000,42,9,39,
shared mem,16,1000,44,9,38,
shared mem,16,1000,46,9,38,
shared mem,16,1000,48,9,38,
shared mem,16,1000,50,9,38,
shared mem,16,1000,52,8,38,
shared mem,16,1000,54,8,38,
shared mem,16,1000,56,9,38,
shared mem,16,1000,58,8,38,
shared mem,16,1000,60,8,38,
shared mem,16,1000,62,8,38,
shared mem,16,1000,64,8,38,
shared mem,16,1000,66,8,38,
shared mem,16,1000,68,8,38,
shared mem,16,1000,70,8,38,
shared mem,16,1000,72,8,38,
shared mem,16,1000,74,8,38,
shared mem,16,1000,76,9,39,
shared mem,16,1000,78,9,40,
shared mem,16,1000,80,9,40,
shared mem,64,1000,2,7,37,
shared mem,64,1000,4,7,36,
shared mem,64,1000,6,7,36,
shared mem,64,1000,8,7,36,
shared mem,64,1000,10,7,36,
shared mem,64,1000,12,7,36,
shared mem,64,1000,14,7,36,
shared mem,64,1000,16,7,36,
shared mem,64,1000,18,7,36,
shared mem,64,1000,20,7,36,
shared mem,64,1000,22,7,36,
shared mem,64,1000,24,7,36,
shared mem,64,1000,26,7,36,
shared mem,64,1000,28,7,36,
shared mem,64,1000,30,7,36,
shared mem,64,1000,32,7,36,
shared mem,64,1000,34,7,36,
shared mem,64,1000,36,7,36,
shared mem,64,1000,38,7,36,
shared mem,64,1000,40,7,36,
shared mem,64,1000,42,7,36,
shared mem,64,1000,44,8,38,
shared mem,64,1000,46,9,38,
shared mem,64,1000,48,9,38,
shared mem,64,1000,50,9,38,
shared mem,64,1000,52,9,38,
shared mem,64,1000,54,9,38,
shared mem,64,1000,56,9,38,
shared mem,64,1000,58,8,38,
shared mem,64,1000,60,8,38,
shared mem,64,1000,62,8,38,
shared mem,64,1000,64,8,38,
shared mem,64,1000,66,8,38,
shared mem,64,1000,68,8,38,
shared mem,64,1000,70,8,38,
shared mem,64,1000,72,8,37,
shared mem,64,1000,74,8,37,
shared mem,64,1000,76,8,37,
shared mem,64,1000,78,8,37,
shared mem,64,1000,80,8,37,
shared mem,256,1000,2,7,35,
shared mem,256,1000,4,7,36,
shared mem,256,1000,6,7,36,
shared mem,256,1000,8,7,36,
shared mem,256,1000,10,7,36,
shared mem,256,1000,12,9,40,
shared mem,256,1000,14,11,42,
shared mem,256,1000,16,11,43,
shared mem,256,1000,18,11,43,
shared mem,256,1000,20,10,42,
shared mem,256,1000,22,10,42,
shared mem,256,1000,24,10,42,
shared mem,256,1000,26,9,41,
shared mem,256,1000,28,9,41,
shared mem,256,1000,30,9,41,
shared mem,256,1000,32,9,41,
shared mem,256,1000,34,9,40,
shared mem,256,1000,36,9,40,
shared mem,256,1000,38,9,40,
shared mem,256,1000,40,9,40,
shared mem,256,1000,42,8,40,
shared mem,256,1000,44,8,40,
shared mem,256,1000,46,8,40,
shared mem,256,1000,48,8,40,
shared mem,256,1000,50,8,40,
shared mem,256,1000,52,8,40,
shared mem,256,1000,54,8,39,
shared mem,256,1000,56,8,39,
shared mem,256,1000,58,9,40,
shared mem,256,1000,60,9,41,
shared mem,256,1000,62,9,41,
shared mem,256,1000,64,9,41,
shared mem,256,1000,66,9,41,
shared mem,256,1000,68,9,41,
shared mem,256,1000,70,9,41,
shared mem,256,1000,72,9,41,
shared mem,256,1000,74,9,40,
shared mem,256,1000,76,9,40,
shared mem,256,1000,78,9,40,
shared mem,256,1000,80,9,40,
shared mem,1024,1000,2,9,41,
shared mem,1024,1000,4,9,41,
shared mem,1024,1000,6,9,40,
shared mem,1024,1000,8,9,41,
shared mem,1024,1000,10,9,40,
shared mem,1024,1000,12,9,40,
shared mem,1024,1000,14,9,40,
shared mem,1024,1000,16,9,40,
shared mem,1024,1000,18,9,40,
shared mem,1024,1000,20,9,40,
shared mem,1024,1000,22,9,41,
shared mem,1024,1000,24,11,44,
shared mem,1024,1000,26,12,45,
shared mem,1024,1000,28,11,44,
shared mem,1024,1000,30,11,44,
shared mem,1024,1000,32,11,44,
shared mem,1024,1000,34,11,44,
shared mem,1024,1000,36,11,43,
shared mem,1024,1000,38,11,43,
shared mem,1024,1000,40,11,43,
shared mem,1024,1000,42,11,43,
shared mem,1024,1000,44,11,43,
shared mem,1024,1000,46,10,43,
shared mem,1024,1000,48,11,44,
shared mem,1024,1000,50,11,44,
shared mem,1024,1000,52,11,45,
shared mem,1024,1000,54,11,44,
shared mem,1024,1000,56,11,44,
shared mem,1024,1000,58,11,44,
shared mem,1024,1000,60,11,44,
shared mem,1024,1000,62,11,44,
shared mem,1024,1000,64,11,45,
shared mem,1024,1000,66,11,45,
shared mem,1024,1000,68,11,45,
shared mem,1024,1000,70,11,45,
shared mem,1024,1000,72,11,45,
shared mem,1024,1000,74,11,45,
shared mem,1024,1000,76,11,45,
shared mem,1024,1000,78,11,45,
shared mem,1024,1000,80,11,45,
shared mem,4096,1000,2,11,46,
shared mem,4096,1000,4,11,45,
shared mem,4096,1000,6,11,45,
shared mem,4096,1000,8,11,45,
shared mem,4096,1000,10,11,45,
shared mem,4096,1000,12,11,45,
shared mem,4096,1000,14,11,45,
shared mem,4096,1000,16,11,45,
shared mem,4096,1000,18,11,45,
shared mem,4096,1000,20,11,45,
shared mem,4096,1000,22,11,45,
shared mem,4096,1000,24,11,47,
shared mem,4096,1000,26,12,49,
shared mem,4096,1000,28,13,49,
shared mem,4096,1000,30,13,49,
shared mem,4096,1000,32,13,49,
shared mem,4096,1000,34,13,49,
shared mem,4096,1000,36,13,48,
shared mem,4096,1000,38,12,48,
shared mem,4096,1000,40,12,48,
