mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
shared mem,4,10000,2,67,397,
shared mem,4,10000,4,47,380,
shared mem,4,10000,6,40,361,
shared mem,4,10000,8,37,357,
shared mem,4,10000,10,33,351,
shared mem,4,10000,12,32,341,
shared mem,4,10000,14,33,335,
shared mem,4,10000,16,31,328,
shared mem,4,10000,18,29,326,
shared mem,4,10000,20,29,323,
shared mem,4,10000,22,29,322,
shared mem,4,10000,24,28,322,
shared mem,4,10000,26,27,319,
shared mem,4,10000,28,27,317,
shared mem,4,10000,30,30,315,
shared mem,4,10000,32,31,319,
shared mem,4,10000,34,33,318,
shared mem,4,10000,36,32,316,
shared mem,4,10000,38,31,315,
shared mem,4,10000,40,31,315,
shared mem,4,10000,42,31,313,
shared mem,4,10000,44,31,315,
shared mem,4,10000,46,34,317,
shared mem,4,10000,48,33,316,
shared mem,4,10000,50,33,316,
shared mem,4,10000,52,33,315,
shared mem,4,10000,54,32,319,
shared mem,4,10000,56,32,318,
shared mem,4,10000,58,32,317,
shared mem,4,10000,60,31,316,
shared mem,4,10000,62,32,316,
shared mem,4,10000,64,32,315,
shared mem,4,10000,66,31,315,
shared mem,4,10000,68,31,314,
shared mem,4,10000,70,31,313,
shared mem,4,10000,72,30,313,
shared mem,4,10000,74,30,312,
shared mem,4,10000,76,31,311,
shared mem,4,10000,78,31,310,
shared mem,4,10000,80,31,312,
shared mem,16,10000,2,22,300,
shared mem,16,10000,4,23,308,
shared mem,16,10000,6,22,299,
shared mem,16,10000,8,21,295,
shared mem,16,10000,10,21,292,
shared mem,16,10000,12,21,292,
shared mem,16,10000,14,26,293,
shared mem,16,10000,16,28,290,
shared mem,16,10000,18,26,291,
shared mem,16,10000,20,26,290,
shared mem,16,10000,22,28,289,
shared mem,16,10000,24,28,288,
shared mem,16,10000,26,29,290,
shared mem,16,10000,28,28,291,
shared mem,16,10000,30,28,292,
shared mem,16,10000,32,28,291,
shared mem,16,10000,34,27,291,
shared mem,16,10000,36,27,290,
shared mem,16,10000,38,27,292,
shared mem,16,10000,40,27,291,
shared mem,16,10000,42,26,291,
shared mem,16,10000,44,26,291,
shared mem,16,10000,46,26,292,
shared mem,16,10000,48,27,291,
shared mem,16,10000,50,27,292,
shared mem,16,10000,52,27,292,
shared mem,16,10000,54,27,292,
shared mem,16,10000,56,27,292,
shared mem,16,10000,58,27,292,
shared mem,16,10000,60,27,295,
shared mem,16,10000,62,27,306,
shared mem,16,10000,64,27,305,
shared mem,16,10000,66,27,305,
shared mem,16,10000,68,26,304,
shared mem,16,10000,70,26,304,
shared mem,16,10000,72,26,304,
shared mem,16,10000,74,26,304,
shared mem,16,10000,76,26,303,
shared mem,16,10000,78,26,303,
shared mem,16,10000,80,26,302,
shared mem,64,10000,2,545,811,
shared mem,64,10000,4,284,558,
shared mem,64,10000,6,197,469,
shared mem,64,10000,8,153,425,
shared mem,64,10000,10,127,396,
shared mem,64,10000,12,110,380,
shared mem,64,10000,14,99,372,
shared mem,64,10000,16,323,590,
shared mem,64,10000,18,326,586,
shared mem,64,10000,20,300,561,
shared mem,64,10000,22,277,542,
shared mem,64,10000,24,259,588,
shared mem,64,10000,26,242,569,
shared mem,64,10000,28,227,551,
shared mem,64,10000,30,215,535,
shared mem,64,10000,32,204,525,
shared mem,64,10000,34,193,514,
shared mem,64,10000,36,186,504,
shared mem,64,10000,38,177,495,
shared mem,64,10000,40,172,487,
shared mem,64,10000,42,165,482,
shared mem,64,10000,44,159,476,
shared mem,64,10000,46,153,478,
shared mem,64,10000,48,148,473,
shared mem,64,10000,50,143,466,
shared mem,64,10000,52,138,460,
shared mem,64,10000,54,136,454,
shared mem,64,10000,56,132,450,
shared mem,64,10000,58,129,447,
shared mem,64,10000,60,125,445,
shared mem,64,10000,62,122,442,
shared mem,64,10000,64,119,439,
shared mem,64,10000,66,117,435,
shared mem,64,10000,68,115,434,
shared mem,64,10000,70,112,432,
shared mem,64,10000,72,111,429,
shared mem,64,10000,74,110,430,
shared mem,64,10000,76,108,428,
shared mem,64,10000,78,106,424,
shared mem,64,10000,80,104,421,
shared mem,256,10000,2,25,292,
shared mem,256,10000,4,22,307,
shared mem,256,10000,6,36,312,
shared mem,256,10000,8,33,309,
shared mem,256,10000,10,30,308,
shared mem,256,10000,12,29,306,
shared mem,256,10000,14,28,304,
shared mem,256,10000,16,28,304,
shared mem,256,10000,18,28,307,
shared mem,256,10000,20,32,306,
shared mem,256,10000,22,32,306,
shared mem,256,10000,24,32,305,
shared mem,256,10000,26,31,305,
shared mem,256,10000,28,31,305,
shared mem,256,10000,30,31,307,
shared mem,256,10000,32,30,306,
shared mem,256,10000,34,30,307,
shared mem,256,10000,36,30,307,
shared mem,256,10000,38,31,307,
shared mem,256,10000,40,31,308,
shared mem,256,10000,42,31,308,
shared mem,256,10000,44,31,308,
shared mem,256,10000,46,31,309,
shared mem,256,10000,48,30,308,
shared mem,256,10000,50,30,308,
shared mem,256,10000,52,30,310,
shared mem,256,10000,54,30,309,
shared mem,256,10000,56,30,310,
shared mem,256,10000,58,30,309,
shared mem,256,10000,60,30,310,
shared mem,256,10000,62,29,309,
shared mem,256,10000,64,29,309,
shared mem,256,10000,66,29,309,
shared mem,256,10000,68,29,309,
shared mem,256,10000,70,29,311,
shared mem,256,10000,72,30,312,
shared mem,256,10000,74,30,316,
shared mem,256,10000,76,31,316,
shared mem,256,10000,78,31,316,
shared mem,256,10000,80,31,316,
shared mem,1024,10000,2,31,315,
shared mem,1024,10000,4,28,312,
shared mem,1024,10000,6,35,321,
shared mem,1024,10000,8,33,319,
shared mem,1024,10000,10,31,318,
shared mem,1024,10000,12,30,315,
shared mem,1024,10000,14,29,313,
shared mem,1024,10000,16,30,312,
shared mem,1024,10000,18,29,312,
shared mem,1024,10000,20,29,311,
shared mem,1024,10000,22,28,311,
shared mem,1024,10000,24,28,310,
shared mem,1024,10000,26,28,311,
shared mem,1024,10000,28,28,310,
shared mem,1024,10000,30,30,315,
shared mem,1024,10000,32,30,314,
