mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
socket,4,1000,2,44544,679996,
socket,4,1000,4,37297,551870,
socket,4,1000,6,34646,514164,
socket,4,1000,8,33008,496753,
socket,4,1000,10,32580,487484,
socket,4,1000,12,32306,477756,
socket,4,1000,14,32726,509403,
socket,4,1000,16,32416,507548,
socket,4,1000,18,32029,500583,
socket,4,1000,20,31989,494480,
socket,4,1000,22,31953,490557,
socket,4,1000,24,31503,485540,
socket,4,1000,26,31365,485197,
socket,4,1000,28,31722,496834,
socket,4,1000,30,31859,499130,
socket,4,1000,32,31926,499906,
socket,4,1000,34,32212,499217,
socket,4,1000,36,32102,500842,
socket,4,1000,38,31948,500018,
socket,4,1000,40,32663,500098,
socket,4,1000,42,32584,499486,
socket,4,1000,44,32526,499761,
socket,4,1000,46,32861,500339,
socket,4,1000,48,32798,501525,
socket,4,1000,50,32846,503377,
socket,4,1000,52,32892,503757,
socket,4,1000,54,32901,503236,
socket,4,1000,56,32825,503189,
socket,4,1000,58,33370,502886,
socket,4,1000,60,33354,502810,
socket,4,1000,62,33238,501938,
socket,4,1000,64,33202,501008,
socket,4,1000,66,33190,502584,
socket,4,1000,68,33134,503206,
socket,4,1000,70,33060,502327,
socket,4,1000,72,33044,501977,
socket,4,1000,74,33009,503246,
socket,4,1000,76,33054,503620,
socket,4,1000,78,33102,503543,
socket,4,1000,80,33011,503189,
socket,16,1000,2,31041,519721,
socket,16,1000,4,30295,497685,
socket,16,1000,6,30843,518095,
socket,16,1000,8,30343,506487,
socket,16,1000,10,42708,522499,
socket,16,1000,12,41104,518677,
socket,16,1000,14,39261,510893,
socket,16,1000,16,38636,508944,
socket,16,1000,18,37309,507159,
socket,16,1000,20,36377,503893,
socket,16,1000,22,35369,499947,
socket,16,1000,24,34765,497218,
socket,16,1000,26,34135,495153,
socket,16,1000,28,33818,497593,
socket,16,1000,30,33456,496633,
socket,16,1000,32,33030,494267,
socket,16,1000,34,32738,492889,
socket,16,1000,36,32450,490926,
socket,16,1000,38,32185,491288,
socket,16,1000,40,32058,492109,
socket,16,1000,42,31718,490946,
socket,16,1000,44,31488,490207,
socket,16,1000,46,31427,490934,
