mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
socket,4,10000,2,71288,694579,
socket,4,10000,4,57265,546649,
socket,4,10000,6,43813,476063,
socket,4,10000,8,36335,432310,
socket,4,10000,10,32532,418507,
socket,4,10000,12,34488,414330,
socket,4,10000,14,31737,401633,
socket,4,10000,16,29550,390065,
socket,4,10000,18,27913,380260,
socket,4,10000,20,26668,372518,
socket,4,10000,22,28992,375023,
socket,4,10000,24,27914,372652,
socket,4,10000,26,27018,371398,
socket,4,10000,28,26084,367613,
socket,4,10000,30,25346,363229,
socket,4,10000,32,24869,363232,
socket,4,10000,34,25863,365261,
socket,4,10000,36,25349,364437,
socket,4,10000,38,24733,362240,
socket,4,10000,40,24256,359547,
socket,4,10000,42,23789,357237,
socket,4,10000,44,23407,355210,
socket,4,10000,46,23037,354367,
socket,4,10000,48,24060,356419,
socket,4,10000,50,23758,355984,
socket,4,10000,52,23403,354856,
socket,4,10000,54,23099,353282,
socket,4,10000,56,22788,351821,
socket,4,10000,58,22500,352470,
socket,4,10000,60,22894,355916,
socket,4,10000,62,22628,355257,
socket,4,10000,64,22396,354035,
socket,4,10000,66,22152,352875,
socket,4,10000,68,21940,352460,
socket,4,10000,70,22622,353969,
socket,4,10000,72,22482,354199,
socket,4,10000,74,22297,353677,
socket,4,10000,76,22087,352809,
socket,4,10000,78,21885,351963,
socket,4,10000,80,21740,351898,
socket,16,10000,2,45468,422419,
socket,16,10000,4,30304,381739,
socket,16,10000,6,24994,362367,
socket,16,10000,8,22148,352931,
socket,16,10000,10,20693,347241,
socket,16,10000,12,19904,345979,
socket,16,10000,14,24240,360428,
socket,16,10000,16,23002,357940,
socket,16,10000,18,22043,354754,
socket,16,10000,20,21353,352165,
socket,16,10000,22,20729,352142,
socket,16,10000,24,21131,359751,
socket,16,10000,26,20772,360170,
socket,16,10000,28,20315,358043,
socket,16,10000,30,19977,356379,
socket,16,10000,32,19646,354825,
socket,16,10000,34,21100,359052,
socket,16,10000,36,20812,359910,
socket,16,10000,38,20663,358701,
socket,16,10000,40,20396,357564,
socket,16,10000,42,20121,356561,
socket,16,10000,44,19956,356870,
socket,16,10000,46,21001,359751,
socket,16,10000,48,20843,360550,
socket,16,10000,50,20618,359782,
socket,16,10000,52,20379,359016,
socket,16,10000,54,20207,358578,
socket,16,10000,56,20933,361049,
socket,16,10000,58,20828,361815,
socket,16,10000,60,20634,361280,
socket,16,10000,62,20444,360719,
socket,16,10000,64,20283,360113,
socket,16,10000,66,20939,361724,
socket,16,10000,68,20870,363234,
socket,16,10000,70,20731,363677,
socket,16,10000,72,20594,363667,
socket,16,10000,74,20453,363516,
socket,16,10000,76,21279,365715,
socket,16,10000,78,21188,366398,
socket,16,10000,80,21062,366336,
socket,64,10000,2,14488,349835,
socket,64,10000,4,14685,353949,
socket,64,10000,6,14708,399636,
socket,64,10000,8,22679,417429,
socket,64,10000,10,21599,413524,
socket,64,10000,12,20381,402887,
socket,64,10000,14,19665,396182,
socket,64,10000,16,19025,394483,
socket,64,10000,18,21714,401048,
socket,64,10000,20,21066,397806,
socket,64,10000,22,20436,394299,
socket,64,10000,24,20004,391025,
socket,64,10000,26,21361,397722,
socket,64,10000,28,21062,397731,
socket,64,10000,30,20674,395842,
socket,64,10000,32,20292,393519,
socket,64,10000,34,19971,391653,
socket,64,10000,36,21255,398840,
socket,64,10000,38,21046,399462,
socket,64,10000,40,20824,398435,
socket,64,10000,42,20532,397016,
socket,64,10000,44,20271,395499,
socket,64,10000,46,20019,395430,
socket,64,10000,48,20711,400462,
socket,64,10000,50,20521,399942,
socket,64,10000,52,20295,398666,
socket,64,10000,54,20112,397623,
socket,64,10000,56,19915,397064,
socket,64,10000,58,20490,400730,
socket,64,10000,60,20318,400050,
socket,64,10000,62,20138,399333,
socket,64,10000,64,19992,398503,
socket,64,10000,66,20758,400693,
socket,64,10000,68,20595,400751,
socket,64,10000,70,20443,399977,
socket,64,10000,72,20274,399181,
socket,64,10000,74,20138,398653,
socket,64,10000,76,20797,400620,
socket,64,10000,78,20677,400834,
socket,64,10000,80,20546,400269,
socket,256,10000,2,13826,374994,
socket,256,10000,4,14659,418191,
socket,256,10000,6,24135,437724,
socket,256,10000,8,21959,429416,
socket,256,10000,10,20336,419498,
socket,256,10000,12,19279,412239,
socket,256,10000,14,18763,412646,
socket,256,10000,16,21745,422252,
socket,256,10000,18,20872,419166,
socket,256,10000,20,20277,415660,
socket,256,10000,22,19661,412130,
socket,256,10000,24,21545,419116,
socket,256,10000,26,21206,419057,
socket,256,10000,28,20667,417362,
socket,256,10000,30,20270,415042,
socket,256,10000,32,19887,414273,
socket,256,10000,34,20818,419097,
socket,256,10000,36,20608,419498,
socket,256,10000,38,20259,417634,
socket,256,10000,40,19976,416299,
socket,256,10000,42,19724,421257,
socket,256,10000,44,21072,424779,
socket,256,10000,46,20888,424625,
socket,256,10000,48,20635,423778,
socket,256,10000,50,20530,423978,
socket,256,10000,52,21585,426503,
socket,256,10000,54,21363,425909,
socket,256,10000,56,21135,425211,
socket,256,10000,58,20903,424687,
socket,256,10000,60,21566,427161,
socket,256,10000,62,21464,427586,
socket,256,10000,64,21296,427195,
socket,256,10000,66,21105,426709,
socket,256,10000,68,20902,426518,
socket,256,10000,70,20861,427448,
socket,256,10000,72,20708,428304,
socket,256,10000,74,20630,429526,
socket,256,10000,76,20481,429683,
socket,256,10000,78,21154,432488,
socket,256,10000,80,21512,434232,
socket,1024,10000,2,14976,420209,
socket,1024,10000,4,15006,419062,
socket,1024,10000,6,14935,424963,
socket,1024,10000,8,28422,447640,
socket,1024,10000,10,27422,455871,
socket,1024,10000,12,25275,454962,
socket,1024,10000,14,23928,453319,
socket,1024,10000,16,25500,462543,
socket,1024,10000,18,24514,460595,
socket,1024,10000,20,23592,457142,
socket,1024,10000,22,22696,453753,
socket,1024,10000,24,22068,453943,
socket,1024,10000,26,23893,459507,
socket,1024,10000,28,23261,456959,
socket,1024,10000,30,22744,455102,
socket,1024,10000,32,22220,457181,
socket,1024,10000,34,23626,461592,
socket,1024,10000,36,23162,459786,
socket,1024,10000,38,22728,458215,
socket,1024,10000,40,22375,457813,
socket,1024,10000,42,23502,460700,
socket,1024,10000,44,23205,459771,
socket,1024,10000,46,22865,458505,
socket,1024,10000,48,22538,458111,
socket,1024,10000,50,24360,461685,
socket,1024,10000,52,24053,461128,
socket,1024,10000,54,23748,460040,
socket,1024,10000,56,23420,459000,
socket,1024,10000,58,23224,460590,
socket,1024,10000,60,23932,462366,
socket,1024,10000,62,23707,462782,
socket,1024,10000,64,23459,462588,
socket,1024,10000,66,24208,464389,
socket,1024,10000,68,23980,464317,
socket,1024,10000,70,23713,463547,
socket,1024,10000,72,23437,462455,
socket,1024,10000,74,23870,465128,
socket,1024,10000,76,23615,464502,
socket,1024,10000,78,23489,465787,
socket,1024,10000,80,23291,466005,
socket,4096,10000,2,14519,474030,
socket,4096,10000,4,20158,502175,
socket,4096,10000,6,18277,497315,
socket,4096,10000,8,17863,491440,
socket,4096,10000,10,17326,486967,
socket,4096,10000,12,18336,494722,
socket,4096,10000,14,18367,493574,
socket,4096,10000,16,17970,490620,
socket,4096,10000,18,17683,489292,
socket,4096,10000,20,17669,490947,
socket,4096,10000,22,17698,491524,
socket,4096,10000,24,17436,489996,
socket,4096,10000,26,17436,489546,
socket,4096,10000,28,19140,492629,
socket,4096,10000,30,19167,492722,
socket,4096,10000,32,18901,492066,
socket,4096,10000,34,18738,491081,
socket,4096,10000,36,18690,490671,
socket,4096,10000,38,18473,488941,
socket,4096,10000,40,18285,487313,
socket,4096,10000,42,18083,487756,
socket,4096,10000,44,19246,489748,
socket,4096,10000,46,19111,489880,
socket,4096,10000,48,18976,488664,
socket,4096,10000,50,18834,490008,
socket,4096,10000,52,19513,491518,
socket,4096,10000,54,19394,491553,
socket,4096,10000,56,19237,490412,
socket,4096,10000,58,19349,490920,
socket,4096,10000,60,20365,492588,
socket,4096,10000,62,20306,492634,
socket,4096,10000,64,20142,491700,
socket,4096,10000,66,19990,492210,
socket,4096,10000,68,20755,493688,
socket,4096,10000,70,20673,493821,
socket,4096,10000,72,20507,493001,
socket,4096,10000,74,20357,493030,
socket,4096,10000,76,20629,494160,
socket,4096,10000,78,20569,493869,
socket,4096,10000,80,20413,493145,
socket,16384,10000,2,21932,533658,
socket,16384,10000,4,35480,551461,
socket,16384,10000,6,31443,532013,
socket,16384,10000,8,28829,519948,
socket,16384,10000,10,27768,518335,
socket,16384,10000,12,32408,529375,
socket,16384,10000,14,30616,522990,
socket,16384,10000,16,29330,518182,
socket,16384,10000,18,29158,521046,
socket,16384,10000,20,30799,527556,
socket,16384,10000,22,29911,524299,
socket,16384,10000,24,29097,522311,
socket,16384,10000,26,32002,528271,
socket,16384,10000,28,31414,526618,
socket,16384,10000,30,30662,523961,
socket,16384,10000,32,30001,523000,
socket,16384,10000,34,32375,527561,
socket,16384,10000,36,31882,526354,
socket,16384,10000,38,31282,524243,
socket,16384,10000,40,31637,525792,
socket,16384,10000,42,32222,528405,
socket,16384,10000,44,31653,526186,
socket,16384,10000,46,31153,524303,
socket,16384,10000,48,31677,526099,
socket,16384,10000,50,32190,527526,
socket,16384,10000,52,31721,525654,
socket,16384,10000,54,31301,525223,
socket,16384,10000,56,32665,527695,
socket,16384,10000,58,32319,526741,
socket,16384,10000,60,31917,525600,
socket,16384,10000,62,31559,525293,
socket,16384,10000,64,31890,528405,
socket,16384,10000,66,31571,527942,
socket,16384,10000,68,31333,527984,
socket,16384,10000,70,32427,530655,
socket,16384,10000,72,32696,531644,
socket,16384,10000,74,32451,530986,
socket,16384,10000,76,32482,530855,
socket,16384,10000,78,33391,532699,
socket,16384,10000,80,33127,531987,
socket,65536,10000,2,40219,528287,
socket,65536,10000,4,45923,573929,
socket,65536,10000,6,45864,588309,
socket,65536,10000,8,46382,612450,
socket,65536,10000,10,47101,615998,
socket,65536,10000,12,46191,609763,
socket,65536,10000,14,46328,611287,
socket,65536,10000,16,46140,612201,
socket,65536,10000,18,47056,611304,
socket,65536,10000,20,46712,607363,
socket,65536,10000,22,46097,601212,
socket,65536,10000,24,45962,602738,
socket,65536,10000,26,45695,600326,
socket,65536,10000,28,45140,597231,
socket,65536,10000,30,44763,595462,
socket,65536,10000,32,44634,599287,
socket,65536,10000,34,44505,597228,
socket,65536,10000,36,44238,597387,
socket,65536,10000,38,44372,600078,
socket,65536,10000,40,44311,598326,
socket,65536,10000,42,44124,596801,
socket,65536,10000,44,44331,596625,
socket,65536,10000,46,44417,597794,
socket,65536,10000,48,44178,596131,
socket,65536,10000,50,43935,595248,
socket,65536,10000,52,44108,597305,
socket,65536,10000,54,44192,597413,
socket,65536,10000,56,44040,598671,
socket,65536,10000,58,44500,606656,
socket,65536,10000,60,44771,607259,
socket,65536,10000,62,44630,607053,
socket,65536,10000,64,45550,610440,
socket,65536,10000,66,45471,610189,
socket,65536,10000,68,45281,610597,
socket,65536,10000,70,45394,611638,
socket,65536,10000,72,45331,610706,
socket,65536,10000,74,45171,609710,
socket,65536,10000,76,45350,610489,
socket,65536,10000,78,45438,611049,
socket,65536,10000,80,45263,610048,
socket,262144,10000,2,128931,754883,
socket,262144,10000,4,128691,803187,
socket,262144,10000,6,119448,783890,
socket,262144,10000,8,121725,797929,
socket,262144,10000,10,120093,792630,
socket,262144,10000,12,120757,801633,
socket,262144,10000,14,119518,804245,
socket,262144,10000,16,118311,800354,
socket,262144,10000,18,118288,807150,
socket,262144,10000,20,117694,803412,
socket,262144,10000,22,117708,804909,
socket,262144,10000,24,117294,805580,
socket,262144,10000,26,116768,801338,
socket,262144,10000,28,116437,803543,
socket,262144,10000,30,116129,800655,
socket,262144,10000,32,115870,804548,
socket,262144,10000,34,116084,808611,
socket,262144,10000,36,117823,807589,
socket,262144,10000,38,117436,808168,
socket,262144,10000,40,117639,806372,
socket,262144,10000,42,117787,805935,
socket,262144,10000,44,117447,804415,
socket,262144,10000,46,117469,804630,
socket,262144,10000,48,117357,805421,
socket,262144,10000,50,119275,805785,
socket,262144,10000,52,118970,808012,
socket,262144,10000,54,118745,807394,
socket,262144,10000,56,118160,806372,
socket,262144,10000,58,117976,807125,
socket,262144,10000,60,117578,806011,
socket,262144,10000,62,117293,805709,
socket,262144,10000,64,117253,805219,
socket,262144,10000,66,116749,804545,
socket,262144,10000,68,116573,804951,
socket,262144,10000,70,116204,805245,
socket,262144,10000,72,116235,805934,
socket,262144,10000,74,116036,805735,
socket,262144,10000,76,115748,806418,
socket,262144,10000,78,115924,808625,
socket,262144,10000,80,115754,808643,
socket,524288,10000,2,211136,1003733,
socket,524288,10000,4,195435,1004152,
socket,524288,10000,6,198058,1038253,
socket,524288,10000,8,199082,1033116,
socket,524288,10000,10,196715,1031452,
socket,524288,10000,12,196180,1023830,
socket,524288,10000,14,196174,1026080,
socket,524288,10000,16,198678,1026104,
socket,524288,10000,18,198853,1032024,
socket,524288,10000,20,198497,1033013,
socket,524288,10000,22,198663,1038777,
socket,524288,10000,24,197325,1039027,
socket,524288,10000,26,197267,1038779,
socket,524288,10000,28,196119,1034797,
socket,524288,10000,30,196058,1033201,
socket,524288,10000,32,195312,1032939,
socket,524288,10000,34,197844,1034101,
socket,524288,10000,36,199193,1041803,
socket,524288,10000,38,198895,1040011,
socket,524288,10000,40,198758,1040289,
socket,524288,10000,42,198464,1042216,
socket,524288,10000,44,198231,1043568,
socket,524288,10000,46,198046,1042543,
socket,524288,10000,48,197826,1040618,
socket,524288,10000,50,199469,1042039,
socket,524288,10000,52,199667,1043922,
socket,524288,10000,54,199533,1042240,
socket,524288,10000,56,199274,1042374,
socket,524288,10000,58,199208,1043008,
socket,524288,10000,60,199413,1044811,
socket,524288,10000,62,199525,1045698,
socket,524288,10000,64,199512,1044584,
socket,524288,10000,66,199855,1046632,
socket,524288,10000,68,199565,1045587,
socket,524288,10000,70,199950,1047660,
socket,524288,10000,72,200022,1047183,
socket,524288,10000,74,199795,1047167,
socket,524288,10000,76,199696,1047127,
socket,524288,10000,78,199732,1047463,
socket,524288,10000,80,199747,1047167,
socket,1048576,10000,2,388763,1430227,
socket,1048576,10000,4,392680,1460990,
socket,1048576,10000,6,384641,1497693,
socket,1048576,10000,8,385427,1533091,
socket,1048576,10000,10,381860,1536830,
socket,1048576,10000,12,383953,1552861,
socket,1048576,10000,14,383589,1549624,
socket,1048576,10000,16,380259,1542850,
socket,1048576,10000,18,379644,1537519,
socket,1048576,10000,20,378255,1534655,
socket,1048576,10000,22,378114,1539161,
socket,1048576,10000,24,378045,1541993,
socket,1048576,10000,26,377165,1543245,
socket,1048576,10000,28,377718,1550903,
socket,1048576,10000,30,377301,1549514,
socket,1048576,10000,32,378480,1555670,
socket,1048576,10000,34,379308,1557830,
socket,1048576,10000,36,378788,1556015,
socket,1048576,10000,38,379744,1561543,
socket,1048576,10000,40,380677,1563849,
socket,1048576,10000,42,380462,1561879,
socket,1048576,10000,44,380060,1561768,
socket,1048576,10000,46,379370,1563244,
socket,1048576,10000,48,379273,1563429,
socket,1048576,10000,50,378586,1560682,
socket,1048576,10000,52,378300,1559430,
socket,1048576,10000,54,378912,1561568,
socket,1048576,10000,56,378640,1560293,
socket,1048576,10000,58,378954,1560156,
socket,1048576,10000,60,378998,1558478,
socket,1048576,10000,62,379180,1559317,
socket,1048576,10000,64,379348,1558579,
socket,1048576,10000,66,379388,1562071,
socket,1048576,10000,68,378813,1560937,
socket,1048576,10000,70,379168,1561880,
socket,1048576,10000,72,379351,1563784,
socket,1048576,10000,74,379513,1564487,
socket,1048576,10000,76,379360,1566232,
socket,1048576,10000,78,379675,1567089,
socket,1048576,10000,80,379977,1567687,
