mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
socket,4,1000,2,84541,1216126,
socket,4,1000,4,71409,961637,
socket,4,1000,6,69994,863606,
socket,4,1000,8,68513,836313,
socket,4,1000,10,68860,815497,
socket,4,1000,12,68140,808103,
socket,4,1000,14,68188,825362,
socket,4,1000,16,67651,819540,
socket,4,1000,18,109401,862434,
socket,4,1000,20,104966,854124,
socket,4,1000,22,100716,841611,
socket,4,1000,24,97246,843140,
socket,4,1000,26,94102,830148,
socket,4,1000,28,91990,824273,
socket,4,1000,30,90511,821683,
socket,4,1000,32,88995,819905,
socket,4,1000,34,87194,817602,
socket,4,1000,36,85655,811679,
socket,4,1000,38,84308,806246,
socket,4,1000,40,83430,812579,
socket,4,1000,42,82549,816518,
socket,4,1000,44,81788,816678,
socket,4,1000,46,81484,820206,
socket,4,1000,48,81041,821088,
socket,4,1000,50,80319,824347,
socket,4,1000,52,80021,828069,
socket,4,1000,54,79625,832102,
socket,4,1000,56,79308,834799,
socket,4,1000,58,83964,838683,
socket,4,1000,60,83344,839865,
socket,4,1000,62,82757,841925,
socket,4,1000,64,82196,842278,
socket,4,1000,66,81597,843458,
socket,4,1000,68,81444,845956,
socket,4,1000,70,80937,848435,
socket,4,1000,72,80438,851717,
socket,4,1000,74,80101,853342,
socket,4,1000,76,79788,852769,
socket,4,1000,78,79442,854402,
socket,4,1000,80,79137,855689,
socket,16,1000,2,63457,837623,
socket,16,1000,4,63132,829988,
socket,16,1000,6,64340,854033,
socket,16,1000,8,65640,866969,
socket,16,1000,10,65084,873602,
socket,16,1000,12,64825,893154,
socket,16,1000,14,65621,886509,
socket,16,1000,16,67739,892114,
socket,16,1000,18,68564,913048,
socket,16,1000,20,68080,914998,
socket,16,1000,22,67726,912709,
socket,16,1000,24,68162,909502,
socket,16,1000,26,68575,912739,
socket,16,1000,28,68610,911842,
socket,16,1000,30,68622,918096,
socket,16,1000,32,68449,914846,
socket,16,1000,34,68558,914535,
socket,16,1000,36,69035,917454,
socket,16,1000,38,68815,916007,
socket,16,1000,40,68908,917988,
socket,16,1000,42,68863,919888,
socket,16,1000,44,69198,921486,
socket,16,1000,46,68961,923229,
socket,16,1000,48,68997,926413,
socket,16,1000,50,69453,928863,
socket,16,1000,52,69387,931194,
socket,16,1000,54,69283,933025,
socket,16,1000,56,73151,935340,
socket,16,1000,58,72848,936015,
socket,16,1000,60,72740,939242,
socket,16,1000,62,72591,940226,
socket,16,1000,64,72486,938861,
socket,16,1000,66,72195,941076,
socket,16,1000,68,71920,939663,
socket,16,1000,70,71640,939383,
socket,16,1000,72,71489,942542,
socket,16,1000,74,71524,946504,
socket,16,1000,76,71520,946745,
socket,16,1000,78,71328,947445,
socket,16,1000,80,71225,946839,
socket,64,1000,2,61750,924768,
socket,64,1000,4,67772,976667,
socket,64,1000,6,66665,958041,
socket,64,1000,8,67083,983742,
socket,64,1000,10,67676,1000559,
socket,64,1000,12,67568,1003948,
socket,64,1000,14,67088,989001,
socket,64,1000,16,67095,995854,
socket,64,1000,18,67130,988379,
socket,64,1000,20,67495,994911,
socket,64,1000,22,68201,998130,
socket,64,1000,24,67643,997445,
socket,64,1000,26,68294,1001167,
socket,64,1000,28,68674,1007896,
socket,64,1000,30,68571,1006484,
socket,64,1000,32,68480,1010534,
socket,64,1000,34,68841,1009197,
socket,64,1000,36,68518,1005676,
socket,64,1000,38,68269,1003542,
socket,64,1000,40,68098,1004483,
socket,64,1000,42,68066,1005031,
socket,64,1000,44,68071,1003410,
socket,64,1000,46,68222,1006173,
socket,64,1000,48,68196,1008756,
socket,64,1000,50,68126,1009655,
socket,64,1000,52,68064,1006643,
socket,64,1000,54,68175,1007592,
socket,64,1000,56,68129,1006433,
socket,64,1000,58,68002,1007491,
socket,64,1000,60,68103,1007434,
socket,64,1000,62,68005,1008810,
socket,64,1000,64,67857,1008684,
socket,64,1000,66,67922,1011520,
socket,64,1000,68,67724,1009359,
socket,64,1000,70,67444,1009569,
socket,64,1000,72,67299,1008566,
socket,64,1000,74,67042,1008319,
socket,64,1000,76,66964,1006599,
socket,64,1000,78,66905,1006522,
socket,64,1000,80,66740,1004010,
socket,256,1000,2,57308,967796,
socket,256,1000,4,56547,978358,
socket,256,1000,6,61335,988001,
socket,256,1000,8,61220,976837,
socket,256,1000,10,63791,968520,
socket,256,1000,12,62885,977103,
socket,256,1000,14,63494,987332,
socket,256,1000,16,63455,995651,
socket,256,1000,18,63638,998720,
socket,256,1000,20,63980,1010826,
socket,256,1000,22,63338,1007733,
socket,256,1000,24,62998,1005708,
socket,256,1000,26,62762,1006006,
socket,256,1000,28,62884,1005896,
socket,256,1000,30,63376,1008126,
socket,256,1000,32,62946,1005949,
socket,256,1000,34,62724,1003757,
socket,256,1000,36,62602,1005862,
socket,256,1000,38,62583,1004974,
socket,256,1000,40,62596,1004142,
socket,256,1000,42,62200,1000600,
socket,256,1000,44,61830,999698,
socket,256,1000,46,62648,1001748,
socket,256,1000,48,62741,1001689,
socket,256,1000,50,62835,1002513,
socket,256,1000,52,62770,1005138,
socket,256,1000,54,62645,1004608,
socket,256,1000,56,62424,1004233,
socket,256,1000,58,62442,1005161,
socket,256,1000,60,62151,1006566,
socket,256,1000,62,62038,1009058,
socket,256,1000,64,61968,1009212,
socket,256,1000,66,61954,1009474,
socket,256,1000,68,61809,1010058,
socket,256,1000,70,61749,1011422,
socket,256,1000,72,61786,1013166,
socket,256,1000,74,61616,1012630,
socket,256,1000,76,61464,1014373,
socket,256,1000,78,61495,1016655,
socket,256,1000,80,61401,1017219,
socket,1024,1000,2,80256,1084391,
socket,1024,1000,4,131077,1083221,
socket,1024,1000,6,116691,1082674,
socket,1024,1000,8,109919,1077424,
socket,1024,1000,10,106107,1069641,
socket,1024,1000,12,102414,1068168,
socket,1024,1000,14,101025,1074533,
socket,1024,1000,16,99352,1076249,
socket,1024,1000,18,97933,1077269,
socket,1024,1000,20,97297,1089568,
socket,1024,1000,22,96844,1097058,
socket,1024,1000,24,101332,1100773,
socket,1024,1000,26,100429,1098981,
socket,1024,1000,28,99997,1103255,
socket,1024,1000,30,99313,1104196,
socket,1024,1000,32,98580,1114492,
socket,1024,1000,34,97745,1119277,
socket,1024,1000,36,97983,1124281,
socket,1024,1000,38,97572,1126045,
socket,1024,1000,40,96691,1127150,
socket,1024,1000,42,97458,1128684,
socket,1024,1000,44,97171,1130694,
socket,1024,1000,46,97246,1130064,
socket,1024,1000,48,96358,1128104,
socket,1024,1000,50,95742,1129228,
socket,1024,1000,52,95212,1127571,
socket,1024,1000,54,95149,1128922,
socket,1024,1000,56,94887,1128687,
socket,1024,1000,58,94532,1126479,
socket,1024,1000,60,94295,1125670,
socket,1024,1000,62,94434,1127741,
socket,1024,1000,64,94100,1127935,
socket,1024,1000,66,93918,1126648,
socket,1024,1000,68,93954,1128297,
socket,1024,1000,70,93866,1134144,
socket,1024,1000,72,94167,1140723,
socket,1024,1000,74,94403,1149497,
socket,1024,1000,76,94666,1155245,
socket,1024,1000,78,94668,1159527,
socket,1024,1000,80,94983,1165419,
