mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
socket,4,1000,2,166157,1289478,
socket,4,1000,4,150120,1200572,
socket,4,1000,6,137841,1222120,
socket,4,1000,8,133402,1243515,
socket,4,1000,10,131418,1253851,
socket,4,1000,12,129244,1249914,
socket,4,1000,14,127481,1249273,
socket,4,1000,16,129306,1268610,
socket,4,1000,18,128804,1273931,
socket,4,1000,20,134754,1269752,
socket,4,1000,22,133561,1268188,
socket,4,1000,24,131673,1265299,
socket,4,1000,26,131579,1280983,
socket,4,1000,28,132683,1298013,
socket,4,1000,30,130895,1334302,
socket,4,1000,32,129205,1328469,
socket,4,1000,34,127971,1323540,
socket,4,1000,36,126717,1318045,
socket,4,1000,38,125997,1315014,
socket,4,1000,40,124921,1312865,
socket,4,1000,42,132795,1320696,
socket,4,1000,44,132733,1321793,
socket,4,1000,46,132798,1322211,
socket,4,1000,48,131970,1324262,
socket,4,1000,50,131141,1322849,
socket,4,1000,52,131821,1324573,
socket,4,1000,54,131189,1324364,
socket,4,1000,56,130362,1325799,
socket,4,1000,58,129987,1323759,
socket,4,1000,60,129423,1324382,
socket,4,1000,62,129208,1323101,
socket,4,1000,64,128797,1322774,
socket,4,1000,66,128712,1318045,
socket,4,1000,68,128392,1322598,
socket,4,1000,70,127841,1324126,
socket,4,1000,72,127477,1324802,
socket,4,1000,74,126911,1325813,
socket,4,1000,76,126668,1326519,
socket,4,1000,78,126483,1330841,
socket,4,1000,80,127784,1343834,
socket,16,1000,2,131803,1699181,
socket,16,1000,4,138386,1711590,
socket,16,1000,6,133654,1671870,
socket,16,1000,8,128194,1588869,
socket,16,1000,10,125212,1542762,
socket,16,1000,12,123253,1540714,
socket,16,1000,14,121140,1519377,
socket,16,1000,16,121892,1502756,
socket,16,1000,18,123654,1497542,
socket,16,1000,20,121802,1482777,
socket,16,1000,22,122735,1469380,
socket,16,1000,24,123090,1472265,
socket,16,1000,26,123281,1465796,
socket,16,1000,28,122910,1459770,
socket,16,1000,30,123056,1458754,
socket,16,1000,32,124001,1458702,
socket,16,1000,34,123795,1453104,
socket,16,1000,36,123245,1457457,
socket,16,1000,38,123101,1456665,
socket,16,1000,40,122559,1454315,
socket,16,1000,42,122156,1455320,
socket,16,1000,44,122438,1458961,
socket,16,1000,46,122126,1468467,
socket,16,1000,48,121965,1470361,
socket,16,1000,50,122625,1474070,
socket,16,1000,52,121881,1473304,
socket,16,1000,54,121877,1472551,
socket,16,1000,56,121839,1472706,
socket,16,1000,58,121375,1477372,
socket,16,1000,60,121218,1476928,
socket,16,1000,62,121125,1476954,
socket,16,1000,64,121480,1477677,
socket,16,1000,66,120941,1478174,
socket,16,1000,68,120761,1482445,
socket,16,1000,70,120730,1484128,
socket,16,1000,72,122944,1484767,
socket,16,1000,74,122679,1483734,
socket,16,1000,76,122594,1485844,
socket,16,1000,78,125617,1489370,
socket,16,1000,80,127702,1493913,
socket,64,1000,2,110467,1484716,
socket,64,1000,4,112208,1478565,
socket,64,1000,6,120181,1526997,
socket,64,1000,8,117926,1500616,
socket,64,1000,10,115769,1510768,
socket,64,1000,12,115168,1514941,
socket,64,1000,14,114653,1510244,
socket,64,1000,16,113302,1513483,
socket,64,1000,18,112726,1509309,
socket,64,1000,20,111515,1515174,
socket,64,1000,22,112599,1522236,
socket,64,1000,24,113646,1524828,
socket,64,1000,26,114071,1527126,
socket,64,1000,28,114437,1536770,
socket,64,1000,30,114462,1536417,
socket,64,1000,32,115775,1542365,
