mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
socket,4,1000,2,30,617,
socket,4,1000,4,21,489,
socket,4,1000,6,17,435,
socket,4,1000,8,18,417,
socket,4,1000,10,16,394,
socket,4,1000,12,15,378,
socket,4,1000,14,15,364,
socket,4,1000,16,14,354,
socket,4,1000,18,13,342,
socket,4,1000,20,13,332,
socket,4,1000,22,13,329,
socket,4,1000,24,13,323,
socket,4,1000,26,12,317,
socket,4,1000,28,12,314,
socket,4,1000,30,13,312,
socket,4,1000,32,12,308,
socket,4,1000,34,12,304,
socket,4,1000,36,12,304,
socket,4,1000,38,12,302,
socket,4,1000,40,12,299,
socket,4,1000,42,11,296,
socket,4,1000,44,12,296,
socket,4,1000,46,12,294,
socket,4,1000,48,11,292,
socket,4,1000,50,11,291,
socket,4,1000,52,11,291,
socket,4,1000,54,11,289,
socket,4,1000,56,11,288,
socket,4,1000,58,11,288,
socket,4,1000,60,11,287,
socket,4,1000,62,11,286,
socket,4,1000,64,11,285,
socket,4,1000,66,11,285,
socket,4,1000,68,11,285,
socket,4,1000,70,11,284,
socket,4,1000,72,11,284,
socket,4,1000,74,11,285,
socket,4,1000,76,11,284,
socket,4,1000,78,11,283,
socket,4,1000,80,11,284,
socket,16,1000,2,7,268,
socket,16,1000,4,7,261,
socket,16,1000,6,7,262,
socket,16,1000,8,10,271,
socket,16,1000,10,9,268,
socket,16,1000,12,9,266,
socket,16,1000,14,8,266,
socket,16,1000,16,9,270,
socket,16,1000,18,9,269,
socket,16,1000,20,9,268,
socket,16,1000,22,10,272,
socket,16,1000,24,10,272,
socket,16,1000,26,9,271,
socket,16,1000,28,9,271,
socket,16,1000,30,10,274,
socket,16,1000,32,9,273,
socket,16,1000,34,9,272,
socket,16,1000,36,10,273,
socket,16,1000,38,10,273,
socket,16,1000,40,9,273,
socket,16,1000,42,9,274,
socket,16,1000,44,10,276,
socket,16,1000,46,10,276,
socket,16,1000,48,10,276,
socket,16,1000,50,10,276,
socket,16,1000,52,10,277,
socket,16,1000,54,10,277,
socket,16,1000,56,9,276,
socket,16,1000,58,9,277,
socket,16,1000,60,9,277,
socket,16,1000,62,9,277,
socket,16,1000,64,9,277,
socket,16,1000,66,9,278,
socket,16,1000,68,9,278,
socket,16,1000,70,9,278,
socket,16,1000,72,9,279,
socket,16,1000,74,9,279,
socket,16,1000,76,9,279,
socket,16,1000,78,9,280,
socket,16,1000,80,9,280,
socket,64,1000,2,7,277,
socket,64,1000,4,12,294,
socket,64,1000,6,10,290,
socket,64,1000,8,9,284,
socket,64,1000,10,9,281,
socket,64,1000,12,10,287,
socket,64,1000,14,10,285,
socket,64,1000,16,9,283,
socket,64,1000,18,10,287,
socket,64,1000,20,11,290,
socket,64,1000,22,10,289,
socket,64,1000,24,10,288,
socket,64,1000,26,11,290,
socket,64,1000,28,10,290,
socket,64,1000,30,10,289,
socket,64,1000,32,11,291,
socket,64,1000,34,10,292,
socket,64,1000,36,10,291,
socket,64,1000,38,10,293,
socket,64,1000,40,10,294,
socket,64,1000,42,10,294,
socket,64,1000,44,10,293,
