mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
socket,4,5000,2,87,2000,
socket,4,5000,4,77,1498,
socket,4,5000,6,69,1339,
socket,4,5000,8,65,1250,
socket,4,5000,10,66,1302,
socket,4,5000,12,66,1266,
socket,4,5000,14,67,1236,
socket,4,5000,16,65,1212,
socket,4,5000,18,65,1186,
socket,4,5000,20,64,1162,
socket,4,5000,22,63,1150,
socket,4,5000,24,63,1144,
socket,4,5000,26,63,1130,
socket,4,5000,28,62,1120,
socket,4,5000,30,63,1123,
socket,4,5000,32,63,1120,
socket,4,5000,34,63,1116,
socket,4,5000,36,63,1114,
socket,4,5000,38,63,1113,
socket,4,5000,40,63,1110,
socket,4,5000,42,63,1108,
socket,4,5000,44,63,1104,
socket,4,5000,46,63,1103,
socket,4,5000,48,63,1102,
socket,4,5000,50,63,1101,
socket,4,5000,52,63,1102,
socket,4,5000,54,63,1101,
socket,4,5000,56,63,1101,
socket,4,5000,58,62,1102,
socket,4,5000,60,62,1104,
socket,4,5000,62,62,1102,
socket,4,5000,64,62,1101,
socket,4,5000,66,62,1100,
socket,4,5000,68,62,1101,
socket,4,5000,70,62,1103,
socket,4,5000,72,62,1105,
socket,4,5000,74,62,1106,
socket,4,5000,76,62,1107,
socket,4,5000,78,62,1108,
socket,4,5000,80,62,1110,
socket,16,5000,2,58,1139,
socket,16,5000,4,56,1122,
socket,16,5000,6,55,1117,
socket,16,5000,8,57,1106,
socket,16,5000,10,58,1108,
socket,16,5000,12,59,1113,
socket,16,5000,14,59,1120,
socket,16,5000,16,58,1120,
socket,16,5000,18,58,1117,
socket,16,5000,20,60,1116,
socket,16,5000,22,59,1114,
socket,16,5000,24,59,1114,
socket,16,5000,26,59,1115,
socket,16,5000,28,58,1114,
socket,16,5000,30,59,1117,
socket,16,5000,32,59,1117,
socket,16,5000,34,59,1117,
socket,16,5000,36,58,1118,
socket,16,5000,38,58,1118,
socket,16,5000,40,58,1119,
socket,16,5000,42,59,1123,
