mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
pipe,524288,5000,2,437502,654644,
pipe,524288,5000,4,351416,561181,
pipe,524288,5000,6,313981,518438,
pipe,524288,5000,8,294506,499615,
pipe,524288,5000,10,287651,493699,
pipe,524288,5000,12,279876,486475,
pipe,524288,5000,14,275602,482916,
pipe,524288,5000,16,272723,479290,
pipe,524288,5000,18,269981,476387,
pipe,524288,5000,20,266110,471993,
pipe,524288,5000,22,262854,468696,
pipe,524288,5000,24,261065,466337,
pipe,524288,5000,26,259658,464048,
pipe,524288,5000,28,258138,462076,
pipe,524288,5000,30,256624,460131,
pipe,524288,5000,32,255013,458115,
pipe,524288,5000,34,254115,456744,
pipe,524288,5000,36,252861,454836,
pipe,524288,5000,38,252212,454132,
pipe,524288,5000,40,252179,454110,
pipe,524288,5000,42,251275,453099,
pipe,524288,5000,44,250626,452134,
pipe,524288,5000,46,250419,452440,
pipe,524288,5000,48,249568,451117,
pipe,524288,5000,50,248464,449564,
pipe,524288,5000,52,247755,448462,
pipe,524288,5000,54,247758,449145,
pipe,524288,5000,56,248932,450752,
pipe,524288,5000,58,247844,449246,
pipe,524288,5000,60,246974,447967,
pipe,524288,5000,62,246078,447415,
pipe,524288,5000,64,246201,447839,
pipe,524288,5000,66,245770,447016,
pipe,524288,5000,68,244789,445835,
pipe,524288,5000,70,244208,444954,
pipe,524288,5000,72,243770,444702,
pipe,524288,5000,74,244305,445574,
pipe,524288,5000,76,243669,444526,
pipe,524288,5000,78,243067,443587,
pipe,524288,5000,80,242794,443148,
pipe,1048576,5000,2,490832,783112,
pipe,1048576,5000,4,507415,839202,
pipe,1048576,5000,6,507462,852363,
pipe,1048576,5000,8,503403,854220,
pipe,1048576,5000,10,504579,856711,
pipe,1048576,5000,12,510950,865957,
pipe,1048576,5000,14,510334,867167,
pipe,1048576,5000,16,510476,874692,
pipe,1048576,5000,18,510695,877428,
pipe,1048576,5000,20,508402,876221,
pipe,1048576,5000,22,508304,878241,
pipe,1048576,5000,24,506922,878028,
pipe,1048576,5000,26,505446,878299,
pipe,1048576,5000,28,504612,876927,
pipe,1048576,5000,30,504112,876784,
pipe,1048576,5000,32,503924,875940,
pipe,1048576,5000,34,501244,873543,
pipe,1048576,5000,36,501370,873969,
pipe,1048576,5000,38,500693,874077,
pipe,1048576,5000,40,500527,874853,
pipe,1048576,5000,42,499536,873659,
pipe,1048576,5000,44,499158,873573,
pipe,1048576,5000,46,500407,876073,
pipe,1048576,5000,48,499260,874779,
pipe,1048576,5000,50,499177,873996,
pipe,1048576,5000,52,497813,873376,
pipe,1048576,5000,54,497570,873579,
pipe,1048576,5000,56,496648,873155,
pipe,1048576,5000,58,496146,872547,
pipe,1048576,5000,60,496281,872552,
pipe,1048576,5000,62,496254,873098,
pipe,1048576,5000,64,495511,872290,
pipe,1048576,5000,66,494405,870955,
pipe,1048576,5000,68,494266,870365,
pipe,1048576,5000,70,493841,869855,
pipe,1048576,5000,72,493636,869326,
pipe,1048576,5000,74,493350,868867,
pipe,1048576,5000,76,493520,868756,
pipe,1048576,5000,78,493798,869182,
pipe,1048576,5000,80,493517,869427,
pipe,1572864,5000,2,801733,1281126,
pipe,1572864,5000,4,751875,1272081,
pipe,1572864,5000,6,738886,1274436,
pipe,1572864,5000,8,738873,1281827,
