mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
pipe,524288,5000,2,3376166,5392996,
pipe,524288,5000,4,2104292,3463069,
pipe,524288,5000,6,1637722,2752108,
pipe,524288,5000,8,1753674,2896339,
pipe,524288,5000,10,1707565,2916762,
pipe,524288,5000,12,1556959,2725828,
pipe,524288,5000,14,1417924,2506873,
pipe,524288,5000,16,1315372,2338761,
pipe,524288,5000,18,1243671,2218829,
pipe,524288,5000,20,1180137,2114277,
pipe,524288,5000,22,1132559,2033219,
pipe,524288,5000,24,1088121,1959030,
pipe,524288,5000,26,1054855,1900553,
pipe,524288,5000,28,1023671,1851906,
pipe,524288,5000,30,999904,1814659,
pipe,524288,5000,32,975804,1774685,
pipe,524288,5000,34,958453,1743740,
pipe,524288,5000,36,943698,1716896,
pipe,524288,5000,38,926361,1687771,
pipe,524288,5000,40,912075,1664673,
pipe,524288,5000,42,898368,1641806,
pipe,524288,5000,44,885698,1623801,
pipe,524288,5000,46,875128,1605661,
pipe,524288,5000,48,863655,1587505,
pipe,524288,5000,50,852977,1570659,
pipe,524288,5000,52,843771,1556715,
pipe,524288,5000,54,836268,1543367,
pipe,524288,5000,56,828410,1530141,
pipe,524288,5000,58,820399,1516920,
pipe,524288,5000,60,813927,1506029,
pipe,524288,5000,62,805818,1494990,
pipe,524288,5000,64,800130,1485887,
pipe,524288,5000,66,794328,1475879,
pipe,524288,5000,68,788923,1466873,
pipe,524288,5000,70,783070,1458688,
pipe,524288,5000,72,777626,1450654,
pipe,524288,5000,74,773341,1443247,
pipe,524288,5000,76,768951,1435976,
pipe,524288,5000,78,764528,1428767,
pipe,524288,5000,80,762436,1424505,
pipe,1048576,5000,2,1423038,2303398,
pipe,1048576,5000,4,1391169,2328817,
pipe,1048576,5000,6,1357200,2318439,
pipe,1048576,5000,8,1346832,2324449,
pipe,1048576,5000,10,1327292,2321000,
pipe,1048576,5000,12,1328519,2324625,
pipe,1048576,5000,14,1329430,2330417,
pipe,1048576,5000,16,1327396,2335480,
pipe,1048576,5000,18,1324513,2334280,
pipe,1048576,5000,20,1323525,2335504,
pipe,1048576,5000,22,1320104,2338654,
pipe,1048576,5000,24,1315316,2334573,
pipe,1048576,5000,26,1309405,2329845,
pipe,1048576,5000,28,1308261,2330410,
pipe,1048576,5000,30,1310110,2335004,
pipe,1048576,5000,32,1311290,2340868,
pipe,1048576,5000,34,1309216,2339359,
pipe,1048576,5000,36,1301691,2329171,
pipe,1048576,5000,38,1302346,2333028,
pipe,1048576,5000,40,1298573,2328260,
pipe,1048576,5000,42,1298487,2326687,
pipe,1048576,5000,44,1296750,2324033,
pipe,1048576,5000,46,1297992,2324573,
pipe,1048576,5000,48,1297653,2325941,
pipe,1048576,5000,50,1298867,2326771,
pipe,1048576,5000,52,1298541,2328988,
pipe,1048576,5000,54,1302105,2334255,
pipe,1048576,5000,56,1301512,2334835,
pipe,1048576,5000,58,1301038,2333344,
pipe,1048576,5000,60,1299322,2332227,
pipe,1048576,5000,62,1299845,2333752,
pipe,1048576,5000,64,1300020,2332832,
pipe,1048576,5000,66,1298740,2331960,
pipe,1048576,5000,68,1297840,2330701,
pipe,1048576,5000,70,1297046,2330610,
pipe,1048576,5000,72,1295561,2329474,
pipe,1048576,5000,74,1294568,2328297,
pipe,1048576,5000,76,1294436,2327728,
pipe,1048576,5000,78,1294430,2327433,
pipe,1048576,5000,80,1293348,2327428,
pipe,1572864,5000,2,2037450,3282577,
pipe,1572864,5000,4,2019693,3424790,
pipe,1572864,5000,6,1983592,3405244,
pipe,1572864,5000,8,1972121,3432392,
pipe,1572864,5000,10,1936185,3399070,
pipe,1572864,5000,12,1932070,3410818,
pipe,1572864,5000,14,1934783,3425729,
pipe,1572864,5000,16,1925886,3422678,
pipe,1572864,5000,18,1919660,3429607,
pipe,1572864,5000,20,1916834,3421523,
pipe,1572864,5000,22,1912126,3417907,
pipe,1572864,5000,24,1913515,3418788,
