mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
pipe,524288,5000,2,366,567,
pipe,524288,5000,4,368,586,
pipe,524288,5000,6,328,539,
pipe,524288,5000,8,308,520,
pipe,524288,5000,10,294,507,
pipe,524288,5000,12,285,498,
pipe,524288,5000,14,280,494,
pipe,524288,5000,16,276,490,
pipe,524288,5000,18,274,488,
pipe,524288,5000,20,271,484,
pipe,524288,5000,22,271,483,
pipe,524288,5000,24,267,479,
pipe,524288,5000,26,265,477,
pipe,524288,5000,28,264,474,
pipe,524288,5000,30,262,471,
pipe,524288,5000,32,260,468,
pipe,524288,5000,34,258,466,
pipe,524288,5000,36,257,464,
pipe,524288,5000,38,255,462,
pipe,524288,5000,40,254,460,
pipe,524288,5000,42,253,459,
pipe,524288,5000,44,252,458,
pipe,524288,5000,46,251,457,
pipe,524288,5000,48,250,456,
pipe,524288,5000,50,249,455,
pipe,524288,5000,52,249,454,
pipe,524288,5000,54,249,454,
pipe,524288,5000,56,249,453,
pipe,524288,5000,58,248,453,
pipe,524288,5000,60,247,452,
pipe,524288,5000,62,247,451,
pipe,524288,5000,64,247,451,
pipe,524288,5000,66,247,452,
pipe,524288,5000,68,247,451,
pipe,524288,5000,70,247,450,
pipe,524288,5000,72,246,450,
pipe,524288,5000,74,246,449,
pipe,524288,5000,76,245,448,
pipe,524288,5000,78,245,448,
pipe,524288,5000,80,245,448,
pipe,1048576,5000,2,525,874,
pipe,1048576,5000,4,501,863,
pipe,1048576,5000,6,488,848,
pipe,1048576,5000,8,487,856,
pipe,1048576,5000,10,489,862,
pipe,1048576,5000,12,488,862,
pipe,1048576,5000,14,487,861,
pipe,1048576,5000,16,488,862,
pipe,1048576,5000,18,489,865,
pipe,1048576,5000,20,491,869,
pipe,1048576,5000,22,493,874,
pipe,1048576,5000,24,494,874,
pipe,1048576,5000,26,495,878,
pipe,1048576,5000,28,495,879,
pipe,1048576,5000,30,495,880,
pipe,1048576,5000,32,496,880,
pipe,1048576,5000,34,496,883,
pipe,1048576,5000,36,497,882,
pipe,1048576,5000,38,495,880,
pipe,1048576,5000,40,495,880,
pipe,1048576,5000,42,493,878,
pipe,1048576,5000,44,493,878,
pipe,1048576,5000,46,492,877,
pipe,1048576,5000,48,492,877,
pipe,1048576,5000,50,492,876,
pipe,1048576,5000,52,491,876,
pipe,1048576,5000,54,491,875,
pipe,1048576,5000,56,490,874,
pipe,1048576,5000,58,489,874,
pipe,1048576,5000,60,489,873,
pipe,1048576,5000,62,488,871,
pipe,1048576,5000,64,488,870,
pipe,1048576,5000,66,487,869,
pipe,1048576,5000,68,487,869,
pipe,1048576,5000,70,487,868,
pipe,1048576,5000,72,486,868,
pipe,1048576,5000,74,486,867,
pipe,1048576,5000,76,486,867,
pipe,1048576,5000,78,486,866,
pipe,1048576,5000,80,485,865,
pipe,1572864,5000,2,780,1236,
pipe,1572864,5000,4,754,1265,
pipe,1572864,5000,6,737,1256,
pipe,1572864,5000,8,733,1266,
pipe,1572864,5000,10,730,1267,
pipe,1572864,5000,12,730,1274,
pipe,1572864,5000,14,730,1275,
pipe,1572864,5000,16,732,1289,
pipe,1572864,5000,18,729,1285,
pipe,1572864,5000,20,727,1282,
pipe,1572864,5000,22,724,1280,
pipe,1572864,5000,24,723,1276,
pipe,1572864,5000,26,725,1280,
pipe,1572864,5000,28,723,1279,
pipe,1572864,5000,30,723,1277,
pipe,1572864,5000,32,721,1274,
pipe,1572864,5000,34,721,1275,
pipe,1572864,5000,36,719,1274,
pipe,1572864,5000,38,719,1273,
pipe,1572864,5000,40,717,1272,
pipe,1572864,5000,42,717,1272,
pipe,1572864,5000,44,715,1270,
pipe,1572864,5000,46,716,1270,
pipe,1572864,5000,48,714,1268,
pipe,1572864,5000,50,713,1267,
pipe,1572864,5000,52,714,1269,
pipe,1572864,5000,54,713,1268,
pipe,1572864,5000,56,712,1267,
pipe,1572864,5000,58,712,1266,
pipe,1572864,5000,60,711,1265,
pipe,1572864,5000,62,711,1265,
pipe,1572864,5000,64,710,1264,
pipe,1572864,5000,66,711,1265,
pipe,1572864,5000,68,712,1266,
pipe,1572864,5000,70,713,1269,
pipe,1572864,5000,72,713,1269,
pipe,1572864,5000,74,715,1270,
pipe,1572864,5000,76,713,1269,
pipe,1572864,5000,78,713,1269,
pipe,1572864,5000,80,713,1269,
pipe,2097152,5000,2,1000,1668,
pipe,2097152,5000,4,967,1662,
pipe,2097152,5000,6,960,1670,
pipe,2097152,5000,8,954,1672,
pipe,2097152,5000,10,946,1669,
pipe,2097152,5000,12,951,1678,
pipe,2097152,5000,14,943,1671,
pipe,2097152,5000,16,940,1672,
pipe,2097152,5000,18,941,1675,
pipe,2097152,5000,20,942,1676,
pipe,2097152,5000,22,944,1679,
pipe,2097152,5000,24,944,1680,
pipe,2097152,5000,26,950,1691,
pipe,2097152,5000,28,947,1686,
pipe,2097152,5000,30,945,1685,
pipe,2097152,5000,32,945,1685,
pipe,2097152,5000,34,945,1685,
pipe,2097152,5000,36,946,1687,
pipe,2097152,5000,38,947,1687,
pipe,2097152,5000,40,947,1687,
pipe,2097152,5000,42,947,1691,
pipe,2097152,5000,44,952,1698,
pipe,2097152,5000,46,952,1698,
pipe,2097152,5000,48,954,1699,
pipe,2097152,5000,50,954,1700,
pipe,2097152,5000,52,958,1707,
pipe,2097152,5000,54,962,1710,
pipe,2097152,5000,56,961,1712,
pipe,2097152,5000,58,964,1715,
pipe,2097152,5000,60,963,1716,
pipe,2097152,5000,62,961,1713,
pipe,2097152,5000,64,960,1712,
pipe,2097152,5000,66,958,1710,
pipe,2097152,5000,68,958,1711,
pipe,2097152,5000,70,957,1710,
pipe,2097152,5000,72,956,1708,
pipe,2097152,5000,74,956,1708,
pipe,2097152,5000,76,955,1706,
pipe,2097152,5000,78,956,1708,
pipe,2097152,5000,80,956,1708,
pipe,2621440,5000,2,1408,2247,
pipe,2621440,5000,4,1350,2280,
pipe,2621440,5000,6,1308,2275,
pipe,2621440,5000,8,1272,2236,
pipe,2621440,5000,10,1249,2213,
pipe,2621440,5000,12,1237,2202,
pipe,2621440,5000,14,1231,2193,
pipe,2621440,5000,16,1226,2194,
pipe,2621440,5000,18,1218,2184,
pipe,2621440,5000,20,1212,2174,
pipe,2621440,5000,22,1206,2166,
pipe,2621440,5000,24,1209,2168,
pipe,2621440,5000,26,1208,2166,
pipe,2621440,5000,28,1203,2158,
pipe,2621440,5000,30,1200,2156,
pipe,2621440,5000,32,1198,2155,
pipe,2621440,5000,34,1196,2151,
pipe,2621440,5000,36,1195,2148,
pipe,2621440,5000,38,1195,2151,
pipe,2621440,5000,40,1195,2153,
pipe,2621440,5000,42,1198,2157,
pipe,2621440,5000,44,1200,2165,
pipe,2621440,5000,46,1200,2165,
pipe,2621440,5000,48,1198,2163,
pipe,2621440,5000,50,1196,2160,
pipe,2621440,5000,52,1197,2160,
pipe,2621440,5000,54,1195,2159,
pipe,2621440,5000,56,1196,2160,
pipe,2621440,5000,58,1195,2158,
pipe,2621440,5000,60,1195,2159,
pipe,2621440,5000,62,1197,2167,
pipe,2621440,5000,64,1196,2167,
pipe,2621440,5000,66,1198,2168,
pipe,2621440,5000,68,1197,2168,
pipe,2621440,5000,70,1197,2168,
pipe,2621440,5000,72,1197,2168,
pipe,2621440,5000,74,1197,2169,
pipe,2621440,5000,76,1197,2168,
pipe,2621440,5000,78,1195,2165,
pipe,2621440,5000,80,1195,2165,
pipe,3145728,5000,2,1566,2616,
pipe,3145728,5000,4,1498,2633,
pipe,3145728,5000,6,1480,2636,
pipe,3145728,5000,8,1482,2652,
pipe,3145728,5000,10,1483,2664,
pipe,3145728,5000,12,1494,2691,
pipe,3145728,5000,14,1487,2678,
pipe,3145728,5000,16,1489,2683,
pipe,3145728,5000,18,1488,2686,
pipe,3145728,5000,20,1476,2673,
pipe,3145728,5000,22,1471,2666,
pipe,3145728,5000,24,1472,2668,
pipe,3145728,5000,26,1470,2666,
pipe,3145728,5000,28,1482,2681,
pipe,3145728,5000,30,1481,2684,
pipe,3145728,5000,32,1476,2677,
pipe,3145728,5000,34,1473,2672,
pipe,3145728,5000,36,1472,2672,
pipe,3145728,5000,38,1466,2667,
pipe,3145728,5000,40,1464,2663,
pipe,3145728,5000,42,1459,2658,
pipe,3145728,5000,44,1458,2656,
pipe,3145728,5000,46,1457,2654,
pipe,3145728,5000,48,1456,2653,
pipe,3145728,5000,50,1455,2652,
pipe,3145728,5000,52,1454,2651,
pipe,3145728,5000,54,1454,2649,
pipe,3145728,5000,56,1455,2653,
pipe,3145728,5000,58,1456,2659,
pipe,3145728,5000,60,1457,2660,
pipe,3145728,5000,62,1456,2660,
pipe,3145728,5000,64,1456,2659,
pipe,3145728,5000,66,1455,2659,
pipe,3145728,5000,68,1455,2659,
pipe,3145728,5000,70,1458,2664,
pipe,3145728,5000,72,1457,2663,
pipe,3145728,5000,74,1456,2661,
pipe,3145728,5000,76,1454,2660,
pipe,3145728,5000,78,1453,2659,
pipe,3145728,5000,80,1452,2658,
pipe,3670016,5000,2,1848,3064,
pipe,3670016,5000,4,1743,3076,
pipe,3670016,5000,6,1743,3104,
pipe,3670016,5000,8,1729,3094,
pipe,3670016,5000,10,1715,3079,
pipe,3670016,5000,12,1702,3062,
pipe,3670016,5000,14,1703,3066,
pipe,3670016,5000,16,1711,3089,
pipe,3670016,5000,18,1712,3093,
pipe,3670016,5000,20,1706,3087,
pipe,3670016,5000,22,1704,3086,
pipe,3670016,5000,24,1705,3091,
pipe,3670016,5000,26,1705,3092,
pipe,3670016,5000,28,1709,3103,
