mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
shared mem,524288,5000,2,622842,1436219,
shared mem,524288,5000,4,625792,1420732,
shared mem,524288,5000,6,620445,1408801,
shared mem,524288,5000,8,620974,1408702,
shared mem,524288,5000,10,623415,1412733,
shared mem,524288,5000,12,622008,1409475,
shared mem,524288,5000,14,630444,1423823,
shared mem,524288,5000,16,638484,1430613,
shared mem,524288,5000,18,644106,1435959,
shared mem,524288,5000,20,640369,1429772,
shared mem,524288,5000,22,635910,1423824,
shared mem,524288,5000,24,632406,1417530,
shared mem,524288,5000,26,630963,1415358,
shared mem,524288,5000,28,629105,1413573,
shared mem,524288,5000,30,628231,1412592,
shared mem,524288,5000,32,627808,1413069,
shared mem,524288,5000,34,624723,1408625,
shared mem,524288,5000,36,623626,1408098,
shared mem,524288,5000,38,622935,1406860,
shared mem,524288,5000,40,620608,1405276,
shared mem,524288,5000,42,621106,1405988,
shared mem,524288,5000,44,619843,1404230,
shared mem,524288,5000,46,619511,1403659,
shared mem,524288,5000,48,617773,1401544,
shared mem,524288,5000,50,617103,1401082,
shared mem,524288,5000,52,619251,1403267,
shared mem,524288,5000,54,619112,1404626,
shared mem,524288,5000,56,618323,1402620,
shared mem,524288,5000,58,618515,1403276,
shared mem,524288,5000,60,618194,1402791,
shared mem,524288,5000,62,618170,1401884,
shared mem,524288,5000,64,617581,1400925,
shared mem,524288,5000,66,617643,1401083,
shared mem,524288,5000,68,616928,1399870,
shared mem,524288,5000,70,616397,1398812,
shared mem,524288,5000,72,616527,1398586,
shared mem,524288,5000,74,615988,1397478,
shared mem,524288,5000,76,615311,1396575,
shared mem,524288,5000,78,615211,1396199,
shared mem,524288,5000,80,614952,1395396,
shared mem,1048576,5000,2,1327486,2793331,
shared mem,1048576,5000,4,1285519,2759463,
shared mem,1048576,5000,6,1228992,2708370,
shared mem,1048576,5000,8,1215068,2678921,
shared mem,1048576,5000,10,1199503,2670172,
shared mem,1048576,5000,12,1194663,2668030,
shared mem,1048576,5000,14,1182273,2659050,
shared mem,1048576,5000,16,1185052,2664534,
shared mem,1048576,5000,18,1182633,2663747,
shared mem,1048576,5000,20,1182822,2662856,
shared mem,1048576,5000,22,1176740,2655417,
shared mem,1048576,5000,24,1173625,2650518,
shared mem,1048576,5000,26,1175516,2651890,
shared mem,1048576,5000,28,1167591,2641876,
shared mem,1048576,5000,30,1171920,2643144,
shared mem,1048576,5000,32,1168200,2637043,
shared mem,1048576,5000,34,1166527,2632545,
shared mem,1048576,5000,36,1166459,2631160,
shared mem,1048576,5000,38,1164840,2628438,
shared mem,1048576,5000,40,1160436,2622443,
shared mem,1048576,5000,42,1157357,2616313,
shared mem,1048576,5000,44,1161284,2620177,
shared mem,1048576,5000,46,1163137,2621687,
shared mem,1048576,5000,48,1166782,2624038,
shared mem,1048576,5000,50,1168328,2626315,
shared mem,1048576,5000,52,1168525,2627051,
shared mem,1048576,5000,54,1170073,2628263,
shared mem,1048576,5000,56,1172399,2628610,
shared mem,1048576,5000,58,1172829,2628759,
shared mem,1048576,5000,60,1171861,2627252,
shared mem,1048576,5000,62,1172910,2627694,
shared mem,1048576,5000,64,1171316,2626146,
shared mem,1048576,5000,66,1171718,2625402,
shared mem,1048576,5000,68,1173179,2626755,
shared mem,1048576,5000,70,1171340,2624588,
shared mem,1048576,5000,72,1170139,2622671,
shared mem,1048576,5000,74,1168142,2621020,
shared mem,1048576,5000,76,1166824,2619043,
shared mem,1048576,5000,78,1166670,2618265,
shared mem,1048576,5000,80,1164227,2616031,
shared mem,1572864,5000,2,1661808,3788946,
shared mem,1572864,5000,4,1683263,3808391,
shared mem,1572864,5000,6,1704001,3822317,
shared mem,1572864,5000,8,1684928,3807587,
shared mem,1572864,5000,10,1666533,3784832,
shared mem,1572864,5000,12,1661931,3777110,
shared mem,1572864,5000,14,1656315,3769148,
shared mem,1572864,5000,16,1652474,3768643,
shared mem,1572864,5000,18,1671151,3791747,
shared mem,1572864,5000,20,1692989,3818073,
shared mem,1572864,5000,22,1708255,3833103,
shared mem,1572864,5000,24,1692074,3814641,
shared mem,1572864,5000,26,1690245,3812111,
shared mem,1572864,5000,28,1676831,3796089,
