mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
shared mem,524288,5000,2,1687555,4024255,
shared mem,524288,5000,4,1670938,3907212,
shared mem,524288,5000,6,1699592,3898792,
shared mem,524288,5000,8,1701454,3887405,
shared mem,524288,5000,10,1677292,3834380,
shared mem,524288,5000,12,1662658,3805830,
shared mem,524288,5000,14,1681664,3814459,
shared mem,524288,5000,16,1664586,3780870,
shared mem,524288,5000,18,1650044,3753700,
shared mem,524288,5000,20,1659519,3760141,
shared mem,524288,5000,22,1642889,3736812,
shared mem,524288,5000,24,1632873,3719474,
shared mem,524288,5000,26,1675083,3756226,
shared mem,524288,5000,28,1675413,3755619,
shared mem,524288,5000,30,1673280,3758163,
shared mem,524288,5000,32,1679859,3765399,
shared mem,524288,5000,34,1676380,3758392,
shared mem,524288,5000,36,1674911,3757503,
shared mem,524288,5000,38,1670603,3754768,
shared mem,524288,5000,40,1665433,3747820,
shared mem,524288,5000,42,1663117,3747397,
shared mem,524288,5000,44,1666629,3751805,
shared mem,524288,5000,46,1664444,3746154,
shared mem,524288,5000,48,1662569,3743569,
shared mem,524288,5000,50,1664129,3747495,
shared mem,524288,5000,52,1661185,3743682,
shared mem,524288,5000,54,1658777,3741182,
shared mem,524288,5000,56,1653697,3735898,
shared mem,524288,5000,58,1657179,3738856,
shared mem,524288,5000,60,1653347,3731490,
shared mem,524288,5000,62,1650555,3728840,
shared mem,524288,5000,64,1653960,3735442,
shared mem,524288,5000,66,1653904,3736047,
shared mem,524288,5000,68,1651378,3731559,
shared mem,524288,5000,70,1650731,3732854,
shared mem,524288,5000,72,1647753,3730458,
shared mem,524288,5000,74,1648585,3732231,
shared mem,524288,5000,76,1648689,3732819,
shared mem,524288,5000,78,1654124,3739249,
shared mem,524288,5000,80,1653832,3737095,
shared mem,1048576,5000,2,3092842,7076741,
shared mem,1048576,5000,4,3101200,7072244,
shared mem,1048576,5000,6,3131530,7075533,
shared mem,1048576,5000,8,3108600,7064044,
shared mem,1048576,5000,10,3094380,7048281,
shared mem,1048576,5000,12,3070933,7019636,
shared mem,1048576,5000,14,3089165,7029562,
shared mem,1048576,5000,16,3081700,7017049,
shared mem,1048576,5000,18,3058284,6993125,
shared mem,1048576,5000,20,3063939,6995788,
shared mem,1048576,5000,22,3068868,7005617,
shared mem,1048576,5000,24,3060866,6997777,
shared mem,1048576,5000,26,3064409,6993570,
shared mem,1048576,5000,28,3056995,6984729,
shared mem,1048576,5000,30,3068523,6997720,
shared mem,1048576,5000,32,3068924,6997576,
shared mem,1048576,5000,34,3085036,7019483,
shared mem,1048576,5000,36,3093915,7035788,
shared mem,1048576,5000,38,3103438,7047526,
shared mem,1048576,5000,40,3120652,7067183,
shared mem,1048576,5000,42,3117578,7064894,
shared mem,1048576,5000,44,3114760,7061694,
shared mem,1048576,5000,46,3116422,7063022,
shared mem,1048576,5000,48,3113518,7058842,
shared mem,1048576,5000,50,3112104,7057929,
shared mem,1048576,5000,52,3117640,7064194,
shared mem,1048576,5000,54,3122406,7072072,
shared mem,1048576,5000,56,3126179,7075293,
shared mem,1048576,5000,58,3128823,7074627,
shared mem,1048576,5000,60,3125007,7068948,
shared mem,1048576,5000,62,3125507,7071097,
shared mem,1048576,5000,64,3123792,7066653,
shared mem,1048576,5000,66,3120051,7064230,
shared mem,1048576,5000,68,3120267,7064741,
shared mem,1048576,5000,70,3113874,7058437,
shared mem,1048576,5000,72,3126911,7072916,
shared mem,1048576,5000,74,3129158,7079538,
shared mem,1048576,5000,76,3126949,7075480,
shared mem,1048576,5000,78,3129213,7075486,
shared mem,1048576,5000,80,3128500,7075209,
shared mem,1572864,5000,2,4672583,10309118,
shared mem,1572864,5000,4,4644807,10298612,
shared mem,1572864,5000,6,4620030,10307508,
shared mem,1572864,5000,8,4733918,10469684,
shared mem,1572864,5000,10,4769507,10497964,
shared mem,1572864,5000,12,4711312,10437494,
shared mem,1572864,5000,14,4678173,10398111,
shared mem,1572864,5000,16,4650977,10377358,
shared mem,1572864,5000,18,4639863,10371240,
shared mem,1572864,5000,20,4622205,10349426,
shared mem,1572864,5000,22,4620859,10349611,
shared mem,1572864,5000,24,4629381,10352641,
shared mem,1572864,5000,26,4624928,10342172,
shared mem,1572864,5000,28,4619866,10335906,
shared mem,1572864,5000,30,4619511,10334350,
shared mem,1572864,5000,32,4647394,10370896,
shared mem,1572864,5000,34,4665884,10400155,
shared mem,1572864,5000,36,4673522,10419620,
shared mem,1572864,5000,38,4672314,10424082,
shared mem,1572864,5000,40,4668965,10430768,
shared mem,1572864,5000,42,4659096,10420944,
shared mem,1572864,5000,44,4643946,10411039,
shared mem,1572864,5000,46,4648926,10429447,
shared mem,1572864,5000,48,4657661,10442492,
shared mem,1572864,5000,50,4655827,10444121,
shared mem,1572864,5000,52,4658144,10448381,
shared mem,1572864,5000,54,4652884,10436845,
shared mem,1572864,5000,56,4649088,10432878,
shared mem,1572864,5000,58,4647188,10427044,
shared mem,1572864,5000,60,4643354,10417459,
shared mem,1572864,5000,62,4640490,10413913,
shared mem,1572864,5000,64,4633868,10403623,
shared mem,1572864,5000,66,4629684,10398373,
shared mem,1572864,5000,68,4627545,10396378,
shared mem,1572864,5000,70,4631199,10404233,
shared mem,1572864,5000,72,4633543,10411587,
shared mem,1572864,5000,74,4632182,10414077,
shared mem,1572864,5000,76,4627508,10408520,
shared mem,1572864,5000,78,4628422,10411044,
shared mem,1572864,5000,80,4623841,10404734,
shared mem,2097152,5000,2,5922487,13531322,
shared mem,2097152,5000,4,6011623,13579560,
shared mem,2097152,5000,6,6093773,13639824,
shared mem,2097152,5000,8,6104459,13655363,
shared mem,2097152,5000,10,6117730,13691869,
shared mem,2097152,5000,12,6166011,13757896,
shared mem,2097152,5000,14,6263768,13899387,
shared mem,2097152,5000,16,6343556,13983872,
shared mem,2097152,5000,18,6387421,14043956,
shared mem,2097152,5000,20,6378214,14030781,
shared mem,2097152,5000,22,6391910,14046446,
shared mem,2097152,5000,24,6413857,14098507,
shared mem,2097152,5000,26,6426113,14105553,
shared mem,2097152,5000,28,6398850,14076141,
shared mem,2097152,5000,30,6371608,14039365,
shared mem,2097152,5000,32,6349414,14005185,
shared mem,2097152,5000,34,6353301,14001513,
shared mem,2097152,5000,36,6337614,13983407,
shared mem,2097152,5000,38,6347316,13988763,
shared mem,2097152,5000,40,6334296,13981980,
shared mem,2097152,5000,42,6346916,13999667,
shared mem,2097152,5000,44,6356031,14012405,
shared mem,2097152,5000,46,6333336,13981556,
shared mem,2097152,5000,48,6320740,13964517,
shared mem,2097152,5000,50,6301833,13933812,
shared mem,2097152,5000,52,6292696,13921047,
shared mem,2097152,5000,54,6289090,13912643,
shared mem,2097152,5000,56,6279594,13900638,
shared mem,2097152,5000,58,6270159,13886990,
shared mem,2097152,5000,60,6262145,13877331,
shared mem,2097152,5000,62,6264889,13891458,
shared mem,2097152,5000,64,6274465,13916870,
shared mem,2097152,5000,66,6271608,13913217,
shared mem,2097152,5000,68,6255557,13896908,
shared mem,2097152,5000,70,6251143,13893210,
shared mem,2097152,5000,72,6263448,13911235,
shared mem,2097152,5000,74,6284366,13938157,
shared mem,2097152,5000,76,6315341,13979975,
shared mem,2097152,5000,78,6342046,14013060,
shared mem,2097152,5000,80,6339605,14018622,
shared mem,2621440,5000,2,6901337,16258752,
shared mem,2621440,5000,4,6885618,16195326,
shared mem,2621440,5000,6,7402875,16876070,
shared mem,2621440,5000,8,7394076,16829136,
shared mem,2621440,5000,10,7282339,16691062,
shared mem,2621440,5000,12,7542902,17021548,
shared mem,2621440,5000,14,7656027,17188782,
shared mem,2621440,5000,16,7685093,17199823,
shared mem,2621440,5000,18,7715432,17253594,
shared mem,2621440,5000,20,7755444,17280008,
shared mem,2621440,5000,22,7755728,17278410,
shared mem,2621440,5000,24,7753286,17275392,
shared mem,2621440,5000,26,7778530,17307728,
shared mem,2621440,5000,28,7831148,17390355,
shared mem,2621440,5000,30,7856910,17439240,
shared mem,2621440,5000,32,7865737,17457293,
shared mem,2621440,5000,34,7859616,17441864,
shared mem,2621440,5000,36,7883830,17470668,
shared mem,2621440,5000,38,7883096,17474015,
shared mem,2621440,5000,40,7880352,17458148,
shared mem,2621440,5000,42,7878037,17445748,
shared mem,2621440,5000,44,7875709,17436612,
shared mem,2621440,5000,46,7864203,17418014,
shared mem,2621440,5000,48,7870937,17419750,
shared mem,2621440,5000,50,7884486,17430926,
shared mem,2621440,5000,52,7902756,17455235,
shared mem,2621440,5000,54,7909769,17472003,
shared mem,2621440,5000,56,7883568,17432178,
shared mem,2621440,5000,58,7852903,17389327,
shared mem,2621440,5000,60,7820809,17344886,
shared mem,2621440,5000,62,7791005,17303388,
shared mem,2621440,5000,64,7762304,17266093,
shared mem,2621440,5000,66,7742013,17236124,
shared mem,2621440,5000,68,7720971,17208476,
shared mem,2621440,5000,70,7749902,17238298,
shared mem,2621440,5000,72,7749464,17243052,
shared mem,2621440,5000,74,7741047,17232150,
shared mem,2621440,5000,76,7738831,17227700,
shared mem,2621440,5000,78,7726956,17210618,
shared mem,2621440,5000,80,7712900,17192971,
shared mem,3145728,5000,2,9823900,21044183,
shared mem,3145728,5000,4,9466216,20563870,
shared mem,3145728,5000,6,9181408,20227335,
shared mem,3145728,5000,8,9020956,20041065,
shared mem,3145728,5000,10,8986794,19983536,
shared mem,3145728,5000,12,8865842,19859616,
shared mem,3145728,5000,14,8854477,19829870,
shared mem,3145728,5000,16,8800799,19763421,
shared mem,3145728,5000,18,8762111,19727078,
shared mem,3145728,5000,20,8754656,19709279,
shared mem,3145728,5000,22,8743554,19705050,
shared mem,3145728,5000,24,8783295,19754897,
shared mem,3145728,5000,26,8810850,19793193,
shared mem,3145728,5000,28,8849655,19852245,
shared mem,3145728,5000,30,8900436,19918159,
shared mem,3145728,5000,32,8949985,20011992,
shared mem,3145728,5000,34,8968234,20035354,
shared mem,3145728,5000,36,8990646,20057669,
shared mem,3145728,5000,38,9028717,20100985,
shared mem,3145728,5000,40,8984881,20049585,
shared mem,3145728,5000,42,8935244,19990554,
shared mem,3145728,5000,44,8933965,19991050,
shared mem,3145728,5000,46,8930803,19984217,
shared mem,3145728,5000,48,8923416,19971066,
shared mem,3145728,5000,50,8907318,19958811,
shared mem,3145728,5000,52,8898928,19946319,
shared mem,3145728,5000,54,8894028,19936365,
shared mem,3145728,5000,56,8879516,19918575,
shared mem,3145728,5000,58,8871709,19904714,
shared mem,3145728,5000,60,8858741,19887605,
shared mem,3145728,5000,62,8848407,19873048,
shared mem,3145728,5000,64,8854318,19874021,
shared mem,3145728,5000,66,8849097,19867459,
shared mem,3145728,5000,68,8836461,19850716,
shared mem,3145728,5000,70,8826615,19838136,
shared mem,3145728,5000,72,8818284,19829625,
shared mem,3145728,5000,74,8811971,19820799,
shared mem,3145728,5000,76,8801570,19807619,
shared mem,3145728,5000,78,8793599,19797798,
shared mem,3145728,5000,80,8800024,19801954,
shared mem,3670016,5000,2,10443443,23649430,
