mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
shared mem,524288,5000,2,647,1471,
shared mem,524288,5000,4,617,1417,
shared mem,524288,5000,6,644,1443,
shared mem,524288,5000,8,624,1412,
shared mem,524288,5000,10,615,1398,
shared mem,524288,5000,12,614,1399,
shared mem,524288,5000,14,600,1381,
shared mem,524288,5000,16,600,1380,
shared mem,524288,5000,18,602,1379,
shared mem,524288,5000,20,602,1377,
shared mem,524288,5000,22,598,1373,
shared mem,524288,5000,24,598,1374,
shared mem,524288,5000,26,600,1372,
shared mem,524288,5000,28,603,1376,
shared mem,524288,5000,30,600,1374,
shared mem,524288,5000,32,598,1371,
shared mem,524288,5000,34,599,1372,
shared mem,524288,5000,36,600,1374,
shared mem,524288,5000,38,599,1373,
shared mem,524288,5000,40,600,1373,
shared mem,524288,5000,42,599,1374,
shared mem,524288,5000,44,601,1377,
shared mem,524288,5000,46,600,1376,
shared mem,524288,5000,48,602,1380,
shared mem,524288,5000,50,601,1379,
shared mem,524288,5000,52,602,1380,
shared mem,524288,5000,54,601,1379,
shared mem,524288,5000,56,602,1379,
shared mem,524288,5000,58,601,1378,
shared mem,524288,5000,60,601,1378,
shared mem,524288,5000,62,601,1376,
shared mem,524288,5000,64,601,1377,
shared mem,524288,5000,66,603,1379,
shared mem,524288,5000,68,602,1377,
shared mem,524288,5000,70,604,1380,
shared mem,524288,5000,72,604,1379,
shared mem,524288,5000,74,605,1380,
shared mem,524288,5000,76,607,1382,
shared mem,524288,5000,78,606,1381,
shared mem,524288,5000,80,606,1380,
shared mem,1048576,5000,2,1309,2808,
shared mem,1048576,5000,4,1227,2702,
shared mem,1048576,5000,6,1193,2650,
shared mem,1048576,5000,8,1183,2632,
shared mem,1048576,5000,10,1164,2612,
shared mem,1048576,5000,12,1164,2604,
shared mem,1048576,5000,14,1172,2611,
shared mem,1048576,5000,16,1168,2610,
shared mem,1048576,5000,18,1180,2628,
shared mem,1048576,5000,20,1179,2628,
shared mem,1048576,5000,22,1172,2621,
shared mem,1048576,5000,24,1172,2622,
shared mem,1048576,5000,26,1188,2645,
shared mem,1048576,5000,28,1196,2656,
shared mem,1048576,5000,30,1198,2662,
shared mem,1048576,5000,32,1201,2665,
shared mem,1048576,5000,34,1201,2666,
shared mem,1048576,5000,36,1195,2658,
shared mem,1048576,5000,38,1194,2656,
shared mem,1048576,5000,40,1193,2655,
shared mem,1048576,5000,42,1197,2661,
shared mem,1048576,5000,44,1197,2661,
shared mem,1048576,5000,46,1198,2662,
shared mem,1048576,5000,48,1199,2666,
shared mem,1048576,5000,50,1203,2672,
shared mem,1048576,5000,52,1204,2674,
shared mem,1048576,5000,54,1206,2676,
shared mem,1048576,5000,56,1206,2678,
shared mem,1048576,5000,58,1209,2679,
shared mem,1048576,5000,60,1208,2677,
shared mem,1048576,5000,62,1206,2675,
shared mem,1048576,5000,64,1207,2675,
shared mem,1048576,5000,66,1205,2672,
shared mem,1048576,5000,68,1205,2672,
shared mem,1048576,5000,70,1203,2670,
shared mem,1048576,5000,72,1202,2669,
shared mem,1048576,5000,74,1204,2671,
shared mem,1048576,5000,76,1202,2668,
shared mem,1048576,5000,78,1201,2666,
shared mem,1048576,5000,80,1198,2664,
shared mem,1572864,5000,2,1777,3922,
shared mem,1572864,5000,4,1727,3865,
shared mem,1572864,5000,6,1730,3887,
shared mem,1572864,5000,8,1758,3916,
shared mem,1572864,5000,10,1752,3912,
shared mem,1572864,5000,12,1736,3893,
shared mem,1572864,5000,14,1729,3886,
shared mem,1572864,5000,16,1733,3889,
shared mem,1572864,5000,18,1734,3889,
shared mem,1572864,5000,20,1735,3888,
shared mem,1572864,5000,22,1728,3884,
shared mem,1572864,5000,24,1722,3881,
shared mem,1572864,5000,26,1734,3895,
shared mem,1572864,5000,28,1738,3899,
shared mem,1572864,5000,30,1732,3894,
shared mem,1572864,5000,32,1727,3891,
shared mem,1572864,5000,34,1723,3887,
shared mem,1572864,5000,36,1717,3883,
shared mem,1572864,5000,38,1719,3888,
shared mem,1572864,5000,40,1718,3883,
shared mem,1572864,5000,42,1712,3876,
shared mem,1572864,5000,44,1707,3867,
shared mem,1572864,5000,46,1704,3862,
shared mem,1572864,5000,48,1697,3852,
shared mem,1572864,5000,50,1688,3841,
shared mem,1572864,5000,52,1684,3835,
shared mem,1572864,5000,54,1682,3831,
shared mem,1572864,5000,56,1682,3831,
shared mem,1572864,5000,58,1682,3831,
shared mem,1572864,5000,60,1685,3834,
shared mem,1572864,5000,62,1686,3836,
shared mem,1572864,5000,64,1687,3836,
shared mem,1572864,5000,66,1686,3836,
shared mem,1572864,5000,68,1684,3833,
shared mem,1572864,5000,70,1684,3834,
shared mem,1572864,5000,72,1690,3842,
shared mem,1572864,5000,74,1696,3849,
shared mem,1572864,5000,76,1697,3853,
shared mem,1572864,5000,78,1711,3870,
shared mem,1572864,5000,80,1714,3875,
shared mem,2097152,5000,2,2488,5503,
shared mem,2097152,5000,4,2454,5424,
shared mem,2097152,5000,6,2411,5330,
shared mem,2097152,5000,8,2420,5320,
shared mem,2097152,5000,10,2408,5308,
shared mem,2097152,5000,12,2408,5298,
shared mem,2097152,5000,14,2407,5297,
shared mem,2097152,5000,16,2381,5261,
shared mem,2097152,5000,18,2359,5237,
shared mem,2097152,5000,20,2354,5223,
shared mem,2097152,5000,22,2354,5224,
shared mem,2097152,5000,24,2353,5224,
shared mem,2097152,5000,26,2349,5219,
shared mem,2097152,5000,28,2345,5214,
shared mem,2097152,5000,30,2352,5219,
shared mem,2097152,5000,32,2355,5224,
shared mem,2097152,5000,34,2350,5218,
shared mem,2097152,5000,36,2348,5215,
shared mem,2097152,5000,38,2340,5203,
shared mem,2097152,5000,40,2332,5190,
shared mem,2097152,5000,42,2321,5173,
shared mem,2097152,5000,44,2312,5159,
shared mem,2097152,5000,46,2313,5156,
shared mem,2097152,5000,48,2310,5149,
shared mem,2097152,5000,50,2308,5150,
shared mem,2097152,5000,52,2306,5146,
shared mem,2097152,5000,54,2302,5142,
shared mem,2097152,5000,56,2298,5137,
shared mem,2097152,5000,58,2298,5138,
shared mem,2097152,5000,60,2296,5134,
shared mem,2097152,5000,62,2297,5137,
shared mem,2097152,5000,64,2299,5139,
shared mem,2097152,5000,66,2296,5136,
shared mem,2097152,5000,68,2295,5134,
shared mem,2097152,5000,70,2296,5135,
shared mem,2097152,5000,72,2298,5137,
shared mem,2097152,5000,74,2299,5137,
shared mem,2097152,5000,76,2298,5136,
shared mem,2097152,5000,78,2299,5137,
shared mem,2097152,5000,80,2303,5143,
shared mem,2621440,5000,2,3010,6588,
shared mem,2621440,5000,4,3024,6590,
shared mem,2621440,5000,6,2990,6527,
shared mem,2621440,5000,8,2884,6387,
shared mem,2621440,5000,10,2816,6298,
shared mem,2621440,5000,12,2775,6238,
shared mem,2621440,5000,14,2755,6211,
shared mem,2621440,5000,16,2767,6232,
shared mem,2621440,5000,18,2791,6262,
shared mem,2621440,5000,20,2796,6270,
shared mem,2621440,5000,22,2823,6308,
shared mem,2621440,5000,24,2829,6316,
shared mem,2621440,5000,26,2843,6343,
shared mem,2621440,5000,28,2849,6351,
shared mem,2621440,5000,30,2846,6352,
shared mem,2621440,5000,32,2854,6361,
shared mem,2621440,5000,34,2862,6373,
shared mem,2621440,5000,36,2871,6383,
shared mem,2621440,5000,38,2872,6387,
shared mem,2621440,5000,40,2879,6395,
shared mem,2621440,5000,42,2878,6396,
shared mem,2621440,5000,44,2879,6399,
shared mem,2621440,5000,46,2882,6399,
shared mem,2621440,5000,48,2872,6384,
shared mem,2621440,5000,50,2861,6368,
shared mem,2621440,5000,52,2852,6354,
shared mem,2621440,5000,54,2851,6353,
shared mem,2621440,5000,56,2858,6360,
shared mem,2621440,5000,58,2859,6362,
shared mem,2621440,5000,60,2862,6365,
shared mem,2621440,5000,62,2866,6369,
shared mem,2621440,5000,64,2864,6368,
shared mem,2621440,5000,66,2870,6375,
shared mem,2621440,5000,68,2876,6386,
shared mem,2621440,5000,70,2877,6388,
shared mem,2621440,5000,72,2884,6400,
shared mem,2621440,5000,74,2886,6406,
shared mem,2621440,5000,76,2887,6408,
shared mem,2621440,5000,78,2892,6417,
shared mem,2621440,5000,80,2895,6425,
shared mem,3145728,5000,2,3525,7789,
shared mem,3145728,5000,4,3576,7898,
shared mem,3145728,5000,6,3594,7978,
shared mem,3145728,5000,8,3597,7956,
shared mem,3145728,5000,10,3666,8040,
shared mem,3145728,5000,12,3665,8028,
shared mem,3145728,5000,14,3677,8033,
shared mem,3145728,5000,16,3657,7999,
shared mem,3145728,5000,18,3663,7989,
shared mem,3145728,5000,20,3671,7998,
shared mem,3145728,5000,22,3679,8010,
shared mem,3145728,5000,24,3676,8008,
shared mem,3145728,5000,26,3669,7992,
shared mem,3145728,5000,28,3637,7942,
shared mem,3145728,5000,30,3606,7897,
shared mem,3145728,5000,32,3583,7863,
shared mem,3145728,5000,34,3558,7825,
shared mem,3145728,5000,36,3544,7799,
shared mem,3145728,5000,38,3542,7799,
shared mem,3145728,5000,40,3552,7825,
shared mem,3145728,5000,42,3552,7825,
shared mem,3145728,5000,44,3544,7814,
shared mem,3145728,5000,46,3534,7798,
shared mem,3145728,5000,48,3528,7785,
shared mem,3145728,5000,50,3517,7764,
shared mem,3145728,5000,52,3500,7740,
shared mem,3145728,5000,54,3490,7723,
shared mem,3145728,5000,56,3470,7697,
shared mem,3145728,5000,58,3455,7675,
shared mem,3145728,5000,60,3440,7655,
shared mem,3145728,5000,62,3446,7665,
shared mem,3145728,5000,64,3451,7669,
shared mem,3145728,5000,66,3448,7663,
shared mem,3145728,5000,68,3440,7649,
shared mem,3145728,5000,70,3426,7631,
shared mem,3145728,5000,72,3418,7617,
shared mem,3145728,5000,74,3403,7598,
shared mem,3145728,5000,76,3393,7584,
shared mem,3145728,5000,78,3384,7573,
shared mem,3145728,5000,80,3375,7559,
shared mem,3670016,5000,2,3642,8377,
shared mem,3670016,5000,4,3971,8795,
shared mem,3670016,5000,6,4117,9008,
shared mem,3670016,5000,8,4187,9110,
shared mem,3670016,5000,10,4208,9111,
shared mem,3670016,5000,12,4146,9015,
shared mem,3670016,5000,14,4124,8973,
shared mem,3670016,5000,16,4078,8911,
shared mem,3670016,5000,18,4035,8852,
shared mem,3670016,5000,20,4032,8841,
shared mem,3670016,5000,22,4082,8901,
shared mem,3670016,5000,24,4070,8889,
shared mem,3670016,5000,26,4038,8850,
shared mem,3670016,5000,28,4001,8806,
shared mem,3670016,5000,30,3974,8770,
shared mem,3670016,5000,32,3940,8729,
shared mem,3670016,5000,34,3916,8700,
shared mem,3670016,5000,36,3940,8734,
shared mem,3670016,5000,38,3962,8774,
shared mem,3670016,5000,40,3966,8788,
shared mem,3670016,5000,42,3965,8784,
shared mem,3670016,5000,44,3948,8764,
shared mem,3670016,5000,46,3930,8747,
shared mem,3670016,5000,48,3913,8726,
shared mem,3670016,5000,50,3897,8704,
shared mem,3670016,5000,52,3884,8687,
shared mem,3670016,5000,54,3886,8688,
shared mem,3670016,5000,56,3898,8708,
shared mem,3670016,5000,58,3906,8716,
shared mem,3670016,5000,60,3901,8707,
shared mem,3670016,5000,62,3893,8696,
shared mem,3670016,5000,64,3887,8687,
shared mem,3670016,5000,66,3882,8684,
shared mem,3670016,5000,68,3883,8686,
shared mem,3670016,5000,70,3896,8708,
shared mem,3670016,5000,72,3903,8720,
shared mem,3670016,5000,74,3918,8740,
shared mem,3670016,5000,76,3925,8750,
shared mem,3670016,5000,78,3926,8750,
shared mem,3670016,5000,80,3927,8753,
shared mem,4194304,5000,2,4528,10135,
shared mem,4194304,5000,4,4653,10229,
shared mem,4194304,5000,6,4697,10257,
shared mem,4194304,5000,8,4682,10236,
shared mem,4194304,5000,10,4688,10272,
shared mem,4194304,5000,12,4703,10300,
shared mem,4194304,5000,14,4689,10274,
shared mem,4194304,5000,16,4677,10256,
shared mem,4194304,5000,18,4665,10242,
shared mem,4194304,5000,20,4647,10227,
shared mem,4194304,5000,22,4632,10198,
shared mem,4194304,5000,24,4624,10186,
shared mem,4194304,5000,26,4616,10175,
shared mem,4194304,5000,28,4605,10159,
shared mem,4194304,5000,30,4600,10156,
shared mem,4194304,5000,32,4627,10196,
shared mem,4194304,5000,34,4648,10235,
shared mem,4194304,5000,36,4658,10251,
shared mem,4194304,5000,38,4660,10247,
shared mem,4194304,5000,40,4659,10245,
shared mem,4194304,5000,42,4657,10248,
shared mem,4194304,5000,44,4654,10241,
shared mem,4194304,5000,46,4659,10239,
shared mem,4194304,5000,48,4651,10227,
shared mem,4194304,5000,50,4648,10218,
shared mem,4194304,5000,52,4644,10209,
shared mem,4194304,5000,54,4638,10200,
shared mem,4194304,5000,56,4634,10192,
shared mem,4194304,5000,58,4631,10187,
shared mem,4194304,5000,60,4623,10175,
shared mem,4194304,5000,62,4625,10175,
shared mem,4194304,5000,64,4622,10171,
shared mem,4194304,5000,66,4618,10165,
shared mem,4194304,5000,68,4613,10159,
shared mem,4194304,5000,70,4611,10159,
shared mem,4194304,5000,72,4618,10168,
shared mem,4194304,5000,74,4625,10175,
shared mem,4194304,5000,76,4625,10174,
shared mem,4194304,5000,78,4616,10162,
shared mem,4194304,5000,80,4611,10151,
shared mem,4718592,5000,2,4712,10786,
shared mem,4718592,5000,4,4840,10890,
shared mem,4718592,5000,6,4864,10909,
shared mem,4718592,5000,8,4828,10859,
shared mem,4718592,5000,10,4806,10841,
shared mem,4718592,5000,12,4792,10829,
shared mem,4718592,5000,14,4763,10798,
shared mem,4718592,5000,16,4761,10802,
shared mem,4718592,5000,18,4757,10799,
shared mem,4718592,5000,20,4757,10792,
shared mem,4718592,5000,22,4742,10778,
shared mem,4718592,5000,24,4737,10769,
shared mem,4718592,5000,26,4739,10769,
shared mem,4718592,5000,28,4730,10768,
shared mem,4718592,5000,30,4721,10761,
shared mem,4718592,5000,32,4711,10752,
shared mem,4718592,5000,34,4705,10747,
shared mem,4718592,5000,36,4693,10733,
shared mem,4718592,5000,38,4694,10736,
shared mem,4718592,5000,40,4697,10739,
shared mem,4718592,5000,42,4691,10733,
shared mem,4718592,5000,44,4684,10726,
shared mem,4718592,5000,46,4679,10720,
shared mem,4718592,5000,48,4666,10707,
shared mem,4718592,5000,50,4667,10707,
shared mem,4718592,5000,52,4665,10705,
shared mem,4718592,5000,54,4665,10704,
shared mem,4718592,5000,56,4670,10709,
shared mem,4718592,5000,58,4668,10707,
shared mem,4718592,5000,60,4664,10703,
shared mem,4718592,5000,62,4659,10698,
shared mem,4718592,5000,64,4654,10693,
shared mem,4718592,5000,66,4653,10692,
shared mem,4718592,5000,68,4658,10698,
shared mem,4718592,5000,70,4660,10700,
shared mem,4718592,5000,72,4659,10698,
shared mem,4718592,5000,74,4661,10701,
shared mem,4718592,5000,76,4660,10700,
shared mem,4718592,5000,78,4662,10702,
shared mem,4718592,5000,80,4664,10704,
shared mem,5242880,5000,2,5257,12066,
