mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
socket,524288,5000,2,280340,694796,
socket,524288,5000,4,292215,708256,
socket,524288,5000,6,289494,718488,
socket,524288,5000,8,287661,708227,
socket,524288,5000,10,288849,703586,
socket,524288,5000,12,285813,700582,
socket,524288,5000,14,285465,687884,
socket,524288,5000,16,285539,682382,
socket,524288,5000,18,284114,683471,
socket,524288,5000,20,284893,677702,
socket,524288,5000,22,284274,672645,
socket,524288,5000,24,284595,674579,
socket,524288,5000,26,287026,675123,
socket,524288,5000,28,287183,674520,
socket,524288,5000,30,288808,677226,
socket,524288,5000,32,288923,676151,
socket,524288,5000,34,290182,676454,
socket,524288,5000,36,291708,678946,
socket,524288,5000,38,292502,678719,
socket,524288,5000,40,293410,680913,
socket,524288,5000,42,293842,680991,
socket,524288,5000,44,294318,680694,
socket,524288,5000,46,295147,682507,
socket,524288,5000,48,294922,681453,
socket,524288,5000,50,294697,681666,
socket,524288,5000,52,294408,682704,
socket,524288,5000,54,294995,682469,
socket,524288,5000,56,295636,682695,
socket,524288,5000,58,296103,684403,
socket,524288,5000,60,296818,684863,
socket,524288,5000,62,296771,684755,
socket,524288,5000,64,296958,685559,
socket,524288,5000,66,297242,685530,
socket,524288,5000,68,298272,688586,
socket,524288,5000,70,298037,688004,
socket,524288,5000,72,297520,686925,
socket,524288,5000,74,299164,688817,
socket,524288,5000,76,299033,688413,
socket,524288,5000,78,299130,688276,
socket,524288,5000,80,299061,689199,
socket,1048576,5000,2,562256,1070757,
socket,1048576,5000,4,576736,1151794,
socket,1048576,5000,6,551776,1153599,
socket,1048576,5000,8,550397,1158471,
socket,1048576,5000,10,545942,1155189,
socket,1048576,5000,12,543749,1154673,
socket,1048576,5000,14,541700,1149660,
socket,1048576,5000,16,540098,1142106,
socket,1048576,5000,18,540321,1144793,
socket,1048576,5000,20,539702,1146686,
socket,1048576,5000,22,543081,1153198,
socket,1048576,5000,24,546016,1158623,
socket,1048576,5000,26,546190,1160187,
socket,1048576,5000,28,550536,1170056,
socket,1048576,5000,30,551200,1172040,
socket,1048576,5000,32,551339,1174549,
socket,1048576,5000,34,553356,1179531,
socket,1048576,5000,36,551680,1178955,
socket,1048576,5000,38,554914,1182934,
socket,1048576,5000,40,553452,1182015,
socket,1048576,5000,42,550871,1180229,
socket,1048576,5000,44,552063,1183340,
socket,1048576,5000,46,550308,1182331,
socket,1048576,5000,48,551762,1186140,
socket,1048576,5000,50,550467,1184156,
