mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
socket,524288,5000,2,1035929,2110379,
socket,524288,5000,4,932511,1966940,
socket,524288,5000,6,902266,1872096,
socket,524288,5000,8,889704,1842475,
socket,524288,5000,10,878002,1831367,
socket,524288,5000,12,880789,1841672,
socket,524288,5000,14,871864,1832816,
socket,524288,5000,16,873107,1847301,
socket,524288,5000,18,866177,1843709,
socket,524288,5000,20,862447,1844323,
socket,524288,5000,22,858888,1839518,
socket,524288,5000,24,856114,1833621,
socket,524288,5000,26,853492,1832525,
socket,524288,5000,28,849650,1829064,
socket,524288,5000,30,846153,1823896,
socket,524288,5000,32,845640,1827844,
socket,524288,5000,34,845304,1826281,
socket,524288,5000,36,842651,1821504,
socket,524288,5000,38,838922,1818006,
socket,524288,5000,40,836883,1814548,
socket,524288,5000,42,835230,1812893,
socket,524288,5000,44,833097,1812281,
socket,524288,5000,46,831774,1810213,
socket,524288,5000,48,830321,1808533,
socket,524288,5000,50,829428,1809696,
socket,524288,5000,52,828130,1808661,
socket,524288,5000,54,827539,1806822,
socket,524288,5000,56,826057,1806205,
socket,524288,5000,58,825836,1806023,
socket,524288,5000,60,824964,1804939,
socket,524288,5000,62,826174,1814752,
socket,524288,5000,64,826161,1817260,
socket,524288,5000,66,826436,1818987,
socket,524288,5000,68,824194,1821497,
socket,524288,5000,70,824358,1821861,
socket,524288,5000,72,823902,1820428,
socket,524288,5000,74,822765,1820835,
socket,524288,5000,76,823387,1821885,
socket,524288,5000,78,820679,1816892,
socket,524288,5000,80,821057,1817929,
socket,1048576,5000,2,1517118,2853037,
socket,1048576,5000,4,1545231,3006519,
socket,1048576,5000,6,1549794,3042565,
socket,1048576,5000,8,1538535,3069353,
socket,1048576,5000,10,1491970,3047781,
socket,1048576,5000,12,1486033,3045937,
socket,1048576,5000,14,1508456,3091506,
socket,1048576,5000,16,1504904,3087381,
socket,1048576,5000,18,1489429,3090167,
socket,1048576,5000,20,1488734,3100223,
socket,1048576,5000,22,1487664,3113599,
socket,1048576,5000,24,1494730,3135985,
socket,1048576,5000,26,1494980,3134663,
socket,1048576,5000,28,1486614,3122316,
socket,1048576,5000,30,1494561,3130110,
socket,1048576,5000,32,1493600,3133383,
socket,1048576,5000,34,1495938,3134520,
socket,1048576,5000,36,1495743,3131245,
socket,1048576,5000,38,1495485,3125887,
socket,1048576,5000,40,1498037,3131475,
socket,1048576,5000,42,1487830,3121176,
socket,1048576,5000,44,1490321,3125562,
socket,1048576,5000,46,1487876,3124778,
socket,1048576,5000,48,1491620,3127846,
socket,1048576,5000,50,1491130,3125517,
socket,1048576,5000,52,1491331,3124448,
socket,1048576,5000,54,1499297,3134221,
socket,1048576,5000,56,1497440,3133024,
socket,1048576,5000,58,1494196,3131514,
socket,1048576,5000,60,1490516,3127488,
socket,1048576,5000,62,1497289,3134555,
socket,1048576,5000,64,1498245,3136104,
socket,1048576,5000,66,1500059,3137803,
socket,1048576,5000,68,1500173,3135997,
socket,1048576,5000,70,1499437,3134482,
socket,1048576,5000,72,1503203,3140239,
socket,1048576,5000,74,1504105,3142045,
socket,1048576,5000,76,1507848,3147308,
socket,1048576,5000,78,1507609,3148758,
socket,1048576,5000,80,1505189,3148634,
socket,1572864,5000,2,2543186,4553772,
socket,1572864,5000,4,2350898,4438485,
socket,1572864,5000,6,2338118,4569918,
socket,1572864,5000,8,2348381,4593816,
socket,1572864,5000,10,2235346,4474524,
socket,1572864,5000,12,2228864,4481476,
socket,1572864,5000,14,2243363,4485472,
socket,1572864,5000,16,2216778,4471107,
socket,1572864,5000,18,2209245,4455346,
socket,1572864,5000,20,2213326,4455899,
socket,1572864,5000,22,2204296,4449018,
socket,1572864,5000,24,2176386,4430404,
socket,1572864,5000,26,2183386,4439351,
socket,1572864,5000,28,2178610,4435015,
socket,1572864,5000,30,2182807,4458355,
socket,1572864,5000,32,2186510,4462186,
socket,1572864,5000,34,2178093,4447215,
socket,1572864,5000,36,2182477,4457594,
socket,1572864,5000,38,2183744,4460571,
socket,1572864,5000,40,2171527,4445957,
socket,1572864,5000,42,2177539,4455621,
socket,1572864,5000,44,2173663,4448802,
socket,1572864,5000,46,2172258,4449178,
socket,1572864,5000,48,2173536,4457413,
socket,1572864,5000,50,2171936,4454980,
socket,1572864,5000,52,2175334,4463658,
socket,1572864,5000,54,2178611,4467138,
socket,1572864,5000,56,2181920,4471261,
socket,1572864,5000,58,2185648,4476854,
socket,1572864,5000,60,2193457,4485290,
socket,1572864,5000,62,2198330,4491476,
socket,1572864,5000,64,2209161,4502989,
socket,1572864,5000,66,2216771,4516939,
socket,1572864,5000,68,2221800,4520907,
socket,1572864,5000,70,2216341,4517476,
socket,1572864,5000,72,2219901,4524376,
socket,1572864,5000,74,2222989,4528727,
socket,1572864,5000,76,2227484,4534808,
socket,1572864,5000,78,2229071,4538464,
socket,1572864,5000,80,2228754,4538417,
socket,2097152,5000,2,3024379,5705756,
socket,2097152,5000,4,2905022,5721510,
socket,2097152,5000,6,2918700,5897330,
socket,2097152,5000,8,2952672,5966571,
socket,2097152,5000,10,2958460,6001221,
socket,2097152,5000,12,2971802,6083653,
socket,2097152,5000,14,2963989,6098368,
socket,2097152,5000,16,2956725,6092443,
socket,2097152,5000,18,2861779,6042571,
socket,2097152,5000,20,2889741,6077910,
socket,2097152,5000,22,2912285,6098630,
socket,2097152,5000,24,2918189,6112536,
socket,2097152,5000,26,2932693,6120533,
socket,2097152,5000,28,2942001,6137056,
socket,2097152,5000,30,2942500,6146200,
socket,2097152,5000,32,2948403,6152969,
socket,2097152,5000,34,2956481,6163722,
socket,2097152,5000,36,2934429,6143762,
socket,2097152,5000,38,2946216,6167478,
socket,2097152,5000,40,2960292,6171496,
socket,2097152,5000,42,2964683,6171190,
socket,2097152,5000,44,2975313,6176195,
socket,2097152,5000,46,2979715,6187539,
socket,2097152,5000,48,2984046,6197838,
socket,2097152,5000,50,2985252,6196050,
socket,2097152,5000,52,2984712,6189958,
socket,2097152,5000,54,2980429,6188888,
socket,2097152,5000,56,2983800,6197828,
socket,2097152,5000,58,2981237,6201011,
socket,2097152,5000,60,2981636,6205683,
socket,2097152,5000,62,2982659,6208955,
socket,2097152,5000,64,2984059,6215793,
socket,2097152,5000,66,2981925,6218057,
socket,2097152,5000,68,2985382,6228293,
socket,2097152,5000,70,2983124,6225108,
socket,2097152,5000,72,2984120,6230451,
socket,2097152,5000,74,2981862,6235343,
socket,2097152,5000,76,2983370,6241825,
socket,2097152,5000,78,2988207,6245224,
socket,2097152,5000,80,2992518,6255813,
socket,2621440,5000,2,3724667,7009705,
socket,2621440,5000,4,3569222,7167646,
socket,2621440,5000,6,3628069,7393414,
socket,2621440,5000,8,3527424,7341135,
socket,2621440,5000,10,3606911,7455933,
socket,2621440,5000,12,3646379,7501917,
socket,2621440,5000,14,3695019,7575701,
socket,2621440,5000,16,3713666,7600488,
socket,2621440,5000,18,3722116,7611961,
socket,2621440,5000,20,3743714,7658439,
socket,2621440,5000,22,3749217,7681981,
socket,2621440,5000,24,3761529,7706830,
socket,2621440,5000,26,3758795,7730120,
socket,2621440,5000,28,3737758,7725015,
socket,2621440,5000,30,3745085,7742150,
