mechanism, data size, buffer/package size, how many reps for avg, Transfer time, Overall time
socket,524288,5000,2,359,862,
socket,524288,5000,4,325,790,
socket,524288,5000,6,314,763,
socket,524288,5000,8,304,738,
socket,524288,5000,10,300,727,
socket,524288,5000,12,303,728,
socket,524288,5000,14,300,725,
socket,524288,5000,16,299,721,
socket,524288,5000,18,298,724,
socket,524288,5000,20,298,724,
socket,524288,5000,22,299,721,
socket,524288,5000,24,299,724,
socket,524288,5000,26,300,722,
socket,524288,5000,28,299,717,
socket,524288,5000,30,298,717,
socket,524288,5000,32,298,718,
socket,524288,5000,34,299,718,
socket,524288,5000,36,300,718,
socket,524288,5000,38,301,717,
socket,524288,5000,40,300,727,
socket,524288,5000,42,300,725,
socket,524288,5000,44,300,723,
socket,524288,5000,46,299,724,
socket,524288,5000,48,299,721,
socket,524288,5000,50,299,718,
socket,524288,5000,52,297,718,
socket,524288,5000,54,298,717,
socket,524288,5000,56,298,716,
socket,524288,5000,58,299,717,
socket,524288,5000,60,299,715,
socket,524288,5000,62,299,714,
socket,524288,5000,64,299,715,
socket,524288,5000,66,299,715,
socket,524288,5000,68,300,716,
socket,524288,5000,70,300,715,
socket,524288,5000,72,299,713,
socket,524288,5000,74,299,713,
socket,524288,5000,76,299,713,
socket,524288,5000,78,299,712,
socket,524288,5000,80,299,712,
socket,1048576,5000,2,596,1126,
socket,1048576,5000,4,582,1167,
socket,1048576,5000,6,573,1167,
socket,1048576,5000,8,573,1195,
socket,1048576,5000,10,558,1196,
socket,1048576,5000,12,565,1213,
socket,1048576,5000,14,559,1214,
socket,1048576,5000,16,565,1227,
socket,1048576,5000,18,555,1222,
socket,1048576,5000,20,554,1223,
socket,1048576,5000,22,546,1217,
socket,1048576,5000,24,547,1219,
socket,1048576,5000,26,548,1224,
socket,1048576,5000,28,546,1223,
socket,1048576,5000,30,543,1219,
socket,1048576,5000,32,543,1221,
socket,1048576,5000,34,542,1221,
socket,1048576,5000,36,542,1221,
socket,1048576,5000,38,545,1226,
socket,1048576,5000,40,542,1223,
socket,1048576,5000,42,542,1226,
socket,1048576,5000,44,543,1226,
socket,1048576,5000,46,542,1227,
socket,1048576,5000,48,541,1227,
socket,1048576,5000,50,542,1228,
socket,1048576,5000,52,542,1229,
socket,1048576,5000,54,539,1225,
socket,1048576,5000,56,538,1226,
socket,1048576,5000,58,539,1227,
socket,1048576,5000,60,540,1228,
socket,1048576,5000,62,538,1227,
socket,1048576,5000,64,541,1231,
socket,1048576,5000,66,541,1232,
socket,1048576,5000,68,541,1234,
socket,1048576,5000,70,540,1233,
socket,1048576,5000,72,543,1237,
socket,1048576,5000,74,542,1237,
socket,1048576,5000,76,540,1236,
socket,1048576,5000,78,540,1236,
socket,1048576,5000,80,542,1238,
socket,1572864,5000,2,812,1594,
socket,1572864,5000,4,819,1660,
socket,1572864,5000,6,833,1698,
socket,1572864,5000,8,836,1729,
socket,1572864,5000,10,825,1726,
socket,1572864,5000,12,820,1730,
socket,1572864,5000,14,814,1725,
socket,1572864,5000,16,805,1717,
socket,1572864,5000,18,811,1733,
socket,1572864,5000,20,815,1744,
socket,1572864,5000,22,815,1766,
socket,1572864,5000,24,815,1769,
socket,1572864,5000,26,814,1769,
socket,1572864,5000,28,821,1778,
socket,1572864,5000,30,817,1772,
socket,1572864,5000,32,816,1770,
socket,1572864,5000,34,813,1770,
