mechanism, data size, buffer/package size, rep num, Transfer time,
pipe,524288,4,1,32151249,
pipe,524288,4,2,25373061,
pipe,524288,4,3,39392652,
pipe,524288,4,4,36287948,
pipe,524288,4,5,30282478,
pipe,524288,4,6,31827076,
pipe,524288,4,7,37816479,
pipe,524288,4,8,32855398,
pipe,524288,4,9,39999910,
pipe,524288,4,10,40562931,
pipe,524288,16,1,6878530,
pipe,524288,16,2,7387316,
pipe,524288,16,3,6922868,
pipe,524288,16,4,10051842,
pipe,524288,16,5,5852279,
pipe,524288,16,6,7816204,
pipe,524288,16,7,8177110,
pipe,524288,16,8,7164557,
pipe,524288,16,9,7918756,
pipe,524288,16,10,9425281,
pipe,524288,64,1,1537277,
pipe,524288,64,2,2232822,
pipe,524288,64,3,1418716,
pipe,524288,64,4,2659600,
pipe,524288,64,5,2682668,
pipe,524288,64,6,1439189,
pipe,524288,64,7,2530377,
pipe,524288,64,8,1650489,
pipe,524288,64,9,2076195,
pipe,524288,64,10,2636903,
pipe,524288,256,1,541457,
pipe,524288,256,2,613915,
pipe,524288,256,3,670061,
pipe,524288,256,4,644298,
pipe,524288,256,5,477172,
pipe,524288,256,6,597259,
pipe,524288,256,7,541858,
pipe,524288,256,8,545191,
pipe,524288,256,9,653471,
pipe,524288,256,10,508981,
pipe,524288,1024,1,358451,
pipe,524288,1024,2,348246,
pipe,524288,1024,3,327137,
pipe,524288,1024,4,321161,
pipe,524288,1024,5,322467,
pipe,524288,1024,6,333459,
pipe,524288,1024,7,318551,
pipe,524288,1024,8,337700,
pipe,524288,1024,9,380937,
pipe,524288,1024,10,339802,
pipe,524288,4096,1,187549,
pipe,524288,4096,2,196662,
pipe,524288,4096,3,194537,
pipe,524288,4096,4,223460,
pipe,524288,4096,5,240699,
pipe,524288,4096,6,187419,
pipe,524288,4096,7,219831,
pipe,524288,4096,8,191729,
pipe,524288,4096,9,232712,
pipe,524288,4096,10,197287,
pipe,524288,16384,1,194912,
pipe,524288,16384,2,203952,
pipe,524288,16384,3,180766,
pipe,524288,16384,4,187593,
pipe,524288,16384,5,194403,
pipe,524288,16384,6,193862,
pipe,524288,16384,7,186764,
pipe,524288,16384,8,185355,
pipe,524288,16384,9,188481,
pipe,524288,16384,10,183401,
pipe,524288,65536,1,203479,
pipe,524288,65536,2,224711,
pipe,524288,65536,3,205763,
pipe,524288,65536,4,208048,
pipe,524288,65536,5,228751,
pipe,524288,65536,6,218333,
pipe,524288,65536,7,210781,
pipe,524288,65536,8,197716,
pipe,524288,65536,9,215088,
pipe,524288,65536,10,205353,
pipe,1048576,4,1,65350010,
pipe,1048576,4,2,60767796,
pipe,1048576,4,3,73903219,
pipe,1048576,4,4,77872526,
pipe,1048576,4,5,65733592,
pipe,1048576,4,6,46164142,
pipe,1048576,4,7,81236269,
pipe,1048576,4,8,83355218,
pipe,1048576,4,9,76129779,
pipe,1048576,4,10,70830698,
pipe,1048576,16,1,16338492,
pipe,1048576,16,2,18070122,
pipe,1048576,16,3,15616774,
pipe,1048576,16,4,14148649,
pipe,1048576,16,5,17434775,
pipe,1048576,16,6,16814744,
pipe,1048576,16,7,18919465,
pipe,1048576,16,8,14755605,
pipe,1048576,16,9,21451680,
pipe,1048576,16,10,13153255,
pipe,1048576,64,1,2996644,
pipe,1048576,64,2,2982095,
pipe,1048576,64,3,3532407,
pipe,1048576,64,4,3392837,
pipe,1048576,64,5,3409803,
pipe,1048576,64,6,2907833,
pipe,1048576,64,7,3205420,
pipe,1048576,64,8,3444550,
pipe,1048576,64,9,3306544,
pipe,1048576,64,10,3330248,
pipe,1048576,256,1,1136189,
pipe,1048576,256,2,1018776,
pipe,1048576,256,3,984683,
pipe,1048576,256,4,1030180,
pipe,1048576,256,5,971098,
pipe,1048576,256,6,1024284,
pipe,1048576,256,7,1007902,
pipe,1048576,256,8,957590,
pipe,1048576,256,9,1005325,
pipe,1048576,256,10,1539757,
pipe,1048576,1024,1,1127137,
pipe,1048576,1024,2,669173,
pipe,1048576,1024,3,649937,
pipe,1048576,1024,4,640232,
pipe,1048576,1024,5,748861,
pipe,1048576,1024,6,682374,
pipe,1048576,1024,7,659763,
pipe,1048576,1024,8,683114,
pipe,1048576,1024,9,667250,
pipe,1048576,1024,10,642932,
pipe,1048576,4096,1,419983,
pipe,1048576,4096,2,811112,
pipe,1048576,4096,3,679410,
pipe,1048576,4096,4,422760,
pipe,1048576,4096,5,431384,
pipe,1048576,4096,6,397892,
pipe,1048576,4096,7,402261,
pipe,1048576,4096,8,462662,
pipe,1048576,4096,9,437531,
pipe,1048576,4096,10,476219,
pipe,1048576,16384,1,416106,
pipe,1048576,16384,2,425749,
pipe,1048576,16384,3,458033,
pipe,1048576,16384,4,395160,
pipe,1048576,16384,5,466077,
pipe,1048576,16384,6,444106,
pipe,1048576,16384,7,425732,
pipe,1048576,16384,8,414829,
pipe,1048576,16384,9,434621,
pipe,1048576,16384,10,432698,
pipe,1048576,65536,1,533667,
pipe,1048576,65536,2,466553,
pipe,1048576,65536,3,493466,
pipe,1048576,65536,4,589904,
pipe,1048576,65536,5,875623,
pipe,1048576,65536,6,542337,
pipe,1048576,65536,7,535521,
pipe,1048576,65536,8,509581,
pipe,1048576,65536,9,506706,
pipe,1048576,65536,10,435779,
pipe,1572864,4,1,111576761,
pipe,1572864,4,2,97735777,
pipe,1572864,4,3,125909225,
pipe,1572864,4,4,109445573,
pipe,1572864,4,5,95486652,
pipe,1572864,4,6,87043162,
pipe,1572864,4,7,94930644,
pipe,1572864,4,8,120713515,
pipe,1572864,4,9,112341679,
pipe,1572864,4,10,112492799,
pipe,1572864,16,1,17722158,
pipe,1572864,16,2,22630809,
pipe,1572864,16,3,24181390,
pipe,1572864,16,4,21408879,
pipe,1572864,16,5,25401291,
pipe,1572864,16,6,18881507,
pipe,1572864,16,7,20633472,
pipe,1572864,16,8,17749992,
pipe,1572864,16,9,20964517,
pipe,1572864,16,10,19154605,
pipe,1572864,64,1,4394261,
pipe,1572864,64,2,4700075,
pipe,1572864,64,3,4291464,
pipe,1572864,64,4,4301367,
pipe,1572864,64,5,4881255,
pipe,1572864,64,6,4307548,
pipe,1572864,64,7,4814512,
pipe,1572864,64,8,4781763,
pipe,1572864,64,9,4794540,
pipe,1572864,64,10,4471757,
pipe,1572864,256,1,1421008,
pipe,1572864,256,2,1487366,
pipe,1572864,256,3,1339331,
pipe,1572864,256,4,1403020,
pipe,1572864,256,5,1369269,
pipe,1572864,256,6,1456760,
pipe,1572864,256,7,1587359,
pipe,1572864,256,8,1432726,
pipe,1572864,256,9,1510302,
pipe,1572864,256,10,1508522,
pipe,1572864,1024,1,1009194,
pipe,1572864,1024,2,1102251,
pipe,1572864,1024,3,966893,
pipe,1572864,1024,4,1071175,
pipe,1572864,1024,5,982271,
pipe,1572864,1024,6,999103,
pipe,1572864,1024,7,1068703,
pipe,1572864,1024,8,1008925,
